Id,Label
0,Bradyrhizobium_sp._200
1,Bradyrhizobium_sp._CCGE-LA001
2,Bradyrhizobium_sp._170
3,Bradyrhizobium_sp._CCBAU_051011
4,Bradyrhizobium_sp._CCBAU_53351
5,Bradyrhizobium_sp._CCBAU_51753
6,Bradyrhizobium_sp._195
7,Bradyrhizobium_sp._1(2017)
8,Bradyrhizobium_sp._CCBAU_51765
9,Bradyrhizobium_sp._SK17
10,Bradyrhizobium_sp._191
11,Bradyrhizobium_sp._186
12,Bradyrhizobium_sp._A19
13,Bradyrhizobium_sp._BTAi1
14,Bradyrhizobium_sp._ORS_285
15,Bradyrhizobium_sp._ORS_278
16,Bradyrhizobium_sp._I71
17,Bradyrhizobium_sp._CCBAU_53340
18,Bradyrhizobium_sp._CCBAU_53338
19,Bradyrhizobium_sp._CCBAU_53421
20,Bradyrhizobium_sp._S2-11-2
21,Bradyrhizobium_sp._6(2017)
22,Bradyrhizobium_sp._S2-11-4
23,Bradyrhizobium_sp._S2-20-1
24,Bradyrhizobium_sp._41S5
25,Bradyrhizobium_sp._C-145
26,Bradyrhizobium_sp.
27,Bradyrhizobium_sp._40
28,Bradyrhizobium_sp._4
29,Bradyrhizobium_sp._192
30,Bradyrhizobium_sp._323S2
31,Bradyrhizobium_sp._144S4
32,Bradyrhizobium_sp._LCT2
33,Bradyrhizobium_sp._TM102
34,Bradyrhizobium_sp._SG09
35,Bradyrhizobium_sp._187
36,Bradyrhizobium_sp._38S5
37,Bradyrhizobium_sp._131
38,Bradyrhizobium_sp._CW1
39,Bradyrhizobium_sp._1S5
40,Bradyrhizobium_sp._172
41,Bradyrhizobium_sp._155
42,Bradyrhizobium_sp._CCBAU_21365
43,Bradyrhizobium_diazoefficiens
44,Bradyrhizobium_erythrophlei
45,Bradyrhizobium_paxllaeri
46,Bradyrhizobium_icense
47,Bradyrhizobium_vignae
48,Bradyrhizobium_lablabi
49,Bradyrhizobium_japonicum
50,Bradyrhizobium_daqingense
51,Bradyrhizobium_canariense
52,Bradyrhizobium_guangxiense
53,Bradyrhizobium_genosp._L
54,Bradyrhizobium_arachidis
55,Bradyrhizobium_oligotrophicum
56,Bradyrhizobium_cosmicum
57,Bradyrhizobium_guangdongense
58,Bradyrhizobium_genosp._B
59,Bradyrhizobium_guangzhouense
60,Bradyrhizobium_amphicarpaeae
61,Bradyrhizobium_symbiodeficiens
62,Bradyrhizobium_quebecense
63,Bradyrhizobium_septentrionale
64,Bradyrhizobium_betae
65,Bradyrhizobium_zhanjiangense
66,Bradyrhizobium_elkanii
67,Bradyrhizobium_ottawaense
68,Rhodopseudomonas_palustris
69,Rhodopseudomonas_sp._SK50-23
70,Rhodopseudomonas_boonkerdii
71,Nitrobacter_hamburgensis
72,Nitrobacter_winogradskyi
73,Tardiphaga_sp._37S4
74,Tardiphaga_sp._vice154
75,Tardiphaga_sp._vice278
76,Tardiphaga_sp._vice304
77,Tardiphaga_sp._vice352
78,Tardiphaga_robiniae
79,Afipia_carboxidovorans
80,Afipia_sp._GAS231
81,Variibacter_gotjawalensis
82,Rhizobium_sp._BG4
83,Rhizobium_sp._WYJ-E13
84,Rhizobium_sp._NXC24
85,Rhizobium_sp._WL3
86,Rhizobium_sp._SL42
87,Rhizobium_sp._ACO-34A
88,Rhizobium_sp._11515TR
89,Rhizobium_sp._NZLR1
90,Rhizobium_sp._AB2/73
91,Rhizobium_sp._CIAT894
92,Rhizobium_sp._NXC14
93,Rhizobium_sp._NLR16a
94,Rhizobium_sp._C104
95,Rhizobium_sp._K102
96,Rhizobium_sp._L51/94
97,Rhizobium_sp._Y9
98,Rhizobium_sp._X9
99,Rhizobium_sp._Kim5
100,Rhizobium_sp._IE4771
101,Rhizobium_sp._007
102,Rhizobium_sp._TAL182
103,Rhizobium_sp._ZX09
104,Rhizobium_sp._NIBRBAC000502774
105,Rhizobium_sp._B230/85
106,Rhizobium_sp._N324
107,Rhizobium_sp._CCGE531
108,Rhizobium_sp._T136
109,Rhizobium_sp._B21/90
110,Rhizobium_sp._BG6
111,Rhizobium_sp._CCGE532
112,Rhizobium_sp._N113
113,Rhizobium_leguminosarum
114,Rhizobium_etli
115,Rhizobium_jaguaris
116,Rhizobium_pseudoryzae
117,Rhizobium_phaseoli
118,Rhizobium_gallicum
119,Rhizobium_bangladeshense
120,Rhizobium_tropici
121,Rhizobium_lentis
122,Rhizobium_daejeonense
123,Rhizobium_binae
124,Rhizobium_pusense
125,Rhizobium_rosettiformans
126,Rhizobium_rhizoryzae
127,Rhizobium_indicum
128,Rhizobium_acidisoli
129,Rhizobium_hidalgonense
130,Rhizobium_oryzihabitans
131,Rhizobium_laguerreae
132,Rhizobium_ruizarguesonis
133,Rhizobium_favelukesii
134,Agrobacterium_tumefaciens
135,Agrobacterium_fabrum
136,Agrobacterium_fabacearum
137,Agrobacterium_vitis
138,Agrobacterium_sp._T29
139,Agrobacterium_sp._MA01
140,Agrobacterium_sp._RAC06
141,Agrobacterium_sp._CGMCC_11546
142,Agrobacterium_sp._S7/73
143,Agrobacterium_vaccinii
144,Agrobacterium_larrymoorei
145,Agrobacterium_rubi
146,Agrobacterium_salinitolerans
147,Agrobacterium_rhizogenes
148,Neorhizobium_galegae
149,Neorhizobium_sp._SOG26
150,Neorhizobium_sp._NCHU2750
151,Pseudorhizobium_flavum
152,Pseudorhizobium_banfieldiae
153,Sinorhizobium_meliloti
154,Sinorhizobium_fredii
155,Sinorhizobium_medicae
156,Sinorhizobium_sp._BG8
157,Sinorhizobium_sp._CCBAU_05631
158,Sinorhizobium_americanum
159,Ensifer_adhaerens
160,Ensifer_sp._PDNC004
161,Ensifer_sp._T173
162,Ensifer_mexicanus
163,Ensifer_alkalisoli
164,Ensifer_sojae
165,Shinella_sp._HZN7
166,Shinella_sp._PSBB067
167,Shinella_sp._XGS7
168,Shinella_sp._H4-D48
169,Shinella_zoogloeoides
170,Shinella_oryzae
171,Ciceribacter_thiooxidans
172,Georhizobium_profundi
173,Peteryoungia_desertarenae
174,Candidatus_Liberibacter_americanus
175,Candidatus_Liberibacter_asiaticus
176,Liberibacter_crescens
177,Candidatus_Liberibacter_africanus
178,Mesorhizobium_sp._8
179,Mesorhizobium_sp._DCY119
180,Mesorhizobium_sp._B2-1-1
181,Mesorhizobium_sp._B2-8-5
182,Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1
183,Mesorhizobium_sp._J8
184,Mesorhizobium_sp._Pch-S
185,Mesorhizobium_sp._M3A.F.Ca.ET.080.04.2.1
186,Mesorhizobium_sp._B1-1-8
187,Mesorhizobium_sp._M1B.F.Ca.ET.045.04.1.1
188,Mesorhizobium_sp._131-2-1
189,Mesorhizobium_sp._M1D.F.Ca.ET.043.01.1.1
190,Mesorhizobium_sp._M1E.F.Ca.ET.045.02.1.1
191,Mesorhizobium_sp._INR15
192,Mesorhizobium_sp._M4B.F.Ca.ET.058.02.1.1
193,Mesorhizobium_sp._PAMC28654
194,Mesorhizobium_sp._M9A.F.Ca.ET.002.03.1.2
195,Mesorhizobium_sp._L-2-11
196,Mesorhizobium_sp._M6A.T.Cr.TU.016.01.1.1
197,Mesorhizobium_sp._B4-1-4
198,Mesorhizobium_sp._B2-1-8
199,Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1
200,Mesorhizobium_sp._NBSH29
201,Mesorhizobium_sp._M7D.F.Ca.US.005.01.1.1
202,Mesorhizobium_sp._M8A.F.Ca.ET.057.01.1.1
203,Mesorhizobium_sp._M7A.F.Ce.TU.012.03.2.1
204,Mesorhizobium_sp._NZP2077
205,Mesorhizobium_sp._113-3-3
206,Mesorhizobium_sp._113-1-2
207,Mesorhizobium_sp._L-8-10
208,Mesorhizobium_sp._L-8-3
209,Mesorhizobium_sp._M2A.F.Ca.ET.046.03.2.1
210,Mesorhizobium_sp._113-3-9
211,Mesorhizobium_sp._NZP2298
212,Mesorhizobium_sp._AA22
213,Mesorhizobium_sp._M2A.F.Ca.ET.043.02.1.1
214,Mesorhizobium_sp._WSM1497
215,Mesorhizobium_sp._131-3-5
216,Mesorhizobium_sp._NZP2234
217,Mesorhizobium_sp._131-2-5
218,Mesorhizobium_terrae
219,Mesorhizobium_opportunistum
220,Mesorhizobium_amorphae
221,Mesorhizobium_loti
222,Mesorhizobium_australicum
223,Mesorhizobium_ciceri
224,Mesorhizobium_erdmanii
225,Mesorhizobium_huakuii
226,Mesorhizobium_japonicum
227,Aminobacter_sp._MSH1
228,Aminobacter_sp._SR38
229,Aminobacter_sp._MDW-2
230,Aminobacter_aminovorans
231,Aquibium_microcysteis
232,Aquibium_oceanicum
233,Nitratireductor_sp._SY7
234,Nitratireductor_sp._OM-1
235,Nitratireductor_kimnyeongensis
236,Phyllobacterium_sp._T1018
237,Phyllobacterium_sp._628
238,Phyllobacterium_sp._T1293
