"","SRR4140278","SRR4140277"
"59814",34010788,316046
"539813",1584343,6197213
"283686",1943003,5105965
"208223",2682340,1260548
"2078786",55096,2675431
"286",70482,2362884
"61645",2269602,396358
"47880",220407,2207577
"48296",80524,2179274
"549",2170830,451246
"2071710",2100656,29200
"2913495",108311,2099707
"550",1881848,446402
"2871688",94980,1784827
"547",1719306,1480027
"469",79081,1546718
"471",52304,1490924
"1812935",1387893,147729
"2923375",47989,1316325
"357",1251918,53992
"648995",1236710,117174
"2027919",70825,1197917
"1148157",72745,1162913
"2866626",9273,1139020
"40324",1057118,34275
"613",18889,1016363
"615",16625,1014601
"1530123",45194,960066
"470931",953089,44099
"358",858729,59099
"470",35905,840351
"2725560",803564,366776
"303",235034,758380
"566",121547,746082
"2886821",698113,136543
"2866592",13932,693595
"2492396",693175,256981
"2364647",671409,138918
"78327",5040,572827
"1505757",156348,539998
"2494701",500893,18580
"2219225",2154,495932
"2749999",4408,483400
"470932",480089,23147
"543",475155,352297
"1330547",414149,379401
"53335",412078,214614
"1658665",70309,408959
"2729175",1202,406396
"363952",510,398877
"2497875",381224,21293
"158836",376171,199951
"1785128",8131,374916
"95486",284541,364574
"91347",312989,180028
"2028343",309872,113344
"881260",180113,309096
"32008",41529,301993
"2983246",2293,289178
"285",676,284586
"106654",13218,281177
"1259844",1031,261576
"472693",33443,240600
"1649877",436,238169
"2920387",2856,229294
"2870346",48690,224600
"459526",127,223141
"3047875",2322,219564
"2729423",4377,210214
"69218",205454,71384
"1883",201265,171526
"470934",195463,112187
"570",194237,41701
"421058",37,167464
"343",157368,3294
"283",2168,155839
"2836161",148876,34417
"2912824",145444,32620
"47885",142020,107244
"2494702",140340,26760
"67304",140307,21840
"80866",928,129635
"497725",124734,126293
"106592",27503,123288
"299767",120591,36965
"208224",120289,30698
"2811423",4696,120013
"85698",116333,13106
"2996112",115401,12670
"164546",20381,113342
"80865",2524,112887
"294",4520,111309
"80840",37887,111169
"312306",1919,102249
"356",58636,100681
"485870",1594,98955
"374",45233,98107
"2478464",96758,14026
"244366",96359,10989
"2834406",344,86633
"217203",85673,55350
"2982531",83939,1228
"83655",20745,80829
"2971235",80129,1083
"2842354",397,79221
"28901",29927,76607
"289370",19211,76282
"2976431",74364,7855
"2742639",74264,7474
"9606",20601,73530
"379",51966,73073
"1736226",1329,72864
"1404",34360,72034
"2836181",2222,71163
"2604832",1054,69847
"338",69130,13838
"94132",33186,67212
"1725411",65781,11361
"34073",25431,65150
"2497436",30019,64903
"2740529",64269,19859
"2831890",51156,64108
"861299",55703,64072
"2978473",11317,63359
"2724121",61699,381
"2724122",61076,308
"2705458",60161,4861
"2724123",60138,272
"2950074",174,59607
"107445",586,59180
"2831891",58106,56948
"1076550",28443,58023
"553",57991,42218
"573",57563,36425
"562",55754,34717
"2925842",1838,55181
"252970",54769,16425
"2742676",54310,10501
"2745490",739,52560
"3039158",27371,52518
"2981135",51535,6874
"80864",18048,51473
"2842357",668,51260
"1903409",50604,27352
"2792015",50077,4504
"1827580",49486,16078
"1914861",27067,47512
"220684",1466,47088
"2565914",47034,8903
"2970818",29693,46576
"56458",45302,3921
"674703",15307,45298
"2067958",45275,34370
"55209",26144,44910
"1969",43927,9381
"579",43001,3041
"488447",7416,42618
"306",1208,42118
"292",7943,41796
"2781734",41546,7587
"273251",11863,40665
"871203",40184,9616
"94625",39263,2213
"2815358",4099,39150
"1306993",276,38701
"60548",38370,12281
"82633",14806,38351
"1855519",15823,37217
"2010972",4299,37142
"3028622",37009,16021
"56455",36772,720
"2795216",36644,26103
"885040",36373,7196
"1134687",36292,9436
"2926671",18,36150
"13687",17934,36062
"157782",948,36001
"3048535",719,35345
"399",35276,16365
"592316",23993,35204
"66269",35053,27798
"2849093",34203,34431
"41297",19487,34241
"544",25121,34119
"34071",17778,34057
"3047871",1234,33656
"165695",9839,33624
"76731",6340,33537
"2944234",1374,33489
"119060",14501,33227
"2969431",29986,33127
"3026145",33104,8704
"2874628",1198,32728
"2714951",4743,32551
"1861",32525,26725
"2490851",32325,12450
"2678258",335,32205
"43263",983,32058
"396",9439,32001
"551989",16279,31901
"2500132",31626,7644
"83654",12806,31309
"85006",24739,31267
"287",4715,31202
"40323",31048,28672
"2933797",31040,26684
"1873",16473,30925
"2052056",16869,30535
"106589",13396,30227
"3029060",884,30224
"60550",5229,30102
"2912628",30075,935
"1463165",29957,17439
"2807101",29954,11038
"2839983",8687,29663
"3037797",13155,29465
"1389922",29390,23175
"2548456",29166,9281
"2813843",234,28879
"1894999",8536,28869
"135621",4151,28545
"1882682",28356,10978
"56",14811,27923
"2871820",11734,27904
"2974552",10258,27570
"2575375",27433,6742
"352858",1019,27357
"453783",27346,21431
"482564",77,27297
"587753",2075,27108
"2986927",1050,26631
"1881017",333,26458
"2866808",1565,26295
"571",26144,23990
"2695266",20518,25837
"237610",25732,20808
"70775",863,25481
"2217867",249,25463
"2978974",25383,7390
"2714952",5471,24995
"2613770",24987,21193
"3035531",711,24914
"1619313",24800,10801
"2926709",24780,10356
"75105",4895,24591
"354356",6776,24420
"546",23991,16679
"152480",3641,23949
"2884022",20486,23922
"1571470",23747,3670
"3003271",1802,23744
"1822464",23639,19367
"398",23518,18142
"186817",3978,23491
"222",17233,22944
"2995138",4107,22781
"1839",22742,15499
"1329841",21812,19726
"138336",21726,19172
"485898",862,21480
"191495",18127,21459
"56464",21322,1183
"1637853",1468,21127
"2724468",21054,4786
"2789327",8602,20830
"407",13907,20651
"87883",7308,20603
"384",20355,19152
"413497",20021,7755
"300",1186,19959
"548",19645,19931
"1357915",19660,12063
"477641",19653,16538
"1868135",19233,19486
"28056",9265,19404
"1183401",19391,2726
"1034889",6723,19246
"485880",357,19220
"1915310",19189,2586
"2732067",6620,19091
"1183413",19049,1962
"204457",8644,19040
"1176649",18985,2117
"34072",7215,18870
"32033",12817,18857
