"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903"
"103733",9775,5641,25240,12302,9079,5232,8107,6920
"2802641",16824,7738,23888,24978,13104,9387,12455,11801
"587753",3117,24859,2866,3257,3068,2359,2183,2335
"2219224",12882,6382,24843,19744,12091,7487,9990,12837
"80864",24777,20367,12079,11937,16996,18467,18735,18322
"2028343",2067,24677,7496,1468,8901,2120,1929,3707
"665007",20030,4699,24604,21718,11358,9617,15031,13421
"2599640",24599,2717,2490,8157,2719,3310,2678,3344
"37330",6393,4777,23822,13879,5506,8445,5065,9710
"83451",17209,8192,23803,18166,11625,13846,11954,13650
"2851567",13244,8710,23669,15416,20932,4491,14081,6845
"1813880",23032,14165,23570,19013,18429,9054,16873,15305
"135614",7779,21345,20224,23553,8858,9563,8001,10978
"339268",8853,4380,23519,22158,7103,9586,4272,12411
"1664560",23316,1795,1726,11166,1664,1212,1396,1460
"2567884",10575,1712,3963,23200,2794,1745,2535,2038
"544",6891,23128,6987,5207,8232,13295,14278,15449
"582680",4040,10489,23014,12291,22082,2231,3456,2018
"2001",9720,4832,12902,22948,9341,6434,8071,7357
"927083",22784,14020,12921,14279,15811,14502,19223,16523
"2775496",9863,4545,22747,22757,5863,11812,4704,15070
"3075430",4641,22707,19137,13088,7280,7804,6512,7048
"1045317",12249,12009,5201,4139,6401,22541,8764,14191
"2742128",11088,5880,15892,22288,11028,5989,9748,8382
"445710",4897,16017,22220,15200,7380,6448,5455,7629
"443156",14334,12696,22033,15430,19050,5565,10997,9375
"2571746",3940,22024,9179,3651,3764,4622,3806,3480
"1355477",15702,15223,12149,9222,8763,21927,13495,21596
"2202249",11123,4474,12475,21866,8716,7753,8738,9111
"85698",11167,4061,4571,21823,3573,5276,4586,3807
"34073",21816,15002,11638,11554,12970,14532,15455,14687
"2778082",4153,12956,21776,16391,6385,5853,4850,7144
"2562284",8304,21727,6838,7547,13045,9490,7514,9286
"674703",14358,8398,6373,8130,6907,21726,10290,18234
"53360",21631,3498,6506,4841,9672,2433,4900,2808
"217204",21577,1388,1454,1456,1210,1681,1318,1416
"37927",8492,8139,21428,15687,10530,5369,7912,7743
"560555",10217,4140,21290,20724,5869,11691,4711,15132
"2732487",21040,4028,2944,4218,5296,13619,14225,12860
"107709",7838,20376,9286,8414,8029,6535,4595,8139
"715475",13139,8622,20108,17866,18760,7306,12824,12876
"1483604",14599,6698,19348,20033,11187,8014,10675,9909
"582702",3941,19746,19279,16256,6026,6664,4325,8148
"1391654",19669,6806,5408,8379,7619,14003,15123,19479
"204457",16778,17978,10141,9993,10318,19568,12053,15076
"1909395",11957,5806,19524,17549,10974,6854,9756,9693
"13690",2991,2801,2206,2189,2080,3325,2434,19466
"2865833",16161,7800,19463,18766,16095,8034,14183,10550
"404386",11704,5700,19425,19191,11353,9127,16279,8836
"53359",12758,7491,14013,16450,19307,6566,11523,9391
"386874",9131,8782,3679,3332,4404,19190,8775,10701
"252970",6099,19010,10300,4027,13017,12848,7411,9690
"75682",3569,18869,2359,2372,4653,3367,2586,2965
"212767",13264,3413,7761,10063,3838,17736,8448,18804
"2836373",13056,7087,18336,14906,13859,7080,12168,8896
"1411117",10682,5392,15418,18112,11017,5609,8619,8110
"624315",11490,5482,13471,17994,10237,6094,9059,8024
"240495",14586,9108,17895,17607,17347,7379,13733,9289
"2591145",17845,2847,5742,5923,5017,2603,4742,3225
"93944",10983,5263,17802,16224,10043,6354,8894,9313
"2742131",12847,5474,17753,12507,11022,7019,12046,9199
"379",17038,17671,15891,13797,11390,16935,12576,15562
"2528023",17633,4249,8197,9912,7147,12777,13212,13877
"1141883",9686,17494,4581,3463,12011,15610,7026,9228
"218821",10172,5401,17462,11916,10357,5025,8803,7909
"2969621",17411,2016,2106,6321,2054,2883,2354,2721
"83618",15817,5225,5104,17273,3903,3277,3677,3815
"106589",17247,15843,12911,12696,11290,13354,12543,13588
