"","SRR17408286"
"1883",285465
"374",208578
"9606",158164
"356",149210
"1873",58588
"286",54531
"85006",53715
"674703",49475
"1437360",47984
"80840",44528
"28056",43126
"1762",40358
"1894999",37871
"1763",37649
"85007",35910
"41294",35421
"2884022",33944
"191495",33392
"861299",32692
"1839",30397
"1355477",29942
"1866885",29196
"2070",28856
"85023",28625
"3049772",27345
"1076",27094
"1827",26934
"2062",25395
"407",24817
"2997333",24127
"32008",23335
"331696",23022
"1813",22732
"56",22228
"304895",21712
"119060",21517
"2812560",21166
"379",21115
"496014",20521
"2840469",20510
"2954771",20349
"33882",19396
"2944128",18985
"2949664",18367
"41297",18124
"3039159",17923
"2782665",17456
"3039158",17438
"2943498",17226
"3056648",17070
"68287",17067
"35754",16998
"858423",16583
"35753",16386
"722472",15871
"13687",15502
"1325100",15419
"46165",15400
"2937800",14991
"339268",14962
"54571",14958
"2865833",14929
"32033",14884
"2782641",14806
"2528023",14695
"255045",14489
"2937801",13890
"2558918",13794
"2836373",13710
"83637",13560
"1411117",13490
"2802641",13415
"204457",13314
"80864",13243
"2775496",13148
"2562284",13040
"2802971",12745
"406548",12589
"560555",12548
"2219224",12396
"240495",12352
"375",12344
"106589",12242
"1993",12121
"1909395",12025
"2728827",12008
"858422",11938
"1822464",11934
"2742128",11881
"404386",11871
"927083",11869
"298654",11775
"1483604",11771
"191",11679
"439387",11577
"624315",11485
"1855912",11443
"1219491",11433
"93944",11383
"34073",11289
"1861",11246
"85015",11162
"2849501",11101
"85012",11058
"2898149",11036
"649831",11010
"190148",11005
"715473",10985
"288000",10974
"94132",10964
"2591108",10865
"1988",10852
"3039153",10834
"1865",10807
"196914",10780
"56438",10771
"2774151",10761
"1521768",10651
"477641",10616
"2202249",10563
"2053",10558
"2712223",10530
"2750812",10510
"2763107",10344
"2527974",10343
"1231",10329
"1824",10329
"2001",10305
"1076124",10294
"1274631",10257
"2057741",10195
"122358",10193
"114615",10152
"68",10068
"29448",10065
"2547399",10056
"946334",10042
"2840457",10030
"2778070",9975
"2013",9929
"2006",9863
"2933797",9855
"2884263",9853
"115808",9728
"2736640",9687
"715475",9653
"1235591",9572
"2020",9406
"53359",9401
"2782654",9353
"504468",9343
"1836",9293
"482462",9288
"1268",9251
"1643322",9197
"3040509",9187
"2849779",9166
"1325095",8995
"2789776",8938
"138336",8891
"715472",8868
"2932773",8814
"39643",8726
"2045",8713
"390989",8711
"1325112",8698
"338",8686
"1764",8633
"1716",8620
"1325120",8598
"196162",8543
"1387353",8508
"182640",8491
"44255",8454
"227318",8442
"40323",8406
"1866",8400
"2722752",8383
"659352",8382
"2598579",8346
"29539",8333
"82115",8325
"103733",8218
"2843215",8198
"1817",8190
"2745196",8077
"2843216",8060
"2742131",8043
"204441",7960
"1867",7951
"114",7936
"860235",7917
"113562",7890
"83681",7867
"2704468",7852
"43357",7821
"2567896",7797
"41275",7794
"37326",7782
"117157",7747
"135614",7738
"204455",7718
"1798224",7686
"94",7662
"85009",7613
"1002689",7602
"1404888",7601
"1847",7572
"212767",7547
"912",7510
"2995223",7509
"1333996",7438
"419479",7438
"2024580",7412
"433659",7396
"284016",7335
"83627",7247
"2865832",7196
"1544730",7192
"338584",7174
"1391654",7166
"1473598",7162
"53461",7162
"2995304",7150
"466153",7113
"467976",7091
"222",7081
"1636152",7078
"701042",7055
"83451",7009
"1325090",7005
"2981138",6993
"53399",6957
"37331",6953
"2074",6946
"1881",6890
"433",6847
"1775411",6830
"103731",6802
"2602016",6769
"2781735",6750
"1436133",6694
"384",6669
"2732067",6633
"1708",6617
"1707",6567
"218821",6566
"1586287",6565
"273251",6565
"588673",6516
"455432",6500
"1034889",6491
"2748629",6488
"1814",6487
"416169",6436
"3039155",6435
"2951806",6420
"1775",6413
"67304",6398
"88688",6389
"658062",6317
"715471",6280
"2268449",6275
"2136173",6265
"2896848",6256
"1197460",6213
"164546",6210
"37919",6188
"1971",6179
"2851567",6156
"2878388",6126
"3027808",6126
"80816",6112
"3037797",6111
"577492",6097
"299146",6078
"2705012",6065
"47989",6063
"43348",6055
"1404864",6032
"1725411",5998
"524884",5993
"642780",5984
"944492",5981
"211114",5952
"2931390",5948
"3015152",5921
"3002436",5920
"940133",5907
"119045",5848
"47865",5847
"2917724",5842
"204434",5822
"2653857",5821
"2992140",5813
"1592106",5797
"2498135",5786
"546874",5782
"33910",5761
"2782662",5760
"1940610",5746
"2602015",5746
"82633",5743
"1855352",5741
"40324",5717
"1690815",5709
"1526658",5683
"1707785",5677
"280236",5661
"53358",5659
"3061627",5637
"3075199",5637
"135487",5631
"2807512",5627
"3075432",5627
"1653480",5617
"2018025",5593
"1882682",5578
"47857",5577
"2709380",5538
"758802",5537
"2792008",5536
"47760",5510
"36814",5490
"2842453",5478
"2714939",5474
"2675222",5454
"443156",5443
"2811111",5425
"3052846",5424
"2898796",5400
"44010",5396
"2918170",5390
"1835",5375
"1804986",5363
"34072",5358
"2518370",5355
"1404411",5351
"1710",5344
"1542737",5341
"2991972",5328
"135621",5326
"2034",5280
"2823693",5275
"2078691",5258
"2736875",5254
"114616",5251
"165695",5232
"68246",5215
"307121",5183
"2582905",5178
"380",5171
"2591145",5167
"2745",5155
"1882747",5130
"1907575",5129
"270351",5101
"83656",5092
"1767",5072
"106592",5071
"303",5054
"3036374",5047
"546871",5040
"1549949",5034
"2894081",5029
"2732487",5017
"49319",4980
"2732249",4973
"449461",4966
"2760705",4941
"150026",4940
"1750527",4940
"3039154",4938
"1404443",4936
"2914159",4930
"2867410",4922
"28095",4910
"2897332",4906
"28105",4884
"632569",4871
"265",4857
"1813880",4827
"2760089",4804
"2976824",4804
"2038343",4801
"2712222",4797
"1969806",4795
"3044187",4794
"2716812",4776
"1774216",4767
"91347",4757
"125216",4734
"165697",4734
"642",4692
"1223566",4663
"160826",4659
"666685",4652
"2233851",4649
"2768069",4642
"445576",4627
"83291",4624
"2976823",4606
"2704467",4604
"2763008",4589
"193462",4582
"204447",4577
"2663857",4572
"709879",4543
"2996826",4539
"29303",4522
"1616117",4515
"2202825",4501
"2872154",4501
"358",4494
"43767",4486
"47872",4483
"2880933",4481
"283811",4478
"87883",4464
"42684",4454
"73044",4449
"68270",4448
"299152",4441
"231455",4439
"2976822",4436
"200618",4423
"3075627",4418
"53462",4416
"2175864",4415
"223967",4399
"2763498",4399
"3015154",4388
"374432",4387
"76892",4384
"582702",4378
"75",4374
"1325115",4371
"722731",4371
"53362",4369
"83676",4366
"3015177",4365
"467094",4362
"47858",4359
"2099693",4358
"2710756",4358
"157920",4343
"1772",4337
"2908642",4336
"2820884",4331
"204525",4330
"161492",4324
"2528964",4311
"3028804",4308
"33075",4303
"2017486",4290
"85025",4286
"3015151",4260
"630515",4260
"2981136",4255
"2483798",4250
"40137",4243
"185642",4241
"106370",4231
"52",4229
"33914",4224
"3043848",4221
"1766",4218
"2684469",4218
"1079",4207
"2126346",4199
"1849967",4186
"2596828",4181
"710111",4176
"1896961",4175
"1868589",4156
"2807101",4152
"261654",4151
"1800",4142
"285665",4138
"101571",4135
"2672569",4135
"53522",4132
"2589074",4106
"69277",4102
"1927",4090
"2509455",4090
"1696",4085
"290",4081
"1933044",4068
"2861782",4063
"2202148",4059
"3075430",4056
"354356",4041
"2857058",4036
"408",4029
"522",4029
"946333",4023
"1914461",4022
"2795690",4017
"1914233",4010
"53376",4007
"2918171",3999
"2714941",3998
"39691",3994
"2981134",3992
"1437009",3991
"1780",3991
"588932",3988
"2571747",3987
"356852",3980
"517",3974
"2903901",3972
"1090615",3968
"1854",3968
"48736",3966
"419476",3962
"904039",3958
"404589",3956
"2742137",3951
"392734",3939
"37330",3935
"244734",3933
"1210884",3928
"1391653",3922
"1969",3918
"483545",3914
"1045317",3912
"1535208",3912
"613",3912
"67385",3912
"37329",3907
"192",3895
"323415",3889
"220927",3888
"2736757",3886
"1795",3879
"1848900",3861
"2900152",3861
"2813578",3859
"29405",3839
"3004092",3838
"921",3833
"1323731",3830
"913",3820
"31989",3814
"1003110",3813
"340268",3805
"1877",3801
"257708",3795
"450734",3792
"2012",3788
"2923272",3777
"2548456",3768
"44249",3765
"28068",3762
"85698",3761
"2740529",3758
"285578",3756
"1641402",3754
"47763",3746
"2057",3741
"68214",3718
"2789216",3705
"2987751",3705
"2708082",3702
"1654",3692
"2768066",3688
"2720714",3677
"2592334",3671
"2753607",3671
"2602070",3670
"2051553",3665
"2509458",3659
"228602",3658
"2749844",3649
"1630693",3645
"3062779",3641
"163604",3635
"1888",3634
"2768162",3622
"48",3612
"993502",3611
"2703788",3603
"515350",3603
"34071",3598
"40318",3594
"871203",3594
"2033",3592
"1911175",3591
"1404768",3589
"475937",3589
"110319",3588
"212765",3585
"480035",3585
"3061628",3576
"84757",3571
"2854170",3570
"47875",3569
"2895565",3566
"2898793",3565
"543",3560
"2593653",3559
"2762325",3557
"1420889",3553
"1690220",3553
"173480",3548
"2928472",3547
"2717324",3541
"2570229",3540
"33886",3533
"318424",3527
"53457",3512
"1617967",3511
"2843330",3511
"2973977",3508
"2675754",3507
"1226757",3506
"370526",3505
"69",3503
"1325102",3502
"3004093",3502
"1141883",3497
"1827580",3496
"1632864",3490
"2211211",3483
"2781734",3483
"280333",3481
"2599640",3480
"530584",3477
"1842539",3475
"45398",3475
"1663",3472
"2898431",3464
"445710",3458
"1670831",3456
"2797636",3456
"335928",3454
"120959",3450
"442121",3449
"106590",3445
"2202828",3441
"1333528",3439
"3062449",3435
"1736675",3433
"2742135",3433
"3030210",3433
"3043734",3432
"1484109",3431
"2917725",3426
"2184053",3422
"459858",3421
"2063",3418
"2782659",3418
"1133546",3414
"1859",3412
"1552759",3410
"161493",3405
"28447",3402
"435897",3401
"2135430",3399
"319947",3397
"627624",3396
"399",3394
"292",3390
"2066",3384
"571913",3384
"1488356",3381
"31958",3381
"1535768",3378
"2819238",3371
"2590772",3363
"1038928",3357
"131568",3356
"1286180",3352
"477697",3343
"1901",3331
"1771",3330
"455344",3328
"2742132",3318
"2004",3312
"2283195",3303
"2509675",3301
"1404",3300
"2892996",3291
"710705",3285
"3074855",3284
"940614",3284
"675281",3279
"2931983",3278
"412690",3275
"2803858",3274
"294",3274
"285450",3270
"457921",3267
"335406",3266
"1784",3264
"46351",3259
"1176646",3258
"316",3256
"335929",3255
"39956",3254
"2599293",3252
"40566",3251
"2763006",3250
"68212",3250
"2061",3245
"675864",3243
"2778082",3239
"1542730",3236
"287",3234
"69666",3234
"2884264",3232
"149698",3230
"2486272",3230
"2518371",3229
"2499145",3228
"2833628",3224
"65496",3221
"160791",3216
"2728020",3204
"202862",3199
"2742603",3197
"486698",3197
"2136401",3194
"72763",3194
"2879846",3191
"36813",3183
"116188",3181
"2589797",3177
"2282738",3175
"1404367",3174
"129921",3173
"89966",3173
"2771361",3171
"3075825",3171
"2981135",3168
"171437",3164
"709883",3158
"216929",3152
"37927",3139
"2751189",3134
"113",3131
"1658671",3124
"31",3122
"1413221",3116
"2714938",3115
"2768068",3113
"1045776",3111
"292462",3108
"2692234",3103
"152142",3101
"1882757",3101
"1176198",3099
"1642299",3097
"1702325",3097
"1670830",3096
"3018339",3095
"1858",3090
"2045452",3085
"2014920",3082
"2055889",3079
"357",3077
"386874",3077
"141349",3073
"43",3071
"66425",3068
"1286181",3057
"2969621",3053
"1885",3052
"3075824",3049
"68895",3048
"1828",3040
"28077",3040
"249586",3037
"2907545",3030
"2742136",3021
"110505",3020
"7",3008
"2015316",3006
"75309",3003
"53360",3001
"2904523",2997
"2653852",2996
"51201",2996
"2721244",2993
"2211140",2992
"39692",2991
"2730915",2990
"1419277",2988
"2819978",2985
"3073064",2985
"1805827",2981
"426",2979
"553510",2979
"146017",2974
"2768161",2972
"85030",2965
"1867715",2964
"2203204",2959
"1608957",2957
"2662361",2957
"1573",2949
"3016086",2944
"32",2944
"391953",2930
"133",2928
"2984843",2928
"2382165",2926
"633392",2922
"314722",2914
"41",2909
"262209",2908
"362257",2906
"1775910",2904
"2685869",2904
"3023370",2902
"1890",2898
"169765",2895
"85413",2895
"66871",2892
"1850374",2891
"3053466",2889
"2686304",2887
"223390",2886
"590652",2886
"39695",2885
"1225128",2883
"1389713",2882
"92647",2882
"107709",2881
"1249101",2879
"209247",2879
"2653851",2869
"2584466",2862
"1678",2860
"470076",2860
"2908837",2858
"2294034",2856
"2867005",2854
"1047172",2851
"522259",2849
"1841249",2848
"53437",2848
"2721173",2845
"37332",2839
"410",2839
"3016000",2836
"258505",2835
"2984338",2834
"665007",2829
"3040935",2828
"2585716",2821
"2654982",2820
"151416",2818
"2051959",2818
"2866715",2818
"1312183",2817
"1679497",2814
"1904616",2811
"39689",2811
"173860",2809
"3057122",2806
"1792307",2802
"1791",2797
"2991728",2797
"1892855",2796
"57704",2795
"34018",2790
"1077946",2789
"538381",2789
"2049881",2788
"2998080",2784
"2991729",2778
"1950",2777
"155892",2775
"1823",2773
"2528009",2771
"2749991",2771
"168695",2769
"2651334",2769
"1470176",2768
"2021",2768
"2899123",2768
"1658665",2765
"33903",2763
"2567884",2759
"399176",2758
"2305220",2757
"204891",2756
"2010972",2754
"3015161",2754
"2991545",2748
"2964669",2741
"1379270",2738
"1893",2738
"2909587",2738
"2949637",2736
"2755382",2735
"3019544",2731
"390988",2730
"1789",2726
"2665642",2721
"1792",2718
"2594003",2718
"940615",2714
"2763071",2708
"319706",2703
"2898442",2702
"1797",2696
"1798223",2696
"1675686",2687
"3073562",2687
"2010829",2685
"39688",2685
"1385",2683
"2045208",2683
"2496836",2683
"199596",2682
"574727",2677
"2202827",2672
"2681549",2669
"352475",2668
"39694",2664
"2488560",2663
"2820278",2662
"3014784",2661
"758793",2661
"1714373",2660
"2758442",2658
"28049",2658
"363835",2656
"453783",2652
"506",2652
"85693",2650
"248026",2649
"2764186",2648
"1545728",2647
"2508722",2647
"2079793",2643
"2304600",2643
"2509457",2639
"2589903",2638
"139208",2637
"2293571",2637
"1891644",2635
"162426",2634
"68223",2634
"991904",2634
"356851",2631
"1275",2623
"569860",2622
"66880",2621
"269660",2619
"1914",2615
"1977088",2615
"2041",2615
"2026199",2614
"2419771",2613
"3056937",2611
"36818",2610
"3051092",2607
"1794",2606
"2906072",2605
"2903629",2602
"60894",2600
"2004797",2598
"37921",2597
"2603276",2595
"397260",2584
"75682",2581
"3033811",2580
"28047",2574
"56458",2574
"95486",2574
"2202826",2569
"2654191",2564
"3068632",2563
"2684468",2558
"2761578",2558
"2777475",2558
"1967",2554
"2714937",2552
"215580",2548
"2708539",2539
"3028735",2539
"3075198",2537
"40989",2534
"3031124",2532
"96344",2532
"1745854",2531
"76862",2531
"356302",2528
"2571748",2524
"305",2524
"2171623",2520
"1882749",2519
"1736306",2516
"3028709",2516
"1288636",2515
"1670800",2515
"2904790",2514
"1960",2513
"134601",2509
"2769491",2506
"528244",2506
"2675524",2503
"2932244",2503
"40988",2503
"1325114",2502
"1911",2502
"53458",2500
"1862145",2498
"2585135",2492
"2781978",2488
"2650471",2485
"2714952",2484
"2750011",2479
"2797167",2479
"1804",2476
"1778",2475
"75105",2472
