"","SRR14320326","SRR14320325","SRR14320324"
"9606",730667,278357,424948
"358",345690,435614,307498
"380",374476,283479,268258
"1883",249906,182528,238863
"1404",243924,99410,193097
"286",174903,148976,160372
"80840",131895,99566,135012
"356",131487,97168,123834
"2800373",126574,45637,92936
"34073",107933,101770,106232
"374",89423,64241,83950
"56",63696,45179,69798
"80864",58166,43077,59516
"28105",52844,42199,39609
"85006",49422,38876,48670
"94132",47880,37808,49399
"303",41986,44413,35409
"379",44098,36614,38286
"1827",42991,40680,38379
"2802971",42104,37918,39636
"3037797",41698,31348,40056
"477697",40755,20497,30728
"33882",40740,28623,37346
"382",37250,40049,32093
"41297",39996,31158,36423
"83451",32104,16097,39110
"32008",37435,29506,37761
"1839",37741,27143,33989
"32033",35611,28243,37546
"1855912",36865,33230,34295
"106592",36613,35730,31260
"85023",33996,24567,32922
"861299",30850,28959,33996
"119060",33615,26114,33892
"68",31932,25916,33854
"391953",31101,21199,32922
"927083",29713,22356,32382
"2753607",30790,21294,30534
"1873",29601,21807,29931
"40324",29223,19036,24559
"68287",28879,19907,25123
"48296",28853,15858,13811
"28068",28172,19556,28308
"407",28268,21520,26895
"2567896",25429,19421,27279
"2714939",27195,17290,25680
"2995304",26460,20626,25612
"13687",25929,20520,24963
"106589",25139,19817,25629
"2763008",25461,18942,24789
"2782168",25158,17572,23439
"2017486",24918,18186,23293
"2801030",24845,17538,22041
"716925",24650,19258,17765
"204457",24246,18526,22477
"316",22212,18432,24183
"54571",24062,17832,22104
"39643",21890,15516,23999
"2528023",23626,18077,21283
"34072",22078,16550,21967
"2898431",21347,15371,21521
"40323",20988,16818,21462
"1762",21354,16497,20606
"85007",20594,16555,20881
"2907545",19628,11949,20561
"2782169",20482,13219,20004
"69218",15061,20063,13559
"357",19988,19049,16617
"338",19103,15467,19656
"1842534",19353,17327,19408
"589382",18867,13621,19240
"795665",17991,13369,18981
"1076",18884,13489,17733
"1866885",18863,14407,18638
"1034889",18472,14311,18808
"56730",16725,18352,12545
"191",18130,13742,17466
"879274",18105,14011,14716
"82115",17990,13670,15450
"353",17988,12951,12638
"2722752",17802,12423,17589
"435897",17649,13041,17693
"674703",17652,12218,16473
"300",14539,12284,17636
"2918170",16083,13832,17435
"2894081",17265,12631,16231
"399",16975,16927,14474
"2714952",14573,10443,16855
"48",16232,8512,16853
"34029",16492,11892,16844
"662548",16727,14368,16243
"1386",16722,9134,12309
"215580",16221,12091,16663
"191495",16655,12601,16262
"2745198",16650,10630,11590
"2884022",16565,12633,15914
"2801029",16492,11560,14271
"453783",13836,11133,16409
"450367",16196,6743,14831
"1894999",16098,12593,16092
"1275",15909,15134,12735
"41294",15854,11019,14675
"404589",14239,12547,15824
"66880",15800,8798,15304
"28056",14903,10676,15745
"946333",14948,10871,15711
"1664560",12215,11852,15554
"445576",15034,9385,15174
"1268",15116,11406,12635
"80816",14104,10586,15063
"648995",13869,14956,11971
"2594003",14876,7971,13486
"352858",14795,10146,10447
"2712222",14776,9342,12488
"2865112",13298,11753,14738
"2781735",14686,10131,13750
"539813",11561,14639,8215
"222",14345,11483,14624
"1437360",14532,9930,13531
"550",12444,14524,9724
"165696",14475,12509,12089
"207745",14437,12432,14093
"384",14431,11818,12321
"1822464",14428,11090,14420
"2914710",14256,9889,14341
"1824",13092,9495,14318
"2732067",12456,11355,14262
"1658665",11690,8614,14244
"2975441",14036,9604,14219
"2775403",14207,8909,13107
"182640",13926,9216,12202
"84531",13895,10178,13792
"2527974",13837,10207,11822
"1391654",12919,9282,13803
"1736675",13767,8656,12383
"223967",13763,9450,12389
"128785",11506,9776,13737
"39689",13702,9406,11884
"1752398",13622,10937,10690
"2812560",13614,10229,13239
"2980557",13304,13611,13093
"2774151",13594,10488,12001
"284016",13560,10252,13045
"287",12755,13035,13559
"29449",12795,13256,9877
"352475",13220,11137,11646
"2896849",13086,11427,11926
"164546",13081,10671,12872
"2789776",13075,9567,12595
"1813",12999,9696,12621
"1357916",12957,9365,11120
"2849779",12940,9589,12712
"2070",12902,9619,12595
"69",12875,10341,12528
"639200",12196,8646,12830
"88688",10323,7660,12755
"204447",12622,9927,10215
"189381",12580,6301,7995
"547",12042,12564,9681
"1881016",7526,6251,12399
"3039158",12387,7895,12251
"3019544",12386,7337,9974
"2760713",12325,6450,9903
"1235591",12289,7274,11085
"57704",12274,8862,7635
"467976",12273,8732,12240
"2782641",12110,7159,12058
"1763",12006,9167,11704
"158500",12001,10511,10561
"114",11985,9198,10706
"3019553",9984,7202,11971
"186817",11947,7683,8941
"2062",11905,9164,11942
"107709",11900,8490,11705
"2865673",11900,7216,10500
"69964",11893,9406,7818
"83618",10251,9080,11841
"2997333",11833,9003,11650
"52",10660,7649,11825
"204455",11745,9260,10819
"314722",9293,7214,11714
"412384",11709,4564,8808
"2884263",11438,8471,11630
"2951806",11621,7387,11471
"1183401",9793,11582,7893
"165695",11557,9223,10720
"2840469",11318,7537,10831
"2732487",9888,9083,11277
"2865833",11193,8094,10668
"404405",11179,8386,10455
"3002436",11096,7180,9473
"408",11007,7329,9329
"2518370",10988,8096,10726
"135621",10887,8298,10872
"82633",10786,8115,10861
"1710",10771,7787,10835
"413882",10808,8005,10727
"2807512",10625,9457,10806
"2203204",9822,6887,10793
"2598579",10772,8184,9608
"94254",10756,7664,9426
"406548",10744,8420,10359
"110321",10742,10711,9018
"2045",10736,8017,10009
"2949664",10727,8126,10543
"496014",10703,8122,10439
"434008",10680,8334,10208
"434009",10637,8563,10490
"2763317",9318,8079,10590
"370777",9500,5763,10590
"1867715",10578,8194,10415
"2576891",9771,5665,10562
"433659",10509,8319,9925
"1597781",10265,7483,10491
"2772401",10489,8635,7843
"2782665",10476,6449,10162
"165697",10456,7806,9583
"1544730",10425,6734,8982
"36863",9979,6685,10425
"1586287",9857,6588,10322
"35754",9482,7023,10311
"1355477",10198,7301,9899
"376175",10193,7378,10072
"200618",10192,7892,8857
"748247",10146,7206,8259
"2896848",9252,6357,10083
"642780",10024,6771,9271
"161492",9532,7927,10011
"565",9194,9934,8584
"2918171",9250,7741,9895
"41275",9777,7073,9541
"85015",9739,6939,8590
"465721",9648,6242,9736
"135614",9402,7182,9716
"469",9695,4586,4706
"2879427",9686,5512,7942
"2995142",7868,6351,9662
"2840457",9658,6811,9060
"2933797",9571,9252,9646
"1526658",9621,7527,8956
"2745",9599,7351,9254
"2813578",8589,8380,9581
"2502779",8537,4761,9570
"2849501",9565,7802,8886
"1396",9473,4292,5851
"2879617",9468,7759,7378
"642",9455,6718,8635
