"","SRR4142418","SRR4141180"
"1404",29182547,2279379
"2800373",7938880,896912
"1386",5044727,104052
"1396",2734318,53308
"1918005",2454676,9617
"1918008",1667589,6552
"450367",1142186,180224
"1675028",1060383,4276
"1428",961935,25403
"2801506",901976,3516
"412384",867231,89230
"2912824",863856,14212
"2500560",746865,3029
"1883",277511,728602
"2783539",667583,2729
"95486",614885,9075
"1890302",458820,79276
"9606",168467,376784
"186817",280068,21162
"374",108682,278417
"2962858",251014,1343
"356",107945,244415
"1405",238348,13072
"2843766",237425,1047
"2094736",230369,923
"1873",60156,219830
"477641",26859,216427
"1917990",214895,790
"1402861",211557,6028
"134536",206873,39385
"248903",198577,4876
"1296654",194719,788
"2926710",189975,4835
"220684",188356,36097
"861299",31749,184781
"44249",169604,17462
"2843793",168007,1019
"1478",165070,23897
"561879",163726,2312
"28056",43448,161695
"60548",156455,105163
"286",54392,149367
"1861",46173,148344
"2884022",41725,143499
"85006",35113,143216
"2865833",72329,135923
"2997333",32977,133345
"196914",29950,133159
"191495",40985,127618
"3052846",24359,120647
"649831",27027,120221
"56438",26688,117513
"715475",16683,115636
"2812560",34157,114435
"2933797",23239,114032
"80840",37670,109206
"86664",104721,8821
"3047874",103154,5354
"155322",100698,3659
"2836373",21876,98258
"13687",23790,96794
"496014",25030,95010
"2742131",26100,92972
"566",92132,688
"28031",91069,739
"3039158",41973,88653
"35754",20485,88479
"34073",23640,88424
"138336",17528,87558
"407",25985,86750
"1762",23763,85752
"1866885",23537,84558
"32008",83345,56637
"33910",15459,83101
"1839",17247,82668
"2949664",23922,82037
"3047875",82017,21633
"2070",24984,81351
"1865",19150,80626
"1385",80481,11960
"41297",24934,79543
"85023",19048,79288
"2060066",79259,1113
"946334",19217,78929
"2851567",13484,78304
"2951806",26505,77588
"3047871",77292,4429
"547",77147,5469
"1483604",9625,76586
"3018446",10973,75652
"56",28743,75334
"85007",20296,74327
"715472",16033,73018
"1813",21180,72047
"674703",25632,71331
"3040509",16052,70918
"2736640",19099,70794
"1866",17617,70151
"1882682",20123,68492
"1406",67862,8448
"1827",19143,66996
"1867",16124,66702
"1408",66302,1500
"2782641",43940,66266
"1586287",23814,65821
"2782665",50946,65603
"1906272",65368,2652
"2026188",65226,2515
"3056648",31345,64971
"35753",15810,64551
"1675029",62864,272
"1071679",10628,62188
"1437360",21870,62012
"122358",14311,61752
"240495",16260,61609
"1969",60271,14315
"2736875",5508,59164
"1137095",58613,2433
"2807101",15840,58576
"113562",14539,57759
"1763",16994,57248
"1397",56998,872
"1918006",56834,226
"283686",56415,896
"1355477",16041,56113
"2932773",11944,54088
"379",21898,53858
"546871",7455,53236
"54571",17678,53017
"33882",13896,52513
"2653851",9662,52371
"624315",52252,50681
"858422",36977,52043
"1392",51242,2041
"260554",50213,983
"546874",6027,49527
"190148",39813,49149
"2712223",9211,48552
"2026191",46684,2135
"374432",6218,46438
"2740529",12162,46366
"1423",46348,1096
"218821",10118,45708
"2062",12423,45703
"2781734",44920,45584
"37331",12416,45073
"208223",44908,4529
"1894999",27082,44771
"1847",11915,44326
"204457",14199,44130
"2026186",43895,1758
"2782662",6772,43216
"119060",17974,43071
"49319",9330,42995
"182640",10172,42625
"1076124",41054,42415
"1076",17846,42108
"371036",41923,8869
"3014784",7949,41550
"940133",4343,41077
"2528023",12232,41013
"41294",17597,40626
"2202825",16718,39777
"2978683",39309,525
"94132",11705,39087
"2745198",39066,3822
"80864",12187,38540
"212767",11650,38059
"860235",31020,37880
"299767",37697,529
"83451",12287,37680
"2675229",37023,5131
"2728827",11082,37004
"2840469",14615,36953
"68287",17513,36779
"2217832",36750,390
"53359",10138,36223
"2781735",8937,36065
"927083",15106,36008
"2802971",18873,35969
"1805953",35452,140
"2792008",9674,35357
"2954771",13777,34918
"477697",34855,31846
"2849501",5879,34851
"2722752",15718,34738
"1855912",15820,34287
"2870346",34168,461
"2802641",7844,33700
"67304",27853,33648
"881260",33421,1274
"64104",33124,1933
"1045317",4839,32377
"36814",9308,32330
"2653852",7789,32252
"1268",5736,32208
"2865832",7400,31494
"29539",11643,31459
"3049772",11667,31442
"284016",9641,31417
"406548",8734,31283
"2840457",6249,31246
"2879617",3907,31243
"1544730",6987,31075
"2527974",8791,30773
"40324",30648,26941
"338584",9389,30299
"2558918",4811,30266
"43",3832,30007
"103733",9441,30006
"3015152",8183,29639
"1824",8820,29635
"1690815",8246,29569
"1404888",9463,29553
"2777983",29465,3027
"106589",11424,29266
"2074",8105,29217
