"","SRR4142417","SRR4142283"
"1404",8453410,4905988
"471",6572178,2140
"48296",5391321,6271
"134536",347770,4613543
"2800373",2885406,1431508
"1158459",654336,2553479
"470",1950690,3304
"60548",829142,1887457
"2494702",1805846,3465
"1530123",1378432,961
"469",1346446,1730
"2923375",1244421,375
"570",14936,1238442
"2913495",929060,195
"549",52423,849157
"61645",52754,816667
"1134687",3536,815067
"1785128",812870,1278
"69218",681214,16487
"2871688",680780,188
"286",594455,104491
"1883",575045,536474
"2565368",524415,928
"106654",516994,430
"83655",7159,506560
"1148157",469976,109
"1646340",120741,419521
"1386",373125,18455
"252970",11865,307731
"412384",291065,134815
"9606",283014,198433
"1914861",277972,37029
"547",276708,167941
"2364647",5369,273097
"2886821",4839,237884
"1071679",19703,229892
"3047875",221194,25591
"371036",219458,42094
"543",123707,211410
"208223",11240,209421
"1330547",48993,193820
"374",182270,192663
"2865833",72304,186742
"220684",72081,184459
"1396",182445,13208
"2849093",179707,39868
"356",146596,169974
"1483604",22209,169536
"861299",109053,162417
"1822464",27105,154606
"2781734",154402,62777
"2912824",144226,4406
"539813",138113,24622
"1861",61675,136567
"244366",3811,135857
"13687",59955,127923
"470934",127358,31324
"273251",12836,122734
"1873",115325,120980
"2884022",82158,107696
"450367",107334,9066
"294",106627,7887
"3039158",103069,37543
"477641",67831,100826
"2492396",3613,100068
"85006",79562,99233
"191495",74680,98354
"2878151",2548,95923
"2997333",93929,95373
"1166130",25887,94391
"940133",33497,93084
"158836",90544,18201
"321662",90064,683
"41297",46977,86538
"28056",80620,86410
"1890302",86183,1377
"1798223",16782,84785
"67304",84676,40544
"2802641",19334,84203
"2933797",40715,83021
"2812560",64060,82381
"715475",69831,80068
"2742131",69952,78494
"186817",75755,35899
"3036374",7873,75723
"2836181",75629,78
"3052846",74422,73749
"715472",52071,74350
"1428",71842,3361
"80840",67856,71769
"1045317",26715,71286
"53335",40989,70416
"407",43442,70254
"379",70180,42390
"138336",31662,69865
"119060",29126,69455
"496014",57038,69141
"2842346",67620,403
"1839",36883,65617
"85023",43860,64756
"2745503",63073,205
"56438",52507,62948
"196914",56142,62478
"183795",61881,10074
"674703",60941,42136
"34071",55841,60870
"2949664",45854,60206
"649831",52102,60198
"2070",43418,58847
"2899123",10196,58643
"1223566",58482,26365
"1969",58181,16884
"871203",11090,58128
"32008",37208,57615
"2782665",57110,20030
"2926709",56193,5759
"1762",44584,55948
"1813",43532,55399
"2880218",6201,55369
"1355477",41598,55251
"2782641",54987,19304
"66880",54949,9041
"164546",51483,18688
"1866885",42851,51265
"85007",39733,51259
"2768069",50924,9416
"2851567",27081,50522
"2836373",45250,49849
"477697",48627,24629
"91347",28701,48613
"1141883",27969,48306
"33910",47847,48205
"2678258",48016,2037
"204457",26109,47409
"2613770",47277,35796
"1881017",46730,1026
"2951806",46725,28920
"56",46360,41090
"399",46016,22433
"212767",34110,45898
"44249",45388,8292
"2981134",11302,45104
"1827",37219,44936
"35754",43980,39264
"386874",24603,43592
"374432",14476,43444
"858422",43127,15133
"2736875",43091,15442
"1437360",36181,42849
"1176646",23454,42802
"550",42723,19224
"2932773",34094,42628
"134537",7186,42567
"248903",41461,2355
"2714944",15013,41208
"54571",40940,34154
"1865",36969,40619
"33882",29354,40345
"2926710",40087,2268
"2026199",7740,40051
"2911537",12592,39370
"218821",30471,38745
"1586287",38680,19783
"2764186",14359,38263
"118613",38115,120
"946334",36016,37931
"261302",5158,37027
"1763",27216,36588
"624315",36405,33785
"2740529",36280,15322
"3040509",33244,35656
"573",9277,35536
"384",35373,16381
"2807101",35362,16522
"1882682",35215,20651
"3056648",34883,19894
"1867",31228,34702
"1866",31866,34323
"2736640",25955,34070
"2944128",10991,34046
"35753",33845,33750
"2782662",33558,26422
"1894999",32944,23541
"304895",11982,32796
"75105",5702,32753
"2062",29333,32491
"406548",16402,32427
"2527974",16093,32189
"413497",2651,32069
"169427",25322,31687
"1707785",19815,31678
"240495",23720,31661
"284016",20975,31557
"993502",31399,14054
"363835",13705,31256
"535744",774,31195
"122358",29317,31185
"86664",31143,16891
"2653851",30901,22031
"34073",30072,27214
"94132",27329,30032
"1076124",29999,27944
"190148",29484,12572
"2895495",29286,832
"860235",28831,29190
"2714943",11406,28914
"410837",8671,28862
"3018446",22786,28707
"182640",26424,28485
"1076",24753,28319
"2528023",26311,28237
"3070683",28221,4670
"49319",28042,26126
"113562",26543,27900
"1405",27788,1811
"1404888",27634,18186
"2807512",16044,27439
"1725411",27349,23368
"3014784",26628,20585
"28141",2518,26454
"566",3404,26202
"106589",25862,21116
"397260",25820,12836
"1478",25488,4384
"303",25459,21608
"41294",23186,25372
"83451",15550,25294
"80864",24350,24989
"2548456",24722,13671
"2712223",18773,24692
"172713",24634,661
"2937800",17190,24585
"2804617",10746,24519
"2937801",16667,24502
"1616788",535,24476
"59814",12159,24347
"2653852",21550,24200
"1451",24054,450
"2878150",4366,23868
"29539",18867,23808
"2843793",23706,1605
"2777983",23580,606
"68287",22812,23572
"1268",23536,19292
"930166",23528,1125
"68246",23440,10120
"46165",16813,23321
"354356",23217,22190
"2954084",23024,814
