"","SRR5829603","SRR5829609"
"1538159",17711434,1584156
"379",5846834,7651374
"56730",2539269,3468886
"9606",3384698,1244737
"1538158",1469147,276007
"384",1252636,1239894
"477697",462119,985128
"2613770",456073,614425
"40324",324204,561907
"396",515694,313393
"1120045",356551,494359
"50338",309031,428694
"29449",305598,394932
"2849093",291032,394249
"747",207830,383210
"1312183",152592,229049
"2917727",226492,125697
"1223565",218344,221416
"3039160",109719,219253
"359",157146,219125
"380",130757,211614
"29447",76718,209461
"2020312",199208,112438
"3039156",154413,195344
"356",119247,190327
"573",86475,179503
"1396",86714,176826
"1138194",146923,176128
"2731096",175489,144193
"82115",102789,171505
"293958",110144,147473
"1589",108898,145727
"1138189",144233,138317
"398",102967,144156
"1184720",126398,134400
"2731112",133834,126743
"2081791",115218,133089
"3045156",130004,91500
"470",53776,127520
"1981173",124289,124354
"1138190",117027,124047
"382",85324,121136
"1132836",114589,98515
"2795216",89913,109900
"2028343",78487,105406
"1301032",79687,105404
"28105",51335,103707
"2785056",73759,99110
"106592",54161,98859
"358",77750,97374
"110322",14697,95954
"240521",41798,95120
"3045157",92255,43606
"2978974",62884,84002
"2926709",62768,79973
"194963",35538,78903
"2184519",36972,77933
"399",50525,77297
"3019602",57891,76511
"2918527",73488,66512
"2806346",55678,73432
"2583231",56716,71173
"3039157",44920,68067
"2986923",45761,65482
"2775403",46287,63888
"2041385",44752,62436
"2952477",44867,58376
"1571470",43967,57935
"1176649",8766,56486
"680247",26080,56234
"348824",39120,52649
"1590",18347,51430
"375549",26284,50410
"2898796",36596,50209
"2919917",38272,49592
"2867516",48306,40017
"1395951",34909,47928
"357",35340,46730
"2697030",35174,46398
"515361",35852,45686
"2020311",39529,44346
"68287",21225,44001
"2603277",30721,42031
"2020313",40746,24567
"190893",25736,39233
"451876",28811,38879
"1368430",27793,37239
"555315",21632,36525
"1353277",7356,34888
"1703969",34673,5723
"1183401",18768,34113
"2048897",25806,31962
"1219",15941,31241
"1491",20365,31091
"555319",29719,31090
"848",30092,28949
"1752398",19872,29329
"680248",13425,29144
"1076926",22922,27584
"2364271",21272,27510
"2807101",26887,18572
"1867719",16466,26574
"147322",15832,26274
"352475",21565,26019
"1125",10411,25269
"374",17872,24028
"2306583",9481,23618
"1161",12674,22904
"9",19524,22781
"2986920",13865,22725
"879274",15527,21339
"286",14999,20191
"2865838",3822,20117
"1152",7560,19758
"648995",19543,11013
"1183413",16883,19473
"2613773",11433,18161
"2986922",17601,11674
"110321",9819,17384
"716925",9557,17091
"2364272",7639,15590
"87883",9650,15149
"1112103",4859,15080
"3024242",14686,6317
"670",8716,14558
"702113",14329,8446
"3058963",9227,14162
"336203",14158,7862
"2815360",7828,13721
"2674997",5240,13481
"2267833",9444,13295
"3031126",10115,12904
"2744515",2319,12705
"2066070",12693,9232
"794846",7564,12536
"34020",6686,12421
"2520507",3982,11913
"1615909",5782,11911
"160699",8005,11849
"2979861",8578,11638
"2060726",9709,11554
"2094119",3916,10794
"3024248",10668,6151
"156213",5135,10660
"139",3284,10631
"2862866",6246,10292
"3019933",10290,7937
"1485",10145,3966
"2979863",7295,9963
"3019932",9923,9841
"118562",7626,9794
"1397703",4871,9788
"399025",3804,9645
"1842534",6409,9568
"2493671",6299,9559
"2735528",6372,9468
"2811423",6301,9441
"379684",5826,9121
"28099",6908,9024
"323620",5527,8924
"222819",8812,8829
"237",8412,3734
"2865837",4779,8387
"1854057",4638,8381
"669359",5235,8192
"2259595",3250,8116
"2493669",5647,8043
"1155739",4266,7826
"809",7636,5609
"1755100",5953,7560
"3025782",6190,7546
"1883",5008,7535
"146786",2539,7466
"2715959",5461,7436
"1125847",1744,7354
"2978392",5447,7333
"1502",6980,3664
"1752063",3621,6883
"2775404",5737,6811
"2956832",6799,3923
"1386",6746,4410
"1653831",6740,3723
"71433",5206,6729
"292566",3175,6692
"2005460",4166,6679
"1335061",4530,6567
"69277",2601,6510
"2560058",2292,6499
"2782659",6442,6118
"2744518",3460,6376
"469",5644,6278
"577489",3011,6263
"1969821",3219,6239
"186802",6060,6230
"106591",4411,6218
"373",4431,6157
"1617448",3673,6082
"2654248",5967,5127
"234",3037,5884
"238834",5803,2857
"241425",2752,5780
"2744521",2392,5697
"2865839",3768,5622
"1892259",5446,4242
"2956833",1490,5444
"2094",2053,5363
"65093",2183,5336
"1404",5296,3696
"2942908",2955,5263
"45361",5247,918
"1954172",2242,5231
"2005456",4736,5217
"203804",3025,5152
"2871820",4109,5135
"2718938",3483,5097
"1126",3244,5081
"77021",2155,5075
"754429",2404,5072
"2777475",1441,5008
"2613771",4139,4994
"317",2210,4994
"407",2803,4934
"374606",3151,4933
"1279",4892,2236
"56689",2696,4878
"662",4021,4876
"2792015",2951,4864
"2579248",4711,4645
"29430",4668,658
"2925841",2819,4646
"562",4633,2908
"2493673",4624,4480
"2986929",3907,4612
"2962065",1571,4599
"593909",3121,4475
"140",1469,4390
"155977",2565,4377
"3028878",1942,4358
"381",2236,4345
"3045175",2851,4248
"1496",4235,1403
"979",2290,4200
"2744516",937,4196
"858423",3440,4194
"529",592,4161
"2877940",2434,4153
"280333",1872,4121
"1813451",2298,4063
"2874213",4059,3302
"39645",4044,2146
"49546",3512,4041
"2819999",1088,3991
"80840",2437,3962
"111782",1747,3950
"1482074",2368,3908
"1355477",2156,3886
"54304",1250,3867
"1903858",2316,3861
"573658",2175,3808
"1218",1524,3786
"1904463",1293,3780
"2819993",420,3692
"2148",1351,3690
"94625",2799,3688
"2819994",1760,3660
"1301",3651,2520
"2589888",1173,3645
"2320867",3534,3604
"28903",3511,1368
"984207",1114,3510
"59732",3501,2656
"1280",3500,2180
"1922217",3494,918
"2599640",2616,3493
"2984846",1159,3488
"1520",3478,1223
"2846389",607,3441
"1561003",2322,3403
"2744522",479,3391
"2979862",2149,3390
"2821832",1813,3382
"121719",3332,3381
"3039159",2898,3364
"1822464",2658,3347
"271865",1465,3344
"1777866",2687,3310
"1526658",3306,3258
"2969621",1292,3304
"210",3302,2604
"2782665",2428,3286
"2789216",2749,3284
"91844",1638,3283
"1076",1924,3274
"991904",2305,3221
"2696063",3213,977
"2583377",1101,3209
"2725666",2282,3207
"2589974",2146,3179
"543",3155,2918
"672",1504,3148
"43305",3130,1941
"1428",3118,1408
"544",3108,2514
"1016",1422,3106
"2341112",2036,3105
"728",999,3085
"171552",1465,3055
"1501",3047,1722
"298657",713,3014
"3074898",1935,2969
"102116",2247,2962
"2108445",2353,2924
"675281",1435,2879
"1357545",1611,2876
"2493680",1129,2870
"303",1761,2862
"1068590",2129,2861
"1842536",1900,2858
"34098",1107,2855
"2493672",1719,2840
"154046",785,2805
"555317",1542,2805
"1886",1619,2788
"2580515",2376,2786
"704125",2746,2779
"32008",1552,2778
"430451",2037,2767
"2816454",2764,2357
"2734125",1993,2734
"3028735",1268,2727
"42255",1274,2709
"2840183",586,2708
"118323",1523,2690
"2586643",579,2688
"2483404",2666,2336
"2907534",779,2654
"2576904",1261,2645
"1437360",1669,2631
"36745",2631,989
"2589967",1469,2630
"1026955",711,2619
"1486262",1943,2604
"186817",2281,2603
"2506430",2188,2592
"82633",648,2590
"2744523",2276,2571
"2967302",2258,2554
"2589976",1624,2537
"638",979,2520
"1325100",1988,2514
"2992140",2503,2231
"1898749",522,2497
"2483403",918,2491
"2493676",2233,2488
"2493678",465,2481
"1827",869,2461
"293389",556,2450
"457083",1043,2446
"1521768",1716,2442
"1777867",2439,2411
"2956834",139,2428
"985002",1361,2427
"1702325",1362,2424
"41297",1903,2423
"293089",978,2413
"1405",2358,1105
"318424",864,2352
"1882682",1601,2343
"223390",740,2339
"2708117",1122,2328
"1658616",1819,2311
"44249",2309,1809
"2493668",1368,2296
"2664893",1618,2292
"2748629",1789,2264
"2082387",1178,2253
"1353976",777,2237
"1164",1507,2223
"375",1314,2216
"1855912",1118,2213
"1385",2211,1233
"2654325",2110,2209
"1625",2208,174
"1150",821,2207
"536018",1503,2199
"2976343",2191,1904
"674703",1490,2181
"2675523",458,2180
"2742145",1274,2178
"2709380",1523,2155
"2584466",1309,2154
"287",1069,2153
"1441095",1963,2140
"1509",2138,736
"2782641",1034,2133
"2744519",2126,1872
"88723",908,2108
"194",2105,835
"1492",2098,1501
"1505",2091,551
"2955972",327,2089
"2493679",1665,2085
"2599600",815,2082
"93944",560,2058
"240427",769,2057
"2352",977,2041
"288000",1585,2039
"204455",1657,2036
"191302",1791,2035
"41673",1556,2029
"2774562",1482,2024
"1870862",1053,2019
"2528964",1089,2006
"1754",1066,2000
"419475",1150,2000
"2994555",1986,685
"1534",1978,722
"92400",813,1976
"442121",623,1963
"2099583",0,1962
"2782654",1499,1962
"2906072",1405,1961
"43617",1684,1961
"41275",1960,1179
"556533",1401,1951
"36839",1948,642
"190148",579,1940
"779",1923,579
"1647413",461,1918
"13687",1907,1209
"505",1420,1907
"86663",1251,1888
"2651334",1414,1874
"1561",1873,767
"265",1150,1872
"89152",1393,1871
"1296",1869,1301
"29341",1868,645
"2898442",925,1864
"1447062",1158,1860
"439387",1022,1858
"1282",1847,652
"1940610",1133,1846
"119060",1401,1836
"1620421",996,1832
"71190",437,1820
"3074855",830,1818
"3070996",1812,754
"2493681",868,1808
"2493677",619,1807
"2999116",1806,958
"73141",1007,1803
"1349819",1271,1792
"258",1056,1789
"2933872",778,1788
"2956463",586,1783
"1490",1768,549
"53246",1759,1419
"22",1272,1752
"2057741",865,1748
"2818388",1065,1747
"400770",1104,1741
"360422",1728,519
"641107",1723,682
"200644",1720,457
"28901",1719,1243
"28198",1708,669
"3026161",996,1704
"52584",1702,672
"2502779",1098,1701
"430679",1276,1701
"713887",1247,1692
"91347",1691,1331
"1908341",1677,422
"94",845,1676
"169679",1674,554
"3067904",1276,1674
"1612624",1673,552
"253",1669,686
"2919913",1667,1201
"135858",397,1665
"2082949",1127,1645
"2880934",968,1640
"1263728",1322,1639
"400634",1635,1222
"2593653",858,1631
"3070681",1628,1346
"2986834",1623,930
"367791",1623,1450
"642",859,1619
"1435069",465,1613
"1352",1611,1135
"1404411",1611,1600
"2795690",1096,1609
"1283291",632,1606
"2826993",984,1604
"244596",1013,1603
"394958",1600,761
"2583532",1088,1599
"450734",3,1598
"1530123",1593,451
"1856685",1363,1593
"2766984",1154,1593
"555316",867,1591
"335928",1582,1241
"114616",978,1573
"2099788",372,1570
"1871048",528,1567
"171284",1565,368
"2136173",536,1561
"28197",1549,857
"1881061",265,1545
"53376",252,1541
"51663",246,1539
"851",1536,460
"1379903",1003,1534
"2976823",1273,1534
"459526",1533,290
"3028318",933,1531
"33050",919,1528
"1335048",969,1525
"1358",1510,622
"2102",1510,414
"1736675",1205,1508
"1747",508,1502
"3024400",581,1494
"3039153",266,1493
"2745",773,1491
"584",1487,706
"86665",516,1475
"587753",1276,1473
"1273155",534,1469
"293088",804,1457
"1131707",462,1454
"40091",1453,759
"424800",535,1448
"864828",352,1448
"1404443",954,1443
"1031542",855,1440
"1745854",232,1440
"2972478",717,1437
"435905",300,1432
"32002",854,1429
"408",1244,1427
"2986829",1332,1426
"207340",1402,1425
"1117645",1422,499
"2813371",1422,480
"1077935",1067,1418
"2604832",1409,1391
"1197460",931,1408
"2913616",1139,1399
"2976982",1398,575
"2589903",1199,1393
"2859001",1384,1
"2527984",977,1374
"2570229",962,1374
"816",1370,1030
"2932249",365,1368
"2320868",1362,606
"2763062",514,1357
"717785",1250,1351
"861",1350,439
"1872084",134,1342
"1325090",566,1340
"41294",1174,1336
"1761016",1059,1330
"1336802",1328,155
"99598",438,1327
"985782",1326,406
"1461694",443,1320
"2986924",1318,1168
"3049772",754,1318
"1274631",1021,1316
"1807358",1316,421
"2666139",770,1311
"3038545",650,1310
"186826",958,1306
"2726189",1021,1306
"191",981,1298
"38293",1203,1297
"2984951",1295,857
"2967130",75,1294
"728066",1293,991
"2570561",1291,757
"1286698",1290,403
"137722",992,1288
"2132",1288,918
"1335043",692,1284
"540747",750,1282
"3070215",653,1281
"570",1126,1278
"2259622",318,1273
"1397",1271,987
"2956823",1269,784
"2663009",1266,592
"1624",1263,640
"2681766",653,1258
"1137095",1248,1256
"1149133",975,1254
"158892",1254,833
"485448",446,1253
"36845",1252,627
"1165",540,1251
"2816908",1247,454
"1390",735,1246
"1351",1245,812
"446",1239,618
"1670800",562,1238
"1763363",1234,657
"217159",1233,389
"7",900,1232
"106589",857,1231
"762954",894,1227
"859",634,1227
"171281",1226,794
"3035472",285,1226
"1307",1225,958
"921",715,1223
"1061",885,1218
"1402861",1217,452
"583",1217,438
"2855394",974,1213
"29448",715,1213
"104270",1212,741
"2789856",356,1211
"445",796,1210
"164546",1208,995
"31989",725,1206
"2712222",839,1205
"53412",767,1204
"586",1202,540
"94869",1202,345
"159",1201,417
"28104",1198,1151
"292913",800,1196
"288965",712,1188
"2744517",1077,1185
"999",1185,563
"2860336",1182,1065
"1223566",48,1177
"147645",725,1176
"336810",1175,665
"33025",509,1173
"262",1169,691
"1216932",1069,1168
"2726954",1167,308
"3053904",541,1164
"2878534",1160,128
"444444",424,1157
"95486",547,1154
"28072",682,1151
"1290",1147,483
"1325120",261,1146
"1350",1146,908
"60548",686,1139
"2698458",447,1137
"587",1137,695
"2070",23,1136
"2051553",555,1135
"2867020",546,1132
"1333996",908,1123
"450367",1123,565
"76859",1120,391
"79885",1116,449
"2020412",565,1115
"204037",558,1113
"356302",1113,608
"46239",723,1111
"370111",521,1110
"85698",796,1110
"1162",1100,965
"292",730,1100
"3036126",1099,351
"603050",1098,836
"1541",1097,405
"1598",1095,1066
"311230",639,1092
"52959",1091,475
"1462527",620,1090
"63363",339,1090
"3020843",675,1089
"39948",431,1087
"582",1086,665
"270351",633,1085
"881260",287,1084
"199",1082,556
"113267",408,1081
"856",1080,308
"39152",1079,665
