"","SRR5829600"
"379",20879784
"56730",10294694
"384",3161823
"2613770",1655394
"9606",1528937
"1120045",1411686
"50338",1174451
"2849093",1080539
"477697",1043556
"29449",965284
"396",701591
"359",614580
"1312183",582829
"1223565",568077
"380",557458
"356",547629
"3039156",542055
"1138194",485462
"82115",475448
"40324",443296
"1184720",428480
"747",420373
"293958",406577
"3039160",394588
"1138189",392417
"2731096",380587
"398",376568
"1538159",367188
"2731112",357890
"2795216",346257
"2081791",337199
"1138190",334420
"382",319917
"1981173",318511
"2917727",307538
"2028343",292182
"1132836",282524
"2785056",277652
"2020312",260817
"358",259851
"1538158",248603
"2926709",226330
"2978974",225893
"106592",225124
"28105",219192
"3045156",218376
"3019602",217706
"29447",214792
"399",214502
"1301032",207379
"1396",196827
"2986923",194433
"2806346",194369
"2583231",191109
"2918527",183493
"2775403",174817
"2041385",170470
"515361",170344
"240521",164183
"2952477",164014
"3039157",157216
"573",156782
"357",155177
"1571470",152862
"348824",152252
"1395951",139767
"2919917",138653
"375549",120007
"680247",116757
"2807101",114385
"194963",113493
"3045157",113367
"2603277",111433
"2867516",105048
"555319",103405
"451876",103166
"2020311",102558
"1368430",101726
"555315",100563
"1589",95529
"68287",94861
"2048897",90673
"1752398",86833
"352475",79701
"2184519",78092
"1867719",75809
"1076926",74128
"1183413",73666
"374",73157
"2364271",72440
"702113",70141
"2020313",68404
"336203",63202
"110322",61697
"879274",61685
"2986920",61041
"286",57889
"470",52009
"2613773",51487
"680248",51181
"1590",50926
"2066070",49191
"1183401",43113
"2060726",40121
"2267833",37727
"716925",37309
"110321",36807
"3031126",36302
"1176649",35441
"1219",34577
"160699",34028
"2979861",33746
"2364272",31064
"2986922",30741
"190893",30075
"28099",29692
"2735528",29516
"1842534",28871
"2654248",28135
"2979863",27983
"794846",27847
"2782659",27603
"2493671",27453
"147322",26808
"71433",26785
"2815360",26504
"3019932",26352
"2811423",25796
"1125",25700
"379684",25397
"2493669",25396
"2715959",25338
"2674997",25226
"323620",24859
"648995",24617
"3025782",24548
"2775404",23850
"1353277",23388
"1491",23318
"2862866",22179
"2978392",22162
"3019933",21797
"2865837",21356
"1854057",20918
"106591",20623
"2493673",20497
"1513",19989
"9",19727
"1161",19585
"34020",19572
"1152",19552
"2718938",18482
"1335061",17545
"2744518",17449
"373",17031
"1969821",16897
"2956832",16487
"87883",16166
"2871820",16038
"858423",15923
"3024248",15663
"2865838",15562
"2613771",15487
"3039159",15284
"2579248",14574
"1777866",14533
"3024242",14463
"2877940",13811
"234",13519
"2320867",13194
"374606",12879
"2108445",12874
"544",12774
"1883",12768
"2925841",12575
"2865839",12432
"991904",12387
"3045175",12231
"2782665",12177
"2942908",12130
"407",12099
"3058963",12005
"1615909",11998
"1777867",11912
"80840",11888
"2992140",11864
"2744523",11734
"2599640",11640
"1526658",11625
"2725666",11439
"381",11263
