"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"416169",748843,5889,5655,6205,4335,75850,4155,49608,2046,3420,250,222,157,143,156
"666685",426842,5140,4972,5298,3757,57242,3560,37522,1749,3193,190,190,111,104,110
"582702",351831,2568,2618,2730,1855,78128,1705,33652,975,2240,118,86,76,73,80
"1883",156568,251206,242196,233749,215141,208894,208593,162462,96879,21733,3302,2647,5667,3717,2462
"2341117",208576,831,752,553,579,1147,326,1013,317,42,40,11,31,41,45
"2778082",196763,14205,3436,3504,2704,37360,2370,25072,1602,1769,171,163,91,93,102
"356",65348,155479,190330,172592,131927,110035,144945,91383,78486,12505,7826,7820,7165,7007,6308
"286",57362,146075,153597,127341,96404,92122,91429,63842,49030,12705,2614,2391,2919,2719,2307
"374",62018,133610,149009,148863,111406,87647,130834,70163,58068,11260,6577,6909,6873,6214,4884
"80840",45748,119269,138325,116575,87111,72023,81076,52966,44253,9145,2075,1795,2627,2203,1929
"522",13023,3350,3801,3533,2792,120149,2684,71788,1362,12338,92,91,100,78,72
"9606",63395,105795,118272,115489,107927,64210,77320,59854,43815,7971,2577,1181,2177,1812,3579
"75309",97336,2908,2988,2990,2033,32425,1840,19962,971,2121,88,88,66,68,68
"85023",94821,32508,28669,28121,26407,47674,25203,37692,15576,2192,654,536,790,642,435
"1894999",21580,70427,91509,89501,62617,18790,56977,17061,31053,7376,2050,1588,2670,1441,1810
"861299",33156,61880,86787,66432,62993,27883,52650,22705,22482,4441,466,365,1130,824,462
"32033",52826,44615,43620,38071,29534,85537,26241,56425,22279,10942,683,779,746,714,638
"2901142",75286,1200,1367,1312,890,1345,871,856,462,112,38,27,41,25,34
"56",9030,59479,72693,63035,54535,22850,55047,16812,27955,3776,1276,1133,1744,1610,1185
"1775411",71640,6778,7497,7590,4743,60329,4381,38098,2774,6019,181,218,150,159,152
"34073",14373,42540,68221,34103,27459,32023,24974,23457,14568,3050,525,416,677,854,450
"1855912",4189,65639,61137,52866,44315,32547,49505,22372,26263,6002,630,542,1190,863,654
"674703",9278,50034,61051,64954,44249,24278,59719,20015,26860,3513,2259,1789,1824,1838,1522
"2802971",4652,54252,62632,52480,42925,26366,42268,18117,24283,5328,836,684,1200,986,708
"32008",28759,53792,60328,55814,43316,31977,40712,22818,19994,4420,816,692,1071,754,683
"2944128",59909,4711,4344,4397,4132,40164,3882,29810,1821,641,62,64,109,84,64
"3031330",58695,1992,2178,2049,1477,22852,1370,14425,695,1588,91,77,55,50,61
"94132",10565,48916,58574,45874,33895,20811,31936,14430,14719,2018,404,336,649,536,300
"119060",25934,46269,56145,48642,35972,27381,33942,20426,18119,3582,865,769,1035,914,745
"2509614",55278,4959,5817,5022,3654,5837,3521,3581,1657,616,99,95,126,92,100
"85006",54675,53952,50176,44088,47640,54331,43973,44967,40408,3371,784,624,1438,880,604
"445710",53870,4190,4367,4346,3136,51838,2845,35041,1597,2592,89,94,102,86,63
"80864",23313,45073,52706,42323,32025,24492,29820,17436,15084,2958,664,532,867,788,625
"1896164",3959,5623,3709,2938,3324,5908,2052,3956,49699,760,39,34,55,42,25
"41297",26341,45756,49237,44486,35046,41226,28273,34879,15984,3450,1029,960,1079,1127,898
"135614",42979,13632,14898,13729,9331,47569,8947,31244,5623,5755,338,340,298,307,286
"68",31462,40266,37087,32827,27242,45884,23480,31697,15409,5863,428,499,576,465,370
"386874",8015,35277,45705,29085,29947,42143,26891,38013,10476,8108,73,56,321,152,60
"927083",5087,39448,45211,39348,31984,13749,29752,9583,15489,2294,945,804,942,1049,742
"13687",25634,36678,42861,37992,30527,36211,23501,33290,12283,2796,614,590,1029,771,590
"2884022",20059,28400,23043,26205,30672,42754,33894,35512,9737,2698,262,232,701,332,177
"338",28591,22172,22066,20476,16053,41779,14587,27066,9237,5451,406,412,429,383,316
"1839",38027,28205,19592,17802,29364,39385,21713,33638,9985,1140,433,471,544,418,268
"1873",24830,39024,34630,34183,32180,29041,36193,22860,15859,3887,395,317,769,475,323
"2898793",37715,3971,4166,4300,3204,19099,2728,11941,1476,1307,94,71,75,52,60
"33882",36909,29247,23553,23504,22939,26501,21396,20235,12472,1709,344,293,502,383,276
"407",12683,34426,36834,35579,29420,23018,30525,17821,13574,2665,770,745,944,764,666
"2697363",36108,2043,2321,2290,1714,24576,1702,22611,837,1706,64,68,64,56,34
"62140",4825,1061,1139,1190,857,35966,877,21592,428,3821,26,18,47,32,18
"482564",2297,35231,830,1181,35749,7309,1308,6977,1294,22,18,19,21,12,28
"191495",14304,20662,19267,17335,21484,35603,22340,29627,7266,1907,538,738,874,650,270
"379",13817,31943,35405,33524,25425,23011,26372,17573,13857,2773,1052,1126,1108,1076,1007
"2732067",2913,35040,31926,25391,21449,14644,18839,9450,9612,1673,208,163,404,319,239
"106589",11151,30531,34773,31071,23070,18362,21621,12474,10772,2438,479,429,584,512,414
"204457",15397,33872,34344,32623,25323,25424,20815,21231,12242,2408,717,718,710,650,612
"3056648",4444,21271,17694,16866,16600,8871,34107,8255,8761,1443,966,842,1279,1028,628
"1288636",2122,3236,2384,2454,2653,2860,2143,2062,33667,198,31,22,58,33,22
"443156",21023,7834,5266,4707,9494,33483,4968,28930,3616,310,45,42,132,68,55
"3075430",33277,4224,4351,4466,2969,25047,2884,15386,1545,2089,92,96,86,89,66
"2051959",33219,1799,2587,2352,1635,13388,1869,11977,747,415,68,57,69,80,123
"1542730",32896,3494,3711,3723,2643,22620,2420,14174,1201,1860,73,97,72,61,49
"1827",20632,32190,27105,26759,25343,23789,24377,18604,13225,2289,424,336,724,451,299
"40323",23344,21004,20682,19079,14873,31854,13516,21188,9164,4125,357,340,385,374,271
"2812560",13612,16999,13492,13062,18690,30563,15816,25103,4801,1228,188,197,447,228,134
"2712222",3117,16204,30437,21681,15623,7615,20452,6349,11309,949,454,454,432,431,420
"2599293",30092,2380,2248,2313,1976,8321,1997,6984,1029,250,43,39,45,42,40
"284016",4954,24287,30072,23790,19720,13127,18000,10521,9768,1450,281,230,483,327,211
"1076",12016,26668,29823,29697,22755,17490,25396,13961,11801,2054,1153,1130,1015,1035,899
"2010829",21457,3752,3835,3875,2646,29766,2474,18254,1317,3454,83,94,96,93,62
"1573718",228,18003,29737,2749,2286,1146,1165,1023,2314,248,12,11,17,63,29
"68287",12270,28466,29530,28558,21346,20466,23589,15623,12190,2469,1014,1083,901,924,856
"501023",29282,1480,1469,1499,1215,5187,1335,4142,655,138,26,19,42,33,18
"3074855",29259,4653,4466,4446,3370,6176,3832,6242,2259,414,283,269,210,247,201
"1762",23105,24842,24506,22516,21305,29183,20592,24638,11191,4253,408,373,799,475,348
"2732487",2091,28244,25590,21036,17126,11961,14830,7676,7534,1506,192,151,308,245,199
"39643",3301,22934,27984,24609,20541,8688,19759,6196,10032,1484,521,486,657,606,473
"1822464",27940,20682,24101,21943,16244,16096,15674,13704,7957,1880,405,407,484,412,361
"80816",2379,19727,27890,22280,21944,7472,19745,5337,11411,1783,391,375,583,447,296
"41294",12146,24301,27637,27669,20417,16210,23831,13510,11086,1878,1316,1472,1158,1124,1036
"1231",27647,2743,4159,3833,2546,739,3218,1163,920,115,14,27,16,22,27
"2567896",2734,22580,27389,23494,19475,7400,19240,5595,9483,1323,506,491,648,670,487
"912",27385,7536,5714,6560,5938,4523,6485,3789,2778,393,361,355,286,279,281
"2259673",222,19024,17628,27244,2110,118,6678,36,2961,4,1,0,7,1,11
"1437360",16510,23579,26623,27045,19764,16978,25948,15778,11119,1621,2148,2171,2497,2258,1828
"1979344",91,1854,27032,759,744,136,249,84,412,10,13,6,17,11,15
"2949664",11322,14659,11915,11542,15814,26495,13569,21536,4468,1110,167,203,392,214,126
"2558918",26434,7224,5416,5410,7744,14137,6147,12653,2432,302,358,337,366,320,156
"331696",8022,19338,24202,26398,19381,19374,24509,18241,11315,1359,1342,1182,1093,1017,935
"85007",21094,25359,26293,22887,22133,25479,20829,20963,12368,2221,470,386,747,562,410
"359",4591,2719,3366,2553,1937,25854,1941,10711,1345,306,116,136,112,92,78
"2011015",256,20240,25786,5678,2332,729,1164,535,1959,309,8,4,11,15,10
"2997333",13046,16781,13894,13732,17174,25779,16161,21177,5196,1340,836,694,683,607,278
"2933797",25498,21212,12432,12814,22700,16987,19129,17005,5199,736,51,44,159,82,26
"1861",25421,17249,10760,11681,17388,13860,16375,13137,4708,717,45,39,155,75,55
"2937800",4416,4860,4257,4270,4915,23915,4819,25150,1696,1199,60,82,176,104,59
"2995304",3548,22730,24978,21660,19118,9595,18792,7320,10424,1506,457,304,519,461,318
"496014",12060,14886,12272,12765,15654,24660,14197,20336,4520,1116,315,298,463,280,159
"1763",17387,15456,15535,14666,13161,24490,12700,23020,6677,7005,282,244,475,313,214
