"","SRR17255059","SRR17255046","SRR7907975","SRR17255087","SRR17255066","SRR17255045","SRR17255027","SRR17255092","SRR17255015","SRR17255057","SRR17255025","SRR17255080","SRR7907977","SRR17255085","SRR17255017","SRR17255011","SRR17255072","SRR17255078","SRR17255019","SRR17255034","SRR17255084","SRR17255077","SRR17255086","SRR17255024","SRR17255061","SRR17255033","SRR17255039","SRR17254988","SRR17254994","SRR17255082","SRR17255079","SRR17254985","SRR17255014","SRR7907967","SRR17255030","SRR17254982","SRR17254997","SRR17255021","SRR17255018","SRR17255065","SRR17255038","SRR17255076","SRR7907979","SRR17254984","SRR7907964","SRR17255042","SRR17255064","SRR17255050","SRR17255013","SRR17255055","SRR17254996","SRR17254990","SRR17255035","SRR17255004","SRR17255037","SRR17255031","SRR17255070","SRR17254987","SRR17255036","SRR17255029","SRR7907976","SRR17255067","SRR17255063","SRR17255051","SRR17255071","SRR17255041","SRR17255081","SRR17255008","SRR17255032","SRR17255073","SRR17255010","SRR17255090","SRR17254993","SRR17255040","SRR17255020","SRR17255083","SRR17255048","SRR17255060","SRR17255001","SRR17255091","SRR17255002","SRR17255062","SRR17255012","SRR7907981","SRR17255093","SRR17255054","SRR17255047","SRR17255069","SRR7907996","SRR17255009","SRR17255089","SRR7907978","SRR7907993","SRR7907989","SRR17255053","SRR17254986","SRR17255028","SRR7907968","SRR17255043","SRR17255056","SRR17255006","SRR7907985","SRR7907982","SRR7907963","SRR17255074","SRR7907998","SRR17255052","SRR17254981","SRR7907974","SRR17255026","SRR17255044","SRR17255016","SRR7907990","SRR17255088","SRR7907992","SRR7907991","SRR7907970","SRR7908002","SRR7907980","SRR17255003","SRR7907969","SRR17255005","SRR7907999","SRR17254995","SRR17255000","SRR7908001","SRR7907988","SRR17254983","SRR7907972","SRR17254989","SRR17254992","SRR7907994","SRR17255022","SRR7907965","SRR7907987","SRR7907983","SRR17255068","SRR7907966","SRR7907986","SRR7908000","SRR17255023","SRR7907971","SRR7907973","SRR7907997","SRR17255007","SRR17254998","SRR7907984","SRR17255075","SRR7907995","SRR17254999","SRR17255049","SRR17255058","SRR17254991","SRR17254980","SRR11092509","SRR16079612","SRR11092506","SRR16079611","SRR11092502","SRR16079619","SRR11092499","SRR16079613","SRR16079617","SRR11092512","SRR16079618"
"286",905284,234803,110963,68572,49616,156077,343328,225115,81575,74838,109664,530498,89768,373632,66387,42294,72040,70454,76587,109286,107726,136319,64165,60016,41538,53824,67088,51413,112714,104128,58601,77787,32059,67696,42579,70528,90943,42803,57743,41362,79173,60263,59435,163451,72750,144043,44380,184470,42676,36434,100880,33225,214763,43036,65739,36776,44326,46157,36117,53326,56849,33404,47696,83766,40105,84710,31686,27288,110166,35359,38156,54800,36069,27532,30082,62029,37532,31380,28415,35435,26717,60414,194546,85649,104572,48896,55131,37130,77408,42483,38485,72149,75682,73451,72108,42493,114473,75550,61718,48631,39970,69511,74012,71697,37199,72612,54145,54858,66579,91437,36699,132570,65727,52452,63067,64084,68972,65350,64756,31883,67596,35973,66728,43433,36806,59158,62626,70119,65098,104869,46248,63046,36063,57013,60164,62924,37218,56480,58453,61505,55888,63008,56683,62316,53977,47233,60694,41591,56576,93344,40338,33466,29108,47606,16900,13991,22029,16501,18291,16910,18135,12049,15178,16712,11187
"2518343",16633,823985,2033,112894,231893,574185,278909,164329,158985,260823,81143,230762,1859,97887,223282,148105,428253,69899,218236,112075,383983,105097,95993,9398,50280,75153,204972,69593,341886,340028,186318,114618,26122,1280,102555,1390,58054,73077,102815,109717,227760,118219,1174,203097,1509,274362,110212,160479,109367,187181,194503,73479,261123,44373,166065,172118,222350,104346,179071,175307,1082,14433,227145,179576,63897,225999,102830,54712,219986,50931,60123,2034,27790,32629,54107,99592,66834,55046,46250,25702,29468,154386,110043,1859,190263,90043,159289,160783,2367,78444,1079,1488,2367,1310,177943,36186,99874,1351,80003,87944,64271,1660,1626,1344,73351,2013,67988,1595,1425,109495,58141,68071,1143,2439,1182,1405,1366,1344,1281,90467,1307,125576,2057,82895,151841,1177,1515,1003,1210,106696,125286,1907,46388,1147,1307,1454,81950,1246,1477,1697,140177,1125,1085,1683,95641,132964,1453,125431,1697,129247,73225,64568,40611,1093,66945,186,7144,239,5493,331,3661,154,405,13555,160
"13689",1433,1888,678862,5252,1991,2011,3531,2710,3203,3743,2965,2133,495861,2046,3737,2490,2416,3963,3605,2020,2722,2040,3721,2054,2504,2158,5163,2930,2065,2735,3755,2816,2108,121264,1876,2617,1942,2639,3191,3412,2855,3817,102847,2343,275289,3013,2323,2271,3049,2396,1644,1926,2432,2433,4585,2634,2439,2109,3129,1891,240145,1756,2432,2680,2092,2642,1872,1494,1726,1732,2013,1832,2144,1573,1772,5333,2165,1647,1455,2257,1969,2712,1537,53905,2193,2002,3436,2528,123736,3281,1278,157149,61896,48126,3239,2513,1984,100986,3862,1909,1815,75425,117146,10697,2579,61101,1748,1725,57849,1825,3195,1494,16196,1867,159371,158509,47504,62362,54226,3057,32432,1594,42099,2363,2198,106106,29439,1456,42253,3000,3952,102473,2037,7438,10769,128205,2895,6192,44662,49155,2254,58237,100117,12760,2133,2291,64005,2663,45940,2425,2547,2741,2106,2115,564,320,634,394,897,585,458,274,462,603,261
"316",123400,64811,6683,665138,154629,82922,86771,560001,351148,145520,226140,236094,5683,123182,122584,97385,33739,124401,94477,182174,240134,68666,378107,65071,66541,95297,132736,254682,53861,151334,197210,140539,118858,3883,51404,7352,59256,294242,190682,291097,288153,105528,3889,53267,4855,238295,35331,105127,268642,113451,59083,21893,227231,85448,95807,128052,182714,56012,102039,28785,3504,76926,78303,92085,102574,109129,30189,110342,114223,41864,42245,15233,216416,32881,37509,215470,207118,58050,34715,121069,39902,56760,60080,5684,63576,68616,185125,45179,5065,182774,5170,4915,5069,4930,138257,139152,81867,4504,79318,26021,57865,4580,4752,4749,63571,4775,83711,11079,4226,52555,77268,97768,4361,6387,4067,4194,4611,4317,4419,50617,4516,52975,4318,94087,68350,3742,4089,8168,3816,147238,140173,3933,59032,3659,4042,4049,89627,3673,3761,4128,88350,3544,3465,3940,57376,36158,3808,107820,3695,68431,89595,77367,49571,29170,1126,818,1056,985,1136,976,958,696,963,1032,681
"1987723",489395,256387,449,199306,598377,141435,159800,293509,95288,110805,531817,420857,340,478415,460381,118682,83286,403793,389873,269506,69087,382897,147218,366770,267883,92698,52092,42547,89918,84663,237828,320328,51968,295,85649,2480,112108,78277,292185,72978,115119,208725,258,156736,290,170573,61168,187584,140932,109228,206182,42868,264900,117893,145268,114303,102691,156618,73703,119997,259,216777,97322,226547,76534,201875,225906,166130,180264,54868,217000,2700,86216,50434,69314,64182,169163,88259,128733,151920,58531,90608,136316,342,86621,142502,48577,32105,321,69298,2478,285,293,282,130758,44236,174526,335,135289,29971,90632,261,247,260,58817,292,164931,8976,230,116947,82898,159983,250,1489,242,278,247,252,226,80004,286,154761,248,151980,67165,268,250,1678,273,113304,69526,243,144522,257,265,229,141847,221,232,236,135381,307,248,193,139315,85686,245,134802,243,86115,126194,54318,89978,1263,320,39,82,53,187,48,56,45,54,85,38
"358220",5190,58185,2065,73276,84151,129509,569505,109540,49541,100854,49706,18601,1393,65254,139390,88515,99736,25234,182666,41227,52137,82517,56455,5509,42430,40912,98843,24762,52205,73976,100936,60382,20789,2288,43383,1149,44442,70020,52306,85365,70896,74030,969,192814,1242,81482,70261,66412,75870,58450,267140,56253,53023,34292,127804,74514,122788,58072,103035,61149,1104,6963,99852,92307,60387,64163,48537,23384,46945,50776,57969,988,17848,28757,53878,96785,49863,75751,52059,28477,27914,29606,39974,1375,119594,31765,113174,68695,1418,59901,714,1078,1382,1139,51312,49451,39483,2211,75787,87037,28925,1168,1133,1246,48957,1247,42768,592,1076,163113,41373,69582,1072,1551,932,1002,1133,1050,1070,78343,1095,45447,1247,69161,96451,1198,1058,779,1799,53972,97110,1054,28648,889,980,996,42403,933,1039,1122,139978,1831,1094,1088,58413,138923,986,85610,984,124073,33121,63961,40074,847,4623,163,3450,237,4082,292,11356,158,383,2273,167
"1658665",2070,2448,6115,149769,19166,38880,9382,232054,552574,533056,27508,1763,5655,7479,73883,443235,4556,10868,149921,10438,2205,15545,78426,2619,3097,82486,248234,138364,33209,47263,45210,61042,9162,3641,20663,2988,16763,96590,8894,84553,112790,168730,3744,276353,4768,52669,134258,270462,247013,267875,28496,97787,27203,14385,222448,255148,56562,151585,243362,163663,3249,3773,49081,85183,58116,27528,85749,11249,8728,69952,24889,2077,18483,4099,13512,67084,37492,71679,12745,116809,53359,3999,2616,5479,89003,56497,45485,105264,5030,118322,1594,4638,4709,4521,80785,60775,52346,4041,6704,65027,7526,4507,4638,4507,166598,4613,39249,1329,4331,81901,21873,6160,4192,2301,3838,4011,4329,4237,4016,156571,4305,5061,4354,58864,48875,3318,3855,1629,3467,123348,133929,3966,33156,3431,3812,3859,112942,3468,3843,3914,43741,3394,3278,3997,67207,64285,3958,107508,3550,20514,37781,64574,11324,1944,3338,628,2669,821,3993,1091,23191,544,1129,4831,2638
"3064901",39825,112451,1963,97442,214473,211497,180655,123017,231596,126896,279192,434033,1351,45173,211576,89011,28030,278505,290950,162842,73330,146233,160787,316173,365082,361848,226280,343611,194908,49482,191174,220518,316989,1093,298822,4153,294264,214132,150405,83747,47935,283359,895,268277,1062,73148,270530,147790,88052,114547,111904,265519,76986,261153,256434,81909,49645,245343,55808,241492,1026,238115,107668,117977,226435,110390,76125,224145,112129,219432,210105,2456,115093,215870,215689,116595,156815,205971,202113,202040,199151,197122,171794,1277,61103,189994,97876,184551,1192,164758,1978,1207,1184,1224,110674,175363,164132,1154,106475,170436,147801,1145,1087,1060,145499,1057,109640,1501,1065,123951,143181,123895,1021,2918,957,987,980,991,1038,60609,999,103894,967,86860,28984,1070,1031,2234,1038,107113,110597,1020,112915,983,942,900,103606,883,939,909,86755,996,961,960,71907,112836,937,97332,833,92560,129097,116782,104885,2320,439,478,427,474,1396,404,235,348,336,506,271
"1930532",424076,105259,920,951,1525,45403,150600,88901,4795,9818,23794,5556,768,3821,8920,1612,18164,1398,12848,18253,35935,50739,1258,1532,509,2866,5858,826,28058,34407,660,669,468,557,2345,809,30362,1178,1402,616,18502,1423,544,60675,640,25450,834,77396,695,771,39466,1427,82361,2771,4635,848,2219,502,872,10116,497,1415,6520,23374,1315,26074,457,388,40050,479,423,537,464,685,480,1677,1962,2811,2068,544,397,12465,63953,792,36017,5588,7636,1190,684,583,496,622,620,654,18250,673,32837,619,3067,8891,1567,589,697,558,633,602,15254,804,560,32194,478,51410,640,573,564,578,594,592,564,489,642,511,617,1963,4336,502,558,1326,528,1487,510,566,3213,484,561,554,452,499,515,517,13660,519,504,539,9389,7986,501,1279,467,32950,925,657,375,563,139,110,161,119,143,129,153,80,115,118,88
"128785",2986,56703,8495,45533,191478,52890,12782,6953,15797,20937,21691,6196,6103,5625,19581,10271,5243,12326,11932,384900,10855,5929,15909,25005,8315,19540,48285,11621,10332,10319,11902,11645,4845,4091,5810,3777,5973,7822,10546,27522,13617,16759,3536,10243,4454,14717,23162,12163,37807,7530,12706,4766,41473,14263,29324,13719,9565,8876,12524,43561,4406,5650,8109,36702,23590,19139,5827,6080,67085,4241,9105,2756,6351,4862,4206,11447,5651,5323,5452,10006,5162,19675,8673,6605,5309,7927,19651,7838,6029,18943,1904,4741,5666,4954,79122,8794,5993,4748,9981,4642,5308,4933,5712,4551,10711,5368,6352,2636,4190,4414,10146,5365,4021,2766,4356,4375,4206,3922,3920,22037,4159,5259,4907,9406,6257,4467,4327,2222,4088,13507,24495,4545,15064,3375,4151,4687,7603,3128,4025,4477,8819,3912,4108,4678,5229,16066,4572,9282,4403,8195,13538,12853,4834,2948,2694,352,2684,618,1953,1784,840,304,3463,1546,684
"1572644",352,556,378155,1067,1006,1009,1022,1284,703,1239,1435,1518,273354,863,1016,772,679,1533,1122,1010,652,925,1400,1610,1234,1112,1045,1442,815,500,1096,1207,810,311000,1220,1103,904,902,1084,693,711,1258,281107,896,231250,764,1076,769,777,854,490,1015,745,1000,1089,479,657,932,644,833,173135,646,568,759,861,654,520,602,1044,787,937,765,679,569,708,1188,788,609,566,680,636,803,641,9183,689,924,675,757,156553,940,505,35617,44067,6821,743,690,675,79147,1095,617,1060,58533,70508,5028,690,18158,555,589,6935,573,650,847,2027,761,65706,52519,99596,75814,60513,549,40832,815,8655,686,484,75331,5263,636,46231,736,938,87465,615,4213,1937,36793,736,1551,121744,61603,558,84964,24759,1904,673,755,25118,828,4060,700,667,623,528,639,374,357,384,361,353,420,269,270,396,378,210
