"","SRR14320323","SRR14320322","SRR14320321"
"1752398",1210763,376150,93473
"382",430104,645719,242873
"34073",522257,364029,327916
"9606",298189,407423,379830
"28105",187576,264836,109435
"1883",183995,196305,123300
"358",74936,102203,168912
"110321",105467,160328,59879
"550",12031,2031,128204
"286",103353,96646,96711
"380",83121,91724,37492
"80840",81935,91408,54532
"356",83890,88349,61258
"41297",47852,56802,64462
"32033",63160,58111,41538
"539813",3089,2893,60468
"158892",39641,60363,22746
"1664560",32917,59138,42609
"374",53337,58128,42704
"716925",50435,57934,27483
"68",55932,50927,35717
"2017486",38691,51631,31539
"2763008",37309,51479,33580
"1839",42307,51018,36036
"85006",47886,49705,33071
"128785",21383,46431,47741
"94132",35102,45853,26428
"2896848",24035,40490,45454
"56",32689,45313,35003
"2801030",34533,33786,43131
"2865673",25593,42714,30764
"80864",36642,42644,27786
"861299",31018,41778,15455
"2567896",13453,41735,22909
"165696",24545,28621,40064
"662548",28247,29633,39769
"379",33555,37950,39079
"2896849",20543,24113,38458
"158500",20057,25679,36977
"357",9505,12021,36196
"3018446",20987,24831,36003
"83451",16309,35691,16765
"39689",22324,27728,35395
"2865112",35221,34023,23136
"648995",12315,20164,34840
"13687",27241,34365,33320
"453783",23070,23156,33296
"83618",20410,33051,32077
"204457",25700,31342,32837
"2894081",24486,32427,20430
"2802971",27771,32195,15653
"48",11060,31378,15361
"316",16317,12513,31217
"207745",22970,23976,30460
"3037797",25233,29860,17471
"106592",28541,23680,26604
"40324",21994,26300,28501
"56730",12084,13854,28130
"338",28083,25994,21492
"40323",25591,27786,19137
"1775880",989,283,27302
"33882",22394,27213,23988
"85023",25252,27181,18209
"589382",21744,26991,18253
"217203",8725,26822,12954
"1855912",23681,26620,12640
"32008",25508,26209,15111
"1873",23672,26123,14543
"927083",19772,25776,12257
"477697",15787,21136,25734
"680248",19842,25463,10301
"1609758",14557,17060,24771
"165695",15069,17196,24317
"66880",10989,14902,24013
"2782168",13911,23441,23944
"2865833",20480,23900,6210
"2801029",21028,20106,23852
"1235591",8092,11305,23657
"2995142",19059,20202,23445
"1866885",19134,21440,23179
"119060",22683,23047,12918
"2995304",15242,22603,16656
"1762",20312,22488,20085
"68287",21809,21225,15047
"1842534",7307,21483,12697
"399",13483,13657,21280
"34072",21216,19966,15734
"375549",15518,21212,8440
