name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	4877285	443060	5320345	0.26807
Betaproteobacteria	28216	C	2282050	433632	2715682	0.13683
Gammaproteobacteria	1236	C	1468182	402756	1870938	0.09427
Deltaproteobacteria	28221	C	777574	40472	818046	0.04122
Epsilonproteobacteria	29547	C	6295	342	6637	0.00033
Acidithiobacillia	1807140	C	3519	367	3886	0.00020
Oligoflexia	1553900	C	1718	27	1745	0.00009
Hydrogenophilalia	2008785	C	1247	268	1515	0.00008
Zetaproteobacteria	580370	C	691	21	712	0.00004
Actinomycetia	1760	C	6360249	348015	6708264	0.33800
Thermoleophilia	1497346	C	158312	23940	182252	0.00918
Rubrobacteria	84995	C	126898	10810	137708	0.00694
Acidimicrobiia	84992	C	124707	15866	140573	0.00708
Coriobacteriia	84998	C	26559	4898	31457	0.00158
Nitriliruptoria	908620	C	22961	2364	25325	0.00128
Bacilli	91061	C	185409	129629	315038	0.01587
Clostridia	186801	C	54173	10972	65145	0.00328
Negativicutes	909932	C	7633	834	8467	0.00043
Limnochordia	1676648	C	3902	175	4077	0.00021
Tissierellia	1737404	C	1088	791	1879	0.00009
Erysipelotrichia	526524	C	815	59346	60161	0.00303
Gloeobacteria	307596	C	6298	1638	7936	0.00040
Deinococci	188787	C	56771	3004	59775	0.00301
Thermomicrobia	189775	C	11589	484	12073	0.00061
Chloroflexia	32061	C	7343	277	7620	0.00038
Tepidiformia	2682225	C	6280	290	6570	0.00033
Ardenticatenia	1382928	C	5898	130	6028	0.00030
Anaerolineae	292625	C	3235	65	3300	0.00017
Caldilineae	475962	C	2971	195	3166	0.00016
Dehalococcoidia	301297	C	1795	33	1828	0.00009
Ktedonobacteria	388447	C	1217	37	1254	0.00006
Candidatus Thermofonsia	2364196	C	1143	1213	2356	0.00012
Fimbriimonadia	1663419	C	3201	20	3221	0.00016
Chthonomonadetes	1077257	C	787	7	794	0.00004
Mollicutes	31969	C	988	201	1189	0.00006
Planctomycetia	203683	C	596879	9522	606401	0.03055
Phycisphaerae	666505	C	20776	869	21645	0.00109
Candidatus Brocadiia	2517206	C	260	1	261	0.00001
Candidatus Uabimicrobiia	2897345	C	187	4	191	0.00001
Opitutae	414999	C	59616	2715	62331	0.00314
Verrucomicrobiae	203494	C	23998	3209	27207	0.00137
Methylacidiphilae	1955630	C	228	6	234	0.00001
Spartobacteria	134549	C	216	13	229	0.00001
Kiritimatiellae	1921781	C	1571	1941	3512	0.00018
Tichowtungiia	2907184	C	579	21	600	0.00003
Chlamydiia	204429	C	902	584	1486	0.00007
Cytophagia	768503	C	55651	1404	57055	0.00287
Chitinophagia	1853228	C	23653	385	24038	0.00121
Flavobacteriia	117743	C	23510	2078	25588	0.00129
Bacteroidia	200643	C	18452	21915	40367	0.00203
Sphingobacteriia	117747	C	8755	977	9732	0.00049
Saprospiria	1937959	C	669	172	841	0.00004
Chlorobia	191410	C	6421	736	7157	0.00036
Ignavibacteria	795747	C	388	9	397	0.00002
Gemmatimonadetes	219685	C	82541	5175	87716	0.00442
Fibrobacteria	204430	C	251	104	355	0.00002
Vicinamibacteria	1813735	C	142596	8529	151125	0.00761
Acidobacteriia	204432	C	58043	964	59007	0.00297
Blastocatellia	1562566	C	5857	372	6229	0.00031
Holophagae	533205	C	3820	79	3899	0.00020
Nitrospira	203693	C	22083	357	22440	0.00113
Thermodesulfovibrionia	2811502	C	275	7	282	0.00001
Spirochaetia	203692	C	5982	367	6349	0.00032
Synergistia	649775	C	4961	1487	6448	0.00032
Candidatus Saccharimonia	2093818	C	237	330	567	0.00003
Candidatus Babeliae	2497643	C	213	127	340	0.00002
Thermotogae	188708	C	1463	78	1541	0.00008
Aquificae	187857	C	1042	16	1058	0.00005
Thermodesulfobacteria	67799	C	808	17	825	0.00004
Calditrichia	1962850	C	555	6	561	0.00003
Deferribacteres	68337	C	531	18	549	0.00003
Fusobacteriia	203490	C	463	102	565	0.00003
Chrysiogenetes	118001	C	453	228	681	0.00003
Endomicrobia	447830	C	164	2	166	0.00001
Elusimicrobia	641853	C	137	1	138	0.00001
Coprothermobacteria	2138243	C	143	32	175	0.00001
Caldisericia	693071	C	139	0	139	0.00001
Dictyoglomia	203486	C	133	1	134	0.00001
Atribacteria	2847774	C	109	3	112	0.00001
Sordariomycetes	147550	C	46984	859	47843	0.00241
Leotiomycetes	147548	C	640	5	645	0.00003
Eurotiomycetes	147545	C	4710	220	4930	0.00025
Dothideomycetes	147541	C	1926	366	2292	0.00012
Saccharomycetes	4891	C	1968	190	2158	0.00011
Schizosaccharomycetes	147554	C	59	1	60	0.00000
Ustilaginomycetes	5257	C	3276	86	3362	0.00017
Malasseziomycetes	1538075	C	227	47	274	0.00001
Agaricomycetes	155619	C	1007	22	1029	0.00005
Tremellomycetes	155616	C	228	6664	6892	0.00035
