name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	923774	92123	1015897	0.05119
Phyllobacteriaceae	69277	F	378637	82392	461029	0.02323
Rhizobiaceae	82115	F	361601	101378	462979	0.02333
Methylobacteriaceae	119045	F	246730	39607	286337	0.01443
Hyphomicrobiaceae	45401	F	148322	14966	163288	0.00823
Xanthobacteraceae	335928	F	136847	26396	163243	0.00822
Boseaceae	2831100	F	76128	13141	89269	0.00450
Devosiaceae	2831106	F	61787	64225	126012	0.00635
Aurantimonadaceae	255475	F	53252	11761	65013	0.00328
Methylocystaceae	31993	F	37233	3474	40707	0.00205
Phreatobacteraceae	2843305	F	33651	6457	40108	0.00202
Stappiaceae	2821832	F	33220	8256	41476	0.00209
Parvibaculaceae	2813035	F	21594	5526	27120	0.00137
Blastochloridaceae	2831090	F	19978	5252	25230	0.00127
Chelatococcaceae	2036754	F	19822	4949	24771	0.00125
Beijerinckiaceae	45404	F	18312	1493	19805	0.00100
Kaistiaceae	2831111	F	10988	3047	14035	0.00071
Brucellaceae	118882	F	10497	5592	16089	0.00081
Amorphaceae	2685818	F	10424	1260	11684	0.00059
Pleomorphomonadaceae	2843308	F	6970	1400	8370	0.00042
Breoghaniaceae	2831104	F	6895	1016	7911	0.00040
Lichenihabitantaceae	2723775	F	5909	314	6223	0.00031
Cohaesibacteraceae	655351	F	1270	56	1326	0.00007
Bartonellaceae	772	F	1109	76	1185	0.00006
Sphingomonadaceae	41297	F	598967	87059	686026	0.03457
Erythrobacteraceae	335929	F	132712	24438	157150	0.00792
Sphingosinicellaceae	2820280	F	27581	2346	29927	0.00151
Zymomonadaceae	2844881	F	266	270	536	0.00003
Azospirillaceae	2829815	F	164474	18710	183184	0.00923
Acetobacteraceae	433	F	116792	15128	131920	0.00665
Rhodospirillaceae	41295	F	82961	365404	448365	0.02259
Stellaceae	2844601	F	17910	1315	19225	0.00097
