name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	10048710	690799	10739509	0.54111
Actinobacteria	201174	P	6901140	324441	7225581	0.36406
Firmicutes	1239	P	258050	137998	396048	0.01995
Cyanobacteria	1117	P	65065	1774	66839	0.00337
Deinococcus-Thermus	1297	P	56771	3004	59775	0.00301
Chloroflexi	200795	P	43315	884	44199	0.00223
Armatimonadetes	67819	P	4002	27	4029	0.00020
Tenericutes	544448	P	1113	76	1189	0.00006
Planctomycetes	203682	P	620608	7890	628498	0.03167
Verrucomicrobia	74201	P	87056	2947	90003	0.00453
Kiritimatiellaeota	134625	P	2162	1950	4112	0.00021
Chlamydiae	204428	P	902	27	929	0.00005
Candidatus Omnitrophica	67812	P	554	2	556	0.00003
Bacteroidetes	976	P	153996	3628	157624	0.00794
Chlorobi	1090	P	6421	259	6680	0.00034
Balneolaeota	1936987	P	427	49	476	0.00002
Ignavibacteriae	1134404	P	388	9	397	0.00002
Gemmatimonadetes	142182	P	82541	5175	87716	0.00442
Fibrobacteres	65842	P	251	5	256	0.00001
Candidatus Cloacimonetes	456828	P	96	2	98	0.00000
Acidobacteria	57723	P	212487	7776	220263	0.01110
Nitrospirae	40117	P	22363	359	22722	0.00114
Spirochaetes	203691	P	5982	367	6349	0.00032
Synergistetes	508458	P	4961	453	5414	0.00027
Candidatus Bipolaricaulota	67810	P	988	45	1033	0.00005
Candidatus Saccharibacteria	95818	P	526	338	864	0.00004
Candidatus Absconditabacteria	221235	P	43	0	43	0.00000
Thermotogae	200918	P	1463	78	1541	0.00008
Aquificae	200783	P	1042	16	1058	0.00005
Thermodesulfobacteria	200940	P	808	17	825	0.00004
Calditrichaeota	1930617	P	555	6	561	0.00003
Deferribacteres	200930	P	531	18	549	0.00003
Fusobacteria	32066	P	463	102	565	0.00003
Chrysiogenetes	200938	P	453	228	681	0.00003
Elusimicrobia	74152	P	302	3	305	0.00002
Coprothermobacterota	2138240	P	143	32	175	0.00001
Caldiserica	67814	P	139	0	139	0.00001
Dictyoglomi	68297	P	133	1	134	0.00001
Atribacterota	67818	P	109	3	112	0.00001
Ascomycota	4890	P	57346	585	57931	0.00292
Basidiomycota	5204	P	4766	173	4939	0.00025
Microsporidia	6029	P	49	0	49	0.00000
Oomycota	4762	P	5733	836	6569	0.00033
