name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	5279818	283662	5563480	0.27416
Betaproteobacteria	28216	C	2538552	384651	2923203	0.14405
Gammaproteobacteria	1236	C	2084575	343237	2427812	0.11964
Deltaproteobacteria	28221	C	607142	19158	626300	0.03086
Epsilonproteobacteria	29547	C	4315	165	4480	0.00022
Acidithiobacillia	1807140	C	2200	152	2352	0.00012
Oligoflexia	1553900	C	1907	18	1925	0.00009
Hydrogenophilalia	2008785	C	789	114	903	0.00004
Zetaproteobacteria	580370	C	457	9	466	0.00002
Actinomycetia	1760	C	6193641	254229	6447870	0.31774
Thermoleophilia	1497346	C	128566	14908	143474	0.00707
Rubrobacteria	84995	C	101557	6657	108214	0.00533
Acidimicrobiia	84992	C	90565	8825	99390	0.00490
Coriobacteriia	84998	C	17490	2243	19733	0.00097
Nitriliruptoria	908620	C	14177	1124	15301	0.00075
Bacilli	91061	C	220072	82864	302936	0.01493
Clostridia	186801	C	37561	6145	43706	0.00215
Negativicutes	909932	C	4969	390	5359	0.00026
Limnochordia	1676648	C	2328	67	2395	0.00012
Erysipelotrichia	526524	C	1601	611	2212	0.00011
Tissierellia	1737404	C	889	666	1555	0.00008
Deinococci	188787	C	41888	32187	74075	0.00365
Gloeobacteria	307596	C	3944	5301	9245	0.00046
Thermomicrobia	189775	C	7976	346	8322	0.00041
Chloroflexia	32061	C	5617	224	5841	0.00029
Tepidiformia	2682225	C	4482	160	4642	0.00023
Ardenticatenia	1382928	C	3734	62	3796	0.00019
Caldilineae	475962	C	2172	176	2348	0.00012
Anaerolineae	292625	C	1801	45	1846	0.00009
Dehalococcoidia	301297	C	1235	27	1262	0.00006
Candidatus Thermofonsia	2364196	C	785	10	795	0.00004
Ktedonobacteria	388447	C	739	727	1466	0.00007
Fimbriimonadia	1663419	C	2005	8	2013	0.00010
Chthonomonadetes	1077257	C	445	2	447	0.00002
Mollicutes	31969	C	709	105	814	0.00004
Planctomycetia	203683	C	554639	6953	561592	0.02767
Phycisphaerae	666505	C	19578	582	20160	0.00099
Candidatus Brocadiia	2517206	C	167	0	167	0.00001
Candidatus Uabimicrobiia	2897345	C	102	1	103	0.00001
Opitutae	414999	C	36217	1282	37499	0.00185
Verrucomicrobiae	203494	C	24371	1953	26324	0.00130
Spartobacteria	134549	C	144	9	153	0.00001
Methylacidiphilae	1955630	C	129	4	133	0.00001
Kiritimatiellae	1921781	C	1024	1181	2205	0.00011
Tichowtungiia	2907184	C	372	11	383	0.00002
Chlamydiia	204429	C	508	346	854	0.00004
Cytophagia	768503	C	107768	2042	109810	0.00541
Flavobacteriia	117743	C	93285	7447	100732	0.00496
Chitinophagia	1853228	C	44964	570	45534	0.00224
Sphingobacteriia	117747	C	35425	3577	39002	0.00192
Bacteroidia	200643	C	14934	14827	29761	0.00147
Saprospiria	1937959	C	578	175	753	0.00004
Chlorobia	191410	C	4151	468	4619	0.00023
Ignavibacteria	795747	C	247	3	250	0.00001
Gemmatimonadetes	219685	C	78871	3553	82424	0.00406
Fibrobacteria	204430	C	172	66	238	0.00001
Vicinamibacteria	1813735	C	150208	6075	156283	0.00770
Acidobacteriia	204432	C	37838	433	38271	0.00189
Blastocatellia	1562566	C	3662	70	3732	0.00018
Holophagae	533205	C	2387	33	2420	0.00012
Nitrospira	203693	C	11113	118	11231	0.00055
Thermodesulfovibrionia	2811502	C	202	3	205	0.00001
Spirochaetia	203692	C	3715	181	3896	0.00019
Synergistia	649775	C	3150	191	3341	0.00016
Candidatus Saccharimonia	2093818	C	269	946	1215	0.00006
Candidatus Babeliae	2497643	C	111	95	206	0.00001
Thermotogae	188708	C	877	37	914	0.00005
Aquificae	187857	C	720	7	727	0.00004
Thermodesulfobacteria	67799	C	431	6	437	0.00002
Fusobacteriia	203490	C	367	45	412	0.00002
Deferribacteres	68337	C	338	7	345	0.00002
Calditrichia	1962850	C	319	2	321	0.00002
Chrysiogenetes	118001	C	308	111	419	0.00002
Elusimicrobia	641853	C	118	1	119	0.00001
Endomicrobia	447830	C	91	1	92	0.00000
Caldisericia	693071	C	96	0	96	0.00000
Coprothermobacteria	2138243	C	92	14	106	0.00001
Dictyoglomia	203486	C	61	0	61	0.00000
Atribacteria	2847774	C	43	0	43	0.00000
Sordariomycetes	147550	C	116621	2094	118715	0.00585
Leotiomycetes	147548	C	375	2	377	0.00002
Eurotiomycetes	147545	C	11297	339	11636	0.00057
Dothideomycetes	147541	C	3755	488	4243	0.00021
Saccharomycetes	4891	C	1752	95	1847	0.00009
Schizosaccharomycetes	147554	C	73	1	74	0.00000
Ustilaginomycetes	5257	C	2282	49	2331	0.00011
Malasseziomycetes	1538075	C	187	32	219	0.00001
Agaricomycetes	155619	C	707	12	719	0.00004
Tremellomycetes	155616	C	276	4595	4871	0.00024
