name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2891488	149110	3040598	0.14984
Sphingomonadales	204457	O	1143112	77244	1220356	0.06014
Rhodobacterales	204455	O	396798	23305	420103	0.02070
Rhodospirillales	204441	O	364820	216824	581644	0.02866
Caulobacterales	204458	O	255692	22987	278679	0.01373
Hyphomonadales	2800060	O	8859	247	9106	0.00045
Maricaulales	2800059	O	6391	526	6917	0.00034
Parvularculales	255473	O	1940	104	2044	0.00010
Rickettsiales	766	O	1104	35	1139	0.00006
Emcibacterales	2066490	O	962	1011	1973	0.00010
Holosporales	1921002	O	356	7	363	0.00002
Magnetococcales	1191478	O	245	4	249	0.00001
Pelagibacterales	54526	O	150	2	152	0.00001
Kordiimonadales	362534	O	148	2	150	0.00001
Burkholderiales	80840	O	2260863	400734	2661597	0.13116
Rhodocyclales	206389	O	89287	18339	107626	0.00530
Nitrosomonadales	32003	O	88975	6821	95796	0.00472
Neisseriales	206351	O	48384	9768	58152	0.00287
Xanthomonadales	135614	O	1196058	146861	1342919	0.06618
Pseudomonadales	72274	O	445280	126829	572109	0.02819
Enterobacterales	91347	O	100556	108456	209012	0.01030
Chromatiales	135613	O	67167	3840	71007	0.00350
Oceanospirillales	135619	O	58980	6378	65358	0.00322
Cellvibrionales	1706369	O	26303	815	27118	0.00134
Methylococcales	135618	O	21400	719	22119	0.00109
Aeromonadales	135624	O	21181	11773	32954	0.00162
Nevskiales	1775403	O	15878	2423	18301	0.00090
Alteromonadales	135622	O	13263	1309	14572	0.00072
Acidiferrobacterales	1692040	O	12383	452	12835	0.00063
Moraxellales	2887326	O	7406	2066	9472	0.00047
Vibrionales	135623	O	7214	4338	11552	0.00057
Legionellales	118969	O	3340	133	3473	0.00017
Immundisolibacterales	1934945	O	3254	445	3699	0.00018
Thiotrichales	72273	O	2979	140	3119	0.00015
Salinisphaerales	742030	O	2114	2052	4166	0.00021
Pasteurellales	135625	O	1729	473	2202	0.00011
Cardiobacteriales	135615	O	1261	121	1382	0.00007
Kangiellales	2887327	O	265	12	277	0.00001
Orbales	1240482	O	133	25	158	0.00001
Myxococcales	29	O	509551	18296	527847	0.02601
Desulfuromonadales	69541	O	39463	3096	42559	0.00210
Desulfovibrionales	213115	O	27780	2172	29952	0.00148
Desulfobacterales	213118	O	10090	930	11020	0.00054
Bradymonadales	1779134	O	7220	176	7396	0.00036
Syntrophobacterales	213462	O	2206	586	2792	0.00014
Desulfarculales	453227	O	1959	1249	3208	0.00016
Syntrophales	2914038	O	1213	279	1492	0.00007
Desulfurellales	213113	O	30	1	31	0.00000
