name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	11536155	484950	12021105	0.35775
Betaproteobacteria	28216	C	3839489	442988	4282477	0.12745
Gammaproteobacteria	1236	C	3322904	377113	3700017	0.11011
Deltaproteobacteria	28221	C	751823	32959	784782	0.02336
Epsilonproteobacteria	29547	C	9845	470	10315	0.00031
Oligoflexia	1553900	C	5591	32	5623	0.00017
Acidithiobacillia	1807140	C	5055	316	5371	0.00016
Hydrogenophilalia	2008785	C	1354	129	1483	0.00004
Zetaproteobacteria	580370	C	931	14	945	0.00003
Actinomycetia	1760	C	7800226	218468	8018694	0.23864
Acidimicrobiia	84992	C	140810	10640	151450	0.00451
Thermoleophilia	1497346	C	97334	8293	105627	0.00314
Rubrobacteria	84995	C	34486	2328	36814	0.00110
Coriobacteriia	84998	C	20778	2086	22864	0.00068
Nitriliruptoria	908620	C	13401	802	14203	0.00042
Bacilli	91061	C	1179755	354036	1533791	0.04565
Clostridia	186801	C	68857	6287	75144	0.00224
Negativicutes	909932	C	7341	413	7754	0.00023
Limnochordia	1676648	C	2617	53	2670	0.00008
Tissierellia	1737404	C	2444	627	3071	0.00009
Erysipelotrichia	526524	C	2357	892	3249	0.00010
Deinococci	188787	C	55526	49253	104779	0.00312
Gloeobacteria	307596	C	4402	1570	5972	0.00018
Thermomicrobia	189775	C	9477	328	9805	0.00029
Chloroflexia	32061	C	5894	203	6097	0.00018
Tepidiformia	2682225	C	5693	149	5842	0.00017
Ardenticatenia	1382928	C	4744	57	4801	0.00014
Caldilineae	475962	C	2966	200	3166	0.00009
Anaerolineae	292625	C	1920	36	1956	0.00006
Dehalococcoidia	301297	C	1656	36	1692	0.00005
Candidatus Thermofonsia	2364196	C	911	9	920	0.00003
Ktedonobacteria	388447	C	879	903	1782	0.00005
Fimbriimonadia	1663419	C	2343	6	2349	0.00007
Chthonomonadetes	1077257	C	555	2	557	0.00002
Mollicutes	31969	C	2457	424	2881	0.00009
Opitutae	414999	C	577582	11757	589339	0.01754
Verrucomicrobiae	203494	C	75376	2579	77955	0.00232
Methylacidiphilae	1955630	C	375	5	380	0.00001
Spartobacteria	134549	C	236	5	241	0.00001
Planctomycetia	203683	C	555943	3858	559801	0.01666
Phycisphaerae	666505	C	22024	635	22659	0.00067
Candidatus Brocadiia	2517206	C	233	0	233	0.00001
Candidatus Uabimicrobiia	2897345	C	209	3	212	0.00001
Chlamydiia	204429	C	6989	46	7035	0.00021
Kiritimatiellae	1921781	C	1414	866	2280	0.00007
Tichowtungiia	2907184	C	729	479	1208	0.00004
Flavobacteriia	117743	C	429371	21403	450774	0.01342
Chitinophagia	1853228	C	154410	1562	155972	0.00464
Cytophagia	768503	C	119615	2229	121844	0.00363
Sphingobacteriia	117747	C	54050	6529	60579	0.00180
Bacteroidia	200643	C	32017	26271	58288	0.00173
Saprospiria	1937959	C	3010	444	3454	0.00010
Chlorobia	191410	C	6394	809	7203	0.00021
Ignavibacteria	795747	C	517	9	526	0.00002
Gemmatimonadetes	219685	C	108280	3097	111377	0.00331
Fibrobacteria	204430	C	301	120	421	0.00001
Vicinamibacteria	1813735	C	57768	1803	59571	0.00177
Acidobacteriia	204432	C	39988	305	40293	0.00120
Blastocatellia	1562566	C	3580	70	3650	0.00011
Holophagae	533205	C	2847	27	2874	0.00009
Nitrospira	203693	C	29086	193	29279	0.00087
Thermodesulfovibrionia	2811502	C	213	1	214	0.00001
Spirochaetia	203692	C	8019	1906	9925	0.00030
Candidatus Saccharimonia	2093818	C	1616	1857	3473	0.00010
Candidatus Babeliae	2497643	C	369	240	609	0.00002
Synergistia	649775	C	4001	142	4143	0.00012
Thermotogae	188708	C	1357	68	1425	0.00004
Fusobacteriia	203490	C	1292	130	1422	0.00004
Aquificae	187857	C	795	12	807	0.00002
Thermodesulfobacteria	67799	C	714	6	720	0.00002
Deferribacteres	68337	C	620	8	628	0.00002
Calditrichia	1962850	C	578	2	580	0.00002
Chrysiogenetes	118001	C	516	111	627	0.00002
Elusimicrobia	641853	C	147	2	149	0.00000
Endomicrobia	447830	C	116	2	118	0.00000
Caldisericia	693071	C	128	0	128	0.00000
Dictyoglomia	203486	C	113	0	113	0.00000
Coprothermobacteria	2138243	C	96	8	104	0.00000
Atribacteria	2847774	C	72	0	72	0.00000
Sordariomycetes	147550	C	219156	5286	224442	0.00668
Leotiomycetes	147548	C	1086	3	1089	0.00003
Eurotiomycetes	147545	C	6843	111	6954	0.00021
Dothideomycetes	147541	C	2273	160	2433	0.00007
Saccharomycetes	4891	C	4596	150	4746	0.00014
Schizosaccharomycetes	147554	C	438	7	445	0.00001
Ustilaginomycetes	5257	C	3770	58	3828	0.00011
Malasseziomycetes	1538075	C	339	37	376	0.00001
Agaricomycetes	155619	C	1458	23	1481	0.00004
Tremellomycetes	155616	C	385	22814	23199	0.00069
