name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	1497605	87200	1584805	0.04716
Rhizobiaceae	82115	F	1402928	306604	1709532	0.05088
Phyllobacteriaceae	69277	F	1325712	160534	1486246	0.04423
Devosiaceae	2831106	F	618359	31045	649404	0.01933
Methylobacteriaceae	119045	F	301512	25911	327423	0.00974
Xanthobacteraceae	335928	F	289101	277099	566200	0.01685
Hyphomicrobiaceae	45401	F	154538	8781	163319	0.00486
Boseaceae	2831100	F	121995	12145	134140	0.00399
Aurantimonadaceae	255475	F	100147	13052	113199	0.00337
Stappiaceae	2821832	F	59333	10112	69445	0.00207
Methylocystaceae	31993	F	45167	2323	47490	0.00141
Brucellaceae	118882	F	41959	17263	59222	0.00176
Phreatobacteraceae	2843305	F	39371	4241	43612	0.00130
Parvibaculaceae	2813035	F	30403	4959	35362	0.00105
Chelatococcaceae	2036754	F	28366	4158	32524	0.00097
Beijerinckiaceae	45404	F	24123	1088	25211	0.00075
Blastochloridaceae	2831090	F	21326	3160	24486	0.00073
Kaistiaceae	2831111	F	19781	3085	22866	0.00068
Amorphaceae	2685818	F	13354	885	14239	0.00042
Pleomorphomonadaceae	2843308	F	11009	1261	12270	0.00037
Breoghaniaceae	2831104	F	10327	865	11192	0.00033
Lichenihabitantaceae	2723775	F	7425	211	7636	0.00023
Bartonellaceae	772	F	2735	96	2831	0.00008
Cohaesibacteraceae	655351	F	2159	50	2209	0.00007
Sphingomonadaceae	41297	F	2207926	215852	2423778	0.07213
Erythrobacteraceae	335929	F	234553	22951	257504	0.00766
Sphingosinicellaceae	2820280	F	134266	8068	142334	0.00424
Zymomonadaceae	2844881	F	653	440	1093	0.00003
Rhodospirillaceae	41295	F	193498	299020	492518	0.01466
Azospirillaceae	2829815	F	187126	11272	198398	0.00590
Acetobacteraceae	433	F	152189	11977	164166	0.00489
Stellaceae	2844601	F	30237	1314	31551	0.00094
Thalassospiraceae	2844866	F	8219	318	8537	0.00025
Elioraeaceae	2690195	F	7622	219	7841	0.00023
Terasakiellaceae	2813951	F	495	6	501	0.00001
Rhodobacteraceae	31989	F	372278	36934	409212	0.01218
Roseobacteraceae	2854170	F	191270	20321	211591	0.00630
Caulobacteraceae	76892	F	448124	28096	476220	0.01417
Hyphomonadaceae	69657	F	18791	410	19201	0.00057
Maricaulaceae	2800061	F	12746	6777	19523	0.00058
Parvularculaceae	255474	F	3719	162	3881	0.00012
Rickettsiaceae	775	F	1482	46	1528	0.00005
Anaplasmataceae	942	F	1370	18	1388	0.00004
Candidatus Midichloriaceae	1328881	F	170	119	289	0.00001
Candidatus Deianiraeaceae	2603433	F	69	0	69	0.00000
Emcibacteraceae	2066491	F	2226	105	2331	0.00007
Caedimonadaceae	2100208	F	486	16	502	0.00001
Holosporaceae	44746	F	409	3	412	0.00001
Candidatus Paracaedibacteraceae	1777752	F	283	11	294	0.00001
Pelagibacteraceae	1655514	F	593	113	706	0.00002
Magnetococcaceae	1191479	F	554	6	560	0.00002
Kordiimonadaceae	1331809	F	283	3	286	0.00001
Comamonadaceae	80864	F	1582838	340697	1923535	0.05724
Burkholderiaceae	119060	F	671723	177319	849042	0.02527
Oxalobacteraceae	75682	F	335057	26412	361469	0.01076
Alcaligenaceae	506	F	233415	302454	535869	0.01595
