name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	6821831	323045	7144876	0.21263
Sphingomonadales	204457	O	2639160	185551	2824711	0.08406
Rhodospirillales	204441	O	597464	306051	903515	0.02689
Rhodobacterales	204455	O	594140	26663	620803	0.01848
Caulobacterales	204458	O	448124	28096	476220	0.01417
Hyphomonadales	2800060	O	18791	410	19201	0.00057
Maricaulales	2800059	O	12746	6777	19523	0.00058
Parvularculales	255473	O	3719	162	3881	0.00012
Rickettsiales	766	O	3253	24	3277	0.00010
Emcibacterales	2066490	O	2226	105	2331	0.00007
Holosporales	1921002	O	1191	18	1209	0.00004
Pelagibacterales	54526	O	701	5	706	0.00002
Magnetococcales	1191478	O	554	6	560	0.00002
Kordiimonadales	362534	O	283	3	286	0.00001
Burkholderiales	80840	O	3198289	475345	3673634	0.10933
Nitrosomonadales	32003	O	285242	15959	301201	0.00896
Rhodocyclales	206389	O	159084	28176	187260	0.00557
Neisseriales	206351	O	103156	17134	120290	0.00358
Xanthomonadales	135614	O	1228075	128637	1356712	0.04038
Pseudomonadales	72274	O	671476	138541	810017	0.02411
Cellvibrionales	1706369	O	360253	6995	367248	0.01093
Enterobacterales	91347	O	197369	176819	374188	0.01114
Nevskiales	1775403	O	176960	16475	193435	0.00576
Chromatiales	135613	O	143678	7445	151123	0.00450
Oceanospirillales	135619	O	117620	9944	127564	0.00380
Methylococcales	135618	O	44539	1270	45809	0.00136
Aeromonadales	135624	O	39085	26369	65454	0.00195
Alteromonadales	135622	O	38683	3912	42595	0.00127
Legionellales	118969	O	32626	1693	34319	0.00102
Vibrionales	135623	O	22585	3455	26040	0.00077
Acidiferrobacterales	1692040	O	19884	591	20475	0.00061
Moraxellales	2887326	O	16192	7102	23294	0.00069
Immundisolibacterales	1934945	O	12965	1572	14537	0.00043
Thiotrichales	72273	O	10961	686	11647	0.00035
Pasteurellales	135625	O	9896	13259	23155	0.00069
Salinisphaerales	742030	O	4126	3774	7900	0.00024
Cardiobacteriales	135615	O	2619	228	2847	0.00008
Kangiellales	2887327	O	937	43	980	0.00003
Orbales	1240482	O	610	59	669	0.00002
Myxococcales	29	O	623942	34224	658166	0.01959
Desulfuromonadales	69541	O	50087	2637	52724	0.00157
Desulfovibrionales	213115	O	36772	2053	38825	0.00116
Desulfobacterales	213118	O	15245	937	16182	0.00048
Bradymonadales	1779134	O	10527	175	10702	0.00032
Desulfarculales	453227	O	2705	1127	3832	0.00011
Syntrophobacterales	213462	O	2324	384	2708	0.00008
Syntrophales	2914038	O	1225	348	1573	0.00005
Desulfurellales	213113	O	64	1	65	0.00000
Campylobacterales	213849	O	9150	531	9681	0.00029
Nautiliales	235899	O	609	25	634	0.00002
Bdellovibrionales	213481	O	4761	41	4802	0.00014
Bacteriovoracales	2024979	O	549	3	552	0.00002
Silvanigrellales	2024973	O	266	3	269	0.00001
Acidithiobacillales	225057	O	5055	316	5371	0.00016
Hydrogenophilales	119069	O	1354	129	1483	0.00004
Mariprofundales	580371	O	931	14	945	0.00003
Streptomycetales	85011	O	1881660	287381	2169041	0.06455
Micrococcales	85006	O	1834994	161156	1996150	0.05941
Corynebacteriales	85007	O	959330	75634	1034964	0.03080
Micromonosporales	85008	O	829572	100627	930199	0.02768
Propionibacteriales	85009	O	766414	103292	869706	0.02588
Pseudonocardiales	85010	O	387081	40330	427411	0.01272
Streptosporangiales	85012	O	319176	34905	354081	0.01054
Geodermatophilales	1643682	O	71818	12868	84686	0.00252
Actinomycetales	2037	O	38025	3718	41743	0.00124
Frankiales	85013	O	27138	1843	28981	0.00086
Jiangellales	1217098	O	17239	2177	19416	0.00058
Bifidobacteriales	85004	O	15400	3101	18501	0.00055
Nakamurellales	1643684	O	9562	870	10432	0.00031
Catenulisporales	414714	O	6218	644	6862	0.00020
Actinopolysporales	622450	O	5555	398	5953	0.00018
Glycomycetales	85014	O	4759	264	5023	0.00015
Jatrophihabitantales	2805415	O	4509	274	4783	0.00014
Kineosporiales	622452	O	4178	816	4994	0.00015
Sporichthyales	2495578	O	2704	972	3676	0.00011
Acidothermales	1643683	O	1350	42	1392	0.00004
