name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	20229962	582160	20812122	0.61937
Actinobacteria	201174	P	8160888	188767	8349655	0.24849
Firmicutes	1239	P	1274111	351571	1625682	0.04838
Deinococcus-Thermus	1297	P	55526	1174	56700	0.00169
Cyanobacteria	1117	P	53660	646	54306	0.00162
Chloroflexi	200795	P	35737	328	36065	0.00107
Armatimonadetes	67819	P	2902	8	2910	0.00009
Tenericutes	544448	P	2761	120	2881	0.00009
Verrucomicrobia	74201	P	657141	10776	667917	0.01988
Planctomycetes	203682	P	580468	2438	582906	0.01735
Chlamydiae	204428	P	6989	46	7035	0.00021
Kiritimatiellaeota	134625	P	2182	856	3038	0.00009
Candidatus Omnitrophica	67812	P	450	0	450	0.00001
Bacteroidetes	976	P	841352	9560	850912	0.02532
Chlorobi	1090	P	6394	145	6539	0.00019
Balneolaeota	1936987	P	608	55	663	0.00002
Ignavibacteriae	1134404	P	517	9	526	0.00002
Gemmatimonadetes	142182	P	108280	3097	111377	0.00331
Fibrobacteres	65842	P	301	2	303	0.00001
Candidatus Cloacimonetes	456828	P	116	2	118	0.00000
Acidobacteria	57723	P	104928	1461	106389	0.00317
Nitrospirae	40117	P	29299	195	29494	0.00088
Spirochaetes	203691	P	8019	268	8287	0.00025
Candidatus Saccharibacteria	95818	P	4401	96	4497	0.00013
Candidatus Bipolaricaulota	67810	P	603	527	1130	0.00003
Candidatus Absconditabacteria	221235	P	93	0	93	0.00000
Synergistetes	508458	P	4001	142	4143	0.00012
Thermotogae	200918	P	1357	68	1425	0.00004
Fusobacteria	32066	P	1292	130	1422	0.00004
Aquificae	200783	P	795	12	807	0.00002
Thermodesulfobacteria	200940	P	714	6	720	0.00002
Deferribacteres	200930	P	620	8	628	0.00002
Calditrichaeota	1930617	P	578	2	580	0.00002
Chrysiogenetes	200938	P	516	111	627	0.00002
Elusimicrobia	74152	P	266	1	267	0.00001
Caldiserica	67814	P	128	0	128	0.00000
Dictyoglomi	68297	P	113	0	113	0.00000
Coprothermobacterota	2138240	P	96	8	104	0.00000
Atribacterota	67818	P	72	0	72	0.00000
Ascomycota	4890	P	236798	3314	240112	0.00715
Basidiomycota	5204	P	5986	105	6091	0.00018
Microsporidia	6029	P	147	0	147	0.00000
Oomycota	4762	P	21878	768	22646	0.00067
