name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	20515	4015	24530	0.00073
Bradyrhizobium sp. 170	2782641	S	18467	4161	22628	0.00067
Bradyrhizobium sp. BTAi1	288000	S	17413	2501	19914	0.00059
Bradyrhizobium sp. CCBAU 51753	1325100	S	17216	3069	20285	0.00060
Bradyrhizobium sp. CCBAU 051011	858422	S	16601	2724	19325	0.00058
Bradyrhizobium sp. SK17	2057741	S	16453	4428	20881	0.00062
Bradyrhizobium sp. A19	2898149	S	15567	2128	17695	0.00053
Bradyrhizobium sp. ORS 285	115808	S	14962	2709	17671	0.00053
Bradyrhizobium sp. ORS 278	114615	S	14625	2644	17269	0.00051
Bradyrhizobium sp. 186	2782654	S	11365	2641	14006	0.00042
Bradyrhizobium sp. CCBAU 53421	1325120	S	10212	2726	12938	0.00039
Bradyrhizobium sp. CCBAU 53338	1325111	S	9285	3299	12584	0.00037
Bradyrhizobium sp. 195	2782662	S	9133	2835	11968	0.00036
Bradyrhizobium sp. 1(2017)	1404888	S	8938	2353	11291	0.00034
Bradyrhizobium sp. CCBAU 53340	1325112	S	8775	2954	11729	0.00035
Bradyrhizobium sp. CCBAU 53351	1325114	S	8591	3773	12364	0.00037
Bradyrhizobium sp. I71	2590772	S	8577	6783	15360	0.00046
Bradyrhizobium sp. S2-11-2	2840472	S	8393	5825	14218	0.00042
Bradyrhizobium sp. S2-20-1	2840469	S	7552	5619	13171	0.00039
Bradyrhizobium sp. CCGE-LA001	1223566	S	7486	2406	9892	0.00029
Bradyrhizobium sp. 191	2782659	S	7261	6445	13706	0.00041
Bradyrhizobium sp. 6(2017)	1197460	S	7136	3075	10211	0.00030
Bradyrhizobium sp. S2-11-4	2840473	S	6917	5667	12584	0.00037
Bradyrhizobium sp. CCBAU 51765	1325102	S	6814	5627	12441	0.00037
Bradyrhizobium sp. 41S5	1404443	S	6464	3870	10334	0.00031
Bradyrhizobium sp. C-145	574727	S	3728	3319	7047	0.00021
Bradyrhizobium sp.	376	S	2619	7824	10443	0.00031
Bradyrhizobium sp. 144S4	2823807	S	2346	5271	7617	0.00023
Bradyrhizobium sp. 323S2	1404649	S	2336	5353	7689	0.00023
Bradyrhizobium sp. 40	2782674	S	2080	4335	6415	0.00019
Bradyrhizobium sp. 4	2782678	S	2057	4817	6874	0.00020
Bradyrhizobium sp. 192	2782660	S	1814	3975	5789	0.00017
Bradyrhizobium sp. LCT2	2493093	S	1508	3808	5316	0.00016
Bradyrhizobium sp. 131	2782609	S	1271	18876	20147	0.00060
Bradyrhizobium sp. SG09	2599805	S	834	5415	6249	0.00019
Bradyrhizobium sp. TM102	2599819	S	767	4760	5527	0.00016
Bradyrhizobium sp. 187	2782655	S	701	3134	3835	0.00011
Bradyrhizobium sp. 38S5	2819348	S	433	4800	5233	0.00016
Bradyrhizobium sp. 1S5	2816456	S	408	4170	4578	0.00014
Bradyrhizobium sp. 172	2782643	S	368	4066	4434	0.00013
Bradyrhizobium sp. CW1	2782686	S	318	4477	4795	0.00014
Bradyrhizobium sp. 155	2782629	S	218	3564	3782	0.00011
Bradyrhizobium sp. CCBAU 21365	1325083	S	18	795	813	0.00002
Bradyrhizobium erythrophlei	1437360	S	53177	3447	56624	0.00169
Bradyrhizobium diazoefficiens	1355477	S	37552	63910	101462	0.00302
Bradyrhizobium canariense	255045	S	17466	24919	42385	0.00126
Bradyrhizobium icense	1274631	S	17268	1978	19246	0.00057
Bradyrhizobium lablabi	722472	S	17248	18673	35921	0.00107
Bradyrhizobium guangdongense	1325090	S	16760	5355	22115	0.00066
Bradyrhizobium paxllaeri	190148	S	15455	2455	17910	0.00053
Bradyrhizobium genosp. L	83637	S	13927	2272	16199	0.00048
Bradyrhizobium japonicum	375	S	13015	17044	30059	0.00089
Bradyrhizobium oligotrophicum	44255	S	12886	1756	14642	0.00044
Bradyrhizobium arachidis	858423	S	10350	2530	12880	0.00038
Bradyrhizobium vignae	1549949	S	9808	1911	11719	0.00035
Bradyrhizobium quebecense	2748629	S	9116	4509	13625	0.00041
Bradyrhizobium cosmicum	1404864	S	8698	2394	11092	0.00033
Bradyrhizobium betae	244734	S	8577	4134	12711	0.00038
Bradyrhizobium genosp. B	83627	S	8450	1488	9938	0.00030
Bradyrhizobium guangzhouense	1325095	S	7892	2597	10489	0.00031
Bradyrhizobium guangxiense	1325115	S	7381	2777	10158	0.00030
Bradyrhizobium septentrionale	1404411	S	7242	3876	11118	0.00033
Bradyrhizobium daqingense	993502	S	6171	2890	9061	0.00027
Bradyrhizobium amphicarpaeae	1404768	S	5741	2045	7786	0.00023
Bradyrhizobium symbiodeficiens	1404367	S	5572	7478	13050	0.00039
Bradyrhizobium zhanjiangense	1325107	S	3345	2992	6337	0.00019
Bradyrhizobium elkanii	29448	S	2616	12388	15004	0.00045
Bradyrhizobium ottawaense	931866	S	1739	10006	11745	0.00035
Nitrobacter winogradskyi	913	S	198563	25936	224499	0.00668
Nitrobacter hamburgensis	912	S	132818	18615	151433	0.00451
Rhodopseudomonas palustris	1076	S	61214	17168	78382	0.00233
Rhodopseudomonas boonkerdii	475937	S	11969	3017	14986	0.00045
Rhodopseudomonas sp. SK50-23	340268	S	10139	1902	12041	0.00036
Afipia carboxidovorans	40137	S	24202	2723	26925	0.00080
Afipia sp. GAS231	1882747	S	7560	5507	13067	0.00039
Tardiphaga sp. 37S4	1404741	S	5439	4137	9576	0.00029
Tardiphaga sp. vice154	2592814	S	273	4853	5126	0.00015
Tardiphaga sp. vice304	2592817	S	213	4650	4863	0.00014
Tardiphaga sp. vice278	2592815	S	143	4006	4149	0.00012
Tardiphaga sp. vice352	2592816	S	46	1605	1651	0.00005
Tardiphaga robiniae	943830	S	5529	3770	9299	0.00028
Variibacter gotjawalensis	1333996	S	13708	756	14464	0.00043
Rhizobium sp. BG4	2613770	S	19239	2444	21683	0.00065
Rhizobium sp. WL3	2603277	S	17275	2253	19528	0.00058
Rhizobium sp. SL42	2806346	S	12288	1455	13743	0.00041
