name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	1640988	129334	1770322	0.22899
Gammaproteobacteria	1236	C	803266	211177	1014443	0.13122
Betaproteobacteria	28216	C	728764	139079	867843	0.11226
Deltaproteobacteria	28221	C	400630	23188	423818	0.05482
Epsilonproteobacteria	29547	C	2313	128	2441	0.00032
Oligoflexia	1553900	C	1885	23	1908	0.00025
Acidithiobacillia	1807140	C	1267	124	1391	0.00018
Hydrogenophilalia	2008785	C	370	71	441	0.00006
Zetaproteobacteria	580370	C	253	7	260	0.00003
Actinomycetia	1760	C	2567683	144513	2712196	0.35083
Thermoleophilia	1497346	C	65691	9688	75379	0.00975
Rubrobacteria	84995	C	38871	3815	42686	0.00552
Acidimicrobiia	84992	C	26779	3337	30116	0.00390
Coriobacteriia	84998	C	10140	1857	11997	0.00155
Nitriliruptoria	908620	C	7530	764	8294	0.00107
Bacilli	91061	C	101600	74363	175963	0.02276
Clostridia	186801	C	21917	4350	26267	0.00340
Negativicutes	909932	C	2737	296	3033	0.00039
Limnochordia	1676648	C	1652	72	1724	0.00022
Tissierellia	1737404	C	417	294	711	0.00009
Erysipelotrichia	526524	C	373	258	631	0.00008
Chloroflexia	32061	C	6527	271	6798	0.00088
Thermomicrobia	189775	C	6037	274	6311	0.00082
Tepidiformia	2682225	C	3621	167	3788	0.00049
Ardenticatenia	1382928	C	2772	61	2833	0.00037
Anaerolineae	292625	C	2187	54	2241	0.00029
Caldilineae	475962	C	1562	118	1680	0.00022
Dehalococcoidia	301297	C	882	17	899	0.00012
Ktedonobacteria	388447	C	749	26	775	0.00010
Candidatus Thermofonsia	2364196	C	641	615	1256	0.00016
Deinococci	188787	C	23413	21728	45141	0.00584
Gloeobacteria	307596	C	2334	843	3177	0.00041
Fimbriimonadia	1663419	C	1793	10	1803	0.00023
Chthonomonadetes	1077257	C	533	4	537	0.00007
Mollicutes	31969	C	391	95	486	0.00006
Planctomycetia	203683	C	185525	2986	188511	0.02438
Phycisphaerae	666505	C	9046	364	9410	0.00122
Candidatus Brocadiia	2517206	C	91	0	91	0.00001
Candidatus Uabimicrobiia	2897345	C	66	1	67	0.00001
Opitutae	414999	C	16156	674	16830	0.00218
Verrucomicrobiae	203494	C	8519	1161	9680	0.00125
Spartobacteria	134549	C	88	7	95	0.00001
Methylacidiphilae	1955630	C	78	3	81	0.00001
Kiritimatiellae	1921781	C	486	713	1199	0.00016
Tichowtungiia	2907184	C	196	9	205	0.00003
Chlamydiia	204429	C	252	168	420	0.00005
Flavobacteriia	117743	C	22294	1488	23782	0.00308
Cytophagia	768503	C	21660	548	22208	0.00287
Chitinophagia	1853228	C	9990	8565	18555	0.00240
Bacteroidia	200643	C	6847	1560	8407	0.00109
Sphingobacteriia	117747	C	3240	391	3631	0.00047
Saprospiria	1937959	C	201	68	269	0.00003
Chlorobia	191410	C	2368	253	2621	0.00034
Ignavibacteria	795747	C	125	3	128	0.00002
Gemmatimonadetes	219685	C	69090	4103	73193	0.00947
Fibrobacteria	204430	C	111	47	158	0.00002
Vicinamibacteria	1813735	C	40203	2332	42535	0.00550
Acidobacteriia	204432	C	18496	292	18788	0.00243
Blastocatellia	1562566	C	1969	56	2025	0.00026
Holophagae	533205	C	1661	31	1692	0.00022
Nitrospira	203693	C	8258	117	8375	0.00108
Thermodesulfovibrionia	2811502	C	196	4	200	0.00003
Spirochaetia	203692	C	2223	127	2350	0.00030
Synergistia	649775	C	1801	144	1945	0.00025
Candidatus Saccharimonia	2093818	C	197	724	921	0.00012
Candidatus Babeliae	2497643	C	58	42	100	0.00001
Thermotogae	188708	C	538	25	563	0.00007
Aquificae	187857	C	470	7	477	0.00006
Thermodesulfobacteria	67799	C	365	6	371	0.00005
Deferribacteres	68337	C	235	7	242	0.00003
Calditrichia	1962850	C	208	2	210	0.00003
Fusobacteriia	203490	C	151	25	176	0.00002
Chrysiogenetes	118001	C	150	67	217	0.00003
Endomicrobia	447830	C	61	1	62	0.00001
Elusimicrobia	641853	C	49	1	50	0.00001
Caldisericia	693071	C	89	0	89	0.00001
Dictyoglomia	203486	C	79	0	79	0.00001
Coprothermobacteria	2138243	C	71	14	85	0.00001
Atribacteria	2847774	C	48	1	49	0.00001
Sordariomycetes	147550	C	12258	241	12499	0.00162
Leotiomycetes	147548	C	125	0	125	0.00002
Eurotiomycetes	147545	C	2447	82	2529	0.00033
Dothideomycetes	147541	C	478	65	543	0.00007
Saccharomycetes	4891	C	523	42	565	0.00007
Schizosaccharomycetes	147554	C	17	0	17	0.00000
Ustilaginomycetes	5257	C	992	19	1011	0.00013
Malasseziomycetes	1538075	C	90	14	104	0.00001
Agaricomycetes	155619	C	272	5	277	0.00004
Tremellomycetes	155616	C	81	2363	2444	0.00032
