name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	772194	48694	820888	0.10618
Sphingomonadales	204457	O	434595	37756	472351	0.06110
Rhodospirillales	204441	O	146311	116082	262393	0.03394
Rhodobacterales	204455	O	99602	7184	106786	0.01381
Caulobacterales	204458	O	87907	10230	98137	0.01269
Hyphomonadales	2800060	O	3079	111	3190	0.00041
Maricaulales	2800059	O	3011	332	3343	0.00043
Parvularculales	255473	O	959	763	1722	0.00022
Rickettsiales	766	O	571	9	580	0.00008
Emcibacterales	2066490	O	420	40	460	0.00006
Holosporales	1921002	O	189	5	194	0.00003
Magnetococcales	1191478	O	135	3	138	0.00002
Pelagibacterales	54526	O	71	1	72	0.00001
Kordiimonadales	362534	O	60	1	61	0.00001
Pseudomonadales	72274	O	400273	120745	521018	0.06739
Xanthomonadales	135614	O	206055	30608	236663	0.03061
Enterobacterales	91347	O	41402	73086	114488	0.01481
Chromatiales	135613	O	33634	2329	35963	0.00465
Oceanospirillales	135619	O	26181	3059	29240	0.00378
Methylococcales	135618	O	10246	427	10673	0.00138
Aeromonadales	135624	O	9658	6108	15766	0.00204
Cellvibrionales	1706369	O	8036	332	8368	0.00108
Acidiferrobacterales	1692040	O	7231	333	7564	0.00098
Nevskiales	1775403	O	7053	1205	8258	0.00107
Alteromonadales	135622	O	5358	579	5937	0.00077
Vibrionales	135623	O	3165	519	3684	0.00048
Legionellales	118969	O	1887	84	1971	0.00026
Moraxellales	2887326	O	1842	881	2723	0.00035
Pasteurellales	135625	O	1822	2562	4384	0.00057
Immundisolibacterales	1934945	O	1696	1880	3576	0.00046
Thiotrichales	72273	O	1338	73	1411	0.00018
Salinisphaerales	742030	O	881	969	1850	0.00024
Cardiobacteriales	135615	O	659	77	736	0.00010
Kangiellales	2887327	O	93	5	98	0.00001
Orbales	1240482	O	51	11	62	0.00001
Burkholderiales	80840	O	597399	140301	737700	0.09542
Rhodocyclales	206389	O	45476	12711	58187	0.00753
Nitrosomonadales	32003	O	38716	4570	43286	0.00560
Neisseriales	206351	O	22741	5917	28658	0.00371
Myxococcales	29	O	343801	22728	366529	0.04741
Desulfuromonadales	69541	O	23504	2032	25536	0.00330
Desulfovibrionales	213115	O	15167	1500	16667	0.00216
Desulfobacterales	213118	O	5574	561	6135	0.00079
Bradymonadales	1779134	O	4272	127	4399	0.00057
Syntrophobacterales	213462	O	1406	370	1776	0.00023
Desulfarculales	453227	O	1073	687	1760	0.00023
Syntrophales	2914038	O	734	252	986	0.00013
Desulfurellales	213113	O	25	1	26	0.00000
Campylobacterales	213849	O	2101	128	2229	0.00029
Nautiliales	235899	O	196	16	212	0.00003
Bdellovibrionales	213481	O	1744	21	1765	0.00023
Bacteriovoracales	2024979	O	105	1	106	0.00001
Silvanigrellales	2024973	O	35	0	35	0.00000
Acidithiobacillales	225057	O	1267	124	1391	0.00018
Hydrogenophilales	119069	O	370	71	441	0.00006
Mariprofundales	580371	O	253	7	260	0.00003
Streptomycetales	85011	O	749750	179178	928928	0.12016
Micrococcales	85006	O	369366	55466	424832	0.05495
Corynebacteriales	85007	O	287154	38334	325488	0.04210
Micromonosporales	85008	O	217500	36826	254326	0.03290
Propionibacteriales	85009	O	215357	45368	260725	0.03372
Pseudonocardiales	85010	O	212598	36754	249352	0.03225
Streptosporangiales	85012	O	136404	23591	159995	0.02070
Geodermatophilales	1643682	O	27478	7810	35288	0.00456
Actinomycetales	2037	O	15181	2434	17615	0.00228
Frankiales	85013	O	13324	1414	14738	0.00191
Jiangellales	1217098	O	11080	2220	13300	0.00172
