name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	488009	30539	518548	0.24825
Betaproteobacteria	28216	C	222592	29856	252448	0.12086
Gammaproteobacteria	1236	C	132573	34344	166917	0.07991
Deltaproteobacteria	28221	C	69958	1840	71798	0.03437
Epsilonproteobacteria	29547	C	481	17	498	0.00024
Acidithiobacillia	1807140	C	274	26	300	0.00014
Oligoflexia	1553900	C	210	2	212	0.00010
Hydrogenophilalia	2008785	C	89	14	103	0.00005
Zetaproteobacteria	580370	C	45	1	46	0.00002
Actinomycetia	1760	C	782234	34625	816859	0.39107
Rubrobacteria	84995	C	17514	1019	18533	0.00887
Thermoleophilia	1497346	C	15611	1857	17468	0.00836
Acidimicrobiia	84992	C	10555	1064	11619	0.00556
Coriobacteriia	84998	C	2273	329	2602	0.00125
Nitriliruptoria	908620	C	2076	167	2243	0.00107
Bacilli	91061	C	44218	16891	61109	0.02926
Clostridia	186801	C	4564	646	5210	0.00249
Negativicutes	909932	C	605	45	650	0.00031
Limnochordia	1676648	C	319	10	329	0.00016
Tissierellia	1737404	C	102	44	146	0.00007
Erysipelotrichia	526524	C	85	41	126	0.00006
Deinococci	188787	C	5168	4012	9180	0.00439
Gloeobacteria	307596	C	490	591	1081	0.00052
Thermomicrobia	189775	C	1073	42	1115	0.00053
Chloroflexia	32061	C	682	25	707	0.00034
Tepidiformia	2682225	C	493	17	510	0.00024
Ardenticatenia	1382928	C	445	7	452	0.00022
Caldilineae	475962	C	233	16	249	0.00012
Anaerolineae	292625	C	205	4	209	0.00010
Dehalococcoidia	301297	C	157	2	159	0.00008
Ktedonobacteria	388447	C	106	3	109	0.00005
Candidatus Thermofonsia	2364196	C	97	92	189	0.00009
Fimbriimonadia	1663419	C	319	1	320	0.00015
Chthonomonadetes	1077257	C	55	0	55	0.00003
Mollicutes	31969	C	84	22	106	0.00005
Planctomycetia	203683	C	55092	775	55867	0.02675
Phycisphaerae	666505	C	2158	64	2222	0.00106
Candidatus Brocadiia	2517206	C	22	0	22	0.00001
Candidatus Uabimicrobiia	2897345	C	15	0	15	0.00001
Opitutae	414999	C	4811	165	4976	0.00238
Verrucomicrobiae	203494	C	2981	267	3248	0.00156
Spartobacteria	134549	C	18	1	19	0.00001
Methylacidiphilae	1955630	C	14	0	14	0.00001
Kiritimatiellae	1921781	C	118	126	244	0.00012
Tichowtungiia	2907184	C	39	1	40	0.00002
Chlamydiia	204429	C	79	37	116	0.00006
Cytophagia	768503	C	6537	131	6668	0.00319
Chitinophagia	1853228	C	5052	59	5111	0.00245
Flavobacteriia	117743	C	3811	270	4081	0.00195
Sphingobacteriia	117747	C	1752	156	1908	0.00091
Bacteroidia	200643	C	1502	1763	3265	0.00156
Saprospiria	1937959	C	49	8	57	0.00003
Chlorobia	191410	C	441	50	491	0.00024
Ignavibacteria	795747	C	17	0	17	0.00001
Gemmatimonadetes	219685	C	8431	390	8821	0.00422
Fibrobacteria	204430	C	23	3	26	0.00001
Vicinamibacteria	1813735	C	10210	465	10675	0.00511
Acidobacteriia	204432	C	3824	46	3870	0.00185
Blastocatellia	1562566	C	379	10	389	0.00019
Holophagae	533205	C	269	4	273	0.00013
Nitrospira	203693	C	1526	18	1544	0.00074
Thermodesulfovibrionia	2811502	C	15	0	15	0.00001
Spirochaetia	203692	C	476	14	490	0.00023
Synergistia	649775	C	420	113	533	0.00026
Candidatus Saccharimonia	2093818	C	26	36	62	0.00003
Thermotogae	188708	C	118	4	122	0.00006
Aquificae	187857	C	83	1	84	0.00004
Thermodesulfobacteria	67799	C	68	1	69	0.00003
Calditrichia	1962850	C	46	0	46	0.00002
Fusobacteriia	203490	C	43	6	49	0.00002
Chrysiogenetes	118001	C	38	13	51	0.00002
Deferribacteres	68337	C	35	0	35	0.00002
Dictyoglomia	203486	C	22	0	22	0.00001
Endomicrobia	447830	C	11	0	11	0.00001
Coprothermobacteria	2138243	C	19	3	22	0.00001
Caldisericia	693071	C	11	0	11	0.00001
Sordariomycetes	147550	C	7309	153	7462	0.00357
Leotiomycetes	147548	C	41	0	41	0.00002
Eurotiomycetes	147545	C	1744	54	1798	0.00086
Dothideomycetes	147541	C	287	37	324	0.00016
Saccharomycetes	4891	C	201	13	214	0.00010
Ustilaginomycetes	5257	C	271	4	275	0.00013
Malasseziomycetes	1538075	C	18	2	20	0.00001
Agaricomycetes	155619	C	76	1	77	0.00004
Tremellomycetes	155616	C	22	727	749	0.00036
