name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	74454	6009	80463	0.03853
Rhizobiaceae	82115	F	41500	7384	48884	0.02341
Methylobacteriaceae	119045	F	37458	4545	42003	0.02011
Phyllobacteriaceae	69277	F	34179	5553	39732	0.01903
Xanthobacteraceae	335928	F	9117	1388	10505	0.00503
Devosiaceae	2831106	F	8785	629	9414	0.00451
Boseaceae	2831100	F	8497	1157	9654	0.00462
Hyphomicrobiaceae	45401	F	7140	596	7736	0.00370
Aurantimonadaceae	255475	F	4325	3810	8135	0.00390
Brucellaceae	118882	F	2575	476	3051	0.00146
Methylocystaceae	31993	F	2542	180	2722	0.00130
Stappiaceae	2821832	F	2454	525	2979	0.00143
Phreatobacteraceae	2843305	F	2264	337	2601	0.00125
Chelatococcaceae	2036754	F	1643	317	1960	0.00094
Parvibaculaceae	2813035	F	1519	310	1829	0.00088
Blastochloridaceae	2831090	F	1254	255	1509	0.00072
Beijerinckiaceae	45404	F	1243	78	1321	0.00063
Kaistiaceae	2831111	F	819	175	994	0.00048
Amorphaceae	2685818	F	785	73	858	0.00041
Pleomorphomonadaceae	2843308	F	492	76	568	0.00027
Breoghaniaceae	2831104	F	488	56	544	0.00026
Lichenihabitantaceae	2723775	F	479	19	498	0.00024
Cohaesibacteraceae	655351	F	79	2	81	0.00004
Bartonellaceae	772	F	60	3	63	0.00003
Sphingomonadaceae	41297	F	95259	11364	106623	0.05106
Erythrobacteraceae	335929	F	11215	1720	12935	0.00619
Sphingosinicellaceae	2820280	F	3624	266	3890	0.00186
Zymomonadaceae	2844881	F	21	15	36	0.00002
Azospirillaceae	2829815	F	20047	1940	21987	0.01053
Acetobacteraceae	433	F	12748	1331	14079	0.00674
Rhodospirillaceae	41295	F	6660	22689	29349	0.01405
Stellaceae	2844601	F	1358	82	1440	0.00069
Elioraeaceae	2690195	F	637	27	664	0.00032
Thalassospiraceae	2844866	F	365	18	383	0.00018
Terasakiellaceae	2813951	F	17	0	17	0.00001
Rhodobacteraceae	31989	F	16181	2010	18191	0.00871
Roseobacteraceae	2854170	F	9700	1093	10793	0.00517
Caulobacteraceae	76892	F	16571	1350	17921	0.00858
Hyphomonadaceae	69657	F	773	24	797	0.00038
Maricaulaceae	2800061	F	676	58	734	0.00035
Parvularculaceae	255474	F	199	12	211	0.00010
Anaplasmataceae	942	F	48	0	48	0.00002
Rickettsiaceae	775	F	42	2	44	0.00002
Emcibacteraceae	2066491	F	89	6	95	0.00005
Holosporaceae	44746	F	15	0	15	0.00001
Candidatus Paracaedibacteraceae	1777752	F	12	0	12	0.00001
Caedimonadaceae	2100208	F	10	0	10	0.00000
Magnetococcaceae	1191479	F	22	0	22	0.00001
Comamonadaceae	80864	F	65388	19757	85145	0.04077
Burkholderiaceae	119060	F	45270	8376	53646	0.02569
Oxalobacteraceae	75682	F	29250	26520	55770	0.02671
Alcaligenaceae	506	F	13477	3961	17438	0.00835
Sutterellaceae	995019	F	238	16	254	0.00012
Thiobacillaceae	2008790	F	6611	1175	7786	0.00373
Nitrosomonadaceae	206379	F	5383	113	5496	0.00263
Usitatibacteraceae	2803844	F	3223	219	3442	0.00165
Sterolibacteriaceae	2008793	F	1702	381	2083	0.00100
Gallionellaceae	90627	F	703	67	770	0.00037
Sulfuricellaceae	2772226	F	651	69	720	0.00034
Methylophilaceae	32011	F	567	36	603	0.00029
Zoogloeaceae	2008794	F	4868	1748	6616	0.00317
Rhodocyclaceae	75787	F	3486	1025	4511	0.00216
Azonexaceae	2008795	F	1345	133	1478	0.00071
Fluviibacteraceae	2808923	F	31	9	40	0.00002
Chromobacteriaceae	1499392	F	3655	657	4312	0.00207
Neisseriaceae	481	F	1621	325	1946	0.00093
Casimicrobiaceae	2705999	F	263	117	380	0.00018
Xanthomonadaceae	32033	F	42403	7162	49565	0.02373
Rhodanobacteraceae	1775411	F	6116	878	6994	0.00335
Pseudomonadaceae	135621	F	37281	9068	46349	0.02219
Marinobacteraceae	2887365	F	771	52	823	0.00039
Enterobacteriaceae	543	F	4489	21100	25589	0.01225
Yersiniaceae	1903411	F	1598	291	1889	0.00090
Erwiniaceae	1903409	F	1308	159	1467	0.00070
Pectobacteriaceae	1903410	F	795	77	872	0.00042
Hafniaceae	1903412	F	237	78	315	0.00015
Morganellaceae	1903414	F	204	91	295	0.00014
Bruguierivoracaceae	2812006	F	125	6	131	0.00006
Budviciaceae	1903416	F	35	3	38	0.00002
Ectothiorhodospiraceae	72276	F	3256	271	3527	0.00169
Chromatiaceae	1046	F	2348	135	2483	0.00119
Wenzhouxiangellaceae	1676141	F	387	367	754	0.00036
Thioalkalispiraceae	1096778	F	210	71	281	0.00013
Thioalkalibacteraceae	2035710	F	205	42	247	0.00012
Halothiobacillaceae	255526	F	112	8	120	0.00006
Woeseiaceae	1738654	F	109	1	110	0.00005
Granulosicoccaceae	449719	F	85	1	86	0.00004
Halomonadaceae	28256	F	4869	461	5330	0.00255
Alcanivoracaceae	224372	F	486	165	651	0.00031
Oceanospirillaceae	135620	F	349	30	379	0.00018
Saccharospirillaceae	255527	F	102	4	106	0.00005
Hahellaceae	224379	F	99	3	102	0.00005
Litoricolaceae	449732	F	29	1	30	0.00001
Oleiphilaceae	191033	F	15	1	16	0.00001
Endozoicomonadaceae	2066474	F	13	0	13	0.00001
Sinobacteraceae	568386	F	2447	214	2661	0.00127
Steroidobacteraceae	2689614	F	602	140	742	0.00036
Methylococcaceae	403	F	2294	86	2380	0.00114
Aeromonadaceae	84642	F	2260	1318	3578	0.00171
Cellvibrionaceae	1706371	F	868	25	893	0.00043
Microbulbiferaceae	1706373	F	632	29	661	0.00032
Halieaceae	1706372	F	268	23	291	0.00014
Spongiibacteraceae	1706375	F	107	6	113	0.00005
Acidiferrobacteraceae	1692041	F	1387	55	1442	0.00069
Shewanellaceae	267890	F	579	82	661	0.00032
Alteromonadaceae	72275	F	282	31	313	0.00015
Pseudoalteromonadaceae	267888	F	193	19	212	0.00010
Ferrimonadaceae	267892	F	69	7	76	0.00004
Colwelliaceae	267889	F	42	3	45	0.00002
Idiomarinaceae	267893	F	27	2	29	0.00001
Psychromonadaceae	267894	F	11	0	11	0.00001
Moraxellaceae	468	F	749	273	1022	0.00049
Vibrionaceae	641	F	679	85	764	0.00037
Immundisolibacteraceae	1934946	F	477	74	551	0.00026
Legionellaceae	444	F	270	10	280	0.00013
Coxiellaceae	118968	F	110	338	448	0.00021
Piscirickettsiaceae	135616	F	146	9	155	0.00007
Thiotrichaceae	135617	F	122	2	124	0.00006
Francisellaceae	34064	F	32	1	33	0.00002
Salinisphaeraceae	742031	F	215	193	408	0.00020
Pasteurellaceae	712	F	173	29	202	0.00010
Cardiobacteriaceae	868	F	137	15	152	0.00007
Kangiellaceae	1920240	F	23	1	24	0.00001
Orbaceae	1240483	F	15	2	17	0.00001
Myxococcaceae	31	F	11108	1105	12213	0.00585
Archangiaceae	39	F	10813	1010	11823	0.00566
Anaeromyxobacteraceae	1524215	F	7043	502	7545	0.00361
Vulgatibacteraceae	1524213	F	729	57	786	0.00038
Polyangiaceae	49	F	17391	1334	18725	0.00897
Sandaracinaceae	1055686	F	5058	261	5319	0.00255
Labilitrichaceae	1524216	F	1804	81	1885	0.00090
Kofleriaceae	224464	F	1780	95	1875	0.00090
Geobacteraceae	213422	F	3323	325	3648	0.00175
Desulfuromonadaceae	213421	F	1048	154	1202	0.00058
Syntrophotaleaceae	2812024	F	182	21	203	0.00010
Desulfovibrionaceae	194924	F	3003	298	3301	0.00158
Desulfomicrobiaceae	213116	F	158	23	181	0.00009
Desulfohalobiaceae	213117	F	29	1	30	0.00001
Desulfobacteraceae	213119	F	694	72	766	0.00037
Desulfobulbaceae	213121	F	299	58	357	0.00017
Desulfosudaceae	2904715	F	71	3	74	0.00004
Desulfocapsaceae	2886822	F	57	4	61	0.00003
Bradymonadaceae	1779135	F	800	99	899	0.00043
Syntrophobacteraceae	213465	F	285	78	363	0.00017
Desulfarculaceae	453228	F	211	147	358	0.00017
Syntrophaceae	213468	F	122	34	156	0.00008
Campylobacteraceae	72294	F	127	13	140	0.00007
Thiovulaceae	2771471	F	77	4	81	0.00004
Helicobacteraceae	72293	F	71	3	74	0.00004
Sulfurovaceae	2771472	F	62	5	67	0.00003
Hydrogenimonaceae	292630	F	38	4	42	0.00002
Arcobacteraceae	2808963	F	30	3	33	0.00002
Sulfurospirillaceae	2932623	F	20	0	20	0.00001
Nitratiruptoraceae	2795691	F	20	1	21	0.00001
Nautiliaceae	224467	F	14	1	15	0.00001
Acidithiobacillaceae	225058	F	274	26	300	0.00014
Bdellovibrionaceae	213483	F	173	1	174	0.00008
Bacteriovoracaceae	263369	F	21	4	25	0.00001
Hydrogenophilaceae	206349	F	89	14	103	0.00005
Mariprofundaceae	580372	F	45	1	46	0.00002
Streptomycetaceae	2062	F	176480	35929	212409	0.10171
Microbacteriaceae	85023	F	63842	9979	73821	0.03535
Micrococcaceae	1268	F	50448	8990	59438	0.02846
Cellulomonadaceae	85016	F	9289	2876	12165	0.00583
Intrasporangiaceae	85021	F	7351	1817	9168	0.00439
Promicromonosporaceae	85017	F	4553	1641	6194	0.00297
Ornithinimicrobiaceae	2805590	F	3795	734	4529	0.00217
Dermabacteraceae	85020	F	2561	445	3006	0.00144
Brevibacteriaceae	85019	F	2409	470	2879	0.00138
Bogoriellaceae	145358	F	2241	637	2878	0.00138
Dermacoccaceae	145357	F	1691	370	2061	0.00099
Ruaniaceae	1331736	F	1610	1568	3178	0.00152
Beutenbergiaceae	125316	F	1060	314	1374	0.00066
Sanguibacteraceae	145360	F	709	205	914	0.00044
Kytococcaceae	2805426	F	340	118	458	0.00022
Dermatophilaceae	85018	F	330	29	359	0.00017
Demequinaceae	1042322	F	126	9	135	0.00006
Jonesiaceae	85022	F	23	3	26	0.00001
Mycobacteriaceae	1762	F	44095	5455	49550	0.02373
Nocardiaceae	85025	F	28072	5159	33231	0.01591
Corynebacteriaceae	1653	F	6525	1386	7911	0.00379
Gordoniaceae	85026	F	6255	1287	7542	0.00361
Tsukamurellaceae	85028	F	1733	418	2151	0.00103
Dietziaceae	85029	F	1005	874	1879	0.00090
Segniliparaceae	316606	F	144	7	151	0.00007
Lawsonellaceae	2805586	F	29	3	32	0.00002
Nocardioidaceae	85015	F	67896	13148	81044	0.03881
Propionibacteriaceae	31957	F	9710	1646	11356	0.00544
Kribbellaceae	2726069	F	3217	491	3708	0.00178
Actinopolymorphaceae	2805400	F	827	93	920	0.00044
Pseudonocardiaceae	2070	F	60197	8212	68409	0.03276
Micromonosporaceae	28056	F	57132	8260	65392	0.03131
Thermomonosporaceae	2012	F	14435	2685	17120	0.00820
Streptosporangiaceae	2004	F	11863	1881	13744	0.00658
Nocardiopsaceae	83676	F	5040	775	5815	0.00278
Geodermatophilaceae	85030	F	24482	5966	30448	0.01458
Actinomycetaceae	2049	F	4260	569	4829	0.00231
Frankiaceae	74712	F	4241	393	4634	0.00222
Jiangellaceae	1217100	F	3183	542	3725	0.00178
Nakamurellaceae	85031	F	1678	219	1897	0.00091
Bifidobacteriaceae	31953	F	1528	361	1889	0.00090
Catenulisporaceae	414877	F	846	118	964	0.00046
Glycomycetaceae	85034	F	768	60	828	0.00040
Jatrophihabitantaceae	2805416	F	693	57	750	0.00036
Kineosporiaceae	83778	F	600	158	758	0.00036
Sporichthyaceae	85033	F	333	157	490	0.00024
Actinopolysporaceae	622451	F	313	30	343	0.00016
Acidothermaceae	85032	F	236	10	246	0.00012
Candidatus Nanopelagicaceae	2162846	F	82	1	83	0.00004
Rubrobacteraceae	84997	F	14016	491	14507	0.00695
Baekduiaceae	2600303	F	3486	540	4026	0.00193
Conexibacteraceae	320583	F	12019	1595	13614	0.00652
Miltoncostaeaceae	2843199	F	3456	397	3853	0.00185
Iamiaceae	633392	F	9338	1091	10429	0.00499
Ilumatobacteraceae	2448023	F	862	52	914	0.00044
Acidimicrobiaceae	84994	F	256	19	275	0.00013
Eggerthellaceae	1643826	F	1232	195	1427	0.00068
Atopobiaceae	1643824	F	719	136	855	0.00041
Coriobacteriaceae	84107	F	268	52	320	0.00015
Egicoccaceae	1755824	F	690	105	795	0.00038
Euzebyaceae	908622	F	687	59	746	0.00036
Egibacteraceae	1747769	F	661	40	701	0.00034
Bacillaceae	186817	F	34141	14607	48748	0.02334
Paenibacillaceae	186822	F	6662	429	7091	0.00340
Alicyclobacillaceae	186823	F	659	78	737	0.00035
Planococcaceae	186818	F	536	128	664	0.00032
Thermoactinomycetaceae	186824	F	316	28	344	0.00016
Staphylococcaceae	90964	F	230	2225	2455	0.00118
Listeriaceae	186820	F	54	14	68	0.00003
Sporolactobacillaceae	186821	F	11	1	12	0.00001
Lactobacillaceae	33958	F	420	128	548	0.00026
Streptococcaceae	1300	F	146	59	205	0.00010
Enterococcaceae	81852	F	98	48	146	0.00007
Carnobacteriaceae	186828	F	36	13	49	0.00002
Aerococcaceae	186827	F	32	8	40	0.00002
Oscillospiraceae	216572	F	1102	307	1409	0.00067
Clostridiales Family XVII. Incertae Sedis	539000	F	876	186	1062	0.00051
Eubacteriales Family XIII. Incertae Sedis	543314	F	35	4	39	0.00002
Clostridiales Family XVI. Incertae Sedis	543347	F	16	29	45	0.00002
Clostridiaceae	31979	F	366	114	480	0.00023
Lachnospiraceae	186803	F	355	92	447	0.00021
Symbiobacteriaceae	543349	F	351	23	374	0.00018
Peptococcaceae	186807	F	178	11	189	0.00009
Heliobacteriaceae	31984	F	100	37	137	0.00007
Christensenellaceae	990719	F	93	32	125	0.00006
Eubacteriaceae	186806	F	86	11	97	0.00005
Desulfitobacteriaceae	2937909	F	86	6	92	0.00004
Peptostreptococcaceae	186804	F	31	7	38	0.00002
Syntrophomonadaceae	68298	F	27	1	28	0.00001
Vallitaleaceae	2603322	F	13	1	14	0.00001
Desulfallaceae	2867375	F	13	0	13	0.00001
Thermincolaceae	2937911	F	11	0	11	0.00001
Thermoanaerobacteraceae	186814	F	384	49	433	0.00021
Thermoanaerobacterales Family III. Incertae Sedis	543371	F	25	4	29	0.00001
Thermoanaerobacterales Family IV. Incertae Sedis	543372	F	12	5	17	0.00001
Halanaerobiaceae	972	F	16	13	29	0.00001
Thermosediminibacteraceae	2770093	F	20	0	20	0.00001
Tepidanaerobacteraceae	2770092	F	13	0	13	0.00001
Koleobacteraceae	2786988	F	11	0	11	0.00001
Selenomonadaceae	1843491	F	381	15	396	0.00019
Sporomusaceae	1843490	F	56	3	59	0.00003
Veillonellaceae	31977	F	112	27	139	0.00007
Acidaminococcaceae	909930	F	49	6	55	0.00003
Limnochordaceae	1676650	F	319	10	329	0.00016
Peptoniphilaceae	1570339	F	39	15	54	0.00003
Tissierellaceae	1737406	F	23	2	25	0.00001
Gottschalkiaceae	2042895	F	11	55	66	0.00003
Erysipelotrichaceae	128827	F	72	13	85	0.00004
Turicibacteraceae	2810281	F	13	27	40	0.00002
Deinococcaceae	183710	F	3434	152	3586	0.00172
Thermaceae	188786	F	1438	73	1511	0.00072
Trueperaceae	332247	F	230	11	241	0.00012
Synechococcaceae	1890426	F	1641	148	1789	0.00086
Prochlorococcaceae	2881426	F	386	69	455	0.00022
Acaryochloridaceae	1890429	F	28	0	28	0.00001
Merismopediaceae	1890428	F	23	1	24	0.00001
Chamaesiphonaceae	1890431	F	13	0	13	0.00001
Nostocaceae	1162	F	348	91	439	0.00021
Calotrichaceae	2661849	F	147	12	159	0.00008
Scytonemataceae	1182	F	76	9	85	0.00004
Aphanizomenonaceae	1892259	F	72	39	111	0.00005
Tolypothrichaceae	119859	F	21	4	25	0.00001
Hapalosiphonaceae	1892263	F	18	2	20	0.00001
Leptolyngbyaceae	1890438	F	504	28	532	0.00025
Oculatellaceae	2303507	F	63	6	69	0.00003
Thermosynechococcaceae	2881378	F	37	2	39	0.00002
Prochlorotrichaceae	2303730	F	35	1	36	0.00002
Pseudanabaenaceae	1890436	F	25	0	25	0.00001
Gloeobacteraceae	1890422	F	490	8	498	0.00024
Coleofasciculaceae	1892251	F	94	11	105	0.00005
Oscillatoriaceae	1892254	F	73	9	82	0.00004
Microcoleaceae	1892252	F	60	36	96	0.00005
Microcystaceae	1890449	F	56	18	74	0.00004
