name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	961635	49239	1010874	0.48394
Actinobacteria	201174	P	837938	31389	869327	0.41618
Firmicutes	1239	P	50300	17272	67572	0.03235
Deinococcus-Thermus	1297	P	5168	172	5340	0.00256
Cyanobacteria	1117	P	4831	110	4941	0.00237
Chloroflexi	200795	P	3653	50	3703	0.00177
Armatimonadetes	67819	P	374	1	375	0.00018
Tenericutes	544448	P	102	4	106	0.00005
Planctomycetes	203682	P	57490	637	58127	0.02783
Verrucomicrobia	74201	P	8081	177	8258	0.00395
Kiritimatiellaeota	134625	P	158	126	284	0.00014
Chlamydiae	204428	P	79	0	79	0.00004
Candidatus Omnitrophica	67812	P	37	0	37	0.00002
Bacteroidetes	976	P	20766	327	21093	0.01010
Chlorobi	1090	P	441	12	453	0.00022
Balneolaeota	1936987	P	35	2	37	0.00002
Ignavibacteriae	1134404	P	17	0	17	0.00001
Gemmatimonadetes	142182	P	8431	390	8821	0.00422
Fibrobacteres	65842	P	23	0	23	0.00001
Acidobacteria	57723	P	14813	395	15208	0.00728
Nitrospirae	40117	P	1542	17	1559	0.00075
Spirochaetes	203691	P	476	14	490	0.00023
Synergistetes	508458	P	420	27	447	0.00021
Candidatus Bipolaricaulota	67810	P	84	2	86	0.00004
Candidatus Saccharibacteria	95818	P	59	9	68	0.00003
Thermotogae	200918	P	118	4	122	0.00006
Aquificae	200783	P	83	1	84	0.00004
Thermodesulfobacteria	200940	P	68	1	69	0.00003
Calditrichaeota	1930617	P	46	0	46	0.00002
Fusobacteria	32066	P	43	6	49	0.00002
Chrysiogenetes	200938	P	38	13	51	0.00002
Deferribacteres	200930	P	35	0	35	0.00002
Dictyoglomi	68297	P	22	0	22	0.00001
Elusimicrobia	74152	P	20	0	20	0.00001
Coprothermobacterota	2138240	P	19	3	22	0.00001
Caldiserica	67814	P	11	0	11	0.00001
Ascomycota	4890	P	9744	100	9844	0.00471
Basidiomycota	5204	P	388	12	400	0.00019
Oomycota	4762	P	645	74	719	0.00034
