name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	4311086	339397	4650483	0.25088
Betaproteobacteria	28216	C	1739275	313567	2052842	0.11075
Gammaproteobacteria	1236	C	1222127	330004	1552131	0.08373
Deltaproteobacteria	28221	C	632635	44084	676719	0.03651
Epsilonproteobacteria	29547	C	5118	215	5333	0.00029
Acidithiobacillia	1807140	C	2747	258	3005	0.00016
Oligoflexia	1553900	C	1425	18	1443	0.00008
Hydrogenophilalia	2008785	C	1007	193	1200	0.00006
Zetaproteobacteria	580370	C	497	14	511	0.00003
Actinomycetia	1760	C	6893810	336059	7229869	0.39004
Thermoleophilia	1497346	C	161048	20699	181747	0.00980
Rubrobacteria	84995	C	122990	9368	132358	0.00714
Acidimicrobiia	84992	C	91964	9791	101755	0.00549
Coriobacteriia	84998	C	22880	3501	26381	0.00142
Nitriliruptoria	908620	C	18451	1599	20050	0.00108
Bacilli	91061	C	246754	116065	362819	0.01957
Clostridia	186801	C	44726	7194	51920	0.00280
Negativicutes	909932	C	6129	607	6736	0.00036
Limnochordia	1676648	C	3228	122	3350	0.00018
Erysipelotrichia	526524	C	1992	1102	3094	0.00017
Tissierellia	1737404	C	1125	932	2057	0.00011
Deinococci	188787	C	48566	39448	88014	0.00475
Gloeobacteria	307596	C	4955	6068	11023	0.00059
Thermomicrobia	189775	C	10096	424	10520	0.00057
Tepidiformia	2682225	C	6433	268	6701	0.00036
Chloroflexia	32061	C	6172	244	6416	0.00035
Ardenticatenia	1382928	C	4628	91	4719	0.00025
Caldilineae	475962	C	2632	187	2819	0.00015
Anaerolineae	292625	C	2348	50	2398	0.00013
Dehalococcoidia	301297	C	1596	28	1624	0.00009
Ktedonobacteria	388447	C	951	1002	1953	0.00011
Candidatus Thermofonsia	2364196	C	803	9	812	0.00004
Fimbriimonadia	1663419	C	2592	14	2606	0.00014
Chthonomonadetes	1077257	C	589	4	593	0.00003
Mollicutes	31969	C	772	151	923	0.00005
Planctomycetia	203683	C	607990	9209	617199	0.03330
Phycisphaerae	666505	C	21600	750	22350	0.00121
Candidatus Brocadiia	2517206	C	214	1	215	0.00001
Candidatus Uabimicrobiia	2897345	C	147	2	149	0.00001
Opitutae	414999	C	33704	1384	35088	0.00189
Verrucomicrobiae	203494	C	18449	2574	21023	0.00113
Spartobacteria	134549	C	209	15	224	0.00001
Methylacidiphilae	1955630	C	173	6	179	0.00001
Kiritimatiellae	1921781	C	1278	1585	2863	0.00015
Tichowtungiia	2907184	C	475	16	491	0.00003
Chlamydiia	204429	C	590	420	1010	0.00005
Cytophagia	768503	C	51265	1247	52512	0.00283
Chitinophagia	1853228	C	18662	296	18958	0.00102
Flavobacteriia	117743	C	17955	1537	19492	0.00105
Bacteroidia	200643	C	15287	19183	34470	0.00186
Sphingobacteriia	117747	C	8307	897	9204	0.00050
Saprospiria	1937959	C	453	134	587	0.00003
Chlorobia	191410	C	5270	611	5881	0.00032
Ignavibacteria	795747	C	251	6	257	0.00001
Gemmatimonadetes	219685	C	92536	5165	97701	0.00527
Fibrobacteria	204430	C	189	73	262	0.00001
Vicinamibacteria	1813735	C	168643	8452	177095	0.00955
Acidobacteriia	204432	C	49618	719	50337	0.00272
Blastocatellia	1562566	C	4617	104	4721	0.00025
Holophagae	533205	C	3002	53	3055	0.00016
Nitrospira	203693	C	15880	215	16095	0.00087
Thermodesulfovibrionia	2811502	C	223	5	228	0.00001
Spirochaetia	203692	C	4698	221	4919	0.00027
Synergistia	649775	C	4050	1253	5303	0.00029
Candidatus Saccharimonia	2093818	C	190	234	424	0.00002
Candidatus Babeliae	2497643	C	160	144	304	0.00002
Thermotogae	188708	C	1158	68	1226	0.00007
Aquificae	187857	C	911	18	929	0.00005
Thermodesulfobacteria	67799	C	626	11	637	0.00003
Deferribacteres	68337	C	462	14	476	0.00003
Calditrichia	1962850	C	438	4	442	0.00002
Fusobacteriia	203490	C	405	68	473	0.00003
Chrysiogenetes	118001	C	397	177	574	0.00003
Elusimicrobia	641853	C	169	2	171	0.00001
Endomicrobia	447830	C	123	1	124	0.00001
Coprothermobacteria	2138243	C	140	27	167	0.00001
Caldisericia	693071	C	123	0	123	0.00001
Dictyoglomia	203486	C	94	0	94	0.00001
Atribacteria	2847774	C	66	1	67	0.00000
Sordariomycetes	147550	C	78177	1156	79333	0.00428
Leotiomycetes	147548	C	378	2	380	0.00002
Eurotiomycetes	147545	C	26913	580	27493	0.00148
Dothideomycetes	147541	C	1876	247	2123	0.00011
Saccharomycetes	4891	C	1924	143	2067	0.00011
Schizosaccharomycetes	147554	C	83	2	85	0.00000
Ustilaginomycetes	5257	C	2830	59	2889	0.00016
Malasseziomycetes	1538075	C	216	36	252	0.00001
Agaricomycetes	155619	C	804	13	817	0.00004
Tremellomycetes	155616	C	210	5730	5940	0.00032
