name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	797255	73117	870372	0.04695
Phyllobacteriaceae	69277	F	344182	57763	401945	0.02168
Rhizobiaceae	82115	F	318541	97719	416260	0.02246
Methylobacteriaceae	119045	F	229919	31640	261559	0.01411
Xanthobacteraceae	335928	F	111294	18745	130039	0.00702
Hyphomicrobiaceae	45401	F	107385	9595	116980	0.00631
Devosiaceae	2831106	F	60679	5130	65809	0.00355
Boseaceae	2831100	F	58026	8849	66875	0.00361
Aurantimonadaceae	255475	F	44770	42759	87529	0.00472
Methylocystaceae	31993	F	27726	2304	30030	0.00162
Stappiaceae	2821832	F	26106	5774	31880	0.00172
Phreatobacteraceae	2843305	F	25249	4269	29518	0.00159
Parvibaculaceae	2813035	F	16584	3834	20418	0.00110
Chelatococcaceae	2036754	F	15258	3359	18617	0.00100
Blastochloridaceae	2831090	F	14100	3282	17382	0.00094
Beijerinckiaceae	45404	F	13470	975	14445	0.00078
Kaistiaceae	2831111	F	9480	2322	11802	0.00064
Brucellaceae	118882	F	8771	4308	13079	0.00071
Amorphaceae	2685818	F	8285	894	9179	0.00050
Breoghaniaceae	2831104	F	5359	705	6064	0.00033
Pleomorphomonadaceae	2843308	F	5296	940	6236	0.00034
Lichenihabitantaceae	2723775	F	4742	219	4961	0.00027
Cohaesibacteraceae	655351	F	974	39	1013	0.00005
Bartonellaceae	772	F	875	53	928	0.00005
Sphingomonadaceae	41297	F	663690	80580	744270	0.04015
Erythrobacteraceae	335929	F	105416	19241	124657	0.00672
Sphingosinicellaceae	2820280	F	28152	2376	30528	0.00165
Zymomonadaceae	2844881	F	223	182	405	0.00002
Azospirillaceae	2829815	F	174734	19724	194458	0.01049
Acetobacteraceae	433	F	103857	12107	115964	0.00626
Rhodospirillaceae	41295	F	71193	274024	345217	0.01862
Stellaceae	2844601	F	14423	1004	15427	0.00083
Elioraeaceae	2690195	F	6103	300	6403	0.00035
Thalassospiraceae	2844866	F	3869	250	4119	0.00022
