name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2485089	147840	2632929	0.14204
Sphingomonadales	204457	O	828767	71094	899861	0.04855
Rhodospirillales	204441	O	385646	296116	681762	0.03678
Rhodobacterales	204455	O	255450	20348	275798	0.01488
Caulobacterales	204458	O	124444	11066	135510	0.00731
Hyphomonadales	2800060	O	9463	324	9787	0.00053
Maricaulales	2800059	O	7187	720	7907	0.00043
Parvularculales	255473	O	2178	144	2322	0.00013
Rickettsiales	766	O	1327	1096	2423	0.00013
Emcibacterales	2066490	O	1018	93	1111	0.00006
Holosporales	1921002	O	397	11	408	0.00002
Magnetococcales	1191478	O	319	7	326	0.00002
Pelagibacterales	54526	O	183	3	186	0.00001
Kordiimonadales	362534	O	143	2	145	0.00001
Burkholderiales	80840	O	1405104	311873	1716977	0.09263
Nitrosomonadales	32003	O	112585	12852	125437	0.00677
Rhodocyclales	206389	O	106049	32337	138386	0.00747
Neisseriales	206351	O	56172	15840	72012	0.00388
Xanthomonadales	135614	O	437872	70265	508137	0.02741
Pseudomonadales	72274	O	326954	104436	431390	0.02327
Enterobacterales	91347	O	96534	181573	278107	0.01500
Chromatiales	135613	O	80226	6248	86474	0.00467
Oceanospirillales	135619	O	63444	8569	72013	0.00388
Methylococcales	135618	O	24887	1153	26040	0.00140
Aeromonadales	135624	O	22511	16654	39165	0.00211
Nevskiales	1775403	O	19218	3909	23127	0.00125
Acidiferrobacterales	1692040	O	15894	796	16690	0.00090
Cellvibrionales	1706369	O	15211	761	15972	0.00086
Alteromonadales	135622	O	12784	1668	14452	0.00078
Vibrionales	135623	O	7059	1579	8638	0.00047
Moraxellales	2887326	O	4088	1914	6002	0.00032
Immundisolibacterales	1934945	O	4041	781	4822	0.00026
Legionellales	118969	O	3954	4000	7954	0.00043
Thiotrichales	72273	O	2986	238	3224	0.00017
Salinisphaerales	742030	O	2533	2467	5000	0.00027
Pasteurellales	135625	O	1670	1138	2808	0.00015
Cardiobacteriales	135615	O	1501	206	1707	0.00009
Kangiellales	2887327	O	247	15	262	0.00001
Orbales	1240482	O	117	20	137	0.00001
Myxococcales	29	O	508687	42643	551330	0.02974
Desulfuromonadales	69541	O	50622	4216	54838	0.00296
Desulfovibrionales	213115	O	34352	2857	37209	0.00201
Desulfobacterales	213118	O	12771	1165	13936	0.00075
Bradymonadales	1779134	O	9416	270	9686	0.00052
Syntrophobacterales	213462	O	2986	698	3684	0.00020
Desulfarculales	453227	O	2578	1489	4067	0.00022
Syntrophales	2914038	O	1454	463	1917	0.00010
Desulfurellales	213113	O	46	2	48	0.00000
Campylobacterales	213849	O	4640	242	4882	0.00026
Nautiliales	235899	O	418	32	450	0.00002
Acidithiobacillales	225057	O	2747	258	3005	0.00016
Bdellovibrionales	213481	O	1087	14	1101	0.00006
Bacteriovoracales	2024979	O	235	2	237	0.00001
Silvanigrellales	2024973	O	102	2	104	0.00001
Hydrogenophilales	119069	O	1007	193	1200	0.00006
Mariprofundales	580371	O	497	14	511	0.00003
Streptomycetales	85011	O	1385968	300715	1686683	0.09099
Micrococcales	85006	O	1177040	164502	1341542	0.07237
Corynebacteriales	85007	O	829858	99058	928916	0.05011
Propionibacteriales	85009	O	750579	150742	901321	0.04862
Micromonosporales	85008	O	658840	90879	749719	0.04045
Pseudonocardiales	85010	O	570435	85567	656002	0.03539
Geodermatophilales	1643682	O	353132	93268	446400	0.02408
Streptosporangiales	85012	O	280693	46993	327686	0.01768
Actinomycetales	2037	O	39255	5708	44963	0.00243
Frankiales	85013	O	36793	3618	40411	0.00218
Jiangellales	1217098	O	23165	4115	27280	0.00147
Nakamurellales	1643684	O	16924	2364	19288	0.00104
Bifidobacteriales	85004	O	15162	4132	19294	0.00104
Catenulisporales	414714	O	7850	1176	9026	0.00049
Jatrophihabitantales	2805415	O	6682	601	7283	0.00039
Glycomycetales	85014	O	6262	516	6778	0.00037
Kineosporiales	622452	O	5101	1448	6549	0.00035
Sporichthyales	2495578	O	3273	1631	4904	0.00026
Actinopolysporales	622450	O	2681	281	2962	0.00016
Acidothermales	1643683	O	2162	111	2273	0.00012
Candidatus Nanopelagicales	2039638	O	570	9	579	0.00003
Solirubrobacterales	588673	O	124603	17831	142434	0.00768
Miltoncostaeales	2843198	O	34888	4425	39313	0.00212
Rubrobacterales	84996	O	122990	9368	132358	0.00714
Acidimicrobiales	84993	O	91964	9791	101755	0.00549
Eggerthellales	1643822	O	12547	2038	14585	0.00079
Coriobacteriales	84999	O	9887	1909	11796	0.00064
Egicoccales	1755823	O	6183	962	7145	0.00039
Euzebyales	908621	O	6123	522	6645	0.00036
Egibacterales	1747768	O	5902	357	6259	0.00034
Bacillales	1385	O	238513	112269	350782	0.01892
Lactobacillales	186826	O	7054	4983	12037	0.00065
Eubacteriales	186802	O	38247	7123	45370	0.00245
Thermoanaerobacterales	68295	O	4641	678	5319	0.00029
Halanaerobiales	53433	O	574	29	603	0.00003
Thermosediminibacterales	2770089	O	373	18	391	0.00002
Natranaerobiales	485256	O	127	5	132	0.00001
Koleobacterales	2786987	O	95	8	103	0.00001
Selenomonadales	909929	O	4233	226	4459	0.00024
Veillonellales	1843489	O	1281	369	1650	0.00009
Acidaminococcales	1843488	O	528	99	627	0.00003
Limnochordales	1676649	O	3228	122	3350	0.00018
Erysipelotrichales	526525	O	1992	1102	3094	0.00017
Tissierellales	1737405	O	919	1138	2057	0.00011
Deinococcales	118964	O	31460	1738	33198	0.00179
Thermales	68933	O	13926	848	14774	0.00080
