name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 170	2782641	S	37814	9886	47700	0.00257
Bradyrhizobium sp. 200	2782665	S	36558	8295	44853	0.00242
Bradyrhizobium sp. CCBAU 051011	858422	S	26635	5135	31770	0.00171
Bradyrhizobium sp. CCBAU 51753	1325100	S	12871	2819	15690	0.00085
Bradyrhizobium sp. A19	2898149	S	9638	1693	11331	0.00061
Bradyrhizobium sp. BTAi1	288000	S	9228	1704	10932	0.00059
Bradyrhizobium sp. ORS 278	114615	S	9191	2125	11316	0.00061
Bradyrhizobium sp. ORS 285	115808	S	9182	2093	11275	0.00061
Bradyrhizobium sp. SK17	2057741	S	8715	2910	11625	0.00063
Bradyrhizobium sp. CCGE-LA001	1223566	S	8571	3229	11800	0.00064
Bradyrhizobium sp. 186	2782654	S	7200	1972	9172	0.00049
Bradyrhizobium sp. CCBAU 53421	1325120	S	6673	2110	8783	0.00047
Bradyrhizobium sp. 195	2782662	S	6525	2373	8898	0.00048
Bradyrhizobium sp. 1(2017)	1404888	S	5835	1838	7673	0.00041
Bradyrhizobium sp. S2-11-2	2840472	S	5813	4580	10393	0.00056
Bradyrhizobium sp. CCBAU 53338	1325111	S	5523	2273	7796	0.00042
Bradyrhizobium sp. CCBAU 53340	1325112	S	5368	2096	7464	0.00040
Bradyrhizobium sp. 6(2017)	1197460	S	5225	2580	7805	0.00042
Bradyrhizobium sp. CCBAU 53351	1325114	S	5180	2634	7814	0.00042
Bradyrhizobium sp. S2-20-1	2840469	S	4988	4189	9177	0.00050
Bradyrhizobium sp. S2-11-4	2840473	S	4665	4312	8977	0.00048
Bradyrhizobium sp. 41S5	1404443	S	4123	2822	6945	0.00037
Bradyrhizobium sp. 191	2782659	S	3464	3515	6979	0.00038
Bradyrhizobium sp. I71	2590772	S	3441	3099	6540	0.00035
Bradyrhizobium sp. CCBAU 51765	1325102	S	3345	3134	6479	0.00035
Bradyrhizobium sp. C-145	574727	S	2150	2148	4298	0.00023
Bradyrhizobium sp.	376	S	1781	5903	7684	0.00041
Bradyrhizobium sp. 40	2782674	S	1482	3448	4930	0.00027
Bradyrhizobium sp. 144S4	2823807	S	1373	3431	4804	0.00026
Bradyrhizobium sp. 4	2782678	S	1305	3408	4713	0.00025
Bradyrhizobium sp. 323S2	1404649	S	1133	2887	4020	0.00022
Bradyrhizobium sp. 192	2782660	S	1081	2644	3725	0.00020
Bradyrhizobium sp. LCT2	2493093	S	689	1937	2626	0.00014
Bradyrhizobium sp. SG09	2599805	S	463	3340	3803	0.00021
Bradyrhizobium sp. TM102	2599819	S	450	3104	3554	0.00019
Bradyrhizobium sp. 187	2782655	S	414	2050	2464	0.00013
Bradyrhizobium sp. 1S5	2816456	S	257	2905	3162	0.00017
Bradyrhizobium sp. 38S5	2819348	S	231	2836	3067	0.00017
Bradyrhizobium sp. 131	2782609	S	230	3776	4006	0.00022
Bradyrhizobium sp. CW1	2782686	S	230	3581	3811	0.00021
Bradyrhizobium sp. 172	2782643	S	196	2397	2593	0.00014
Bradyrhizobium sp. 155	2782629	S	141	2551	2692	0.00015
Bradyrhizobium sp. CCBAU 21365	1325083	S	27	1319	1346	0.00007
