name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	10030457	486341	10516798	0.45495
Rubrobacteria	84995	C	277760	17003	294763	0.01275
Thermoleophilia	1497346	C	209952	28282	238234	0.01031
Acidimicrobiia	84992	C	164012	18850	182862	0.00791
Nitriliruptoria	908620	C	31542	2915	34457	0.00149
Coriobacteriia	84998	C	29046	4713	33759	0.00146
Bacilli	91061	C	345316	175144	520460	0.02251
Clostridia	186801	C	56342	10251	66593	0.00288
Negativicutes	909932	C	7441	673	8114	0.00035
Limnochordia	1676648	C	4778	182	4960	0.00021
Tissierellia	1737404	C	1039	519	1558	0.00007
Erysipelotrichia	526524	C	791	556	1347	0.00006
Deinococci	188787	C	63067	48296	111363	0.00482
Gloeobacteria	307596	C	6277	6715	12992	0.00056
Thermomicrobia	189775	C	15403	668	16071	0.00070
Chloroflexia	32061	C	8258	329	8587	0.00037
Tepidiformia	2682225	C	6829	288	7117	0.00031
Ardenticatenia	1382928	C	6572	131	6703	0.00029
Caldilineae	475962	C	3209	235	3444	0.00015
Anaerolineae	292625	C	2858	66	2924	0.00013
Dehalococcoidia	301297	C	1936	36	1972	0.00009
Ktedonobacteria	388447	C	1278	1416	2694	0.00012
Candidatus Thermofonsia	2364196	C	906	11	917	0.00004
Fimbriimonadia	1663419	C	3089	16	3105	0.00013
Chthonomonadetes	1077257	C	758	6	764	0.00003
Mollicutes	31969	C	985	195	1180	0.00005
Alphaproteobacteria	28211	C	4745477	390052	5135529	0.22216
Betaproteobacteria	28216	C	1823750	347948	2171698	0.09395
Gammaproteobacteria	1236	C	1308522	353935	1662457	0.07192
Deltaproteobacteria	28221	C	753100	43967	797067	0.03448
Epsilonproteobacteria	29547	C	5572	287	5859	0.00025
Acidithiobacillia	1807140	C	3149	294	3443	0.00015
Oligoflexia	1553900	C	1363	17	1380	0.00006
Hydrogenophilalia	2008785	C	936	178	1114	0.00005
Zetaproteobacteria	580370	C	566	15	581	0.00003
Planctomycetia	203683	C	577206	8855	586061	0.02535
Phycisphaerae	666505	C	24088	844	24932	0.00108
Candidatus Brocadiia	2517206	C	263	1	264	0.00001
Candidatus Uabimicrobiia	2897345	C	137	2	139	0.00001
Opitutae	414999	C	38884	1559	40443	0.00175
Verrucomicrobiae	203494	C	19312	2715	22027	0.00095
Methylacidiphilae	1955630	C	201	7	208	0.00001
Spartobacteria	134549	C	162	10	172	0.00001
Kiritimatiellae	1921781	C	1421	1535	2956	0.00013
Tichowtungiia	2907184	C	494	15	509	0.00002
Chlamydiia	204429	C	563	448	1011	0.00004
Cytophagia	768503	C	56442	1239	57681	0.00250
Flavobacteriia	117743	C	37299	20417	57716	0.00250
Chitinophagia	1853228	C	15978	222	16200	0.00070
Bacteroidia	200643	C	15815	3059	18874	0.00082
Sphingobacteriia	117747	C	6898	630	7528	0.00033
Saprospiria	1937959	C	468	103	571	0.00002
Chlorobia	191410	C	5504	668	6172	0.00027
Ignavibacteria	795747	C	266	5	271	0.00001
Gemmatimonadetes	219685	C	85147	4856	90003	0.00389
Fibrobacteria	204430	C	198	83	281	0.00001
Vicinamibacteria	1813735	C	125200	6701	131901	0.00571
Acidobacteriia	204432	C	46488	697	47185	0.00204
Blastocatellia	1562566	C	5092	130	5222	0.00023
Holophagae	533205	C	3352	61	3413	0.00015
Nitrospira	203693	C	17612	239	17851	0.00077
Thermodesulfovibrionia	2811502	C	244	5	249	0.00001
Spirochaetia	203692	C	5310	247	5557	0.00024
Synergistia	649775	C	5217	1651	6868	0.00030
Candidatus Saccharimonia	2093818	C	183	243	426	0.00002
Candidatus Babeliae	2497643	C	106	157	263	0.00001
Thermotogae	188708	C	1479	95	1574	0.00007
Aquificae	187857	C	1060	14	1074	0.00005
Thermodesulfobacteria	67799	C	773	15	788	0.00003
Deferribacteres	68337	C	498	15	513	0.00002
Calditrichia	1962850	C	459	4	463	0.00002
Chrysiogenetes	118001	C	425	192	617	0.00003
Fusobacteriia	203490	C	423	74	497	0.00002
Elusimicrobia	641853	C	164	1	165	0.00001
Endomicrobia	447830	C	135	1	136	0.00001
Coprothermobacteria	2138243	C	162	32	194	0.00001
Caldisericia	693071	C	146	0	146	0.00001
Dictyoglomia	203486	C	96	0	96	0.00000
Atribacteria	2847774	C	84	2	86	0.00000
Sordariomycetes	147550	C	66346	1152	67498	0.00292
Leotiomycetes	147548	C	280	1	281	0.00001
Eurotiomycetes	147545	C	9639	214	9853	0.00043
Dothideomycetes	147541	C	1884	217	2101	0.00009
Saccharomycetes	4891	C	1740	155	1895	0.00008
Schizosaccharomycetes	147554	C	49	1	50	0.00000
Ustilaginomycetes	5257	C	3530	59	3589	0.00016
Malasseziomycetes	1538075	C	205	30	235	0.00001
Agaricomycetes	155619	C	923	12	935	0.00004
Tremellomycetes	155616	C	213	7382	7595	0.00033
