name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	2209602	510183	2719785	0.11766
Microbacteriaceae	85023	F	748883	114908	863791	0.03737
Micrococcaceae	1268	F	447557	98738	546295	0.02363
Intrasporangiaceae	85021	F	124522	35696	160218	0.00693
Cellulomonadaceae	85016	F	122988	43591	166579	0.00721
Promicromonosporaceae	85017	F	64199	27207	91406	0.00395
Ornithinimicrobiaceae	2805590	F	57757	13199	70956	0.00307
Brevibacteriaceae	85019	F	33918	7568	41486	0.00179
Dermabacteraceae	85020	F	33783	6918	40701	0.00176
Bogoriellaceae	145358	F	30701	10146	40847	0.00177
Dermacoccaceae	145357	F	22952	5794	28746	0.00124
Ruaniaceae	1331736	F	22735	22155	44890	0.00194
Beutenbergiaceae	125316	F	14139	4826	18965	0.00082
Sanguibacteraceae	145360	F	9258	3127	12385	0.00054
Dermatophilaceae	85018	F	5182	538	5720	0.00025
Kytococcaceae	2805426	F	4667	1899	6566	0.00028
Demequinaceae	1042322	F	1728	154	1882	0.00008
Jonesiaceae	85022	F	358	71	429	0.00002
Tropherymataceae	2805591	F	123	0	123	0.00001
Mycobacteriaceae	1762	F	529491	73642	603133	0.02609
Nocardiaceae	85025	F	314756	68915	383671	0.01660
Corynebacteriaceae	1653	F	87605	23052	110657	0.00479
Gordoniaceae	85026	F	73058	17566	90624	0.00392
Tsukamurellaceae	85028	F	22366	6521	28887	0.00125
Dietziaceae	85029	F	13835	13225	27060	0.00117
Segniliparaceae	316606	F	1841	114	1955	0.00008
Lawsonellaceae	2805586	F	385	47	432	0.00002
Nocardioidaceae	85015	F	766215	175505	941720	0.04074
Propionibacteriaceae	31957	F	147867	32049	179916	0.00778
Kribbellaceae	2726069	F	46003	8337	54340	0.00235
Actinopolymorphaceae	2805400	F	12862	1714	14576	0.00063
Micromonosporaceae	28056	F	982910	152216	1135126	0.04910
Pseudonocardiaceae	2070	F	864967	144134	1009101	0.04365
Streptosporangiaceae	2004	F	166942	31170	198112	0.00857
Thermomonosporaceae	2012	F	156159	35087	191246	0.00827
Nocardiopsaceae	83676	F	77462	14650	92112	0.00398
Geodermatophilaceae	85030	F	210445	61115	271560	0.01175
Frankiaceae	74712	F	64944	7051	71995	0.00311
Actinomycetaceae	2049	F	60880	9348	70228	0.00304
Jiangellaceae	1217100	F	48607	9607	58214	0.00252
Nakamurellaceae	85031	F	25182	3889	29071	0.00126
Bifidobacteriaceae	31953	F	21544	6115	27659	0.00120
Catenulisporaceae	414877	F	12498	2080	14578	0.00063
Jatrophihabitantaceae	2805416	F	10856	1073	11929	0.00052
Glycomycetaceae	85034	F	9196	838	10034	0.00043
Kineosporiaceae	83778	F	8266	2598	10864	0.00047
Sporichthyaceae	85033	F	4461	2505	6966	0.00030
Actinopolysporaceae	622451	F	4286	497	4783	0.00021
Acidothermaceae	85032	F	3457	189	3646	0.00016
Candidatus Nanopelagicaceae	2162846	F	791	16	807	0.00003
Rubrobacteraceae	84997	F	235293	9768	245061	0.01060
Baekduiaceae	2600303	F	42248	7454	49702	0.00215
Conexibacteraceae	320583	F	156204	23419	179623	0.00777
Miltoncostaeaceae	2843199	F	51729	6882	58611	0.00254
Iamiaceae	633392	F	146372	19080	165452	0.00716
Ilumatobacteraceae	2448023	F	12807	821	13628	0.00059
Acidimicrobiaceae	84994	F	3499	282	3781	0.00016
Euzebyaceae	908622	F	10755	1001	11756	0.00051
Egicoccaceae	1755824	F	10714	1800	12514	0.00054
Egibacteraceae	1747769	F	9559	627	10186	0.00044
Eggerthellaceae	1643826	F	15943	2786	18729	0.00081
Atopobiaceae	1643824	F	8655	1967	10622	0.00046
Coriobacteriaceae	84107	F	3583	824	4407	0.00019
Bacillaceae	186817	F	242136	156010	398146	0.01722
Paenibacillaceae	186822	F	70803	5492	76295	0.00330
Alicyclobacillaceae	186823	F	8036	1117	9153	0.00040
Planococcaceae	186818	F	3830	1037	4867	0.00021
Thermoactinomycetaceae	186824	F	3188	2473	5661	0.00024
Staphylococcaceae	90964	F	1641	10696	12337	0.00053
Listeriaceae	186820	F	461	2582	3043	0.00013
Sporolactobacillaceae	186821	F	169	23	192	0.00001
Lactobacillaceae	33958	F	4319	1603	5922	0.00026
Streptococcaceae	1300	F	1469	1227	2696	0.00012
Enterococcaceae	81852	F	737	489	1226	0.00005
Aerococcaceae	186827	F	345	100	445	0.00002
Carnobacteriaceae	186828	F	335	135	470	0.00002
Clostridiales Family XVII. Incertae Sedis	539000	F	11697	2312	14009	0.00061
Eubacteriales Family XIII. Incertae Sedis	543314	F	391	502	893	0.00004
