name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	229279	22334	251613	0.26909
Betaproteobacteria	28216	C	110172	21663	131835	0.14099
Gammaproteobacteria	1236	C	78209	18555	96764	0.10349
Deltaproteobacteria	28221	C	46317	1931	48248	0.05160
Epsilonproteobacteria	29547	C	267	14	281	0.00030
Acidithiobacillia	1807140	C	153	16	169	0.00018
Oligoflexia	1553900	C	137	2	139	0.00015
Hydrogenophilalia	2008785	C	58	14	72	0.00008
Zetaproteobacteria	580370	C	39	1	40	0.00004
Actinomycetia	1760	C	269104	16989	286093	0.30597
Thermoleophilia	1497346	C	5748	883	6631	0.00709
Rubrobacteria	84995	C	3816	380	4196	0.00449
Acidimicrobiia	84992	C	3501	433	3934	0.00421
Coriobacteriia	84998	C	1147	233	1380	0.00148
Nitriliruptoria	908620	C	712	70	782	0.00084
Bacilli	91061	C	10195	7187	17382	0.01859
Clostridia	186801	C	2711	525	3236	0.00346
Negativicutes	909932	C	345	45	390	0.00042
Limnochordia	1676648	C	162	8	170	0.00018
Tissierellia	1737404	C	53	37	90	0.00010
Erysipelotrichia	526524	C	41	3032	3073	0.00329
Gloeobacteria	307596	C	288	87	375	0.00040
Deinococci	188787	C	2587	133	2720	0.00291
Thermomicrobia	189775	C	570	26	596	0.00064
Chloroflexia	32061	C	452	18	470	0.00050
Ardenticatenia	1382928	C	285	7	292	0.00031
Tepidiformia	2682225	C	268	13	281	0.00030
Anaerolineae	292625	C	170	3	173	0.00019
Caldilineae	475962	C	162	11	173	0.00019
Dehalococcoidia	301297	C	85	65	150	0.00016
Candidatus Thermofonsia	2364196	C	54	0	54	0.00006
Ktedonobacteria	388447	C	44	1	45	0.00005
Fimbriimonadia	1663419	C	158	1	159	0.00017
Chthonomonadetes	1077257	C	41	0	41	0.00004
Mollicutes	31969	C	26	13	39	0.00004
Planctomycetia	203683	C	35493	680	36173	0.03869
Phycisphaerae	666505	C	1175	46	1221	0.00131
Candidatus Uabimicrobiia	2897345	C	11	0	11	0.00001
Opitutae	414999	C	1817	88	1905	0.00204
Verrucomicrobiae	203494	C	1768	170	1938	0.00207
Methylacidiphilae	1955630	C	18	0	18	0.00002
Spartobacteria	134549	C	16	1	17	0.00002
Kiritimatiellae	1921781	C	52	82	134	0.00014
Tichowtungiia	2907184	C	23	0	23	0.00003
Chlamydiia	204429	C	20	16	36	0.00004
Cytophagia	768503	C	2896	86	2982	0.00319
Chitinophagia	1853228	C	1982	34	2016	0.00216
Flavobacteriia	117743	C	1091	133	1224	0.00131
Bacteroidia	200643	C	897	1112	2009	0.00215
Sphingobacteriia	117747	C	517	75	592	0.00063
Saprospiria	1937959	C	26	1	27	0.00003
Chlorobia	191410	C	285	42	327	0.00035
Ignavibacteria	795747	C	17	0	17	0.00002
Gemmatimonadetes	219685	C	5673	405	6078	0.00650
Fibrobacteria	204430	C	17	6	23	0.00003
Vicinamibacteria	1813735	C	7360	484	7844	0.00839
Acidobacteriia	204432	C	2910	53	2963	0.00317
Blastocatellia	1562566	C	318	12	330	0.00035
Holophagae	533205	C	168	3	171	0.00018
Nitrospira	203693	C	1156	19	1175	0.00126
Thermodesulfovibrionia	2811502	C	11	0	11	0.00001
Spirochaetia	203692	C	235	12	247	0.00027
Synergistia	649775	C	193	70	263	0.00028
Thermotogae	188708	C	50	4	54	0.00006
Thermodesulfobacteria	67799	C	46	1	47	0.00005
Aquificae	187857	C	36	0	36	0.00004
Fusobacteriia	203490	C	24	7	31	0.00003
Deferribacteres	68337	C	23	1	24	0.00003
Calditrichia	1962850	C	23	0	23	0.00002
Chrysiogenetes	118001	C	20	9	29	0.00003
Sordariomycetes	147550	C	1896	51	1947	0.00208
Leotiomycetes	147548	C	14	0	14	0.00002
Eurotiomycetes	147545	C	323	17	340	0.00036
Dothideomycetes	147541	C	72	12	84	0.00009
Saccharomycetes	4891	C	75	8	83	0.00009
Ustilaginomycetes	5257	C	128	5	133	0.00014
Agaricomycetes	155619	C	44	2	46	0.00005
Tremellomycetes	155616	C	11	250	261	0.00028
