name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	39158	4403	43561	0.04661
Rhizobiaceae	82115	F	17921	4065	21986	0.02353
Phyllobacteriaceae	69277	F	17276	3318	20594	0.02204
Methylobacteriaceae	119045	F	12533	2129	14662	0.01569
Xanthobacteraceae	335928	F	5620	1171	6791	0.00727
Hyphomicrobiaceae	45401	F	5238	552	5790	0.00620
Boseaceae	2831100	F	3075	568	3643	0.00390
Devosiaceae	2831106	F	2898	292	3190	0.00341
Aurantimonadaceae	255475	F	2290	2595	4885	0.00523
Methylocystaceae	31993	F	1487	149	1636	0.00175
Stappiaceae	2821832	F	1288	349	1637	0.00175
Phreatobacteraceae	2843305	F	1254	260	1514	0.00162
Parvibaculaceae	2813035	F	957	277	1234	0.00132
Chelatococcaceae	2036754	F	889	240	1129	0.00121
Blastochloridaceae	2831090	F	763	216	979	0.00105
Beijerinckiaceae	45404	F	712	61	773	0.00083
Brucellaceae	118882	F	711	276	987	0.00106
Amorphaceae	2685818	F	473	61	534	0.00057
Kaistiaceae	2831111	F	469	138	607	0.00065
Breoghaniaceae	2831104	F	285	44	329	0.00035
Pleomorphomonadaceae	2843308	F	276	58	334	0.00036
Lichenihabitantaceae	2723775	F	224	12	236	0.00025
Cohaesibacteraceae	655351	F	49	2	51	0.00005
Bartonellaceae	772	F	34	2	36	0.00004
Sphingomonadaceae	41297	F	36755	5199	41954	0.04489
Erythrobacteraceae	335929	F	5476	1126	6602	0.00706
Sphingosinicellaceae	2820280	F	1421	135	1556	0.00167
Zymomonadaceae	2844881	F	13	12	25	0.00003
Azospirillaceae	2829815	F	7472	902	8374	0.00896
Acetobacteraceae	433	F	6083	850	6933	0.00742
Rhodospirillaceae	41295	F	4696	18688	23384	0.02502
Stellaceae	2844601	F	891	73	964	0.00103
Elioraeaceae	2690195	F	343	20	363	0.00039
Thalassospiraceae	2844866	F	225	18	243	0.00026
Terasakiellaceae	2813951	F	10	0	10	0.00001
Rhodobacteraceae	31989	F	7744	1204	8948	0.00957
Roseobacteraceae	2854170	F	4966	634	5600	0.00599
Caulobacteraceae	76892	F	7436	845	8281	0.00886
Hyphomonadaceae	69657	F	442	17	459	0.00049
Maricaulaceae	2800061	F	403	45	448	0.00048
Parvularculaceae	255474	F	105	8	113	0.00012
Anaplasmataceae	942	F	30	0	30	0.00003
Rickettsiaceae	775	F	27	4	31	0.00003
Emcibacteraceae	2066491	F	53	56	109	0.00012
Magnetococcaceae	1191479	F	18	0	18	0.00002
Comamonadaceae	80864	F	29880	13472	43352	0.04639
Burkholderiaceae	119060	F	26982	6192	33174	0.03550
Oxalobacteraceae	75682	F	8496	1390	9886	0.01058
Alcaligenaceae	506	F	7771	12912	20683	0.02213
Sutterellaceae	995019	F	161	16	177	0.00019
Zoogloeaceae	2008794	F	4603	1873	6476	0.00693
Rhodocyclaceae	75787	F	3917	1450	5367	0.00574
Azonexaceae	2008795	F	854	111	965	0.00103
Fluviibacteraceae	2808923	F	18	7	25	0.00003
Usitatibacteraceae	2803844	F	2234	218	2452	0.00262
Nitrosomonadaceae	206379	F	2105	67	2172	0.00232
Sterolibacteriaceae	2008793	F	850	285	1135	0.00122
Gallionellaceae	90627	F	519	73	592	0.00063
Thiobacillaceae	2008790	F	461	170	631	0.00068
Sulfuricellaceae	2772226	F	396	57	453	0.00049
Methylophilaceae	32011	F	137	17	154	0.00016
Chromobacteriaceae	1499392	F	2149	563	2712	0.00290
Neisseriaceae	481	F	900	259	1159	0.00124
Casimicrobiaceae	2705999	F	163	102	265	0.00028
Xanthomonadaceae	32033	F	23824	5013	28837	0.03086
Rhodanobacteraceae	1775411	F	7453	1429	8882	0.00950
Pseudomonadaceae	135621	F	18453	5295	23748	0.02541
Marinobacteraceae	2887365	F	464	54	518	0.00055
Enterobacteriaceae	543	F	2687	8343	11030	0.01180
Yersiniaceae	1903411	F	868	509	1377	0.00147
Erwiniaceae	1903409	F	693	168	861	0.00092
Pectobacteriaceae	1903410	F	503	104	607	0.00065
Hafniaceae	1903412	F	132	40	172	0.00018
Morganellaceae	1903414	F	129	94	223	0.00024
Bruguierivoracaceae	2812006	F	83	7	90	0.00010
Budviciaceae	1903416	F	18	2	20	0.00002
Ectothiorhodospiraceae	72276	F	2127	259	2386	0.00255
Chromatiaceae	1046	F	1544	129	1673	0.00179
Wenzhouxiangellaceae	1676141	F	216	233	449	0.00048
Thioalkalispiraceae	1096778	F	159	78	237	0.00025
Thioalkalibacteraceae	2035710	F	147	44	191	0.00021
Woeseiaceae	1738654	F	94	2	96	0.00010
Halothiobacillaceae	255526	F	86	9	95	0.00010
Granulosicoccaceae	449719	F	45	1	46	0.00005
Halomonadaceae	28256	F	2899	397	3296	0.00353
Alcanivoracaceae	224372	F	282	160	442	0.00047
Oceanospirillaceae	135620	F	213	28	241	0.00026
Saccharospirillaceae	255527	F	76	5	81	0.00009
Hahellaceae	224379	F	68	3	71	0.00008
Litoricolaceae	449732	F	16	1	17	0.00002
Endozoicomonadaceae	2066474	F	10	0	10	0.00001
Methylococcaceae	403	F	1519	86	1605	0.00172
Sinobacteraceae	568386	F	712	112	824	0.00088
Steroidobacteraceae	2689614	F	611	226	837	0.00090
Aeromonadaceae	84642	F	1247	995	2242	0.00240
Acidiferrobacteraceae	1692041	F	1025	63	1088	0.00116
Microbulbiferaceae	1706373	F	398	28	426	0.00046
Cellvibrionaceae	1706371	F	169	7	176	0.00019
Halieaceae	1706372	F	169	21	190	0.00020
Spongiibacteraceae	1706375	F	69	6	75	0.00008
Shewanellaceae	267890	F	373	105	478	0.00051
Alteromonadaceae	72275	F	171	23	194	0.00021
Pseudoalteromonadaceae	267888	F	109	13	122	0.00013
Ferrimonadaceae	267892	F	44	6	50	0.00005
Idiomarinaceae	267893	F	19	3	22	0.00002
Colwelliaceae	267889	F	17	2	19	0.00002
