name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	1326	299	1625	0.00176
Bradyrhizobium sp. 170	2782641	S	1142	296	1438	0.00155
Bradyrhizobium sp. CCBAU 051011	858422	S	1068	215	1283	0.00139
Bradyrhizobium sp. CCBAU 51765	1325102	S	618	553	1171	0.00127
Bradyrhizobium sp. CCBAU 51753	1325100	S	591	138	729	0.00079
Bradyrhizobium sp. 191	2782659	S	576	554	1130	0.00122
Bradyrhizobium sp. BTAi1	288000	S	468	93	561	0.00061
Bradyrhizobium sp. A19	2898149	S	465	89	554	0.00060
Bradyrhizobium sp. 1(2017)	1404888	S	457	150	607	0.00066
Bradyrhizobium sp. ORS 285	115808	S	442	107	549	0.00059
Bradyrhizobium sp. ORS 278	114615	S	439	108	547	0.00059
Bradyrhizobium sp. I71	2590772	S	416	355	771	0.00083
Bradyrhizobium sp. SK17	2057741	S	409	146	555	0.00060
Bradyrhizobium sp. CCGE-LA001	1223566	S	408	160	568	0.00061
Bradyrhizobium sp. 195	2782662	S	394	145	539	0.00058
Bradyrhizobium sp. CCBAU 53351	1325114	S	380	201	581	0.00063
Bradyrhizobium sp. 186	2782654	S	367	101	468	0.00051
Bradyrhizobium sp. CCBAU 53421	1325120	S	345	113	458	0.00050
Bradyrhizobium sp. CCBAU 53338	1325111	S	323	139	462	0.00050
Bradyrhizobium sp. CCBAU 53340	1325112	S	320	131	451	0.00049
Bradyrhizobium sp. 6(2017)	1197460	S	237	121	358	0.00039
Bradyrhizobium sp. S2-11-2	2840472	S	230	170	400	0.00043
Bradyrhizobium sp. S2-20-1	2840469	S	200	156	356	0.00039
Bradyrhizobium sp. 41S5	1404443	S	199	140	339	0.00037
Bradyrhizobium sp. S2-11-4	2840473	S	199	171	370	0.00040
Bradyrhizobium sp. C-145	574727	S	177	183	360	0.00039
Bradyrhizobium sp.	376	S	102	348	450	0.00049
Bradyrhizobium sp. 144S4	2823807	S	89	223	312	0.00034
Bradyrhizobium sp. 323S2	1404649	S	84	216	300	0.00032
Bradyrhizobium sp. 4	2782678	S	79	190	269	0.00029
Bradyrhizobium sp. 40	2782674	S	70	151	221	0.00024
Bradyrhizobium sp. 192	2782660	S	64	159	223	0.00024
Bradyrhizobium sp. LCT2	2493093	S	39	113	152	0.00017
