name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3354095	323786	3677881	0.27227
Betaproteobacteria	28216	C	1433159	278689	1711848	0.12673
Gammaproteobacteria	1236	C	966204	275503	1241707	0.09192
Deltaproteobacteria	28221	C	541707	37609	579316	0.04289
Epsilonproteobacteria	29547	C	4332	228	4560	0.00034
Acidithiobacillia	1807140	C	2369	240	2609	0.00019
Oligoflexia	1553900	C	1148	20	1168	0.00009
Hydrogenophilalia	2008785	C	876	196	1072	0.00008
Zetaproteobacteria	580370	C	529	17	546	0.00004
Actinomycetia	1760	C	4407292	256027	4663319	0.34522
Rubrobacteria	84995	C	107944	8087	116031	0.00859
Thermoleophilia	1497346	C	88944	13622	102566	0.00759
Acidimicrobiia	84992	C	71422	9178	80600	0.00597
Coriobacteriia	84998	C	17329	3214	20543	0.00152
Nitriliruptoria	908620	C	14900	1567	16467	0.00122
Bacilli	91061	C	121907	68399	190306	0.01409
Clostridia	186801	C	35987	7137	43124	0.00319
Negativicutes	909932	C	5092	595	5687	0.00042
Limnochordia	1676648	C	2734	127	2861	0.00021
Tissierellia	1737404	C	765	543	1308	0.00010
Erysipelotrichia	526524	C	668	32407	33075	0.00245
Gloeobacteria	307596	C	4276	5220	9496	0.00070
Deinococci	188787	C	37812	1990	39802	0.00295
Thermomicrobia	189775	C	8163	348	8511	0.00063
Chloroflexia	32061	C	4926	184	5110	0.00038
Ardenticatenia	1382928	C	4014	91	4105	0.00030
Tepidiformia	2682225	C	3989	189	4178	0.00031
Anaerolineae	292625	C	2035	40	2075	0.00015
Caldilineae	475962	C	1949	126	2075	0.00015
Dehalococcoidia	301297	C	1147	19	1166	0.00009
Candidatus Thermofonsia	2364196	C	847	9	856	0.00006
Ktedonobacteria	388447	C	771	732	1503	0.00011
Fimbriimonadia	1663419	C	2171	14	2185	0.00016
Chthonomonadetes	1077257	C	440	4	444	0.00003
Mollicutes	31969	C	607	146	753	0.00006
Planctomycetia	203683	C	429643	7401	437044	0.03235
Phycisphaerae	666505	C	14856	613	15469	0.00115
Candidatus Brocadiia	2517206	C	195	1	196	0.00001
Candidatus Uabimicrobiia	2897345	C	147	3	150	0.00001
Opitutae	414999	C	36641	1722	38363	0.00284
Verrucomicrobiae	203494	C	16343	2131	18474	0.00137
Methylacidiphilae	1955630	C	148	5	153	0.00001
Spartobacteria	134549	C	108	7	115	0.00001
Kiritimatiellae	1921781	C	1111	1370	2481	0.00018
Tichowtungiia	2907184	C	400	17	417	0.00003
Chlamydiia	204429	C	640	359	999	0.00007
Cytophagia	768503	C	38789	1016	39805	0.00295
Chitinophagia	1853228	C	16222	290	16512	0.00122
Flavobacteriia	117743	C	13647	1313	14960	0.00111
Bacteroidia	200643	C	12291	14936	27227	0.00202
Sphingobacteriia	117747	C	6154	738	6892	0.00051
Saprospiria	1937959	C	514	120	634	0.00005
Chlorobia	191410	C	4271	509	4780	0.00035
Ignavibacteria	795747	C	258	6	264	0.00002
Gemmatimonadetes	219685	C	62005	4093	66098	0.00489
Fibrobacteria	204430	C	182	68	250	0.00002
Vicinamibacteria	1813735	C	104093	6463	110556	0.00818
Acidobacteriia	204432	C	42355	733	43088	0.00319
Blastocatellia	1562566	C	4267	136	4403	0.00033
Holophagae	533205	C	2633	56	2689	0.00020
Nitrospira	203693	C	16450	282	16732	0.00124
Thermodesulfovibrionia	2811502	C	194	5	199	0.00001
Spirochaetia	203692	C	3988	191	4179	0.00031
Synergistia	649775	C	3225	1028	4253	0.00031
Candidatus Saccharimonia	2093818	C	129	141	270	0.00002
Candidatus Babeliae	2497643	C	107	76	183	0.00001
Thermotogae	188708	C	993	50	1043	0.00008
Aquificae	187857	C	684	12	696	0.00005
Thermodesulfobacteria	67799	C	524	12	536	0.00004
Calditrichia	1962850	C	390	4	394	0.00003
Deferribacteres	68337	C	365	14	379	0.00003
Fusobacteriia	203490	C	266	78	344	0.00003
Chrysiogenetes	118001	C	260	135	395	0.00003
Endomicrobia	447830	C	107	2	109	0.00001
Elusimicrobia	641853	C	96	1	97	0.00001
Caldisericia	693071	C	97	0	97	0.00001
Coprothermobacteria	2138243	C	86	20	106	0.00001
Dictyoglomia	203486	C	83	0	83	0.00001
Atribacteria	2847774	C	56	1	57	0.00000
Sordariomycetes	147550	C	33137	553	33690	0.00249
Leotiomycetes	147548	C	275	2	277	0.00002
Eurotiomycetes	147545	C	2863	104	2967	0.00022
Dothideomycetes	147541	C	1135	193	1328	0.00010
Saccharomycetes	4891	C	1279	126	1405	0.00010
Schizosaccharomycetes	147554	C	45	1	46	0.00000
Ustilaginomycetes	5257	C	2190	54	2244	0.00017
Malasseziomycetes	1538075	C	156	32	188	0.00001
Agaricomycetes	155619	C	599	16	615	0.00005
Tremellomycetes	155616	C	111	4143	4254	0.00031
