name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3425593	338297	3763890	0.23777
Betaproteobacteria	28216	C	1594838	344047	1938885	0.12248
Gammaproteobacteria	1236	C	1396931	400223	1797154	0.11353
Deltaproteobacteria	28221	C	696810	29538	726348	0.04588
Epsilonproteobacteria	29547	C	5489	279	5768	0.00036
Acidithiobacillia	1807140	C	2986	276	3262	0.00021
Oligoflexia	1553900	C	1410	20	1430	0.00009
Hydrogenophilalia	2008785	C	1068	220	1288	0.00008
Zetaproteobacteria	580370	C	628	19	647	0.00004
Actinomycetia	1760	C	5178588	293980	5472568	0.34571
Acidimicrobiia	84992	C	87346	11271	98617	0.00623
Rubrobacteria	84995	C	74280	5659	79939	0.00505
Thermoleophilia	1497346	C	72740	10818	83558	0.00528
Coriobacteriia	84998	C	23504	4449	27953	0.00177
Nitriliruptoria	908620	C	19540	2021	21561	0.00136
Bacilli	91061	C	135333	84759	220092	0.01390
Clostridia	186801	C	49739	10747	60486	0.00382
Negativicutes	909932	C	6833	789	7622	0.00048
Limnochordia	1676648	C	3972	186	4158	0.00026
Erysipelotrichia	526524	C	947	323	1270	0.00008
Tissierellia	1737404	C	842	44988	45830	0.00290
Gloeobacteria	307596	C	5912	7409	13321	0.00084
Deinococci	188787	C	55392	3004	58396	0.00369
Thermomicrobia	189775	C	11484	522	12006	0.00076
Chloroflexia	32061	C	7093	294	7387	0.00047
Tepidiformia	2682225	C	6243	301	6544	0.00041
Ardenticatenia	1382928	C	5981	138	6119	0.00039
Anaerolineae	292625	C	3528	78	3606	0.00023
Caldilineae	475962	C	2707	194	2901	0.00018
Dehalococcoidia	301297	C	1753	37	1790	0.00011
Candidatus Thermofonsia	2364196	C	1457	17	1474	0.00009
Ktedonobacteria	388447	C	1076	1028	2104	0.00013
Fimbriimonadia	1663419	C	3204	20	3224	0.00020
Chthonomonadetes	1077257	C	854	8	862	0.00005
Mollicutes	31969	C	851	192	1043	0.00007
Planctomycetia	203683	C	698031	11523	709554	0.04482
Phycisphaerae	666505	C	22692	888	23580	0.00149
Candidatus Brocadiia	2517206	C	287	1	288	0.00002
Candidatus Uabimicrobiia	2897345	C	173	3	176	0.00001
Opitutae	414999	C	39620	1750	41370	0.00261
Verrucomicrobiae	203494	C	18558	2879	21437	0.00135
Methylacidiphilae	1955630	C	218	8	226	0.00001
Spartobacteria	134549	C	157	12	169	0.00001
Kiritimatiellae	1921781	C	1497	1915	3412	0.00022
Tichowtungiia	2907184	C	523	21	544	0.00003
Chlamydiia	204429	C	810	556	1366	0.00009
Cytophagia	768503	C	52474	20329	72803	0.00460
Chitinophagia	1853228	C	16772	235	17007	0.00107
Bacteroidia	200643	C	16599	3014	19613	0.00124
Flavobacteriia	117743	C	14788	1152	15940	0.00101
Sphingobacteriia	117747	C	9058	1954	11012	0.00070
Saprospiria	1937959	C	531	119	650	0.00004
Chlorobia	191410	C	5981	706	6687	0.00042
Ignavibacteria	795747	C	315	7	322	0.00002
Gemmatimonadetes	219685	C	109227	6873	116100	0.00733
Fibrobacteria	204430	C	267	149	416	0.00003
Vicinamibacteria	1813735	C	115221	7022	122243	0.00772
Acidobacteriia	204432	C	54845	921	55766	0.00352
Blastocatellia	1562566	C	5640	205	5845	0.00037
Holophagae	533205	C	3486	72	3558	0.00022
Nitrospira	203693	C	20672	324	20996	0.00133
Thermodesulfovibrionia	2811502	C	334	8	342	0.00002
Spirochaetia	203692	C	5248	339	5587	0.00035
Synergistia	649775	C	4859	1346	6205	0.00039
Candidatus Saccharimonia	2093818	C	178	266	444	0.00003
Candidatus Babeliae	2497643	C	109	118	227	0.00001
Thermotogae	188708	C	1416	101	1517	0.00010
Aquificae	187857	C	954	16	970	0.00006
Thermodesulfobacteria	67799	C	747	15	762	0.00005
Calditrichia	1962850	C	597	6	603	0.00004
Deferribacteres	68337	C	458	17	475	0.00003
Chrysiogenetes	118001	C	448	228	676	0.00004
Fusobacteriia	203490	C	365	95	460	0.00003
Elusimicrobia	641853	C	164	2	166	0.00001
Endomicrobia	447830	C	163	2	165	0.00001
Dictyoglomia	203486	C	167	0	167	0.00001
Caldisericia	693071	C	146	0	146	0.00001
Coprothermobacteria	2138243	C	144	32	176	0.00001
Atribacteria	2847774	C	93	2	95	0.00001
Sordariomycetes	147550	C	35373	809	36182	0.00229
Leotiomycetes	147548	C	330	2	332	0.00002
Eurotiomycetes	147545	C	4019	140	4159	0.00026
Dothideomycetes	147541	C	1475	234	1709	0.00011
Saccharomycetes	4891	C	1535	140	1675	0.00011
Schizosaccharomycetes	147554	C	54	1	55	0.00000
Ustilaginomycetes	5257	C	2904	61	2965	0.00019
Malasseziomycetes	1538075	C	161	30	191	0.00001
Agaricomycetes	155619	C	1261	42	1303	0.00008
Tremellomycetes	155616	C	186	7915	8101	0.00051
