name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	449606	44746	494352	0.03123
Rhizobiaceae	82115	F	247647	82840	330487	0.02088
Phyllobacteriaceae	69277	F	208939	38852	247791	0.01565
Methylobacteriaceae	119045	F	180110	27950	208060	0.01314
Xanthobacteraceae	335928	F	78777	14811	93588	0.00591
Hyphomicrobiaceae	45401	F	69829	6848	76677	0.00484
Boseaceae	2831100	F	44454	7334	51788	0.00327
Devosiaceae	2831106	F	41475	3682	45157	0.00285
Aurantimonadaceae	255475	F	38001	38319	76320	0.00482
Methylocystaceae	31993	F	25940	2340	28280	0.00179
Stappiaceae	2821832	F	22412	5238	27650	0.00175
Phreatobacteraceae	2843305	F	20996	3895	24891	0.00157
Parvibaculaceae	2813035	F	17144	3998	21142	0.00134
Chelatococcaceae	2036754	F	13617	3287	16904	0.00107
Blastochloridaceae	2831090	F	12575	3198	15773	0.00100
Beijerinckiaceae	45404	F	12157	954	13111	0.00083
Amorphaceae	2685818	F	7933	918	8851	0.00056
Brucellaceae	118882	F	7479	3602	11081	0.00070
Kaistiaceae	2831111	F	7279	1932	9211	0.00058
Pleomorphomonadaceae	2843308	F	4655	894	5549	0.00035
Breoghaniaceae	2831104	F	4654	656	5310	0.00034
Lichenihabitantaceae	2723775	F	4010	204	4214	0.00027
Cohaesibacteraceae	655351	F	883	38	921	0.00006
Bartonellaceae	772	F	722	48	770	0.00005
Sphingomonadaceae	41297	F	635495	83313	718808	0.04541
Erythrobacteraceae	335929	F	93234	17297	110531	0.00698
Sphingosinicellaceae	2820280	F	27285	2313	29598	0.00187
Zymomonadaceae	2844881	F	199	132	331	0.00002
Azospirillaceae	2829815	F	133638	13930	147568	0.00932
Acetobacteraceae	433	F	104128	12589	116717	0.00737
Rhodospirillaceae	41295	F	81496	306075	387571	0.02448
Stellaceae	2844601	F	15863	1110	16973	0.00107
Elioraeaceae	2690195	F	6788	348	7136	0.00045
Thalassospiraceae	2844866	F	3994	259	4253	0.00027
Terasakiellaceae	2813951	F	183	4	187	0.00001
Rhodobacteraceae	31989	F	123617	16927	140544	0.00888
Roseobacteraceae	2854170	F	84337	11256	95593	0.00604
Caulobacteraceae	76892	F	129988	11792	141780	0.00896
Hyphomonadaceae	69657	F	11816	402	12218	0.00077
Maricaulaceae	2800061	F	8089	833	8922	0.00056
Parvularculaceae	255474	F	2454	162	2616	0.00017
Anaplasmataceae	942	F	669	11	680	0.00004
Rickettsiaceae	775	F	459	27	486	0.00003
Candidatus Midichloriaceae	1328881	F	51	2	53	0.00000
Candidatus Deianiraeaceae	2603433	F	30	1177	1207	0.00008
Emcibacteraceae	2066491	F	1082	115	1197	0.00008
Holosporaceae	44746	F	199	4	203	0.00001
Caedimonadaceae	2100208	F	89	4	93	0.00001
Candidatus Paracaedibacteraceae	1777752	F	87	4	91	0.00001
Magnetococcaceae	1191479	F	329	8	337	0.00002
Pelagibacteraceae	1655514	F	88	70	158	0.00001
Kordiimonadaceae	1331809	F	131	2	133	0.00001
Burkholderiaceae	119060	F	443003	217501	660504	0.04172
Comamonadaceae	80864	F	402198	134489	536687	0.03390
Oxalobacteraceae	75682	F	136308	17111	153419	0.00969
Alcaligenaceae	506	F	121069	171259	292328	0.01847
Sutterellaceae	995019	F	2755	240	2995	0.00019
Zoogloeaceae	2008794	F	49110	19956	69066	0.00436
Rhodocyclaceae	75787	F	38277	12546	50823	0.00321
Azonexaceae	2008795	F	12190	1342	13532	0.00085
Fluviibacteraceae	2808923	F	309	113	422	0.00003
Usitatibacteraceae	2803844	F	29124	2396	31520	0.00199
Sterolibacteriaceae	2008793	F	15074	4170	19244	0.00122
Thiobacillaceae	2008790	F	8574	2532	11106	0.00070
Gallionellaceae	90627	F	7957	998	8955	0.00057
Nitrosomonadaceae	206379	F	7857	351	8208	0.00052
Sulfuricellaceae	2772226	F	6573	864	7437	0.00047
Methylophilaceae	32011	F	2296	248	2544	0.00016
Chromobacteriaceae	1499392	F	37910	7763	45673	0.00289
Neisseriaceae	481	F	16944	3657	20601	0.00130
Casimicrobiaceae	2705999	F	2553	1243	3796	0.00024
Pseudomonadaceae	135621	F	504836	173131	677967	0.04283
Marinobacteraceae	2887365	F	8804	688	9492	0.00060
Xanthomonadaceae	32033	F	320068	64911	384979	0.02432
Rhodanobacteraceae	1775411	F	60198	10192	70390	0.00445
Enterobacteriaceae	543	F	46591	168489	215080	0.01359
Yersiniaceae	1903411	F	17788	22659	40447	0.00256
Erwiniaceae	1903409	F	13541	2169	15710	0.00099
Pectobacteriaceae	1903410	F	8798	1355	10153	0.00064
Hafniaceae	1903412	F	2620	684	3304	0.00021
Morganellaceae	1903414	F	2061	1161	3222	0.00020
Bruguierivoracaceae	2812006	F	1583	105	1688	0.00011
Budviciaceae	1903416	F	393	50	443	0.00003
Ectothiorhodospiraceae	72276	F	39444	3830	43274	0.00273
Chromatiaceae	1046	F	28079	1989	30068	0.00190
Wenzhouxiangellaceae	1676141	F	4598	4324	8922	0.00056
Thioalkalibacteraceae	2035710	F	2529	663	3192	0.00020
Thioalkalispiraceae	1096778	F	2487	950	3437	0.00022
Halothiobacillaceae	255526	F	1593	140	1733	0.00011
Woeseiaceae	1738654	F	1543	27	1570	0.00010
Granulosicoccaceae	449719	F	1076	26	1102	0.00007
Halomonadaceae	28256	F	54869	6077	60946	0.00385
Alcanivoracaceae	224372	F	5783	2690	8473	0.00054
Oceanospirillaceae	135620	F	3729	413	4142	0.00026
Hahellaceae	224379	F	1197	47	1244	0.00008
Saccharospirillaceae	255527	F	1097	56	1153	0.00007
Litoricolaceae	449732	F	375	18	393	0.00002
Oleiphilaceae	191033	F	150	12	162	0.00001
Zooshikellaceae	2898533	F	137	4	141	0.00001
Endozoicomonadaceae	2066474	F	125	7	132	0.00001
Methylococcaceae	403	F	27176	1200	28376	0.00179
Aeromonadaceae	84642	F	24208	15626	39834	0.00252
Succinivibrionaceae	83763	F	33	1	34	0.00000
