name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3557741	305388	3863129	0.24656
Betaproteobacteria	28216	C	1384812	256246	1641058	0.10474
Gammaproteobacteria	1236	C	1069874	291449	1361323	0.08689
Deltaproteobacteria	28221	C	643058	31196	674254	0.04303
Epsilonproteobacteria	29547	C	4171	375	4546	0.00029
Acidithiobacillia	1807140	C	2176	227	2403	0.00015
Oligoflexia	1553900	C	1224	15	1239	0.00008
Hydrogenophilalia	2008785	C	858	171	1029	0.00007
Zetaproteobacteria	580370	C	503	15	518	0.00003
Actinomycetia	1760	C	5678839	290507	5969346	0.38099
Thermoleophilia	1497346	C	169413	23323	192736	0.01230
Rubrobacteria	84995	C	80134	9115	89249	0.00570
Acidimicrobiia	84992	C	55288	6323	61611	0.00393
Coriobacteriia	84998	C	20651	3375	24026	0.00153
Nitriliruptoria	908620	C	14098	1284	15382	0.00098
Bacilli	91061	C	252636	180877	433513	0.02767
Clostridia	186801	C	37769	6325	44094	0.00281
Negativicutes	909932	C	5627	562	6189	0.00040
Limnochordia	1676648	C	2953	118	3071	0.00020
Tissierellia	1737404	C	674	450	1124	0.00007
Erysipelotrichia	526524	C	624	400	1024	0.00007
Deinococci	188787	C	44784	32618	77402	0.00494
Gloeobacteria	307596	C	4292	5331	9623	0.00061
Thermomicrobia	189775	C	11125	449	11574	0.00074
Chloroflexia	32061	C	7639	279	7918	0.00051
Tepidiformia	2682225	C	7097	298	7395	0.00047
Ardenticatenia	1382928	C	3793	76	3869	0.00025
Caldilineae	475962	C	1796	116	1912	0.00012
Anaerolineae	292625	C	1527	29	1556	0.00010
Dehalococcoidia	301297	C	1398	25	1423	0.00009
Ktedonobacteria	388447	C	1214	1150	2364	0.00015
Candidatus Thermofonsia	2364196	C	408	4	412	0.00003
Fimbriimonadia	1663419	C	3197	18	3215	0.00021
Chthonomonadetes	1077257	C	664	5	669	0.00004
Mollicutes	31969	C	584	132	716	0.00005
Planctomycetia	203683	C	497720	8374	506094	0.03230
Phycisphaerae	666505	C	21912	683	22595	0.00144
Candidatus Brocadiia	2517206	C	204	0	204	0.00001
Candidatus Uabimicrobiia	2897345	C	76	1	77	0.00000
Opitutae	414999	C	36432	1405	37837	0.00241
Verrucomicrobiae	203494	C	13234	2206	15440	0.00099
Spartobacteria	134549	C	273	21	294	0.00002
Methylacidiphilae	1955630	C	178	8	186	0.00001
Kiritimatiellae	1921781	C	1111	1269	2380	0.00015
Tichowtungiia	2907184	C	431	18	449	0.00003
Chlamydiia	204429	C	667	349	1016	0.00006
Gemmatimonadetes	219685	C	174980	10256	185236	0.01182
Cytophagia	768503	C	39253	907	40160	0.00256
Chitinophagia	1853228	C	19921	14736	34657	0.00221
Flavobacteriia	117743	C	13524	1227	14751	0.00094
Bacteroidia	200643	C	13032	3190	16222	0.00104
Sphingobacteriia	117747	C	6983	1010	7993	0.00051
Saprospiria	1937959	C	366	99	465	0.00003
Chlorobia	191410	C	4581	516	5097	0.00033
Ignavibacteria	795747	C	216	5	221	0.00001
Fibrobacteria	204430	C	161	83	244	0.00002
Vicinamibacteria	1813735	C	80446	4668	85114	0.00543
Acidobacteriia	204432	C	53123	832	53955	0.00344
Blastocatellia	1562566	C	3887	151	4038	0.00026
Holophagae	533205	C	2276	44	2320	0.00015
Nitrospira	203693	C	18469	255	18724	0.00120
Thermodesulfovibrionia	2811502	C	243	6	249	0.00002
Spirochaetia	203692	C	3787	156	3943	0.00025
Synergistia	649775	C	3486	1051	4537	0.00029
Candidatus Saccharimonia	2093818	C	286	519	805	0.00005
Candidatus Babeliae	2497643	C	59	47	106	0.00001
Thermotogae	188708	C	794	43	837	0.00005
Aquificae	187857	C	776	12	788	0.00005
Thermodesulfobacteria	67799	C	519	9	528	0.00003
Calditrichia	1962850	C	396	3	399	0.00003
Deferribacteres	68337	C	359	10	369	0.00002
Fusobacteriia	203490	C	282	52	334	0.00002
Chrysiogenetes	118001	C	276	123	399	0.00003
Endomicrobia	447830	C	104	1	105	0.00001
Elusimicrobia	641853	C	93	1	94	0.00001
Coprothermobacteria	2138243	C	134	27	161	0.00001
Caldisericia	693071	C	99	0	99	0.00001
Dictyoglomia	203486	C	62	0	62	0.00000
Atribacteria	2847774	C	51	1	52	0.00000
Sordariomycetes	147550	C	50512	905	51417	0.00328
Leotiomycetes	147548	C	261	1	262	0.00002
Eurotiomycetes	147545	C	13237	522	13759	0.00088
Dothideomycetes	147541	C	1515	236	1751	0.00011
Saccharomycetes	4891	C	1395	122	1517	0.00010
Schizosaccharomycetes	147554	C	37	1	38	0.00000
Ustilaginomycetes	5257	C	2297	50	2347	0.00015
Malasseziomycetes	1538075	C	156	28	184	0.00001
Agaricomycetes	155619	C	733	13	746	0.00005
Tremellomycetes	155616	C	134	5331	5465	0.00035
