name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	407084	54000	461084	0.02943
Rhodopseudomonas	1073	G	30282	9659	39941	0.00255
Nitrobacter	911	G	12262	1752	14014	0.00089
Tardiphaga	1395974	G	9979	1348	11327	0.00072
Afipia	1033	G	7485	3346	10831	0.00069
Variibacter	1649510	G	6730	565	7295	0.00047
Mesorhizobium	68287	G	192936	38514	231450	0.01477
Aquibium	2911176	G	13861	3680	17541	0.00112
Nitratireductor	245876	G	9578	1604	11182	0.00071
Aminobacter	31988	G	9249	6477	15726	0.00100
Phyllobacterium	28100	G	4590	508	5098	0.00033
Roseitalea	1915401	G	3791	707	4498	0.00029
Oricola	1594166	G	2840	427	3267	0.00021
Hoeflea	274591	G	2733	278	3011	0.00019
Salaquimonas	2712688	G	1174	56	1230	0.00008
Lentilitoribacter	1649463	G	82	1	83	0.00001
Rhizobium	379	G	91892	32082	123974	0.00791
Agrobacterium	357	G	18074	6292	24366	0.00156
Neorhizobium	1525371	G	10515	2671	13186	0.00084
Pseudorhizobium	1903858	G	3115	635	3750	0.00024
Sinorhizobium	28105	G	28072	16110	44182	0.00282
Ensifer	106591	G	20066	4099	24165	0.00154
Shinella	323620	G	16910	12971	29881	0.00191
Ciceribacter	1648508	G	2466	525	2991	0.00019
Georhizobium	2661800	G	2427	575	3002	0.00019
Peteryoungia	2853332	G	799	152	951	0.00006
Liberibacter	34019	G	127	54	181	0.00001
Methylobacterium	407	G	97301	18637	115938	0.00740
Microvirga	186650	G	37185	5035	42220	0.00269
Methylorubrum	2282523	G	20256	8879	29135	0.00186
Pseudolabrys	556257	G	35127	5891	41018	0.00262
Xanthobacter	279	G	12784	3209	15993	0.00102
Starkeya	152053	G	12180	3522	15702	0.00100
Ancylobacter	99	G	11881	4469	16350	0.00104
Labrys	204476	G	4430	507	4937	0.00032
Azorhizobium	6	G	4118	971	5089	0.00032
Rhodoplanes	29407	G	39124	4256	43380	0.00277
Hyphomicrobium	81	G	10264	752	11016	0.00070
Methyloceanibacter	1484898	G	4935	348	5283	0.00034
Aquabacter	45402	G	3566	665	4231	0.00027
Methyloligella	1485594	G	3315	428	3743	0.00024
Rhodomicrobium	1068	G	2851	204	3055	0.00020
Caenibius	2827482	G	2270	1011	3281	0.00021
Filomicrobium	119044	G	1036	29	1065	0.00007
Devosia	46913	G	32985	2850	35835	0.00229
Youhaiella	1827478	G	4279	1013	5292	0.00034
Paradevosia	1573407	G	4077	1656	5733	0.00037
Pelagibacterium	1082930	G	1733	211	1944	0.00012
Maritalea	623276	G	351	12	363	0.00002
Bosea	85413	G	37627	6453	44080	0.00281
Aureimonas	414371	G	19510	4363	23873	0.00152
Martelella	293088	G	9884	2032	11916	0.00076
Aurantimonas	182269	G	5774	1912	7686	0.00049
Methylocystis	133	G	15443	1467	16910	0.00108
Methylosinus	425	G	7477	1171	8648	0.00055
Stappia	152161	G	8006	1645	9651	0.00062
Roseibium	150830	G	3485	473	3958	0.00025
Pannonibacter	227873	G	3442	2705	6147	0.00039
Labrenzia	478070	G	2657	237	2894	0.00018
Pseudovibrio	258255	G	629	33	662	0.00004
Pseudorhodoplanes	1734920	G	8523	706	9229	0.00059
Nordella	169055	G	6537	406	6943	0.00044
Terrihabitans	2874214	G	3431	437	3868	0.00025
Candidatus Hodgkinia	573657	G	33	0	33	0.00000
Phreatobacter	1632780	G	17641	3375	21016	0.00134
Kaustia	2838250	G	7047	764	7811	0.00050
Parvibaculum	256616	G	3340	2620	5960	0.00038
Pyruvatibacter	1742974	G	2093	294	2387	0.00015
Candidatus Phaeomarinobacter	1541445	G	868	49	917	0.00006
Chelatococcus	28209	G	12036	3088	15124	0.00097
Methylocella	120652	G	5370	541	5911	0.00038
Methylovirgula	1156568	G	4436	404	4840	0.00031
Beijerinckia	532	G	1203	101	1304	0.00008
Blastochloris	59282	G	10750	2820	13570	0.00087
Brucella	234	G	7098	3935	11033	0.00070
Pseudochrobactrum	354349	G	547	101	648	0.00004
Acuticoccus	1904377	G	6662	793	7455	0.00048
Kaistia	166953	G	6211	1713	7924	0.00051
Hartmannibacter	1572860	G	4065	816	4881	0.00031
Lichenihabitans	2723776	G	3814	198	4012	0.00026
Breoghania	1406135	G	3712	545	4257	0.00027
