name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	7101729	447774	7549503	0.48184
Actinobacteria	201174	P	6083358	268994	6352352	0.40543
Firmicutes	1239	P	304105	184912	489017	0.03121
Deinococcus-Thermus	1297	P	44784	1821	46605	0.00297
Cyanobacteria	1117	P	39390	1115	40505	0.00259
Chloroflexi	200795	P	37689	738	38427	0.00245
Armatimonadetes	67819	P	3873	23	3896	0.00025
Tenericutes	544448	P	670	46	716	0.00005
Planctomycetes	203682	P	521758	7214	528972	0.03376
Verrucomicrobia	74201	P	52267	1492	53759	0.00343
Kiritimatiellaeota	134625	P	1560	1270	2830	0.00018
Chlamydiae	204428	P	667	27	694	0.00004
Candidatus Omnitrophica	67812	P	321	1	322	0.00002
Gemmatimonadetes	142182	P	174980	10256	185236	0.01182
Bacteroidetes	976	P	111874	2377	114251	0.00729
Chlorobi	1090	P	4581	170	4751	0.00030
Balneolaeota	1936987	P	312	33	345	0.00002
Ignavibacteriae	1134404	P	216	5	221	0.00001
Fibrobacteres	65842	P	161	2	163	0.00001
Candidatus Cloacimonetes	456828	P	79	1	80	0.00001
Acidobacteria	57723	P	141195	4233	145428	0.00928
Nitrospirae	40117	P	18714	259	18973	0.00121
Spirochaetes	203691	P	3787	156	3943	0.00025
Synergistetes	508458	P	3486	288	3774	0.00024
Candidatus Bipolaricaulota	67810	P	733	30	763	0.00005
Candidatus Saccharibacteria	95818	P	701	165	866	0.00006
Candidatus Absconditabacteria	221235	P	46	0	46	0.00000
Thermotogae	200918	P	794	43	837	0.00005
Aquificae	200783	P	776	12	788	0.00005
Thermodesulfobacteria	200940	P	519	9	528	0.00003
Calditrichaeota	1930617	P	396	3	399	0.00003
Deferribacteres	200930	P	359	10	369	0.00002
Fusobacteria	32066	P	282	52	334	0.00002
Chrysiogenetes	200938	P	276	123	399	0.00003
Elusimicrobia	74152	P	198	2	200	0.00001
Coprothermobacterota	2138240	P	134	27	161	0.00001
Caldiserica	67814	P	99	0	99	0.00001
Dictyoglomi	68297	P	62	0	62	0.00000
Atribacterota	67818	P	51	1	52	0.00000
Ascomycota	4890	P	68044	702	68746	0.00439
Basidiomycota	5204	P	3339	87	3426	0.00022
Microsporidia	6029	P	32	0	32	0.00000
Oomycota	4762	P	4751	533	5284	0.00034
