name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3918363	208448	4126811	0.29469
Gammaproteobacteria	1236	C	1612269	263019	1875288	0.13391
Betaproteobacteria	28216	C	1416355	205430	1621785	0.11581
Deltaproteobacteria	28221	C	445402	19609	465011	0.03321
Epsilonproteobacteria	29547	C	2742	119	2861	0.00020
Acidithiobacillia	1807140	C	1563	114	1677	0.00012
Oligoflexia	1553900	C	1169	11	1180	0.00008
Hydrogenophilalia	2008785	C	487	74	561	0.00004
Zetaproteobacteria	580370	C	320	7	327	0.00002
Actinomycetia	1760	C	4328317	174333	4502650	0.32153
Thermoleophilia	1497346	C	80563	8817	89380	0.00638
Acidimicrobiia	84992	C	54179	4788	58967	0.00421
Rubrobacteria	84995	C	39765	3329	43094	0.00308
Coriobacteriia	84998	C	9695	1249	10944	0.00078
Nitriliruptoria	908620	C	6994	494	7488	0.00053
Bacilli	91061	C	68711	28396	97107	0.00693
Clostridia	186801	C	23345	4140	27485	0.00196
Erysipelotrichia	526524	C	3254	1653	4907	0.00035
Negativicutes	909932	C	2771	247	3018	0.00022
Limnochordia	1676648	C	1124	36	1160	0.00008
Tissierellia	1737404	C	427	18479	18906	0.00135
Gloeobacteria	307596	C	2203	3004	5207	0.00037
Deinococci	188787	C	21370	860	22230	0.00159
Thermomicrobia	189775	C	3823	149	3972	0.00028
Chloroflexia	32061	C	3458	129	3587	0.00026
Tepidiformia	2682225	C	2624	95	2719	0.00019
Ardenticatenia	1382928	C	1855	31	1886	0.00013
Caldilineae	475962	C	1188	82	1270	0.00009
Anaerolineae	292625	C	1081	22	1103	0.00008
Dehalococcoidia	301297	C	649	11	660	0.00005
Candidatus Thermofonsia	2364196	C	601	6	607	0.00004
Ktedonobacteria	388447	C	402	387	789	0.00006
Fimbriimonadia	1663419	C	1218	5	1223	0.00009
Chthonomonadetes	1077257	C	230	1	231	0.00002
Mollicutes	31969	C	450	87	537	0.00004
Planctomycetia	203683	C	421276	5334	426610	0.03046
Phycisphaerae	666505	C	13140	353	13493	0.00096
Candidatus Brocadiia	2517206	C	76	0	76	0.00001
Candidatus Uabimicrobiia	2897345	C	61	0	61	0.00000
Verrucomicrobiae	203494	C	51361	719	52080	0.00372
Opitutae	414999	C	26643	1714	28357	0.00202
Spartobacteria	134549	C	129	7	136	0.00001
Methylacidiphilae	1955630	C	97	2	99	0.00001
Kiritimatiellae	1921781	C	552	621	1173	0.00008
Tichowtungiia	2907184	C	255	7	262	0.00002
Chlamydiia	204429	C	291	177	468	0.00003
Chitinophagia	1853228	C	51395	755	52150	0.00372
Cytophagia	768503	C	49764	1151	50915	0.00364
Flavobacteriia	117743	C	39200	3804	43004	0.00307
Sphingobacteriia	117747	C	26238	3135	29373	0.00210
Bacteroidia	200643	C	10914	9218	20132	0.00144
Saprospiria	1937959	C	473	173	646	0.00005
Chlorobia	191410	C	2598	299	2897	0.00021
Ignavibacteria	795747	C	154	3	157	0.00001
Gemmatimonadetes	219685	C	56868	2696	59564	0.00425
Fibrobacteria	204430	C	123	28	151	0.00001
Vicinamibacteria	1813735	C	82397	3454	85851	0.00613
Acidobacteriia	204432	C	22303	264	22567	0.00161
Blastocatellia	1562566	C	1881	40	1921	0.00014
Holophagae	533205	C	1442	21	1463	0.00010
Nitrospira	203693	C	5177	59	5236	0.00037
Thermodesulfovibrionia	2811502	C	88	1	89	0.00001
Spirochaetia	203692	C	2404	139	2543	0.00018
Synergistia	649775	C	1578	110	1688	0.00012
Candidatus Saccharimonia	2093818	C	292	677	969	0.00007
Candidatus Babeliae	2497643	C	54	66	120	0.00001
Thermotogae	188708	C	458	17	475	0.00003
Aquificae	187857	C	312	3	315	0.00002
Fusobacteriia	203490	C	259	35	294	0.00002
Thermodesulfobacteria	67799	C	231	3	234	0.00002
Deferribacteres	68337	C	202	4	206	0.00001
Chrysiogenetes	118001	C	196	71	267	0.00002
Calditrichia	1962850	C	196	1	197	0.00001
Endomicrobia	447830	C	66	0	66	0.00000
Elusimicrobia	641853	C	64	0	64	0.00000
Caldisericia	693071	C	68	0	68	0.00000
Dictyoglomia	203486	C	34	0	34	0.00000
Coprothermobacteria	2138243	C	34	5	39	0.00000
Atribacteria	2847774	C	24	0	24	0.00000
Sordariomycetes	147550	C	78765	1248	80013	0.00571
Leotiomycetes	147548	C	244	1	245	0.00002
Eurotiomycetes	147545	C	2566	76	2642	0.00019
Dothideomycetes	147541	C	1345	176	1521	0.00011
Saccharomycetes	4891	C	1112	58	1170	0.00008
Schizosaccharomycetes	147554	C	36	0	36	0.00000
Ustilaginomycetes	5257	C	1434	36	1470	0.00011
Malasseziomycetes	1538075	C	92	19	111	0.00001
Agaricomycetes	155619	C	485	11	496	0.00004
Tremellomycetes	155616	C	105	3016	3121	0.00022
