name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2429572	133936	2563508	0.18305
Sphingomonadales	204457	O	879211	60045	939256	0.06707
Rhodospirillales	204441	O	201633	131832	333465	0.02381
Rhodobacterales	204455	O	131543	7492	139035	0.00993
Caulobacterales	204458	O	127740	9556	137296	0.00980
Hyphomonadales	2800060	O	5366	152	5518	0.00039
Maricaulales	2800059	O	4295	324	4619	0.00033
Parvularculales	255473	O	1378	68	1446	0.00010
Rickettsiales	766	O	667	685	1352	0.00010
Emcibacterales	2066490	O	628	46	674	0.00005
Holosporales	1921002	O	256	6	262	0.00002
Magnetococcales	1191478	O	160	3	163	0.00001
Pelagibacterales	54526	O	115	1	116	0.00001
Kordiimonadales	362534	O	95	1	96	0.00001
Xanthomonadales	135614	O	1008381	131863	1140244	0.08142
Pseudomonadales	72274	O	285612	83128	368740	0.02633
Enterobacterales	91347	O	65409	78459	143868	0.01027
Chromatiales	135613	O	52240	3343	55583	0.00397
Oceanospirillales	135619	O	40381	4423	44804	0.00320
Nevskiales	1775403	O	16721	3121	19842	0.00142
Methylococcales	135618	O	16070	581	16651	0.00119
Aeromonadales	135624	O	15543	10200	25743	0.00184
Cellvibrionales	1706369	O	10994	452	11446	0.00082
Alteromonadales	135622	O	9261	1001	10262	0.00073
Acidiferrobacterales	1692040	O	8998	348	9346	0.00067
Vibrionales	135623	O	5093	806	5899	0.00042
Moraxellales	2887326	O	3287	4918	8205	0.00059
Legionellales	118969	O	2653	89	2742	0.00020
Immundisolibacterales	1934945	O	2413	349	2762	0.00020
Thiotrichales	72273	O	2348	111	2459	0.00018
Salinisphaerales	742030	O	1735	1645	3380	0.00024
Pasteurellales	135625	O	1291	666	1957	0.00014
Cardiobacteriales	135615	O	937	97	1034	0.00007
Kangiellales	2887327	O	176	9	185	0.00001
Orbales	1240482	O	110	14	124	0.00001
Burkholderiales	80840	O	1214438	214738	1429176	0.10205
Nitrosomonadales	32003	O	69912	5519	75431	0.00539
Rhodocyclales	206389	O	61057	13571	74628	0.00533
Neisseriales	206351	O	34317	8216	42533	0.00304
Myxococcales	29	O	386005	19613	405618	0.02896
Desulfuromonadales	69541	O	24416	1867	26283	0.00188
Desulfovibrionales	213115	O	16162	1250	17412	0.00124
Desulfobacterales	213118	O	5995	514	6509	0.00046
Bradymonadales	1779134	O	4778	115	4893	0.00035
Syntrophobacterales	213462	O	1314	328	1642	0.00012
Desulfarculales	453227	O	1144	676	1820	0.00013
Syntrophales	2914038	O	650	160	810	0.00006
Desulfurellales	213113	O	20	0	20	0.00000
Campylobacterales	213849	O	2538	133	2671	0.00019
Nautiliales	235899	O	180	9	189	0.00001
Acidithiobacillales	225057	O	1563	114	1677	0.00012
Bdellovibrionales	213481	O	942	14	956	0.00007
Bacteriovoracales	2024979	O	157	1	158	0.00001
Silvanigrellales	2024973	O	65	1	66	0.00000
Hydrogenophilales	119069	O	487	74	561	0.00004
Mariprofundales	580371	O	320	7	327	0.00002
Streptomycetales	85011	O	868905	166351	1035256	0.07393
Corynebacteriales	85007	O	703427	61662	765089	0.05463
Micrococcales	85006	O	648899	76213	725112	0.05178
Micromonosporales	85008	O	472750	58430	531180	0.03793
Propionibacteriales	85009	O	419019	65058	484077	0.03457
Streptosporangiales	85012	O	353016	52229	405245	0.02894
Pseudonocardiales	85010	O	262362	35321	297683	0.02126
Geodermatophilales	1643682	O	140635	30416	171051	0.01221
Actinomycetales	2037	O	17757	2182	19939	0.00142
Frankiales	85013	O	16769	1374	18143	0.00130
Jiangellales	1217098	O	13117	1972	15089	0.00108
Bifidobacteriales	85004	O	7240	1511	8751	0.00062
Nakamurellales	1643684	O	6467	712	7179	0.00051
Catenulisporales	414714	O	3957	490	4447	0.00032
Jatrophihabitantales	2805415	O	3234	239	3473	0.00025
Glycomycetales	85014	O	2845	192	3037	0.00022
Kineosporiales	622452	O	2541	597	3138	0.00022
Sporichthyales	2495578	O	1609	663	2272	0.00016
Actinopolysporales	622450	O	1217	105	1322	0.00009
Acidothermales	1643683	O	800	34	834	0.00006
Candidatus Nanopelagicales	2039638	O	317	4	321	0.00002
Solirubrobacterales	588673	O	67288	8104	75392	0.00538
Miltoncostaeales	2843198	O	12666	1321	13987	0.00100
Acidimicrobiales	84993	O	54179	4788	58967	0.00421
Rubrobacterales	84996	O	39765	3329	43094	0.00308
Eggerthellales	1643822	O	5418	736	6154	0.00044
Coriobacteriales	84999	O	4096	693	4789	0.00034
Euzebyales	908621	O	2431	165	2596	0.00019
Egicoccales	1755823	O	2278	286	2564	0.00018
Egibacterales	1747768	O	2220	107	2327	0.00017
Bacillales	1385	O	64537	26472	91009	0.00650
Lactobacillales	186826	O	3615	2482	6097	0.00044
Eubacteriales	186802	O	20858	4174	25032	0.00179
Thermoanaerobacterales	68295	O	1813	179	1992	0.00014
Halanaerobiales	53433	O	200	8	208	0.00001
Thermosediminibacterales	2770089	O	163	6	169	0.00001
Natranaerobiales	485256	O	43	1	44	0.00000
Koleobacterales	2786987	O	36	2	38	0.00000
Erysipelotrichales	526525	O	3254	1653	4907	0.00035
Selenomonadales	909929	O	1847	81	1928	0.00014
Veillonellales	1843489	O	610	151	761	0.00005
Acidaminococcales	1843488	O	284	44	328	0.00002
Limnochordales	1676649	O	1124	36	1160	0.00008
Tissierellales	1737405	O	314	472	786	0.00006
Synechococcales	1890424	O	9488	544	10032	0.00072
Nostocales	1161	O	3847	380	4227	0.00030
Pseudanabaenales	2881377	O	3730	206	3936	0.00028
Gloeobacterales	307595	O	2203	42	2245	0.00016
Oscillatoriales	1150	O	1541	123	1664	0.00012
Chroococcales	1118	O	615	80	695	0.00005
Chroococcidiopsidales	1890505	O	278	39	317	0.00002
Pleurocapsales	52604	O	137	14	151	0.00001
Gloeomargaritales	1955042	O	58	2	60	0.00000
Thermostichales	2881383	O	45	27	72	0.00001
Deinococcales	118964	O	14749	765	15514	0.00111
Thermales	68933	O	5263	261	5524	0.00039
Trueperales	2762275	O	1140	51	1191	0.00009
Sphaerobacterales	85001	O	3045	187	3232	0.00023
Thermomicrobiales	189776	O	724	16	740	0.00005
Chloroflexales	32064	O	3458	129	3587	0.00026
Tepidiformales	2682226	O	2624	95	2719	0.00019
Ardenticatenales	1382929	O	1855	31	1886	0.00013
Caldilineales	475963	O	1188	82	1270	0.00009
Anaerolineales	292629	O	1081	455	1536	0.00011
Dehalococcoidales	1202465	O	221	6	227	0.00002
Phototrophicales	2364208	O	601	6	607	0.00004
Ktedonobacterales	388448	O	402	387	789	0.00006
Fimbriimonadales	1663425	O	1218	5	1223	0.00009
Chthonomonadales	1077263	O	230	1	231	0.00002
Mycoplasmatales	2085	O	226	19	245	0.00002
Entomoplasmatales	186328	O	120	21	141	0.00001
Acholeplasmatales	186329	O	80	6	86	0.00001
Mycoplasmoidales	2790996	O	32	32	64	0.00000
Gemmatales	2691355	O	145597	4124	149721	0.01069
Pirellulales	2691354	O	102502	1922	104424	0.00746
Isosphaerales	2691356	O	88530	7242	95772	0.00684
Planctomycetales	112	O	70938	5753	76691	0.00548
Tepidisphaerales	1771349	O	8671	184	8855	0.00063
Phycisphaerales	666506	O	3970	194	4164	0.00030
Sedimentisphaerales	2483366	O	429	44	473	0.00003
Candidatus Brocadiales	1127829	O	76	0	76	0.00001
Candidatus Uabimicrobiales	2897347	O	61	0	61	0.00000
Verrucomicrobiales	48461	O	51361	719	52080	0.00372
Opitutales	415000	O	25789	846	26635	0.00190
Puniceicoccales	415001	O	796	1062	1858	0.00013
Methylacidiphilales	717963	O	97	2	99	0.00001
Kiritimatiellales	1921782	O	552	621	1173	0.00008
Tichowtungiales	2907185	O	255	7	262	0.00002
Parachlamydiales	1963360	O	192	1	193	0.00001
Chlamydiales	51291	O	94	181	275	0.00002
Chitinophagales	1853229	O	51395	755	52150	0.00372
Cytophagales	768507	O	49764	1151	50915	0.00364
Flavobacteriales	200644	O	39200	3804	43004	0.00307
Sphingobacteriales	200666	O	26238	3135	29373	0.00210
Bacteroidales	171549	O	10399	2884	13283	0.00095
Marinilabiliales	1970189	O	480	16	496	0.00004
Bacteroidetes Order II. Incertae sedis	1100069	O	6104	248	6352	0.00045
Saprospirales	1936988	O	473	7	480	0.00003
Candidatus Sulfidibacteriales	2923288	O	160	6	166	0.00001
Chlorobiales	191411	O	2598	299	2897	0.00021
Ignavibacteriales	795748	O	154	3	157	0.00001
Gemmatimonadales	219686	O	56868	2696	59564	0.00425
Fibrobacterales	218872	O	123	28	151	0.00001
Vicinamibacterales	2910145	O	82397	3454	85851	0.00613
Acidobacteriales	204433	O	17449	328	17777	0.00127
Bryobacterales	332160	O	4668	2043	6711	0.00048
Acanthopleuribacterales	533206	O	1386	24	1410	0.00010
Thermotomaculales	2562243	O	51	2	53	0.00000
Nitrospirales	189778	O	5177	59	5236	0.00037
Thermodesulfovibrionales	2811503	O	88	1	89	0.00001
Spirochaetales	136	O	1718	89	1807	0.00013
Leptospirales	1643688	O	642	52	694	0.00005
Brachyspirales	1643686	O	41	0	41	0.00000
Synergistales	649776	O	1578	110	1688	0.00012
Candidatus Nanosynbacterales	2093819	O	292	677	969	0.00007
Candidatus Babeliales	2497644	O	54	42	96	0.00001
Candidatus Absconditabacterales	2900568	O	24	0	24	0.00000
Thermotogales	2419	O	286	6	292	0.00002
Kosmotogales	1643946	O	81	1	82	0.00001
Petrotogales	1643947	O	51	14	65	0.00000
Mesoaciditogales	1769716	O	34	0	34	0.00000
Aquificales	32069	O	260	4	264	0.00002
Desulfurobacteriales	1485951	O	46	4	50	0.00000
Fusobacteriales	203491	O	259	35	294	0.00002
Thermodesulfobacteriales	188710	O	231	3	234	0.00002
Deferribacterales	191393	O	202	4	206	0.00001
Chrysiogenales	189769	O	196	71	267	0.00002
Calditrichales	1962852	O	196	1	197	0.00001
Endomicrobiales	1783344	O	66	0	66	0.00000
Elusimicrobiales	641854	O	64	0	64	0.00000
Caldisericales	693072	O	68	0	68	0.00000
Dictyoglomales	203487	O	34	0	34	0.00000
Coprothermobacterales	2138246	O	34	5	39	0.00000
Atribacterales	2847775	O	24	0	24	0.00000
Hypocreales	5125	O	59292	1960	61252	0.00437
Glomerellales	1028384	O	945	187	1132	0.00008
Sordariales	5139	O	15410	378	15788	0.00113
Magnaporthales	639021	O	1074	9	1083	0.00008
Xylariales	37989	O	750	6	756	0.00005
Helotiales	5178	O	244	1	245	0.00002
Eurotiales	5042	O	2566	76	2642	0.00019
Pleosporales	92860	O	919	204	1123	0.00008
Mycosphaerellales	2726947	O	393	4	397	0.00003
Saccharomycetales	4892	O	1112	58	1170	0.00008
Schizosaccharomycetales	34346	O	36	0	36	0.00000
Ustilaginales	5267	O	1434	36	1470	0.00011
Malasseziales	162474	O	92	19	111	0.00001
Polyporales	5303	O	264	9	273	0.00002
Cantharellales	36064	O	97	7	104	0.00001
Agaricales	5338	O	108	10	118	0.00001
Tremellales	5234	O	105	37	142	0.00001
Peronosporales	4776	O	2282	424	2706	0.00019
Pythiales	121069	O	264	8	272	0.00002
