name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	55481	9318	64799	0.00463
Bradyrhizobium sp. CCGE-LA001	1223566	S	41703	11199	52902	0.00378
Bradyrhizobium sp. 170	2782641	S	40883	7814	48697	0.00348
Bradyrhizobium sp. CCBAU 051011	858422	S	27266	3666	30932	0.00221
Bradyrhizobium sp. CCBAU 53351	1325114	S	14236	5147	19383	0.00138
Bradyrhizobium sp. CCBAU 51753	1325100	S	13542	2043	15585	0.00111
Bradyrhizobium sp. 195	2782662	S	12733	3355	16088	0.00115
Bradyrhizobium sp. 1(2017)	1404888	S	10828	2429	13257	0.00095
Bradyrhizobium sp. CCBAU 51765	1325102	S	8759	6350	15109	0.00108
Bradyrhizobium sp. SK17	2057741	S	8706	2061	10767	0.00077
Bradyrhizobium sp. 191	2782659	S	8634	6788	15422	0.00110
Bradyrhizobium sp. 186	2782654	S	8387	1675	10062	0.00072
Bradyrhizobium sp. A19	2898149	S	8257	992	9249	0.00066
Bradyrhizobium sp. BTAi1	288000	S	7967	1007	8974	0.00064
Bradyrhizobium sp. ORS 285	115808	S	7871	1248	9119	0.00065
Bradyrhizobium sp. ORS 278	114615	S	7662	1225	8887	0.00063
Bradyrhizobium sp. I71	2590772	S	7538	5296	12834	0.00092
Bradyrhizobium sp. CCBAU 53340	1325112	S	6764	1868	8632	0.00062
Bradyrhizobium sp. CCBAU 53338	1325111	S	6730	1958	8688	0.00062
Bradyrhizobium sp. CCBAU 53421	1325120	S	6723	1512	8235	0.00059
Bradyrhizobium sp. S2-11-2	2840472	S	5191	3204	8395	0.00060
Bradyrhizobium sp. 6(2017)	1197460	S	5072	1779	6851	0.00049
Bradyrhizobium sp. S2-11-4	2840473	S	4388	3207	7595	0.00054
Bradyrhizobium sp. S2-20-1	2840469	S	4296	2846	7142	0.00051
Bradyrhizobium sp. 41S5	1404443	S	3918	1923	5841	0.00042
Bradyrhizobium sp. C-145	574727	S	2948	2112	5060	0.00036
Bradyrhizobium sp.	376	S	2087	5007	7094	0.00051
Bradyrhizobium sp. 40	2782674	S	1871	3460	5331	0.00038
Bradyrhizobium sp. 4	2782678	S	1585	3301	4886	0.00035
Bradyrhizobium sp. 192	2782660	S	1507	2700	4207	0.00030
Bradyrhizobium sp. 323S2	1404649	S	1478	2775	4253	0.00030
Bradyrhizobium sp. 144S4	2823807	S	1444	2667	4111	0.00029
Bradyrhizobium sp. LCT2	2493093	S	874	1757	2631	0.00019
Bradyrhizobium sp. TM102	2599819	S	766	3918	4684	0.00033
Bradyrhizobium sp. SG09	2599805	S	761	4051	4812	0.00034
Bradyrhizobium sp. 187	2782655	S	516	1952	2468	0.00018
Bradyrhizobium sp. 38S5	2819348	S	222	2114	2336	0.00017
Bradyrhizobium sp. 131	2782609	S	210	2677	2887	0.00021
Bradyrhizobium sp. CW1	2782686	S	203	2458	2661	0.00019
Bradyrhizobium sp. 1S5	2816456	S	196	1720	1916	0.00014
Bradyrhizobium sp. 172	2782643	S	192	1820	2012	0.00014
Bradyrhizobium sp. 155	2782629	S	146	2048	2194	0.00016
Bradyrhizobium sp. CCBAU 21365	1325083	S	20	701	721	0.00005
Bradyrhizobium diazoefficiens	1355477	S	27638	33844	61482	0.00439
Bradyrhizobium erythrophlei	1437360	S	27427	1484	28911	0.00207
Bradyrhizobium paxllaeri	190148	S	22871	2892	25763	0.00184
Bradyrhizobium icense	1274631	S	21243	1970	23213	0.00166
Bradyrhizobium vignae	1549949	S	9772	1573	11345	0.00081
Bradyrhizobium lablabi	722472	S	9578	7880	17458	0.00125
Bradyrhizobium japonicum	375	S	9127	9882	19009	0.00136
Bradyrhizobium daqingense	993502	S	9112	3449	12561	0.00090
Bradyrhizobium canariense	255045	S	8834	10006	18840	0.00135
Bradyrhizobium guangxiense	1325115	S	8657	2642	11299	0.00081
Bradyrhizobium genosp. L	83637	S	8413	1143	9556	0.00068
Bradyrhizobium arachidis	858423	S	8304	1648	9952	0.00071
Bradyrhizobium oligotrophicum	44255	S	6453	751	7204	0.00051
Bradyrhizobium cosmicum	1404864	S	6311	1424	7735	0.00055
Bradyrhizobium guangdongense	1325090	S	6307	1647	7954	0.00057
Bradyrhizobium genosp. B	83627	S	5580	812	6392	0.00046
Bradyrhizobium guangzhouense	1325095	S	5411	1442	6853	0.00049
Bradyrhizobium amphicarpaeae	1404768	S	5188	1501	6689	0.00048
Bradyrhizobium symbiodeficiens	1404367	S	5047	5408	10455	0.00075
Bradyrhizobium quebecense	2748629	S	4979	1973	6952	0.00050
Bradyrhizobium septentrionale	1404411	S	4047	1726	5773	0.00041
Bradyrhizobium betae	244734	S	3878	1459	5337	0.00038
Bradyrhizobium zhanjiangense	1325107	S	2211	1578	3789	0.00027
Bradyrhizobium elkanii	29448	S	1441	3659	5100	0.00036
Bradyrhizobium ottawaense	931866	S	1341	5975	7316	0.00052
Rhodopseudomonas palustris	1076	S	22406	5300	27706	0.00198
Rhodopseudomonas sp. SK50-23	340268	S	3835	633	4468	0.00032
Rhodopseudomonas boonkerdii	475937	S	3388	692	4080	0.00029
Nitrobacter hamburgensis	912	S	6988	859	7847	0.00056
Nitrobacter winogradskyi	913	S	6839	865	7704	0.00055
Tardiphaga sp. 37S4	1404741	S	1962	1356	3318	0.00024
Tardiphaga sp. vice154	2592814	S	118	2065	2183	0.00016
Tardiphaga sp. vice278	2592815	S	61	1684	1745	0.00012
Tardiphaga sp. vice304	2592817	S	41	882	923	0.00007
Tardiphaga sp. vice352	2592816	S	14	481	495	0.00004
Tardiphaga robiniae	943830	S	1914	1185	3099	0.00022
Afipia carboxidovorans	40137	S	5179	233	5412	0.00039
Afipia sp. GAS231	1882747	S	4122	1990	6112	0.00044
Variibacter gotjawalensis	1333996	S	6807	344	7151	0.00051
Rhizobium sp. BG4	2613770	S	22334	2719	25053	0.00179
Rhizobium sp. WYJ-E13	2849093	S	20086	1642	21728	0.00155
Rhizobium sp. NXC24	2048897	S	2263	213	2476	0.00018
Rhizobium sp. WL3	2603277	S	2160	270	2430	0.00017
Rhizobium sp. SL42	2806346	S	1973	225	2198	0.00016
Rhizobium sp. ACO-34A	1571470	S	1913	265	2178	0.00016
Rhizobium sp. 11515TR	2028343	S	1734	310	2044	0.00015
Rhizobium sp. NZLR1	2731096	S	1647	399	2046	0.00015
Rhizobium sp. AB2/73	2795216	S	1644	663	2307	0.00016
Rhizobium sp. CIAT894	2020312	S	1630	507	2137	0.00015
Rhizobium sp. NXC14	1981173	S	1444	436	1880	0.00013
Rhizobium sp. NLR16a	2731112	S	1290	424	1714	0.00012
Rhizobium sp. C104	2917727	S	1253	498	1751	0.00013
Rhizobium sp. K102	2918527	S	1167	580	1747	0.00012
Rhizobium sp. L51/94	2819999	S	763	841	1604	0.00011
Rhizobium sp. Y9	1914541	S	626	1831	2457	0.00018
Rhizobium sp. X9	2815360	S	527	743	1270	0.00009
Rhizobium sp. Kim5	2020311	S	414	713	1127	0.00008
Rhizobium sp. IE4771	1301032	S	405	641	1046	0.00007
Rhizobium sp. 007	2785056	S	405	524	929	0.00007
Rhizobium sp. TAL182	2020313	S	312	694	1006	0.00007
Rhizobium sp. ZX09	2291939	S	263	836	1099	0.00008
Rhizobium sp. NIBRBAC000502774	2590777	S	141	483	624	0.00004
Rhizobium sp. B230/85	2819994	S	94	899	993	0.00007
Rhizobium sp. N324	1703969	S	63	1139	1202	0.00009
Rhizobium sp. CCGE531	2364271	S	59	1842	1901	0.00014
Rhizobium sp. T136	555319	S	40	818	858	0.00006
Rhizobium sp. B21/90	2819993	S	37	1157	1194	0.00009
Rhizobium sp. BG6	2613771	S	19	2537	2556	0.00018
Rhizobium sp. CCGE532	2364272	S	16	1059	1075	0.00008
Rhizobium sp. N113	1703960	S	12	1450	1462	0.00010
Rhizobium leguminosarum	384	S	13154	12799	25953	0.00185
Rhizobium etli	29449	S	4014	3454	7468	0.00053
Rhizobium jaguaris	1312183	S	2387	191	2578	0.00018
Rhizobium pseudoryzae	379684	S	2324	312	2636	0.00019
Rhizobium phaseoli	396	S	2296	3595	5891	0.00042
Rhizobium gallicum	56730	S	2207	2094	4301	0.00031
Rhizobium bangladeshense	1138189	S	1897	315	2212	0.00016
Rhizobium tropici	398	S	1649	300	1949	0.00014
Rhizobium lentis	1138194	S	1638	353	1991	0.00014
Rhizobium daejeonense	240521	S	1421	275	1696	0.00012
Rhizobium binae	1138190	S	1391	365	1756	0.00013
Rhizobium pusense	648995	S	1382	3938	5320	0.00038
Rhizobium rosettiformans	1368430	S	1335	398	1733	0.00012
Rhizobium rhizoryzae	451876	S	1158	107	1265	0.00009
Rhizobium indicum	2583231	S	1046	684	1730	0.00012
Rhizobium acidisoli	1538158	S	814	494	1308	0.00009
Rhizobium hidalgonense	1538159	S	473	825	1298	0.00009
Rhizobium oryzihabitans	2267833	S	453	437	890	0.00006
Rhizobium laguerreae	1076926	S	334	433	767	0.00005
Rhizobium ruizarguesonis	2081791	S	258	1447	1705	0.00012
Rhizobium favelukesii	348824	S	18	453	471	0.00003
Agrobacterium tumefaciens	358	S	7604	5379	12983	0.00093
Agrobacterium fabrum	1176649	S	690	716	1406	0.00010
Agrobacterium fabacearum	1183401	S	185	1763	1948	0.00014
Agrobacterium vitis	373	S	3240	269	3509	0.00025
Agrobacterium sp. T29	2580515	S	408	248	656	0.00005
Agrobacterium sp. MA01	2664893	S	354	589	943	0.00007
Agrobacterium sp. RAC06	1842536	S	317	539	856	0.00006
Agrobacterium sp. CGMCC 11546	2579248	S	171	289	460	0.00003
Agrobacterium sp. S7/73	2820002	S	122	514	636	0.00005
Agrobacterium vaccinii	2735528	S	1319	128	1447	0.00010
Agrobacterium larrymoorei	160699	S	1024	123	1147	0.00008
Agrobacterium rubi	28099	S	823	180	1003	0.00007
Agrobacterium salinitolerans	1183413	S	687	187	874	0.00006
Agrobacterium rhizogenes	359	S	607	1202	1809	0.00013
Neorhizobium galegae	399	S	11472	2135	13607	0.00097
Neorhizobium sp. SOG26	2060726	S	2434	331	2765	0.00020
Neorhizobium sp. NCHU2750	1825976	S	2001	330	2331	0.00017
Pseudorhizobium flavum	1335061	S	4435	1505	5940	0.00042
Pseudorhizobium banfieldiae	1125847	S	2817	872	3689	0.00026
Sinorhizobium meliloti	382	S	78412	37482	115894	0.00828
Sinorhizobium fredii	380	S	7144	5901	13045	0.00093
Sinorhizobium medicae	110321	S	4316	461	4777	0.00034
Sinorhizobium sp. BG8	2613773	S	2483	257	2740	0.00020
Sinorhizobium sp. CCBAU 05631	794846	S	385	352	737	0.00005
Sinorhizobium americanum	194963	S	2716	632	3348	0.00024
Ensifer adhaerens	106592	S	37674	7359	45033	0.00322
Ensifer sp. PDNC004	2811423	S	4887	1183	6070	0.00043
Ensifer sp. T173	555315	S	526	1215	1741	0.00012
Ensifer mexicanus	375549	S	3389	307	3696	0.00026
Ensifer alkalisoli	1752398	S	2224	253	2477	0.00018
Ensifer sojae	716925	S	2033	389	2422	0.00017
Shinella sp. HZN7	879274	S	7929	4564	12493	0.00089
Shinella sp. PSBB067	2715959	S	3918	1890	5808	0.00041
Shinella sp. XGS7	2877941	S	2372	1626	3998	0.00029
Shinella sp. H4-D48	2925841	S	1654	446	2100	0.00015
Shinella zoogloeoides	352475	S	4380	4130	8510	0.00061
Shinella oryzae	2871820	S	2297	679	2976	0.00021
Ciceribacter thiooxidans	1969821	S	2224	265	2489	0.00018
Georhizobium profundi	2341112	S	2111	287	2398	0.00017
Peteryoungia desertarenae	1813451	S	808	84	892	0.00006
Candidatus Liberibacter americanus	309868	S	18	2	20	0.00000
Candidatus Liberibacter asiaticus	34021	S	17	3	20	0.00000
Liberibacter crescens	1273132	S	14	1	15	0.00000
Candidatus Liberibacter africanus	34020	S	13	12	25	0.00000
Mesorhizobium sp. 8	2584466	S	21690	3595	25285	0.00181
Mesorhizobium sp. DCY119	2108445	S	11544	1894	13438	0.00096
Mesorhizobium sp. B2-1-1	2589974	S	7852	1377	9229	0.00066
Mesorhizobium sp. B2-8-5	2589903	S	7217	1985	9202	0.00066
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	7120	2014	9134	0.00065
Mesorhizobium sp. J8	2777475	S	6975	1884	8859	0.00063
Mesorhizobium sp. Pch-S	2082387	S	6953	658	7611	0.00054
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	5822	1470	7292	0.00052
Mesorhizobium sp. B1-1-8	2589976	S	5713	1140	6853	0.00049
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	5362	1795	7157	0.00051
Mesorhizobium sp. 131-2-1	2744518	S	5232	2423	7655	0.00055
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	5221	2862	8083	0.00058
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	4992	2230	7222	0.00052
Mesorhizobium sp. INR15	2654248	S	4979	549	5528	0.00039
