name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3064425	328923	3393348	0.25145
Betaproteobacteria	28216	C	1159666	242720	1402386	0.10392
Gammaproteobacteria	1236	C	937905	294261	1232166	0.09131
Deltaproteobacteria	28221	C	562426	46832	609258	0.04515
Epsilonproteobacteria	29547	C	4129	230	4359	0.00032
Acidithiobacillia	1807140	C	2167	233	2400	0.00018
Oligoflexia	1553900	C	961	15	976	0.00007
Hydrogenophilalia	2008785	C	713	172	885	0.00007
Zetaproteobacteria	580370	C	476	17	493	0.00004
Actinomycetia	1760	C	4730387	292196	5022583	0.37218
Rubrobacteria	84995	C	135599	9969	145568	0.01079
Thermoleophilia	1497346	C	83593	13748	97341	0.00721
Acidimicrobiia	84992	C	80962	11551	92513	0.00686
Nitriliruptoria	908620	C	18629	2141	20770	0.00154
Coriobacteriia	84998	C	18309	3680	21989	0.00163
Bacilli	91061	C	122521	91255	213776	0.01584
Clostridia	186801	C	38193	8053	46246	0.00343
Negativicutes	909932	C	5054	649	5703	0.00042
Limnochordia	1676648	C	3281	161	3442	0.00026
Tissierellia	1737404	C	602	446	1048	0.00008
Erysipelotrichia	526524	C	560	34683	35243	0.00261
Gloeobacteria	307596	C	4745	5281	10026	0.00074
Deinococci	188787	C	42588	2146	44734	0.00331
Thermomicrobia	189775	C	9171	389	9560	0.00071
Chloroflexia	32061	C	5024	188	5212	0.00039
Tepidiformia	2682225	C	4788	237	5025	0.00037
Ardenticatenia	1382928	C	4625	110	4735	0.00035
Anaerolineae	292625	C	2148	42	2190	0.00016
Caldilineae	475962	C	2042	130	2172	0.00016
Dehalococcoidia	301297	C	1382	25	1407	0.00010
Ktedonobacteria	388447	C	812	24	836	0.00006
Candidatus Thermofonsia	2364196	C	734	828	1562	0.00012
Fimbriimonadia	1663419	C	2519	17	2536	0.00019
Chthonomonadetes	1077257	C	620	6	626	0.00005
Mollicutes	31969	C	590	128	718	0.00005
Planctomycetia	203683	C	525047	9992	535039	0.03965
Phycisphaerae	666505	C	20990	810	21800	0.00162
Candidatus Brocadiia	2517206	C	185	1	186	0.00001
Candidatus Uabimicrobiia	2897345	C	112	2	114	0.00001
Opitutae	414999	C	24847	1151	25998	0.00193
Verrucomicrobiae	203494	C	13023	2064	15087	0.00112
Methylacidiphilae	1955630	C	123	4	127	0.00001
Spartobacteria	134549	C	97	6	103	0.00001
Kiritimatiellae	1921781	C	1086	1355	2441	0.00018
Tichowtungiia	2907184	C	367	17	384	0.00003
Chlamydiia	204429	C	380	354	734	0.00005
Cytophagia	768503	C	39900	16957	56857	0.00421
Chitinophagia	1853228	C	12704	184	12888	0.00096
Bacteroidia	200643	C	12069	2233	14302	0.00106
Flavobacteriia	117743	C	11897	2012	13909	0.00103
Sphingobacteriia	117747	C	4749	431	5180	0.00038
Saprospiria	1937959	C	350	85	435	0.00003
Chlorobia	191410	C	4304	525	4829	0.00036
Ignavibacteria	795747	C	228	5	233	0.00002
Gemmatimonadetes	219685	C	94391	6773	101164	0.00750
Fibrobacteria	204430	C	199	113	312	0.00002
Vicinamibacteria	1813735	C	108398	7258	115656	0.00857
Acidobacteriia	204432	C	41201	777	41978	0.00311
Blastocatellia	1562566	C	4265	150	4415	0.00033
Holophagae	533205	C	2583	60	2643	0.00020
Nitrospira	203693	C	14401	255	14656	0.00109
Thermodesulfovibrionia	2811502	C	266	8	274	0.00002
Spirochaetia	203692	C	3756	225	3981	0.00030
Synergistia	649775	C	3562	1101	4663	0.00035
Candidatus Saccharimonia	2093818	C	177	221	398	0.00003
Candidatus Babeliae	2497643	C	65	120	185	0.00001
Thermotogae	188708	C	1078	74	1152	0.00009
Aquificae	187857	C	791	14	805	0.00006
Thermodesulfobacteria	67799	C	550	13	563	0.00004
Calditrichia	1962850	C	384	4	388	0.00003
Deferribacteres	68337	C	348	15	363	0.00003
Chrysiogenetes	118001	C	301	161	462	0.00003
Fusobacteriia	203490	C	229	43	272	0.00002
Elusimicrobia	641853	C	106	1	107	0.00001
Endomicrobia	447830	C	86	1	87	0.00001
Coprothermobacteria	2138243	C	128	33	161	0.00001
Caldisericia	693071	C	122	0	122	0.00001
Dictyoglomia	203486	C	117	0	117	0.00001
Atribacteria	2847774	C	58	1	59	0.00000
Sordariomycetes	147550	C	27811	635	28446	0.00211
Leotiomycetes	147548	C	225	1	226	0.00002
Eurotiomycetes	147545	C	4837	184	5021	0.00037
Dothideomycetes	147541	C	1223	182	1405	0.00010
Saccharomycetes	4891	C	984	97	1081	0.00008
Schizosaccharomycetes	147554	C	45	0	45	0.00000
Ustilaginomycetes	5257	C	2186	35	2221	0.00016
Malasseziomycetes	1538075	C	119	15	134	0.00001
Agaricomycetes	155619	C	528	5	533	0.00004
Tremellomycetes	155616	C	114	6229	6343	0.00047
