name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	369971	39035	409006	0.03031
Rhizobiaceae	82115	F	198038	58613	256651	0.01902
Phyllobacteriaceae	69277	F	181853	38413	220266	0.01632
Methylobacteriaceae	119045	F	168159	28585	196744	0.01458
Xanthobacteraceae	335928	F	67450	13998	81448	0.00604
Hyphomicrobiaceae	45401	F	50679	5621	56300	0.00417
Boseaceae	2831100	F	36574	6598	43172	0.00320
Devosiaceae	2831106	F	35181	3440	38621	0.00286
Aurantimonadaceae	255475	F	31664	29357	61021	0.00452
Methylocystaceae	31993	F	19974	1981	21955	0.00163
Stappiaceae	2821832	F	18424	4738	23162	0.00172
Phreatobacteraceae	2843305	F	16406	3325	19731	0.00146
Parvibaculaceae	2813035	F	13842	3584	17426	0.00129
Chelatococcaceae	2036754	F	11648	3071	14719	0.00109
Blastochloridaceae	2831090	F	9940	2777	12717	0.00094
Beijerinckiaceae	45404	F	9251	795	10046	0.00074
Amorphaceae	2685818	F	6836	878	7714	0.00057
Kaistiaceae	2831111	F	5589	1625	7214	0.00053
Brucellaceae	118882	F	5246	3303	8549	0.00063
Pleomorphomonadaceae	2843308	F	3830	803	4633	0.00034
Breoghaniaceae	2831104	F	3825	592	4417	0.00033
Lichenihabitantaceae	2723775	F	3336	191	3527	0.00026
Cohaesibacteraceae	655351	F	675	32	707	0.00005
Bartonellaceae	772	F	524	41	565	0.00004
Sphingomonadaceae	41297	F	709451	93052	802503	0.05947
Erythrobacteraceae	335929	F	81978	16577	98555	0.00730
Sphingosinicellaceae	2820280	F	29118	2801	31919	0.00237
Zymomonadaceae	2844881	F	184	174	358	0.00003
Azospirillaceae	2829815	F	111715	13313	125028	0.00926
Acetobacteraceae	433	F	97051	13909	110960	0.00822
Rhodospirillaceae	41295	F	62124	274797	336921	0.02497
Stellaceae	2844601	F	12394	981	13375	0.00099
Elioraeaceae	2690195	F	5833	339	6172	0.00046
Thalassospiraceae	2844866	F	3202	239	3441	0.00026
Terasakiellaceae	2813951	F	144	4	148	0.00001
Rhodobacteraceae	31989	F	108291	16505	124796	0.00925
Roseobacteraceae	2854170	F	71866	8823	80689	0.00598
Caulobacteraceae	76892	F	106877	11380	118257	0.00876
Hyphomonadaceae	69657	F	6947	273	7220	0.00054
Maricaulaceae	2800061	F	5940	681	6621	0.00049
Parvularculaceae	255474	F	1966	1334	3300	0.00024
Anaplasmataceae	942	F	441	8	449	0.00003
Rickettsiaceae	775	F	372	29	401	0.00003
Candidatus Midichloriaceae	1328881	F	47	3	50	0.00000
Candidatus Deianiraeaceae	2603433	F	45	24	69	0.00001
Emcibacteraceae	2066491	F	861	105	966	0.00007
