name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	1421190	99131	1520321	0.11266
Sphingomonadales	204457	O	850299	83037	933336	0.06916
Rhodospirillales	204441	O	303311	292737	596048	0.04417
Rhodobacterales	204455	O	190365	15120	205485	0.01523
Caulobacterales	204458	O	106877	11380	118257	0.00876
Hyphomonadales	2800060	O	6947	273	7220	0.00054
Maricaulales	2800059	O	5940	681	6621	0.00049
Parvularculales	255473	O	1966	1334	3300	0.00024
Rickettsiales	766	O	951	20	971	0.00007
Emcibacterales	2066490	O	861	105	966	0.00007
Holosporales	1921002	O	341	12	353	0.00003
Magnetococcales	1191478	O	256	8	264	0.00002
Pelagibacterales	54526	O	117	2	119	0.00001
Kordiimonadales	362534	O	80	1	81	0.00001
Burkholderiales	80840	O	941848	235152	1177000	0.08722
Rhodocyclales	206389	O	77557	26727	104284	0.00773
Nitrosomonadales	32003	O	59574	8936	68510	0.00508
Neisseriales	206351	O	40484	12088	52572	0.00390
Xanthomonadales	135614	O	306653	59699	366352	0.02715
Pseudomonadales	72274	O	271967	93329	365296	0.02707
Enterobacterales	91347	O	76734	152656	229390	0.01700
Chromatiales	135613	O	62737	5603	68340	0.00506
Oceanospirillales	135619	O	50203	7678	57881	0.00429
Methylococcales	135618	O	19440	1057	20497	0.00152
Aeromonadales	135624	O	18569	14508	33077	0.00245
Nevskiales	1775403	O	15502	3159	18661	0.00138
Acidiferrobacterales	1692040	O	13157	779	13936	0.00103
Cellvibrionales	1706369	O	12685	679	13364	0.00099
Alteromonadales	135622	O	9488	1492	10980	0.00081
Vibrionales	135623	O	5551	3445	8996	0.00067
Moraxellales	2887326	O	3095	2895	5990	0.00044
Immundisolibacterales	1934945	O	3090	3667	6757	0.00050
Thiotrichales	72273	O	2164	143	2307	0.00017
Legionellales	118969	O	1908	76	1984	0.00015
Salinisphaerales	742030	O	1802	1918	3720	0.00028
Pasteurellales	135625	O	1406	1737	3143	0.00023
Cardiobacteriales	135615	O	1022	163	1185	0.00009
Kangiellales	2887327	O	197	14	211	0.00002
Orbales	1240482	O	72	16	88	0.00001
Myxococcales	29	O	452243	44511	496754	0.03681
Desulfuromonadales	69541	O	45928	4457	50385	0.00373
Desulfovibrionales	213115	O	30511	2846	33357	0.00247
Desulfobacterales	213118	O	10982	1105	12087	0.00090
Bradymonadales	1779134	O	7504	257	7761	0.00058
Syntrophobacterales	213462	O	2596	656	3252	0.00024
Desulfarculales	453227	O	2338	1449	3787	0.00028
Syntrophales	2914038	O	1334	488	1822	0.00014
Desulfurellales	213113	O	48	2	50	0.00000
Campylobacterales	213849	O	3664	296	3960	0.00029
Nautiliales	235899	O	353	46	399	0.00003
Acidithiobacillales	225057	O	2167	233	2400	0.00018
Bdellovibrionales	213481	O	797	14	811	0.00006
Bacteriovoracales	2024979	O	122	1	123	0.00001
Silvanigrellales	2024973	O	40	1	41	0.00000
Hydrogenophilales	119069	O	713	172	885	0.00007
Mariprofundales	580371	O	476	17	493	0.00004
Streptomycetales	85011	O	1103866	302100	1405966	0.10418
Micrococcales	85006	O	746265	140765	887030	0.06573
Corynebacteriales	85007	O	571667	103805	675472	0.05005
Micromonosporales	85008	O	449870	84234	534104	0.03958
Pseudonocardiales	85010	O	430762	84351	515113	0.03817
Propionibacteriales	85009	O	389758	93566	483324	0.03581
Streptosporangiales	85012	O	203530	43385	246915	0.01830
Geodermatophilales	1643682	O	69512	24127	93639	0.00694
Actinomycetales	2037	O	33920	6290	40210	0.00298
Frankiales	85013	O	33887	4382	38269	0.00284
Jiangellales	1217098	O	29458	6936	36394	0.00270
Bifidobacteriales	85004	O	12900	4512	17412	0.00129
Nakamurellales	1643684	O	12208	2222	14430	0.00107
Catenulisporales	414714	O	6605	1318	7923	0.00059
Jatrophihabitantales	2805415	O	5134	611	5745	0.00043
Glycomycetales	85014	O	5067	557	5624	0.00042
Kineosporiales	622452	O	4285	1618	5903	0.00044
Actinopolysporales	622450	O	2604	363	2967	0.00022
Sporichthyales	2495578	O	2232	1486	3718	0.00028
Acidothermales	1643683	O	1873	127	2000	0.00015
Candidatus Nanopelagicales	2039638	O	406	9	415	0.00003
Rubrobacterales	84996	O	135599	9969	145568	0.01079
Solirubrobacterales	588673	O	60941	11098	72039	0.00534
Miltoncostaeales	2843198	O	21736	3566	25302	0.00187
Acidimicrobiales	84993	O	80962	11551	92513	0.00686
Euzebyales	908621	O	6463	713	7176	0.00053
Egicoccales	1755823	O	6332	1284	7616	0.00056
Egibacterales	1747768	O	5542	435	5977	0.00044
Eggerthellales	1643822	O	10034	2059	12093	0.00090
Coriobacteriales	84999	O	7945	1951	9896	0.00073
Bacillales	1385	O	115618	87501	203119	0.01505
Lactobacillales	186826	O	6084	4573	10657	0.00079
Eubacteriales	186802	O	32698	7845	40543	0.00300
Thermoanaerobacterales	68295	O	4013	731	4744	0.00035
Halanaerobiales	53433	O	371	25	396	0.00003
Thermosediminibacterales	2770089	O	322	19	341	0.00003
Koleobacterales	2786987	O	108	11	119	0.00001
Natranaerobiales	485256	O	96	5	101	0.00001
Selenomonadales	909929	O	3586	236	3822	0.00028
Veillonellales	1843489	O	933	396	1329	0.00010
Acidaminococcales	1843488	O	448	103	551	0.00004
Limnochordales	1676649	O	3281	161	3442	0.00026
Tissierellales	1737405	O	490	558	1048	0.00008
Erysipelotrichales	526525	O	560	424	984	0.00007
Synechococcales	1890424	O	18192	1378	19570	0.00145
Nostocales	1161	O	8357	734	9091	0.00067
Pseudanabaenales	2881377	O	5324	378	5702	0.00042
Gloeobacterales	307595	O	4745	116	4861	0.00036
Oscillatoriales	1150	O	2695	229	2924	0.00022
Chroococcales	1118	O	962	191	1153	0.00009
Chroococcidiopsidales	1890505	O	557	100	657	0.00005
Pleurocapsales	52604	O	177	20	197	0.00001
Gloeomargaritales	1955042	O	126	4	130	0.00001
Thermostichales	2881383	O	72	30	102	0.00001
Deinococcales	118964	O	26343	1572	27915	0.00207
Thermales	68933	O	13498	981	14479	0.00107
Trueperales	2762275	O	2191	148	2339	0.00017
Sphaerobacterales	85001	O	7373	472	7845	0.00058
Thermomicrobiales	189776	O	1676	38	1714	0.00013
Chloroflexales	32064	O	5024	188	5212	0.00039
Tepidiformales	2682226	O	4788	237	5025	0.00037
