name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	6141876	504400	6646276	0.49250
Actinobacteria	201174	P	5128033	272734	5400767	0.40020
Firmicutes	1239	P	173768	97435	271203	0.02010
Cyanobacteria	1117	P	42966	1424	44390	0.00329
Deinococcus-Thermus	1297	P	42588	2146	44734	0.00331
Chloroflexi	200795	P	31986	716	32702	0.00242
Armatimonadetes	67819	P	3142	24	3166	0.00023
Tenericutes	544448	P	671	47	718	0.00005
Planctomycetes	203682	P	548390	8750	557140	0.04128
Verrucomicrobia	74201	P	39908	1408	41316	0.00306
Kiritimatiellaeota	134625	P	1470	1355	2825	0.00021
Chlamydiae	204428	P	380	9	389	0.00003
Candidatus Omnitrophica	67812	P	344	1	345	0.00003
Bacteroidetes	976	P	100737	2838	103575	0.00768
Chlorobi	1090	P	4304	180	4484	0.00033
Balneolaeota	1936987	P	314	30	344	0.00003
Ignavibacteriae	1134404	P	228	5	233	0.00002
Gemmatimonadetes	142182	P	94391	6773	101164	0.00750
Fibrobacteres	65842	P	199	4	203	0.00002
Candidatus Cloacimonetes	456828	P	106	3	109	0.00001
Acidobacteria	57723	P	158079	6614	164693	0.01220
Nitrospirae	40117	P	14669	261	14930	0.00111
Spirochaetes	203691	P	3756	225	3981	0.00030
Synergistetes	508458	P	3562	368	3930	0.00029
Candidatus Bipolaricaulota	67810	P	696	36	732	0.00005
Candidatus Saccharibacteria	95818	P	364	163	527	0.00004
Candidatus Absconditabacteria	221235	P	56	0	56	0.00000
Thermotogae	200918	P	1078	74	1152	0.00009
Aquificae	200783	P	791	14	805	0.00006
Thermodesulfobacteria	200940	P	550	13	563	0.00004
Calditrichaeota	1930617	P	384	4	388	0.00003
Deferribacteres	200930	P	348	15	363	0.00003
Chrysiogenetes	200938	P	301	161	462	0.00003
Fusobacteria	32066	P	229	43	272	0.00002
Elusimicrobia	74152	P	193	2	195	0.00001
Coprothermobacterota	2138240	P	128	33	161	0.00001
Caldiserica	67814	P	122	0	122	0.00001
Dictyoglomi	68297	P	117	0	117	0.00001
Atribacterota	67818	P	58	1	59	0.00000
Ascomycota	4890	P	35639	588	36227	0.00268
Basidiomycota	5204	P	2955	61	3016	0.00022
Microsporidia	6029	P	11	0	11	0.00000
Oomycota	4762	P	5834	370	6204	0.00046
