name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	4488646	414925	4903571	0.23268
Betaproteobacteria	28216	C	2026187	362308	2388495	0.11333
Gammaproteobacteria	1236	C	1576556	370650	1947206	0.09240
Deltaproteobacteria	28221	C	821356	71592	892948	0.04237
Epsilonproteobacteria	29547	C	5508	228	5736	0.00027
Acidithiobacillia	1807140	C	3051	299	3350	0.00016
Oligoflexia	1553900	C	1357	16	1373	0.00007
Hydrogenophilalia	2008785	C	1026	192	1218	0.00006
Zetaproteobacteria	580370	C	687	19	706	0.00003
Actinomycetia	1760	C	7911451	417238	8328689	0.39520
Rubrobacteria	84995	C	115505	7936	123441	0.00586
Thermoleophilia	1497346	C	107084	13891	120975	0.00574
Acidimicrobiia	84992	C	98401	10867	109268	0.00518
Coriobacteriia	84998	C	24856	3992	28848	0.00137
Nitriliruptoria	908620	C	22186	1966	24152	0.00115
Bacilli	91061	C	195226	135027	330253	0.01567
Clostridia	186801	C	51469	8528	59997	0.00285
Negativicutes	909932	C	7057	683	7740	0.00037
Limnochordia	1676648	C	3846	147	3993	0.00019
Tissierellia	1737404	C	860	540	1400	0.00007
Erysipelotrichia	526524	C	859	71261	72120	0.00342
Gloeobacteria	307596	C	6217	7825	14042	0.00067
Deinococci	188787	C	58740	2297	61037	0.00290
Thermomicrobia	189775	C	11889	442	12331	0.00059
Chloroflexia	32061	C	9347	317	9664	0.00046
Tepidiformia	2682225	C	6225	247	6472	0.00031
Ardenticatenia	1382928	C	5565	105	5670	0.00027
Anaerolineae	292625	C	3016	57	3073	0.00015
Caldilineae	475962	C	2626	157	2783	0.00013
Ktedonobacteria	388447	C	2515	70	2585	0.00012
Dehalococcoidia	301297	C	1640	1266	2906	0.00014
Candidatus Thermofonsia	2364196	C	1016	10	1026	0.00005
Fimbriimonadia	1663419	C	3720	20	3740	0.00018
Chthonomonadetes	1077257	C	887	7	894	0.00004
Mollicutes	31969	C	1043	260	1303	0.00006
Planctomycetia	203683	C	686987	11171	698158	0.03313
Phycisphaerae	666505	C	25781	820	26601	0.00126
Candidatus Brocadiia	2517206	C	220	0	220	0.00001
Candidatus Uabimicrobiia	2897345	C	144	2	146	0.00001
Opitutae	414999	C	46424	1752	48176	0.00229
Verrucomicrobiae	203494	C	16590	2762	19352	0.00092
Methylacidiphilae	1955630	C	201	9	210	0.00001
Spartobacteria	134549	C	157	11	168	0.00001
Kiritimatiellae	1921781	C	1373	1587	2960	0.00014
Tichowtungiia	2907184	C	555	22	577	0.00003
Chlamydiia	204429	C	1029	449	1478	0.00007
Gemmatimonadetes	219685	C	230349	12955	243304	0.01154
Cytophagia	768503	C	57246	1359	58605	0.00278
Chitinophagia	1853228	C	38929	19863	58792	0.00279
Bacteroidia	200643	C	17797	4852	22649	0.00107
Flavobacteriia	117743	C	16978	1614	18592	0.00088
Sphingobacteriia	117747	C	9314	1141	10455	0.00050
Saprospiria	1937959	C	490	159	649	0.00003
Chlorobia	191410	C	6034	624	6658	0.00032
Ignavibacteria	795747	C	305	6	311	0.00001
Fibrobacteria	204430	C	214	128	342	0.00002
Vicinamibacteria	1813735	C	123342	6728	130070	0.00617
Acidobacteriia	204432	C	66635	998	67633	0.00321
Blastocatellia	1562566	C	6213	161	6374	0.00030
Holophagae	533205	C	3336	62	3398	0.00016
Nitrospira	203693	C	23242	309	23551	0.00112
Thermodesulfovibrionia	2811502	C	285	6	291	0.00001
Spirochaetia	203692	C	5237	274	5511	0.00026
Synergistia	649775	C	4547	1271	5818	0.00028
Candidatus Saccharimonia	2093818	C	278	537	815	0.00004
Candidatus Babeliae	2497643	C	110	55	165	0.00001
Thermotogae	188708	C	1308	75	1383	0.00007
Aquificae	187857	C	983	15	998	0.00005
Thermodesulfobacteria	67799	C	723	13	736	0.00003
Deferribacteres	68337	C	525	17	542	0.00003
Calditrichia	1962850	C	521	4	525	0.00002
Chrysiogenetes	118001	C	389	169	558	0.00003
Fusobacteriia	203490	C	386	63	449	0.00002
Endomicrobia	447830	C	139	1	140	0.00001
Elusimicrobia	641853	C	139	1	140	0.00001
Caldisericia	693071	C	157	0	157	0.00001
Coprothermobacteria	2138243	C	145	28	173	0.00001
Dictyoglomia	203486	C	136	0	136	0.00001
Atribacteria	2847774	C	89	2	91	0.00000
Sordariomycetes	147550	C	87072	1727	88799	0.00421
Leotiomycetes	147548	C	272	1	273	0.00001
Eurotiomycetes	147545	C	9882	411	10293	0.00049
Dothideomycetes	147541	C	1769	243	2012	0.00010
Saccharomycetes	4891	C	1770	160	1930	0.00009
Schizosaccharomycetes	147554	C	68	1	69	0.00000
Ustilaginomycetes	5257	C	3143	47	3190	0.00015
Malasseziomycetes	1538075	C	239	32	271	0.00001
Agaricomycetes	155619	C	773	8	781	0.00004
Tremellomycetes	155616	C	206	15757	15963	0.00076
