name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	578026	56616	634642	0.03011
Rhizobiaceae	82115	F	286552	80579	367131	0.01742
Methylobacteriaceae	119045	F	242263	34334	276597	0.01312
Phyllobacteriaceae	69277	F	240833	43401	284234	0.01349
Xanthobacteraceae	335928	F	100711	17752	118463	0.00562
Hyphomicrobiaceae	45401	F	65462	6422	71884	0.00341
Devosiaceae	2831106	F	56183	4795	60978	0.00289
Boseaceae	2831100	F	50889	8003	58892	0.00279
Aurantimonadaceae	255475	F	42830	8627	51457	0.00244
Methylocystaceae	31993	F	28367	2422	30789	0.00146
Stappiaceae	2821832	F	24154	31304	55458	0.00263
Phreatobacteraceae	2843305	F	22598	3957	26555	0.00126
Parvibaculaceae	2813035	F	17552	4286	21838	0.00104
Chelatococcaceae	2036754	F	15287	3534	18821	0.00089
Beijerinckiaceae	45404	F	13301	975	14276	0.00068
Blastochloridaceae	2831090	F	13015	3138	16153	0.00077
Amorphaceae	2685818	F	8608	939	9547	0.00045
Kaistiaceae	2831111	F	7635	1928	9563	0.00045
Brucellaceae	118882	F	7592	11750	19342	0.00092
Pleomorphomonadaceae	2843308	F	4920	902	5822	0.00028
Breoghaniaceae	2831104	F	4882	654	5536	0.00026
Lichenihabitantaceae	2723775	F	4757	223	4980	0.00024
Cohaesibacteraceae	655351	F	952	37	989	0.00005
Bartonellaceae	772	F	866	53	919	0.00004
Sphingomonadaceae	41297	F	1066896	115819	1182715	0.05612
Erythrobacteraceae	335929	F	119387	21691	141078	0.00669
Sphingosinicellaceae	2820280	F	38005	3105	41110	0.00195
Zymomonadaceae	2844881	F	255	171	426	0.00002
Azospirillaceae	2829815	F	165515	16125	181640	0.00862
Acetobacteraceae	433	F	140452	15953	156405	0.00742
Rhodospirillaceae	41295	F	104607	381292	485899	0.02306
Stellaceae	2844601	F	18535	1234	19769	0.00094
Elioraeaceae	2690195	F	8496	402	8898	0.00042
Thalassospiraceae	2844866	F	4626	297	4923	0.00023
Terasakiellaceae	2813951	F	196	4	200	0.00001
Rhodobacteraceae	31989	F	140786	19046	159832	0.00758
Roseobacteraceae	2854170	F	93539	10750	104289	0.00495
Caulobacteraceae	76892	F	207222	19187	226409	0.01074
Maricaulaceae	2800061	F	8527	827	9354	0.00044
Hyphomonadaceae	69657	F	7712	272	7984	0.00038
Parvularculaceae	255474	F	2570	161	2731	0.00013
Anaplasmataceae	942	F	687	10	697	0.00003
Rickettsiaceae	775	F	600	66	666	0.00003
Candidatus Midichloriaceae	1328881	F	65	2	67	0.00000
Candidatus Deianiraeaceae	2603433	F	48	32	80	0.00000
Emcibacteraceae	2066491	F	1287	1145	2432	0.00012
Holosporaceae	44746	F	203	4	207	0.00001
Caedimonadaceae	2100208	F	132	6	138	0.00001
Candidatus Paracaedibacteraceae	1777752	F	101	4	105	0.00001
Magnetococcaceae	1191479	F	291	7	298	0.00001
Pelagibacteraceae	1655514	F	122	84	206	0.00001
Kordiimonadaceae	1331809	F	120	2	122	0.00001
Burkholderiaceae	119060	F	617936	192737	810673	0.03847
Comamonadaceae	80864	F	489318	162074	651392	0.03091
Oxalobacteraceae	75682	F	168255	22693	190948	0.00906
Alcaligenaceae	506	F	145355	224290	369645	0.01754
Sutterellaceae	995019	F	3220	272	3492	0.00017
Zoogloeaceae	2008794	F	56846	23852	80698	0.00383
Rhodocyclaceae	75787	F	44149	15068	59217	0.00281
Azonexaceae	2008795	F	13818	1592	15410	0.00073
Fluviibacteraceae	2808923	F	373	128	501	0.00002
Usitatibacteraceae	2803844	F	40175	3387	43562	0.00207
Nitrosomonadaceae	206379	F	21053	748	21801	0.00103
Sterolibacteriaceae	2008793	F	17540	5242	22782	0.00108
Thiobacillaceae	2008790	F	9909	3124	13033	0.00062
Gallionellaceae	90627	F	9264	1194	10458	0.00050
Sulfuricellaceae	2772226	F	7507	1026	8533	0.00040
Methylophilaceae	32011	F	4431	464	4895	0.00023
Chromobacteriaceae	1499392	F	44682	9164	53846	0.00256
Neisseriaceae	481	F	18824	4229	23053	0.00109
Casimicrobiaceae	2705999	F	2963	1555	4518	0.00021
Xanthomonadaceae	32033	F	477009	104049	581058	0.02757
Rhodanobacteraceae	1775411	F	182442	29103	211545	0.01004
Pseudomonadaceae	135621	F	349236	87327	436563	0.02071
Marinobacteraceae	2887365	F	9191	745	9936	0.00047
Enterobacteriaceae	543	F	52504	183705	236209	0.01121
Yersiniaceae	1903411	F	19506	6017	25523	0.00121
Erwiniaceae	1903409	F	14991	2497	17488	0.00083
Pectobacteriaceae	1903410	F	9382	1420	10802	0.00051
Hafniaceae	1903412	F	2873	1128	4001	0.00019
Morganellaceae	1903414	F	2287	1199	3486	0.00017
Bruguierivoracaceae	2812006	F	1647	109	1756	0.00008
Budviciaceae	1903416	F	371	47	418	0.00002
Ectothiorhodospiraceae	72276	F	42632	4182	46814	0.00222
Chromatiaceae	1046	F	29812	2126	31938	0.00152
Wenzhouxiangellaceae	1676141	F	4720	4650	9370	0.00044
Thioalkalibacteraceae	2035710	F	2908	716	3624	0.00017
Thioalkalispiraceae	1096778	F	2805	1124	3929	0.00019
Halothiobacillaceae	255526	F	1569	135	1704	0.00008
Woeseiaceae	1738654	F	1500	26	1526	0.00007
Granulosicoccaceae	449719	F	1062	26	1088	0.00005
Halomonadaceae	28256	F	59843	6893	66736	0.00317
Alcanivoracaceae	224372	F	5953	2594	8547	0.00041
Oceanospirillaceae	135620	F	3678	403	4081	0.00019
Hahellaceae	224379	F	1274	50	1324	0.00006
Saccharospirillaceae	255527	F	1168	60	1228	0.00006
Litoricolaceae	449732	F	388	19	407	0.00002
Zooshikellaceae	2898533	F	166	5	171	0.00001
Endozoicomonadaceae	2066474	F	125	7	132	0.00001
Oleiphilaceae	191033	F	96	8	104	0.00000
Sinobacteraceae	568386	F	20226	2433	22659	0.00108
Steroidobacteraceae	2689614	F	12000	3360	15360	0.00073
Methylococcaceae	403	F	28647	1287	29934	0.00142
Aeromonadaceae	84642	F	26233	16205	42438	0.00201
Succinivibrionaceae	83763	F	46	2	48	0.00000
Acidiferrobacteraceae	1692041	F	20692	1004	21696	0.00103
Microbulbiferaceae	1706373	F	7609	435	8044	0.00038
Halieaceae	1706372	F	3262	321	3583	0.00017
Cellvibrionaceae	1706371	F	2768	97	2865	0.00014
Spongiibacteraceae	1706375	F	1289	97	1386	0.00007
Shewanellaceae	267890	F	6609	1110	7719	0.00037
Alteromonadaceae	72275	F	2964	399	3363	0.00016
Pseudoalteromonadaceae	267888	F	1850	249	2099	0.00010
Ferrimonadaceae	267892	F	851	102	953	0.00005
Colwelliaceae	267889	F	382	32	414	0.00002
Idiomarinaceae	267893	F	371	41	412	0.00002
Moritellaceae	267891	F	115	20	135	0.00001
Psychromonadaceae	267894	F	99	9	108	0.00001
Vibrionaceae	641	F	9201	9840	19041	0.00090
Moraxellaceae	468	F	5118	4650	9768	0.00046
Immundisolibacteraceae	1934946	F	4813	5066	9879	0.00047
Celerinatantimonadaceae	412032	F	76	140	216	0.00001
Pasteurellaceae	712	F	3536	4568	8104	0.00038
Legionellaceae	444	F	2320	154	2474	0.00012
Coxiellaceae	118968	F	1174	39	1213	0.00006
Piscirickettsiaceae	135616	F	1593	147	1740	0.00008
Thiotrichaceae	135617	F	1543	38	1581	0.00008
Francisellaceae	34064	F	258	22	280	0.00001
Salinisphaeraceae	742031	F	3042	2834	5876	0.00028
Cardiobacteriaceae	868	F	1641	219	1860	0.00009
Kangiellaceae	1920240	F	275	16	291	0.00001
Orbaceae	1240483	F	104	23	127	0.00001
Archangiaceae	39	F	155837	6974	162811	0.00773
Myxococcaceae	31	F	111547	72267	183814	0.00872
Anaeromyxobacteraceae	1524215	F	90911	6111	97022	0.00460
Vulgatibacteraceae	1524213	F	9008	638	9646	0.00046
Polyangiaceae	49	F	178586	13110	191696	0.00910
Sandaracinaceae	1055686	F	51691	2714	54405	0.00258
Labilitrichaceae	1524216	F	24101	1092	25193	0.00120
Kofleriaceae	224464	F	23103	1127	24230	0.00115
Geobacteraceae	213422	F	42783	3985	46768	0.00222
Desulfuromonadaceae	213421	F	13139	1926	15065	0.00071
Syntrophotaleaceae	2812024	F	2251	256	2507	0.00012
Desulfovibrionaceae	194924	F	36827	3031	39858	0.00189
Desulfomicrobiaceae	213116	F	2080	251	2331	0.00011
Desulfohalobiaceae	213117	F	502	24	526	0.00002
Desulfobacteraceae	213119	F	8662	800	9462	0.00045
Desulfobulbaceae	213121	F	3734	513	4247	0.00020
Desulfosudaceae	2904715	F	997	65	1062	0.00005
Desulfocapsaceae	2886822	F	547	57	604	0.00003
Bradymonadaceae	1779135	F	9423	1168	10591	0.00050
Syntrophobacteraceae	213465	F	3343	714	4057	0.00019
Desulfarculaceae	453228	F	3012	1564	4576	0.00022
Syntrophaceae	213468	F	1815	423	2238	0.00011
Candidatus Desulfofervidaceae	1902584	F	163	3	166	0.00001
Desulfurellaceae	117942	F	61	2	63	0.00000
Campylobacteraceae	72294	F	1427	147	1574	0.00007
Thiovulaceae	2771471	F	985	77	1062	0.00005
Helicobacteraceae	72293	F	807	53	860	0.00004
Sulfurovaceae	2771472	F	658	61	719	0.00003
Hydrogenimonaceae	292630	F	421	47	468	0.00002
Arcobacteraceae	2808963	F	278	40	318	0.00002
Sulfurospirillaceae	2932623	F	264	13	277	0.00001
Nitratiruptoraceae	2795691	F	228	30	258	0.00001
Nautiliaceae	224467	F	170	27	197	0.00001
Acidithiobacillaceae	225058	F	3051	299	3350	0.00016
Bdellovibrionaceae	213483	F	1129	15	1144	0.00005
Bacteriovoracaceae	263369	F	66	23	89	0.00000
Halobacteriovoraceae	1652132	F	39	20	59	0.00000
Silvanigrellaceae	2024974	F	78	1	79	0.00000
Hydrogenophilaceae	206349	F	1026	192	1218	0.00006
Mariprofundaceae	580372	F	687	19	706	0.00003
Streptomycetaceae	2062	F	2775290	586143	3361433	0.15950
Microbacteriaceae	85023	F	416160	59296	475456	0.02256
Micrococcaceae	1268	F	143602	33342	176944	0.00840
Cellulomonadaceae	85016	F	82128	29122	111250	0.00528
Intrasporangiaceae	85021	F	46076	13155	59231	0.00281
Promicromonosporaceae	85017	F	38995	15887	54882	0.00260
Ornithinimicrobiaceae	2805590	F	34745	7529	42274	0.00201
Dermabacteraceae	85020	F	24530	4875	29405	0.00140
Brevibacteriaceae	85019	F	22981	4829	27810	0.00132
Bogoriellaceae	145358	F	18490	5896	24386	0.00116
Ruaniaceae	1331736	F	14794	1913	16707	0.00079
Dermacoccaceae	145357	F	13969	16604	30573	0.00145
Beutenbergiaceae	125316	F	9710	3312	13022	0.00062
Sanguibacteraceae	145360	F	6192	2063	8255	0.00039
Dermatophilaceae	85018	F	3298	326	3624	0.00017
Kytococcaceae	2805426	F	2927	1786	4713	0.00022
Demequinaceae	1042322	F	1207	101	1308	0.00006
Jonesiaceae	85022	F	212	40	252	0.00001
Tropherymataceae	2805591	F	54	0	54	0.00000
Micromonosporaceae	28056	F	796452	113422	909874	0.04317
Mycobacteriaceae	1762	F	383881	52271	436152	0.02070
Nocardiaceae	85025	F	214001	45724	259725	0.01232
Corynebacteriaceae	1653	F	64962	15592	80554	0.00382
Gordoniaceae	85026	F	52169	11841	64010	0.00304
Tsukamurellaceae	85028	F	15818	4255	20073	0.00095
Dietziaceae	85029	F	10224	10116	20340	0.00097
Segniliparaceae	316606	F	1478	84	1562	0.00007
Lawsonellaceae	2805586	F	230	26	256	0.00001
Pseudonocardiaceae	2070	F	602463	89060	691523	0.03281
Nocardioidaceae	85015	F	342861	71556	414417	0.01966
Propionibacteriaceae	31957	F	88365	19478	107843	0.00512
Kribbellaceae	2726069	F	35311	5905	41216	0.00196
Actinopolymorphaceae	2805400	F	9005	1107	10112	0.00048
Streptosporangiaceae	2004	F	232934	38647	271581	0.01289
Thermomonosporaceae	2012	F	143550	28252	171802	0.00815
Nocardiopsaceae	83676	F	49318	7987	57305	0.00272
Geodermatophilaceae	85030	F	84222	21857	106079	0.00503
Frankiaceae	74712	F	47209	4659	51868	0.00246
Actinomycetaceae	2049	F	44021	6288	50309	0.00239
Jiangellaceae	1217100	F	28166	5014	33180	0.00157
Bifidobacteriaceae	31953	F	17368	4242	21610	0.00103
Nakamurellaceae	85031	F	16607	2252	18859	0.00089
Catenulisporaceae	414877	F	9476	1416	10892	0.00052
Jatrophihabitantaceae	2805416	F	8182	731	8913	0.00042
Glycomycetaceae	85034	F	7023	575	7598	0.00036
Kineosporiaceae	83778	F	5595	1585	7180	0.00034
Sporichthyaceae	85033	F	3538	1759	5297	0.00025
Actinopolysporaceae	622451	F	3493	365	3858	0.00018
Acidothermaceae	85032	F	2387	121	2508	0.00012
Candidatus Nanopelagicaceae	2162846	F	583	9	592	0.00003
Rubrobacteraceae	84997	F	90207	3790	93997	0.00446
Baekduiaceae	2600303	F	25191	4253	29444	0.00140
Conexibacteraceae	320583	F	80862	11635	92497	0.00439
Miltoncostaeaceae	2843199	F	25236	3242	28478	0.00135
Iamiaceae	633392	F	87909	11007	98916	0.00469
Ilumatobacteraceae	2448023	F	7029	434	7463	0.00035
Acidimicrobiaceae	84994	F	2680	208	2888	0.00014
Eggerthellaceae	1643826	F	13966	2373	16339	0.00078
Atopobiaceae	1643824	F	7374	1605	8979	0.00043
Coriobacteriaceae	84107	F	2892	637	3529	0.00017
Egicoccaceae	1755824	F	7524	1195	8719	0.00041
Euzebyaceae	908622	F	7387	643	8030	0.00038
Egibacteraceae	1747769	F	6973	430	7403	0.00035
Bacillaceae	186817	F	101637	120156	221793	0.01052
Paenibacillaceae	186822	F	63636	5008	68644	0.00326
Alicyclobacillaceae	186823	F	7612	1167	8779	0.00042
Planococcaceae	186818	F	2943	858	3801	0.00018
Thermoactinomycetaceae	186824	F	2862	2194	5056	0.00024
Staphylococcaceae	90964	F	1447	7281	8728	0.00041
