name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	2727433	289464	3016897	0.23230
Betaproteobacteria	28216	C	1132504	284021	1416525	0.10907
Gammaproteobacteria	1236	C	926356	294478	1220834	0.09401
Deltaproteobacteria	28221	C	564335	48784	613119	0.04721
Epsilonproteobacteria	29547	C	4313	341	4654	0.00036
Acidithiobacillia	1807140	C	2352	237	2589	0.00020
Oligoflexia	1553900	C	1061	16	1077	0.00008
Hydrogenophilalia	2008785	C	701	155	856	0.00007
Zetaproteobacteria	580370	C	476	16	492	0.00004
Actinomycetia	1760	C	4714301	292274	5006575	0.38551
Acidimicrobiia	84992	C	74200	9695	83895	0.00646
Rubrobacteria	84995	C	69901	5230	75131	0.00579
Thermoleophilia	1497346	C	61588	9329	70917	0.00546
Coriobacteriia	84998	C	17742	3304	21046	0.00162
Nitriliruptoria	908620	C	15595	1622	17217	0.00133
Bacilli	91061	C	122418	71789	194207	0.01495
Clostridia	186801	C	39233	7603	46836	0.00361
Negativicutes	909932	C	5230	612	5842	0.00045
Limnochordia	1676648	C	3011	144	3155	0.00024
Erysipelotrichia	526524	C	718	287	1005	0.00008
Tissierellia	1737404	C	688	35348	36036	0.00277
Gloeobacteria	307596	C	4428	5700	10128	0.00078
Deinococci	188787	C	41741	2250	43991	0.00339
Thermomicrobia	189775	C	10605	481	11086	0.00085
Chloroflexia	32061	C	5718	224	5942	0.00046
Tepidiformia	2682225	C	4912	239	5151	0.00040
Ardenticatenia	1382928	C	4810	112	4922	0.00038
Anaerolineae	292625	C	3232	69	3301	0.00025
Caldilineae	475962	C	2230	152	2382	0.00018
Dehalococcoidia	301297	C	1412	27	1439	0.00011
Candidatus Thermofonsia	2364196	C	1065	12	1077	0.00008
Ktedonobacteria	388447	C	864	830	1694	0.00013
Fimbriimonadia	1663419	C	2493	16	2509	0.00019
Chthonomonadetes	1077257	C	779	7	786	0.00006
Mollicutes	31969	C	718	193	911	0.00007
Planctomycetia	203683	C	531523	9345	540868	0.04165
Phycisphaerae	666505	C	17886	719	18605	0.00143
Candidatus Brocadiia	2517206	C	231	1	232	0.00002
Candidatus Uabimicrobiia	2897345	C	136	2	138	0.00001
Opitutae	414999	C	25129	1156	26285	0.00202
Verrucomicrobiae	203494	C	13749	2220	15969	0.00123
Methylacidiphilae	1955630	C	216	9	225	0.00002
Spartobacteria	134549	C	113	9	122	0.00001
Kiritimatiellae	1921781	C	1172	1517	2689	0.00021
Tichowtungiia	2907184	C	416	15	431	0.00003
Chlamydiia	204429	C	519	362	881	0.00007
Cytophagia	768503	C	39512	1045	40557	0.00312
Chitinophagia	1853228	C	19232	15436	34668	0.00267
Bacteroidia	200643	C	12441	3192	15633	0.00120
Flavobacteriia	117743	C	10869	1049	11918	0.00092
Sphingobacteriia	117747	C	5351	671	6022	0.00046
Saprospiria	1937959	C	396	88	484	0.00004
Chlorobia	191410	C	4427	535	4962	0.00038
Ignavibacteria	795747	C	221	5	226	0.00002
Gemmatimonadetes	219685	C	92726	6158	98884	0.00761
Fibrobacteria	204430	C	162	140	302	0.00002
Vicinamibacteria	1813735	C	90742	5855	96597	0.00744
Acidobacteriia	204432	C	43106	761	43867	0.00338
Blastocatellia	1562566	C	4466	140	4606	0.00035
Holophagae	533205	C	2595	57	2652	0.00020
Nitrospira	203693	C	19107	313	19420	0.00150
Thermodesulfovibrionia	2811502	C	223	5	228	0.00002
Spirochaetia	203692	C	3928	267	4195	0.00032
Synergistia	649775	C	3420	1071	4491	0.00035
Candidatus Saccharimonia	2093818	C	187	280	467	0.00004
Candidatus Babeliae	2497643	C	119	108	227	0.00002
Thermotogae	188708	C	1148	123	1271	0.00010
Aquificae	187857	C	723	13	736	0.00006
Thermodesulfobacteria	67799	C	601	13	614	0.00005
Calditrichia	1962850	C	439	5	444	0.00003
Deferribacteres	68337	C	348	13	361	0.00003
Chrysiogenetes	118001	C	345	178	523	0.00004
Fusobacteriia	203490	C	331	77	408	0.00003
Endomicrobia	447830	C	135	3	138	0.00001
Elusimicrobia	641853	C	114	2	116	0.00001
Dictyoglomia	203486	C	148	0	148	0.00001
Coprothermobacteria	2138243	C	139	33	172	0.00001
Caldisericia	693071	C	134	0	134	0.00001
Atribacteria	2847774	C	70	2	72	0.00001
Sordariomycetes	147550	C	31709	781	32490	0.00250
Leotiomycetes	147548	C	242	1	243	0.00002
Eurotiomycetes	147545	C	4894	180	5074	0.00039
Dothideomycetes	147541	C	930	134	1064	0.00008
Saccharomycetes	4891	C	1153	111	1264	0.00010
Schizosaccharomycetes	147554	C	26	0	26	0.00000
Ustilaginomycetes	5257	C	2054	31	2085	0.00016
Malasseziomycetes	1538075	C	111	13	124	0.00001
Agaricomycetes	155619	C	501	5	506	0.00004
Tremellomycetes	155616	C	119	7570	7689	0.00059
