name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	336279	38975	375254	0.02889
Rhizobiaceae	82115	F	189029	49424	238453	0.01836
Phyllobacteriaceae	69277	F	163888	32743	196631	0.01514
Methylobacteriaceae	119045	F	139591	23627	163218	0.01257
Xanthobacteraceae	335928	F	58607	12231	70838	0.00545
Hyphomicrobiaceae	45401	F	51466	5602	57068	0.00439
Boseaceae	2831100	F	33497	6120	39617	0.00305
Devosiaceae	2831106	F	33233	3205	36438	0.00281
Aurantimonadaceae	255475	F	29019	29850	58869	0.00453
Methylocystaceae	31993	F	19447	1933	21380	0.00165
Stappiaceae	2821832	F	17560	4539	22099	0.00170
Phreatobacteraceae	2843305	F	15749	3224	18973	0.00146
Parvibaculaceae	2813035	F	13654	3441	17095	0.00132
Chelatococcaceae	2036754	F	10847	2937	13784	0.00106
Blastochloridaceae	2831090	F	9137	2568	11705	0.00090
Beijerinckiaceae	45404	F	8976	777	9753	0.00075
Amorphaceae	2685818	F	6156	781	6937	0.00053
Kaistiaceae	2831111	F	5417	1595	7012	0.00054
Brucellaceae	118882	F	5348	5669	11017	0.00085
Breoghaniaceae	2831104	F	3654	568	4222	0.00033
Pleomorphomonadaceae	2843308	F	3350	714	4064	0.00031
Lichenihabitantaceae	2723775	F	3017	167	3184	0.00025
Cohaesibacteraceae	655351	F	701	32	733	0.00006
Bartonellaceae	772	F	615	45	660	0.00005
Sphingomonadaceae	41297	F	567173	74634	641807	0.04942
Erythrobacteraceae	335929	F	75495	14702	90197	0.00695
Sphingosinicellaceae	2820280	F	22913	2057	24970	0.00192
Zymomonadaceae	2844881	F	191	237	428	0.00003
Azospirillaceae	2829815	F	101907	11277	113184	0.00872
Acetobacteraceae	433	F	81701	10434	92135	0.00709
Rhodospirillaceae	41295	F	62870	263757	326627	0.02515
Stellaceae	2844601	F	12359	916	13275	0.00102
Elioraeaceae	2690195	F	5197	282	5479	0.00042
Thalassospiraceae	2844866	F	3067	211	3278	0.00025
Terasakiellaceae	2813951	F	170	4	174	0.00001
Rhodobacteraceae	31989	F	94421	11351	105772	0.00814
Roseobacteraceae	2854170	F	63586	12896	76482	0.00589
Caulobacteraceae	76892	F	102569	9704	112273	0.00865
Hyphomonadaceae	69657	F	9063	316	9379	0.00072
Maricaulaceae	2800061	F	5945	643	6588	0.00051
Parvularculaceae	255474	F	2005	142	2147	0.00017
Anaplasmataceae	942	F	534	9	543	0.00004
Rickettsiaceae	775	F	359	23	382	0.00003
Candidatus Midichloriaceae	1328881	F	47	3	50	0.00000
Candidatus Deianiraeaceae	2603433	F	32	944	976	0.00008
Emcibacteraceae	2066491	F	822	96	918	0.00007
Holosporaceae	44746	F	175	4	179	0.00001
Candidatus Paracaedibacteraceae	1777752	F	81	4	85	0.00001
Caedimonadaceae	2100208	F	77	4	81	0.00001
Magnetococcaceae	1191479	F	237	6	243	0.00002
Pelagibacteraceae	1655514	F	68	54	122	0.00001
Kordiimonadaceae	1331809	F	93	2	95	0.00001
Burkholderiaceae	119060	F	323120	181179	504299	0.03883
Comamonadaceae	80864	F	269001	97410	366411	0.02821
Oxalobacteraceae	75682	F	99493	12982	112475	0.00866
Alcaligenaceae	506	F	85764	133432	219196	0.01688
Sutterellaceae	995019	F	1979	185	2164	0.00017
Zoogloeaceae	2008794	F	33946	14510	48456	0.00373
Rhodocyclaceae	75787	F	26576	9171	35747	0.00275
Azonexaceae	2008795	F	8536	978	9514	0.00073
Fluviibacteraceae	2808923	F	259	102	361	0.00003
Usitatibacteraceae	2803844	F	19596	1661	21257	0.00164
Nitrosomonadaceae	206379	F	12434	450	12884	0.00099
Sterolibacteriaceae	2008793	F	9816	2810	12626	0.00097
Thiobacillaceae	2008790	F	5894	1835	7729	0.00060
Gallionellaceae	90627	F	5502	698	6200	0.00048
Sulfuricellaceae	2772226	F	4509	608	5117	0.00039
Methylophilaceae	32011	F	1550	173	1723	0.00013
Chromobacteriaceae	1499392	F	27015	5816	32831	0.00253
Neisseriaceae	481	F	12116	2787	14903	0.00115
Casimicrobiaceae	2705999	F	1707	909	2616	0.00020
Xanthomonadaceae	32033	F	249181	76413	325594	0.02507
Rhodanobacteraceae	1775411	F	46557	7962	54519	0.00420
Pseudomonadaceae	135621	F	250403	90575	340978	0.02626
Marinobacteraceae	2887365	F	6413	533	6946	0.00053
Enterobacteriaceae	543	F	34630	129985	164615	0.01268
Yersiniaceae	1903411	F	13033	13258	26291	0.00202
Erwiniaceae	1903409	F	9792	1653	11445	0.00088
Pectobacteriaceae	1903410	F	6468	1468	7936	0.00061
Hafniaceae	1903412	F	2020	664	2684	0.00021
Morganellaceae	1903414	F	1733	1189	2922	0.00023
Bruguierivoracaceae	2812006	F	1185	85	1270	0.00010
Budviciaceae	1903416	F	279	38	317	0.00002
Ectothiorhodospiraceae	72276	F	28961	2950	31911	0.00246
Chromatiaceae	1046	F	20710	1538	22248	0.00171
Wenzhouxiangellaceae	1676141	F	3352	3134	6486	0.00050
Thioalkalispiraceae	1096778	F	1983	812	2795	0.00022
Thioalkalibacteraceae	2035710	F	1845	510	2355	0.00018
Halothiobacillaceae	255526	F	1165	108	1273	0.00010
Woeseiaceae	1738654	F	1161	22	1183	0.00009
Granulosicoccaceae	449719	F	797	20	817	0.00006
Halomonadaceae	28256	F	40079	4679	44758	0.00345
Alcanivoracaceae	224372	F	4066	2041	6107	0.00047
Oceanospirillaceae	135620	F	2703	323	3026	0.00023
Hahellaceae	224379	F	887	37	924	0.00007
Saccharospirillaceae	255527	F	800	42	842	0.00006
Litoricolaceae	449732	F	270	14	284	0.00002
Oleiphilaceae	191033	F	118	9	127	0.00001
Zooshikellaceae	2898533	F	116	3	119	0.00001
Endozoicomonadaceae	2066474	F	88	5	93	0.00001
Methylococcaceae	403	F	19960	948	20908	0.00161
Aeromonadaceae	84642	F	18054	12098	30152	0.00232
Succinivibrionaceae	83763	F	31	1	32	0.00000
Sinobacteraceae	568386	F	11251	1431	12682	0.00098
Steroidobacteraceae	2689614	F	6775	1865	8640	0.00067
Acidiferrobacteraceae	1692041	F	13260	704	13964	0.00108
Microbulbiferaceae	1706373	F	5300	317	5617	0.00043
Halieaceae	1706372	F	2307	245	2552	0.00020
Cellvibrionaceae	1706371	F	2292	81	2373	0.00018
Spongiibacteraceae	1706375	F	938	78	1016	0.00008
Shewanellaceae	267890	F	4863	895	5758	0.00044
Alteromonadaceae	72275	F	2215	268	2483	0.00019
Pseudoalteromonadaceae	267888	F	1522	245	1767	0.00014
Ferrimonadaceae	267892	F	597	73	670	0.00005
Idiomarinaceae	267893	F	310	32	342	0.00003
Colwelliaceae	267889	F	246	21	267	0.00002
Moritellaceae	267891	F	86	18	104	0.00001
Psychromonadaceae	267894	F	75	7	82	0.00001
Vibrionaceae	641	F	6063	4098	10161	0.00078
Immundisolibacteraceae	1934946	F	3460	679	4139	0.00032
Moraxellaceae	468	F	3241	5983	9224	0.00071
Celerinatantimonadaceae	412032	F	47	131	178	0.00001
Legionellaceae	444	F	1668	106	1774	0.00014
Coxiellaceae	118968	F	963	26	989	0.00008
Pasteurellaceae	712	F	2455	3724	6179	0.00048
Piscirickettsiaceae	135616	F	1134	113	1247	0.00010
Thiotrichaceae	135617	F	1017	32	1049	0.00008
Francisellaceae	34064	F	168	11	179	0.00001
Salinisphaeraceae	742031	F	1916	1897	3813	0.00029
Cardiobacteriaceae	868	F	1112	156	1268	0.00010
Kangiellaceae	1920240	F	213	14	227	0.00002
Orbaceae	1240483	F	84	19	103	0.00001
Archangiaceae	39	F	85512	4793	90305	0.00695
Myxococcaceae	31	F	69252	45199	114451	0.00881
Anaeromyxobacteraceae	1524215	F	63525	5069	68594	0.00528
Vulgatibacteraceae	1524213	F	6802	581	7383	0.00057
Polyangiaceae	49	F	140168	11986	152154	0.01172
Sandaracinaceae	1055686	F	34912	2035	36947	0.00284
Labilitrichaceae	1524216	F	12039	557	12596	0.00097
Kofleriaceae	224464	F	15750	911	16661	0.00128
Geobacteraceae	213422	F	32874	3605	36479	0.00281
Desulfuromonadaceae	213421	F	10473	1721	12194	0.00094
Syntrophotaleaceae	2812024	F	1749	227	1976	0.00015
Desulfovibrionaceae	194924	F	28254	2784	31038	0.00239
Desulfomicrobiaceae	213116	F	1644	228	1872	0.00014
Desulfohalobiaceae	213117	F	474	25	499	0.00004
Desulfobacteraceae	213119	F	7088	755	7843	0.00060
Desulfobulbaceae	213121	F	2968	486	3454	0.00027
Desulfosudaceae	2904715	F	809	55	864	0.00007
Desulfocapsaceae	2886822	F	488	54	542	0.00004
Bradymonadaceae	1779135	F	7258	959	8217	0.00063
Syntrophobacteraceae	213465	F	2728	718	3446	0.00027
Desulfarculaceae	453228	F	2276	1444	3720	0.00029
Syntrophaceae	213468	F	1372	297	1669	0.00013
Candidatus Desulfofervidaceae	1902584	F	139	3	142	0.00001
Desulfurellaceae	117942	F	56	3	59	0.00000
Campylobacteraceae	72294	F	1038	280	1318	0.00010
Thiovulaceae	2771471	F	785	58	843	0.00006
Helicobacteraceae	72293	F	729	41	770	0.00006
Sulfurovaceae	2771472	F	523	41	564	0.00004
Hydrogenimonaceae	292630	F	333	34	367	0.00003
Sulfurospirillaceae	2932623	F	196	32	228	0.00002
Arcobacteraceae	2808963	F	146	22	168	0.00001
Nitratiruptoraceae	2795691	F	195	27	222	0.00002
Nautiliaceae	224467	F	149	22	171	0.00001
Acidithiobacillaceae	225058	F	2352	237	2589	0.00020
Bdellovibrionaceae	213483	F	848	16	864	0.00007
Bacteriovoracaceae	263369	F	61	19	80	0.00001
Halobacteriovoraceae	1652132	F	46	20	66	0.00001
Silvanigrellaceae	2024974	F	65	2	67	0.00001
Hydrogenophilaceae	206349	F	701	155	856	0.00007
Mariprofundaceae	580372	F	476	16	492	0.00004
Streptomycetaceae	2062	F	1419043	360563	1779606	0.13703
Microbacteriaceae	85023	F	288426	47070	335496	0.02583
Micrococcaceae	1268	F	109567	29397	138964	0.01070
Cellulomonadaceae	85016	F	53366	21027	74393	0.00573
Intrasporangiaceae	85021	F	30977	10061	41038	0.00316
Promicromonosporaceae	85017	F	26564	12108	38672	0.00298
Ornithinimicrobiaceae	2805590	F	22837	5643	28480	0.00219
Dermabacteraceae	85020	F	16442	3789	20231	0.00156
Brevibacteriaceae	85019	F	16225	3893	20118	0.00155
Bogoriellaceae	145358	F	12109	4381	16490	0.00127
Ruaniaceae	1331736	F	9836	1451	11287	0.00087
Dermacoccaceae	145357	F	9191	2586	11777	0.00091
Beutenbergiaceae	125316	F	6573	11064	17637	0.00136
Sanguibacteraceae	145360	F	4230	1577	5807	0.00045
Dermatophilaceae	85018	F	2322	266	2588	0.00020
Kytococcaceae	2805426	F	2112	935	3047	0.00023
Demequinaceae	1042322	F	816	78	894	0.00007
Jonesiaceae	85022	F	143	31	174	0.00001
Tropherymataceae	2805591	F	53	0	53	0.00000
Mycobacteriaceae	1762	F	243982	47063	291045	0.02241
Nocardiaceae	85025	F	142863	33028	175891	0.01354
Corynebacteriaceae	1653	F	44558	12592	57150	0.00440
Gordoniaceae	85026	F	34368	8853	43221	0.00333
Tsukamurellaceae	85028	F	10365	3182	13547	0.00104
Dietziaceae	85029	F	6633	6494	13127	0.00101
Segniliparaceae	316606	F	958	63	1021	0.00008
Lawsonellaceae	2805586	F	169	23	192	0.00001
Micromonosporaceae	28056	F	489134	81206	570340	0.04392
Pseudonocardiaceae	2070	F	375945	67368	443313	0.03414
Nocardioidaceae	85015	F	234756	57098	291854	0.02247
Propionibacteriaceae	31957	F	57313	12974	70287	0.00541
Kribbellaceae	2726069	F	22183	4310	26493	0.00204
Actinopolymorphaceae	2805400	F	5981	853	6834	0.00053
Streptosporangiaceae	2004	F	87234	17248	104482	0.00805
Thermomonosporaceae	2012	F	79597	18652	98249	0.00757
Nocardiopsaceae	83676	F	32795	6184	38979	0.00300
Geodermatophilaceae	85030	F	45906	14057	59963	0.00462
Actinomycetaceae	2049	F	30179	5128	35307	0.00272
Frankiaceae	74712	F	29576	3404	32980	0.00254
Jiangellaceae	1217100	F	22660	4732	27392	0.00211
Bifidobacteriaceae	31953	F	12096	4358	16454	0.00127
Nakamurellaceae	85031	F	9903	1554	11457	0.00088
Catenulisporaceae	414877	F	5951	1051	7002	0.00054
Glycomycetaceae	85034	F	4980	481	5461	0.00042
Jatrophihabitantaceae	2805416	F	4598	488	5086	0.00039
Kineosporiaceae	83778	F	3418	1146	4564	0.00035
Actinopolysporaceae	622451	F	2253	279	2532	0.00019
Sporichthyaceae	85033	F	2122	1238	3360	0.00026
Acidothermaceae	85032	F	1680	103	1783	0.00014
Candidatus Nanopelagicaceae	2162846	F	422	8	430	0.00003
Iamiaceae	633392	F	66351	9756	76107	0.00586
Ilumatobacteraceae	2448023	F	5138	364	5502	0.00042
Acidimicrobiaceae	84994	F	2098	187	2285	0.00018
Rubrobacteraceae	84997	F	58141	2952	61093	0.00470
Baekduiaceae	2600303	F	11694	2344	14038	0.00108
Conexibacteraceae	320583	F	42943	7179	50122	0.00386
Miltoncostaeaceae	2843199	F	18044	2750	20794	0.00160
Eggerthellaceae	1643826	F	9826	1894	11720	0.00090
Atopobiaceae	1643824	F	5208	1352	6560	0.00051
Coriobacteriaceae	84107	F	2163	602	2765	0.00021
Euzebyaceae	908622	F	5173	540	5713	0.00044
Egicoccaceae	1755824	F	5159	977	6136	0.00047
Egibacteraceae	1747769	F	4998	368	5366	0.00041
Bacillaceae	186817	F	50360	58295	108655	0.00837
Paenibacillaceae	186822	F	42812	4332	47144	0.00363
Thermoactinomycetaceae	186824	F	8621	1390	10011	0.00077
Alicyclobacillaceae	186823	F	5519	1041	6560	0.00051
Planococcaceae	186818	F	2393	894	3287	0.00025
Staphylococcaceae	90964	F	1161	4894	6055	0.00047
Listeriaceae	186820	F	289	2838	3127	0.00024
Sporolactobacillaceae	186821	F	106	19	125	0.00001
Lactobacillaceae	33958	F	3226	1360	4586	0.00035
Streptococcaceae	1300	F	1118	1561	2679	0.00021
Enterococcaceae	81852	F	546	713	1259	0.00010
Aerococcaceae	186827	F	265	89	354	0.00003
Carnobacteriaceae	186828	F	242	117	359	0.00003
Clostridiales Family XVII. Incertae Sedis	539000	F	7540	1350	8890	0.00068
Eubacteriales Family XIII. Incertae Sedis	543314	F	339	773	1112	0.00009
Clostridiales Family XVI. Incertae Sedis	543347	F	146	37	183	0.00001
Oscillospiraceae	216572	F	8334	3755	12089	0.00093
Symbiobacteriaceae	543349	F	3098	316	3414	0.00026
Clostridiaceae	31979	F	2781	498	3279	0.00025
Lachnospiraceae	186803	F	2596	1177	3773	0.00029
Peptococcaceae	186807	F	1857	202	2059	0.00016
Christensenellaceae	990719	F	939	494	1433	0.00011
Heliobacteriaceae	31984	F	854	423	1277	0.00010
Desulfitobacteriaceae	2937909	F	837	91	928	0.00007
Eubacteriaceae	186806	F	698	144	842	0.00006
Syntrophomonadaceae	68298	F	316	18	334	0.00003
Peptostreptococcaceae	186804	F	288	95	383	0.00003
Desulfallaceae	2867375	F	191	18	209	0.00002
Thermincolaceae	2937911	F	126	12	138	0.00001
Desulfotomaculaceae	2937910	F	95	44	139	0.00001
Vallitaleaceae	2603322	F	77	7	84	0.00001
Thermohalobacteraceae	2848916	F	49	8	57	0.00000
Proteinivoraceae	1491775	F	21	3	24	0.00000
Thermoanaerobacteraceae	186814	F	3835	713	4548	0.00035
Thermoanaerobacterales Family III. Incertae Sedis	543371	F	221	45	266	0.00002
Thermoanaerobacterales Family IV. Incertae Sedis	543372	F	104	61	165	0.00001
Zhaonellaceae	2748673	F	95	16	111	0.00001
Thermodesulfobiaceae	227387	F	56	1	57	0.00000
Halanaerobiaceae	972	F	206	145	351	0.00003
Halobacteroidaceae	53434	F	80	9	89	0.00001
Tepidanaerobacteraceae	2770092	F	178	12	190	0.00001
Thermosediminibacteraceae	2770093	F	154	18	172	0.00001
Natranaerofabaceae	2807496	F	74	3	77	0.00001
Natranaerobiaceae	485255	F	42	4	46	0.00000
Koleobacteraceae	2786988	F	91	9	100	0.00001
Selenomonadaceae	1843491	F	3272	202	3474	0.00027
Sporomusaceae	1843490	F	398	37	435	0.00003
Veillonellaceae	31977	F	988	339	1327	0.00010
Acidaminococcaceae	909930	F	497	108	605	0.00005
Limnochordaceae	1676650	F	3011	144	3155	0.00024
Erysipelotrichaceae	128827	F	589	185	774	0.00006
Turicibacteraceae	2810281	F	129	101	230	0.00002
Peptoniphilaceae	1570339	F	333	265	598	0.00005
Tissierellaceae	1737406	F	166	29	195	0.00002
Gottschalkiaceae	2042895	F	49	637	686	0.00005
Synechococcaceae	1890426	F	13060	1479	14539	0.00112
Prochlorococcaceae	2881426	F	2872	688	3560	0.00027
Acaryochloridaceae	1890429	F	218	7	225	0.00002
Chamaesiphonaceae	1890431	F	206	13	219	0.00002
Merismopediaceae	1890428	F	200	12	212	0.00002
Nostocaceae	1162	F	4156	1025	5181	0.00040
Calotrichaceae	2661849	F	1480	141	1621	0.00012
Scytonemataceae	1182	F	918	117	1035	0.00008
Aphanizomenonaceae	1892259	F	738	506	1244	0.00010
Hapalosiphonaceae	1892263	F	301	42	343	0.00003
Tolypothrichaceae	119859	F	254	53	307	0.00002
Rivulariaceae	1185	F	56	3	59	0.00000
Leptolyngbyaceae	1890438	F	4212	323	4535	0.00035
Oculatellaceae	2303507	F	595	58	653	0.00005
Thermosynechococcaceae	2881378	F	364	40	404	0.00003
Prochlorotrichaceae	2303730	F	315	14	329	0.00003
Pseudanabaenaceae	1890436	F	191	9	200	0.00002
Gloeobacteraceae	1890422	F	4428	110	4538	0.00035
Oscillatoriaceae	1892254	F	901	108	1009	0.00008
Coleofasciculaceae	1892251	F	796	127	923	0.00007
Microcoleaceae	1892252	F	585	367	952	0.00007
Gomontiellaceae	1892255	F	72	10	82	0.00001
Sirenicapillariaceae	2934961	F	51	4	55	0.00000
Microcystaceae	1890449	F	464	152	616	0.00005
Aphanothecaceae	1890450	F	374	65	439	0.00003
Chroococcaceae	1890464	F	261	44	305	0.00002
Geminocystaceae	2815910	F	40	21	61	0.00000
Chroococcidiopsidaceae	1890528	F	588	114	702	0.00005
Hyellaceae	1890500	F	122	15	137	0.00001
Dermocarpellaceae	1890498	F	70	6	76	0.00001
Gloeomargaritaceae	1955043	F	122	5	127	0.00001
Thermostichaceae	2881384	F	63	35	98	0.00001
Deinococcaceae	183710	F	26081	1735	27816	0.00214
Thermaceae	188786	F	13047	927	13974	0.00108
Trueperaceae	332247	F	2067	133	2200	0.00017
Sphaerobacteraceae	85002	F	8918	569	9487	0.00073
Thermomicrobiaceae	189777	F	1565	33	1598	0.00012
Roseiflexaceae	1508635	F	4130	245	4375	0.00034
Chloroflexaceae	1106	F	1501	66	1567	0.00012
Tepidiformaceae	2682227	F	4912	239	5151	0.00040
Ardenticatenaceae	1382930	F	4810	112	4922	0.00038
Anaerolineaceae	292628	F	3232	69	3301	0.00025
Caldilineaceae	475964	F	2230	1157	3387	0.00026
Dehalococcoidaceae	1202464	F	419	15	434	0.00003
Phototrophicaceae	2922432	F	1065	12	1077	0.00008
Ktedonosporobacteraceae	2692416	F	864	830	1694	0.00013
Fimbriimonadaceae	1663426	F	2493	16	2509	0.00019
Chthonomonadaceae	1077264	F	779	7	786	0.00006
