name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	1305035	83981	1389016	0.10695
Sphingomonadales	204457	O	690858	66546	757404	0.05832
Rhodospirillales	204441	O	277541	276613	554154	0.04267
Rhodobacterales	204455	O	167258	14996	182254	0.01403
Caulobacterales	204458	O	102569	9704	112273	0.00865
Hyphomonadales	2800060	O	9063	316	9379	0.00072
Maricaulales	2800059	O	5945	643	6588	0.00051
Parvularculales	255473	O	2005	142	2147	0.00017
Rickettsiales	766	O	1013	938	1951	0.00015
Emcibacterales	2066490	O	822	96	918	0.00007
Holosporales	1921002	O	336	10	346	0.00003
Magnetococcales	1191478	O	237	6	243	0.00002
Pelagibacterales	54526	O	120	2	122	0.00001
Kordiimonadales	362534	O	93	2	95	0.00001
Burkholderiales	80840	O	921272	283274	1204546	0.09275
Rhodocyclales	206389	O	72387	21691	94078	0.00724
Nitrosomonadales	32003	O	60362	7179	67541	0.00520
Neisseriales	206351	O	39904	10447	50351	0.00388
Xanthomonadales	135614	O	302993	77121	380114	0.02927
Pseudomonadales	72274	O	257498	90426	347924	0.02679
Enterobacterales	91347	O	75693	141790	217483	0.01675
Chromatiales	135613	O	63942	5130	69072	0.00532
Oceanospirillales	135619	O	49420	6864	56284	0.00433
Methylococcales	135618	O	19960	948	20908	0.00161
Aeromonadales	135624	O	18085	12100	30185	0.00232
Nevskiales	1775403	O	18062	3261	21323	0.00164
Acidiferrobacterales	1692040	O	13260	704	13964	0.00108
Cellvibrionales	1706369	O	10970	589	11559	0.00089
Alteromonadales	135622	O	10103	1374	11477	0.00088
Vibrionales	135623	O	6063	4098	10161	0.00078
Immundisolibacterales	1934945	O	3460	679	4139	0.00032
Moraxellales	2887326	O	3241	6161	9402	0.00072
Legionellales	118969	O	2650	114	2764	0.00021
Pasteurellales	135625	O	2455	3724	6179	0.00048
Thiotrichales	72273	O	2329	146	2475	0.00019
Salinisphaerales	742030	O	1916	1897	3813	0.00029
Cardiobacteriales	135615	O	1112	156	1268	0.00010
Kangiellales	2887327	O	213	14	227	0.00002
Orbales	1240482	O	84	19	103	0.00001
Myxococcales	29	O	451699	47396	499095	0.03843
Desulfuromonadales	69541	O	46289	4361	50650	0.00390
Desulfovibrionales	213115	O	30681	2729	33410	0.00257
Desulfobacterales	213118	O	11521	1185	12706	0.00098
Bradymonadales	1779134	O	7961	256	8217	0.00063
Syntrophobacterales	213462	O	2728	718	3446	0.00027
Desulfarculales	453227	O	2276	1444	3720	0.00029
Syntrophales	2914038	O	1372	440	1812	0.00014
Desulfurellales	213113	O	56	3	59	0.00000
Campylobacterales	213849	O	3883	377	4260	0.00033
Nautiliales	235899	O	359	34	393	0.00003
Acidithiobacillales	225057	O	2352	237	2589	0.00020
Bdellovibrionales	213481	O	848	16	864	0.00007
Bacteriovoracales	2024979	O	145	1	146	0.00001
Silvanigrellales	2024973	O	65	2	67	0.00001
Hydrogenophilales	119069	O	701	155	856	0.00007
Mariprofundales	580371	O	476	16	492	0.00004
Streptomycetales	85011	O	1419043	360563	1779606	0.13703
Micrococcales	85006	O	659056	108099	767155	0.05907
Corynebacteriales	85007	O	513876	81322	595198	0.04583
Micromonosporales	85008	O	489134	81206	570340	0.04392
Pseudonocardiales	85010	O	375945	67368	443313	0.03414
Propionibacteriales	85009	O	326150	69319	395469	0.03045
Streptosporangiales	85012	O	203559	38153	241712	0.01861
Geodermatophilales	1643682	O	45906	14057	59963	0.00462
Actinomycetales	2037	O	30179	5128	35307	0.00272
Frankiales	85013	O	29576	3404	32980	0.00254
Jiangellales	1217098	O	22660	4732	27392	0.00211
Bifidobacteriales	85004	O	12096	4358	16454	0.00127
Nakamurellales	1643684	O	9903	1554	11457	0.00088
Catenulisporales	414714	O	5951	1051	7002	0.00054
Glycomycetales	85014	O	4980	481	5461	0.00042
Jatrophihabitantales	2805415	O	4598	488	5086	0.00039
Kineosporiales	622452	O	3418	1146	4564	0.00035
Actinopolysporales	622450	O	2253	279	2532	0.00019
Sporichthyales	2495578	O	2122	1238	3360	0.00026
Acidothermales	1643683	O	1680	103	1783	0.00014
Candidatus Nanopelagicales	2039638	O	422	8	430	0.00003
Acidimicrobiales	84993	O	74200	9695	83895	0.00646
Rubrobacterales	84996	O	69901	5230	75131	0.00579
Solirubrobacterales	588673	O	42943	7179	50122	0.00386
Miltoncostaeales	2843198	O	18044	2750	20794	0.00160
Eggerthellales	1643822	O	9826	1894	11720	0.00090
Coriobacteriales	84999	O	7567	1759	9326	0.00072
Euzebyales	908621	O	5173	540	5713	0.00044
Egicoccales	1755823	O	5159	977	6136	0.00047
Egibacterales	1747768	O	4998	368	5366	0.00041
Bacillales	1385	O	115918	69049	184967	0.01424
Lactobacillales	186826	O	5586	3653	9239	0.00071
Eubacteriales	186802	O	33237	7422	40659	0.00313
Thermoanaerobacterales	68295	O	4336	812	5148	0.00040
Halanaerobiales	53433	O	415	26	441	0.00003
Thermosediminibacterales	2770089	O	343	20	363	0.00003
