name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	519333	59211	578544	0.04490
Rhodopseudomonas	1073	G	26753	7462	34215	0.00266
Tardiphaga	1395974	G	9325	1076	10401	0.00081
Nitrobacter	911	G	9099	1061	10160	0.00079
Afipia	1033	G	6980	2066	9046	0.00070
Variibacter	1649510	G	5701	415	6116	0.00047
Rhizobium	379	G	105702	40722	146424	0.01136
Agrobacterium	357	G	19584	6302	25886	0.00201
Neorhizobium	1525371	G	12338	2669	15007	0.00116
Pseudorhizobium	1903858	G	3522	648	4170	0.00032
Sinorhizobium	28105	G	38382	20303	58685	0.00455
Ensifer	106591	G	24494	4352	28846	0.00224
Shinella	323620	G	18490	12015	30505	0.00237
Ciceribacter	1648508	G	2411	441	2852	0.00022
Georhizobium	2661800	G	2176	445	2621	0.00020
Peteryoungia	2853332	G	857	139	996	0.00008
Liberibacter	34019	G	97	96	193	0.00001
Mesorhizobium	68287	G	172150	30661	202811	0.01574
Aquibium	2911176	G	11719	2799	14518	0.00113
Aminobacter	31988	G	8686	5578	14264	0.00111
Nitratireductor	245876	G	7503	1116	8619	0.00067
Phyllobacterium	28100	G	4221	415	4636	0.00036
Roseitalea	1915401	G	3171	525	3696	0.00029
Hoeflea	274591	G	2439	222	2661	0.00021
Oricola	1594166	G	2282	305	2587	0.00020
Salaquimonas	2712688	G	960	41	1001	0.00008
Lentilitoribacter	1649463	G	82	1	83	0.00001
Methylobacterium	407	G	90360	16574	106934	0.00830
Microvirga	186650	G	41640	4772	46412	0.00360
Methylorubrum	2282523	G	19060	7984	27044	0.00210
Pseudolabrys	556257	G	25842	3774	29616	0.00230
Starkeya	152053	G	16842	4534	21376	0.00166
Xanthobacter	279	G	12053	2627	14680	0.00114
Ancylobacter	99	G	11546	3787	15333	0.00119
Labrys	204476	G	6707	676	7383	0.00057
Azorhizobium	6	G	3851	794	4645	0.00036
Rhodoplanes	29407	G	33350	3142	36492	0.00283
Hyphomicrobium	81	G	17645	1046	18691	0.00145
Methyloceanibacter	1484898	G	5503	377	5880	0.00046
Methyloligella	1485594	G	3582	434	4016	0.00031
Aquabacter	45402	G	3311	528	3839	0.00030
Rhodomicrobium	1068	G	2622	179	2801	0.00022
Caenibius	2827482	G	1999	923	2922	0.00023
Filomicrobium	119044	G	1138	33	1171	0.00009
Devosia	46913	G	33791	2755	36546	0.00284
Youhaiella	1827478	G	3291	762	4053	0.00031
Paradevosia	1573407	G	3249	1264	4513	0.00035
Pelagibacterium	1082930	G	1496	170	1666	0.00013
Maritalea	623276	G	299	10	309	0.00002
Bosea	85413	G	39568	5921	45489	0.00353
Aureimonas	414371	G	17418	3518	20936	0.00162
Martelella	293088	G	8664	1681	10345	0.00080
Aurantimonas	182269	G	5044	1495	6539	0.00051
Nordella	169055	G	11152	600	11752	0.00091
Pseudorhodoplanes	1734920	G	9096	642	9738	0.00076
Terrihabitans	2874214	G	2588	283	2871	0.00022
Candidatus Hodgkinia	573657	G	50	0	50	0.00000
Methylocystis	133	G	13297	1154	14451	0.00112
Methylosinus	425	G	6245	920	7165	0.00056
Stappia	152161	G	7411	1377	8788	0.00068
Roseibium	150830	G	3398	442	3840	0.00030
Pannonibacter	227873	G	3355	2307	5662	0.00044
Labrenzia	478070	G	2713	242	2955	0.00023
Pseudovibrio	258255	G	621	32	653	0.00005
Phreatobacter	1632780	G	17490	2924	20414	0.00158
Kaustia	2838250	G	6703	645	7348	0.00057
Parvibaculum	256616	G	2994	2180	5174	0.00040
Pyruvatibacter	1742974	G	1937	254	2191	0.00017
Candidatus Phaeomarinobacter	1541445	G	735	40	775	0.00006
Chelatococcus	28209	G	10791	2366	13157	0.00102
Blastochloris	59282	G	9694	2257	11951	0.00093
Methylocella	120652	G	4625	418	5043	0.00039
Methylovirgula	1156568	G	3642	297	3939	0.00031
