name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	26317	5093	31410	0.00244
Bradyrhizobium sp. 170	2782641	S	20556	4569	25125	0.00195
Bradyrhizobium sp. CCBAU 051011	858422	S	17437	3020	20457	0.00159
Bradyrhizobium sp. 191	2782659	S	12640	10448	23088	0.00179
Bradyrhizobium sp. CCBAU 51765	1325102	S	11613	8969	20582	0.00160
Bradyrhizobium sp. CCBAU 51753	1325100	S	9781	1957	11738	0.00091
Bradyrhizobium sp. CCGE-LA001	1223566	S	9102	3087	12189	0.00095
Bradyrhizobium sp. I71	2590772	S	7823	5754	13577	0.00105
Bradyrhizobium sp. 1(2017)	1404888	S	7193	2036	9229	0.00072
Bradyrhizobium sp. A19	2898149	S	6757	1096	7853	0.00061
Bradyrhizobium sp. BTAi1	288000	S	6556	1113	7669	0.00060
Bradyrhizobium sp. ORS 285	115808	S	6525	1345	7870	0.00061
Bradyrhizobium sp. ORS 278	114615	S	6364	1339	7703	0.00060
Bradyrhizobium sp. SK17	2057741	S	6101	1891	7992	0.00062
Bradyrhizobium sp. CCBAU 53351	1325114	S	6043	2783	8826	0.00069
Bradyrhizobium sp. 186	2782654	S	5866	1383	7249	0.00056
Bradyrhizobium sp. 195	2782662	S	5706	1815	7521	0.00058
Bradyrhizobium sp. CCBAU 53421	1325120	S	4885	1383	6268	0.00049
Bradyrhizobium sp. CCBAU 53340	1325112	S	4790	1702	6492	0.00050
Bradyrhizobium sp. CCBAU 53338	1325111	S	4602	1723	6325	0.00049
Bradyrhizobium sp. 6(2017)	1197460	S	3562	1591	5153	0.00040
Bradyrhizobium sp. S2-11-2	2840472	S	3417	2172	5589	0.00043
Bradyrhizobium sp. S2-20-1	2840469	S	2857	1920	4777	0.00037
Bradyrhizobium sp. 41S5	1404443	S	2843	1747	4590	0.00036
Bradyrhizobium sp. S2-11-4	2840473	S	2767	2043	4810	0.00037
Bradyrhizobium sp. C-145	574727	S	2179	1976	4155	0.00032
Bradyrhizobium sp.	376	S	1470	4400	5870	0.00046
Bradyrhizobium sp. 40	2782674	S	1205	2248	3453	0.00027
Bradyrhizobium sp. 144S4	2823807	S	1112	2441	3553	0.00028
Bradyrhizobium sp. 4	2782678	S	1061	2212	3273	0.00025
Bradyrhizobium sp. 323S2	1404649	S	991	2227	3218	0.00025
Bradyrhizobium sp. 192	2782660	S	948	2058	3006	0.00023
Bradyrhizobium sp. LCT2	2493093	S	665	1703	2368	0.00018
Bradyrhizobium sp. SG09	2599805	S	453	2884	3337	0.00026
Bradyrhizobium sp. TM102	2599819	S	448	2717	3165	0.00025
Bradyrhizobium sp. 187	2782655	S	405	1701	2106	0.00016
Bradyrhizobium sp. 172	2782643	S	193	1963	2156	0.00017
Bradyrhizobium sp. 38S5	2819348	S	192	1957	2149	0.00017
Bradyrhizobium sp. CW1	2782686	S	159	2052	2211	0.00017
Bradyrhizobium sp. 1S5	2816456	S	153	1433	1586	0.00012
Bradyrhizobium sp. 131	2782609	S	126	1719	1845	0.00014
Bradyrhizobium sp. 155	2782629	S	87	1310	1397	0.00011
Bradyrhizobium sp. CCBAU 21365	1325083	S	18	803	821	0.00006
Bradyrhizobium erythrophlei	1437360	S	20633	1599	22232	0.00173
Bradyrhizobium diazoefficiens	1355477	S	18816	25898	44714	0.00347
Bradyrhizobium icense	1274631	S	15992	2134	18126	0.00141
Bradyrhizobium paxllaeri	190148	S	14894	2586	17480	0.00136
Bradyrhizobium lablabi	722472	S	6803	7102	13905	0.00108
Bradyrhizobium japonicum	375	S	6782	9049	15831	0.00123
Bradyrhizobium genosp. L	83637	S	6425	1226	7651	0.00059
Bradyrhizobium vignae	1549949	S	6370	1412	7782	0.00060
Bradyrhizobium canariense	255045	S	6194	8965	15159	0.00118
Bradyrhizobium oligotrophicum	44255	S	5802	971	6773	0.00053
Bradyrhizobium arachidis	858423	S	5708	1527	7235	0.00056
Bradyrhizobium daqingense	993502	S	5660	2844	8504	0.00066
Bradyrhizobium guangxiense	1325115	S	5407	2186	7593	0.00059
Bradyrhizobium cosmicum	1404864	S	4516	1374	5890	0.00046
Bradyrhizobium genosp. B	83627	S	4377	880	5257	0.00041
Bradyrhizobium guangdongense	1325090	S	4375	1515	5890	0.00046
Bradyrhizobium guangzhouense	1325095	S	4063	1437	5500	0.00043
Bradyrhizobium quebecense	2748629	S	3828	2005	5833	0.00045
Bradyrhizobium septentrionale	1404411	S	3235	1823	5058	0.00039
Bradyrhizobium amphicarpaeae	1404768	S	3163	1225	4388	0.00034
Bradyrhizobium symbiodeficiens	1404367	S	2857	3951	6808	0.00053
Bradyrhizobium betae	244734	S	2598	1347	3945	0.00031
Bradyrhizobium zhanjiangense	1325107	S	1703	1569	3272	0.00025
Bradyrhizobium elkanii	29448	S	1044	3284	4328	0.00034
Bradyrhizobium ottawaense	931866	S	903	5107	6010	0.00047
Rhodopseudomonas palustris	1076	S	20767	7224	27991	0.00217
Rhodopseudomonas sp. SK50-23	340268	S	2825	557	3382	0.00026
Rhodopseudomonas boonkerdii	475937	S	2721	671	3392	0.00026
Tardiphaga sp. 37S4	1404741	S	1558	1141	2699	0.00021
Tardiphaga sp. vice154	2592814	S	120	1682	1802	0.00014
Tardiphaga sp. vice278	2592815	S	73	1609	1682	0.00013
Tardiphaga sp. vice304	2592817	S	51	876	927	0.00007
Tardiphaga sp. vice352	2592816	S	23	631	654	0.00005
Tardiphaga robiniae	943830	S	1646	1076	2722	0.00021
Nitrobacter hamburgensis	912	S	6417	981	7398	0.00057
Nitrobacter winogradskyi	913	S	2453	390	2843	0.00022
Afipia carboxidovorans	40137	S	4114	547	4661	0.00036
Afipia sp. GAS231	1882747	S	2860	1729	4589	0.00036
Variibacter gotjawalensis	1333996	S	5701	441	6142	0.00048
Rhizobium sp. WYJ-E13	2849093	S	8071	1005	9076	0.00070
Rhizobium sp. BG4	2613770	S	4791	897	5688	0.00044
Rhizobium sp. AB2/73	2795216	S	2074	1052	3126	0.00024
Rhizobium sp. NXC24	2048897	S	2026	286	2312	0.00018
Rhizobium sp. 11515TR	2028343	S	1844	424	2268	0.00018
Rhizobium sp. ACO-34A	1571470	S	1736	362	2098	0.00016
Rhizobium sp. SL42	2806346	S	1696	301	1997	0.00016
Rhizobium sp. WL3	2603277	S	1593	297	1890	0.00015
Rhizobium sp. NZLR1	2731096	S	1300	430	1730	0.00013
Rhizobium sp. CIAT894	2020312	S	1256	529	1785	0.00014
Rhizobium sp. NXC14	1981173	S	1086	431	1517	0.00012
Rhizobium sp. NLR16a	2731112	S	1070	458	1528	0.00012
Rhizobium sp. C104	2917727	S	976	511	1487	0.00012
Rhizobium sp. K102	2918527	S	910	595	1505	0.00012
Rhizobium sp. L51/94	2819999	S	654	810	1464	0.00011
Rhizobium sp. 007	2785056	S	465	789	1254	0.00010
Rhizobium sp. X9	2815360	S	463	932	1395	0.00011
Rhizobium sp. Y9	1914541	S	380	1395	1775	0.00014
Rhizobium sp. IE4771	1301032	S	313	614	927	0.00007
Rhizobium sp. Kim5	2020311	S	298	636	934	0.00007
Rhizobium sp. TAL182	2020313	S	220	610	830	0.00006
Rhizobium sp. ZX09	2291939	S	168	710	878	0.00007
Rhizobium sp. NIBRBAC000502774	2590777	S	165	671	836	0.00006
Rhizobium sp. B230/85	2819994	S	72	756	828	0.00006
Rhizobium sp. CCGE531	2364271	S	56	1936	1992	0.00015
Rhizobium sp. N324	1703969	S	45	914	959	0.00007
Rhizobium sp. T136	555319	S	36	971	1007	0.00008
Rhizobium sp. B21/90	2819993	S	22	753	775	0.00006
Rhizobium sp. CCGE532	2364272	S	15	1098	1113	0.00009
Rhizobium leguminosarum	384	S	11112	14125	25237	0.00196
Rhizobium etli	29449	S	3259	3658	6917	0.00054
Rhizobium pseudoryzae	379684	S	2281	473	2754	0.00021
Rhizobium jaguaris	1312183	S	2244	276	2520	0.00020
Rhizobium gallicum	56730	S	2000	2516	4516	0.00035
Rhizobium phaseoli	396	S	1790	3640	5430	0.00042
Rhizobium bangladeshense	1138189	S	1783	420	2203	0.00017
Rhizobium lentis	1138194	S	1451	441	1892	0.00015
Rhizobium tropici	398	S	1394	359	1753	0.00014
Rhizobium binae	1138190	S	1308	475	1783	0.00014
Rhizobium pusense	648995	S	1271	4805	6076	0.00047
Rhizobium rosettiformans	1368430	S	1212	535	1747	0.00014
Rhizobium daejeonense	240521	S	1180	380	1560	0.00012
Rhizobium rhizoryzae	451876	S	1082	149	1231	0.00010
Rhizobium indicum	2583231	S	812	697	1509	0.00012
Rhizobium acidisoli	1538158	S	607	487	1094	0.00008
Rhizobium oryzihabitans	2267833	S	365	476	841	0.00007
Rhizobium hidalgonense	1538159	S	260	583	843	0.00007
Rhizobium laguerreae	1076926	S	243	407	650	0.00005
Rhizobium ruizarguesonis	2081791	S	200	1436	1636	0.00013
Rhizobium favelukesii	348824	S	30	980	1010	0.00008
Agrobacterium tumefaciens	358	S	5843	5253	11096	0.00086
Agrobacterium fabrum	1176649	S	538	686	1224	0.00010
Agrobacterium fabacearum	1183401	S	119	1484	1603	0.00012
Agrobacterium vitis	373	S	2850	350	3200	0.00025
Agrobacterium sp. T29	2580515	S	414	312	726	0.00006
Agrobacterium sp. RAC06	1842536	S	304	593	897	0.00007
Agrobacterium sp. MA01	2664893	S	292	558	850	0.00007
Agrobacterium sp. CGMCC 11546	2579248	S	161	324	485	0.00004
Agrobacterium sp. S7/73	2820002	S	81	405	486	0.00004
Agrobacterium vaccinii	2735528	S	1171	161	1332	0.00010
Agrobacterium larrymoorei	160699	S	861	150	1011	0.00008
Agrobacterium rubi	28099	S	735	214	949	0.00007
Agrobacterium salinitolerans	1183413	S	589	211	800	0.00006
Agrobacterium rhizogenes	359	S	529	1247	1776	0.00014
Neorhizobium galegae	399	S	7227	1988	9215	0.00072
Neorhizobium sp. SOG26	2060726	S	2713	558	3271	0.00025
Neorhizobium sp. NCHU2750	1825976	S	2209	511	2720	0.00021
Pseudorhizobium flavum	1335061	S	1357	814	2171	0.00017
Pseudorhizobium banfieldiae	1125847	S	1323	723	2046	0.00016
Sinorhizobium meliloti	382	S	16247	12733	28980	0.00225
Sinorhizobium fredii	380	S	8814	10981	19795	0.00154
Sinorhizobium americanum	194963	S	3257	1175	4432	0.00034
Sinorhizobium sp. BG8	2613773	S	2529	422	2951	0.00023
Sinorhizobium sp. CCBAU 05631	794846	S	397	540	937	0.00007
Sinorhizobium medicae	110321	S	2822	407	3229	0.00025
Ensifer adhaerens	106592	S	8563	4429	12992	0.00101
Ensifer mexicanus	375549	S	3787	572	4359	0.00034
Ensifer sp. PDNC004	2811423	S	2362	972	3334	0.00026
Ensifer sp. T173	555315	S	371	1509	1880	0.00015
Ensifer alkalisoli	1752398	S	2659	511	3170	0.00025
Ensifer sojae	716925	S	2542	902	3444	0.00027
Shinella sp. HZN7	879274	S	3833	3292	7125	0.00055
Shinella sp. PSBB067	2715959	S	3009	2254	5263	0.00041
Shinella sp. XGS7	2877941	S	2429	2396	4825	0.00037
Shinella sp. H4-D48	2925841	S	1415	550	1965	0.00015
Shinella oryzae	2871820	S	3303	1427	4730	0.00037
Shinella zoogloeoides	352475	S	3036	4297	7333	0.00057
Ciceribacter thiooxidans	1969821	S	2411	480	2891	0.00022
Georhizobium profundi	2341112	S	2176	476	2652	0.00021
Peteryoungia desertarenae	1813451	S	857	153	1010	0.00008
Liberibacter crescens	1273132	S	28	79	107	0.00001
Candidatus Liberibacter asiaticus	34021	S	16	23	39	0.00000
Candidatus Liberibacter solanacearum	556287	S	16	2	18	0.00000
Candidatus Liberibacter americanus	309868	S	14	2	16	0.00000
Mesorhizobium sp. 8	2584466	S	7904	1894	9798	0.00076
Mesorhizobium sp. J8	2777475	S	7085	2290	9375	0.00073
Mesorhizobium sp. B2-8-5	2589903	S	5046	1674	6720	0.00052
Mesorhizobium sp. DCY119	2108445	S	4699	1097	5796	0.00045
Mesorhizobium sp. Pch-S	2082387	S	4069	560	4629	0.00036
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	3683	1417	5100	0.00040
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	3561	1782	5343	0.00041
Mesorhizobium sp. B2-1-1	2589974	S	3464	793	4257	0.00033
Mesorhizobium sp. B1-1-8	2589976	S	3463	873	4336	0.00034
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	3446	2072	5518	0.00043
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	3410	1043	4453	0.00035
Mesorhizobium sp. 131-2-1	2744518	S	3133	1667	4800	0.00037
