name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	5944015	308591	6252606	0.45160
Rubrobacteria	84995	C	147851	10873	158724	0.01146
Thermoleophilia	1497346	C	138217	20076	158293	0.01143
Acidimicrobiia	84992	C	105963	13468	119431	0.00863
Nitriliruptoria	908620	C	20308	2039	22347	0.00161
Coriobacteriia	84998	C	18498	3278	21776	0.00157
Bacilli	91061	C	146276	142855	289131	0.02088
Clostridia	186801	C	36930	6515	43445	0.00314
Negativicutes	909932	C	4691	494	5185	0.00037
Limnochordia	1676648	C	3255	143	3398	0.00025
Tissierellia	1737404	C	611	391	1002	0.00007
Erysipelotrichia	526524	C	574	453	1027	0.00007
Deinococci	188787	C	41371	2251	43622	0.00315
Thermomicrobia	189775	C	11519	545	12064	0.00087
Chloroflexia	32061	C	6745	283	7028	0.00051
Tepidiformia	2682225	C	5444	256	5700	0.00041
Ardenticatenia	1382928	C	4916	110	5026	0.00036
Anaerolineae	292625	C	3017	75	3092	0.00022
Caldilineae	475962	C	2340	183	2523	0.00018
Dehalococcoidia	301297	C	1442	31	1473	0.00011
Candidatus Thermofonsia	2364196	C	1055	13	1068	0.00008
Ktedonobacteria	388447	C	1043	26374	27417	0.00198
Gloeobacteria	307596	C	4109	8351	12460	0.00090
Fimbriimonadia	1663419	C	2079	12	2091	0.00015
Chthonomonadetes	1077257	C	573	5	578	0.00004
Mollicutes	31969	C	592	103	695	0.00005
Alphaproteobacteria	28211	C	2684544	258474	2943018	0.21256
Betaproteobacteria	28216	C	1085357	226264	1311621	0.09473
Gammaproteobacteria	1236	C	886774	232313	1119087	0.08083
Deltaproteobacteria	28221	C	510207	33247	543454	0.03925
Epsilonproteobacteria	29547	C	3514	169	3683	0.00027
Acidithiobacillia	1807140	C	1891	180	2071	0.00015
Oligoflexia	1553900	C	869	12	881	0.00006
Hydrogenophilalia	2008785	C	612	126	738	0.00005
Zetaproteobacteria	580370	C	346	10	356	0.00003
Planctomycetia	203683	C	328612	5404	334016	0.02412
Phycisphaerae	666505	C	13355	518	13873	0.00100
Candidatus Brocadiia	2517206	C	127	0	127	0.00001
Candidatus Uabimicrobiia	2897345	C	63	1	64	0.00000
Opitutae	414999	C	21861	929	22790	0.00165
Verrucomicrobiae	203494	C	13285	1739	15024	0.00109
Methylacidiphilae	1955630	C	101	4	105	0.00001
Spartobacteria	134549	C	81	5	86	0.00001
Kiritimatiellae	1921781	C	902	1065	1967	0.00014
Tichowtungiia	2907184	C	298	12	310	0.00002
Chlamydiia	204429	C	460	294	754	0.00005
Cytophagia	768503	C	33204	794	33998	0.00246
Chitinophagia	1853228	C	12819	12709	25528	0.00184
Bacteroidia	200643	C	10073	2278	12351	0.00089
Flavobacteriia	117743	C	9710	902	10612	0.00077
Sphingobacteriia	117747	C	4247	517	4764	0.00034
Saprospiria	1937959	C	307	73	380	0.00003
Chlorobia	191410	C	3615	406	4021	0.00029
Ignavibacteria	795747	C	204	4	208	0.00002
Gemmatimonadetes	219685	C	65516	4084	69600	0.00503
Fibrobacteria	204430	C	153	74	227	0.00002
Vicinamibacteria	1813735	C	61684	3574	65258	0.00471
Acidobacteriia	204432	C	26816	435	27251	0.00197
Blastocatellia	1562566	C	2956	99	3055	0.00022
Holophagae	533205	C	2062	40	2102	0.00015
Nitrospira	203693	C	13434	203	13637	0.00098
Thermodesulfovibrionia	2811502	C	184	4	188	0.00001
Spirochaetia	203692	C	3403	173	3576	0.00026
Synergistia	649775	C	3238	1018	4256	0.00031
Candidatus Saccharimonia	2093818	C	190	240	430	0.00003
Candidatus Babeliae	2497643	C	65	103	168	0.00001
Thermotogae	188708	C	1009	48	1057	0.00008
Aquificae	187857	C	794	9	803	0.00006
Thermodesulfobacteria	67799	C	542	10	552	0.00004
Calditrichia	1962850	C	319	3	322	0.00002
Deferribacteres	68337	C	280	8	288	0.00002
Chrysiogenetes	118001	C	263	122	385	0.00003
Fusobacteriia	203490	C	245	35	280	0.00002
Endomicrobia	447830	C	88	0	88	0.00001
Elusimicrobia	641853	C	87	0	87	0.00001
Coprothermobacteria	2138243	C	129	27	156	0.00001
Caldisericia	693071	C	112	0	112	0.00001
Dictyoglomia	203486	C	100	0	100	0.00001
Atribacteria	2847774	C	77	2	79	0.00001
Sordariomycetes	147550	C	26138	444	26582	0.00192
Leotiomycetes	147548	C	155	1	156	0.00001
Eurotiomycetes	147545	C	7823	324	8147	0.00059
Dothideomycetes	147541	C	1062	152	1214	0.00009
Saccharomycetes	4891	C	1029	113	1142	0.00008
Schizosaccharomycetes	147554	C	65	1	66	0.00000
Ustilaginomycetes	5257	C	1952	50	2002	0.00014
Malasseziomycetes	1538075	C	125	24	149	0.00001
Agaricomycetes	155619	C	499	10	509	0.00004
Tremellomycetes	155616	C	108	4088	4196	0.00030
