name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1304362	323570	1627932	0.11758
Microbacteriaceae	85023	F	423012	77154	500166	0.03613
Micrococcaceae	1268	F	167017	41838	208855	0.01508
Cellulomonadaceae	85016	F	70296	26643	96939	0.00700
Intrasporangiaceae	85021	F	42072	13212	55284	0.00399
Promicromonosporaceae	85017	F	40588	18285	58873	0.00425
Ornithinimicrobiaceae	2805590	F	30326	7301	37627	0.00272
Brevibacteriaceae	85019	F	20189	4856	25045	0.00181
Dermabacteraceae	85020	F	20026	4463	24489	0.00177
Bogoriellaceae	145358	F	17910	6250	24160	0.00175
Ruaniaceae	1331736	F	13406	1912	15318	0.00111
Dermacoccaceae	145357	F	11874	3181	15055	0.00109
Beutenbergiaceae	125316	F	8350	14178	22528	0.00163
Sanguibacteraceae	145360	F	5457	1957	7414	0.00054
Dermatophilaceae	85018	F	2774	311	3085	0.00022
Kytococcaceae	2805426	F	2574	1109	3683	0.00027
Demequinaceae	1042322	F	977	92	1069	0.00008
Jonesiaceae	85022	F	192	40	232	0.00002
Tropherymataceae	2805591	F	63	0	63	0.00000
Micromonosporaceae	28056	F	801560	136883	938443	0.06778
Mycobacteriaceae	1762	F	311992	48541	360533	0.02604
Nocardiaceae	85025	F	185234	43394	228628	0.01651
Corynebacteriaceae	1653	F	53100	14630	67730	0.00489
Gordoniaceae	85026	F	41781	10548	52329	0.00378
Tsukamurellaceae	85028	F	12412	3727	16139	0.00117
Dietziaceae	85029	F	8321	7972	16293	0.00118
Segniliparaceae	316606	F	1154	76	1230	0.00009
Lawsonellaceae	2805586	F	222	29	251	0.00002
Pseudonocardiaceae	2070	F	533609	100410	634019	0.04579
Nocardioidaceae	85015	F	355700	86180	441880	0.03192
Propionibacteriaceae	31957	F	72916	16015	88931	0.00642
Kribbellaceae	2726069	F	38262	7396	45658	0.00330
Actinopolymorphaceae	2805400	F	8365	1190	9555	0.00069
Streptosporangiaceae	2004	F	120135	23648	143783	0.01038
Thermomonosporaceae	2012	F	100176	23634	123810	0.00894
Nocardiopsaceae	83676	F	49664	10630	60294	0.00435
Geodermatophilaceae	85030	F	68694	21088	89782	0.00648
Jiangellaceae	1217100	F	40676	8490	49166	0.00355
Frankiaceae	74712	F	38250	4399	42649	0.00308
Actinomycetaceae	2049	F	35853	5954	41807	0.00302
Nakamurellaceae	85031	F	13814	2206	16020	0.00116
Bifidobacteriaceae	31953	F	13118	3924	17042	0.00123
Catenulisporaceae	414877	F	7537	1331	8868	0.00064
Glycomycetaceae	85034	F	6286	607	6893	0.00050
Jatrophihabitantaceae	2805416	F	6105	643	6748	0.00049
Kineosporiaceae	83778	F	4517	1511	6028	0.00044
Actinopolysporaceae	622451	F	2935	362	3297	0.00024
Sporichthyaceae	85033	F	2613	1548	4161	0.00030
Acidothermaceae	85032	F	2190	129	2319	0.00017
Candidatus Nanopelagicaceae	2162846	F	474	10	484	0.00003
Rubrobacteraceae	84997	F	121674	5970	127644	0.00922
Baekduiaceae	2600303	F	26022	5057	31079	0.00224
Conexibacteraceae	320583	F	100605	16247	116852	0.00844
Miltoncostaeaceae	2843199	F	36089	5352	41441	0.00299
Iamiaceae	633392	F	95784	13645	109429	0.00790
Ilumatobacteraceae	2448023	F	6702	461	7163	0.00052
Acidimicrobiaceae	84994	F	2614	225	2839	0.00021
Egicoccaceae	1755824	F	6691	1240	7931	0.00057
Euzebyaceae	908622	F	6682	687	7369	0.00053
Egibacteraceae	1747769	F	6571	475	7046	0.00051
Eggerthellaceae	1643826	F	9854	1873	11727	0.00085
Atopobiaceae	1643824	F	5663	1391	7054	0.00051
Coriobacteriaceae	84107	F	2356	639	2995	0.00022
Bacillaceae	186817	F	85385	133183	218568	0.01579
Paenibacillaceae	186822	F	40649	3754	44403	0.00321
Alicyclobacillaceae	186823	F	5015	823	5838	0.00042
Thermoactinomycetaceae	186824	F	2007	251	2258	0.00016
Planococcaceae	186818	F	1980	640	2620	0.00019
Staphylococcaceae	90964	F	1096	3819	4915	0.00036
Listeriaceae	186820	F	309	1597	1906	0.00014
Sporolactobacillaceae	186821	F	78	12	90	0.00001
Lactobacillaceae	33958	F	2838	1108	3946	0.00029
Streptococcaceae	1300	F	1050	1472	2522	0.00018
Enterococcaceae	81852	F	501	1041	1542	0.00011
Carnobacteriaceae	186828	F	203	98	301	0.00002
Aerococcaceae	186827	F	168	48	216	0.00002
