name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	1304362	323570	1627932	0.11758
Micrococcales	85006	O	940500	159389	1099889	0.07944
Micromonosporales	85008	O	801560	136883	938443	0.06778
Corynebacteriales	85007	O	651357	91780	743137	0.05367
Pseudonocardiales	85010	O	533609	100410	634019	0.04579
Propionibacteriales	85009	O	483780	102245	586025	0.04233
Streptosporangiales	85012	O	275423	52465	327888	0.02368
Geodermatophilales	1643682	O	68694	21088	89782	0.00648
Jiangellales	1217098	O	40676	8490	49166	0.00355
Frankiales	85013	O	38250	4399	42649	0.00308
Actinomycetales	2037	O	35853	5954	41807	0.00302
Nakamurellales	1643684	O	13814	2206	16020	0.00116
Bifidobacteriales	85004	O	13118	3924	17042	0.00123
Catenulisporales	414714	O	7537	1331	8868	0.00064
Glycomycetales	85014	O	6286	607	6893	0.00050
Jatrophihabitantales	2805415	O	6105	643	6748	0.00049
Kineosporiales	622452	O	4517	1511	6028	0.00044
Actinopolysporales	622450	O	2935	362	3297	0.00024
Sporichthyales	2495578	O	2613	1548	4161	0.00030
Acidothermales	1643683	O	2190	129	2319	0.00017
Candidatus Nanopelagicales	2039638	O	474	10	484	0.00003
Rubrobacterales	84996	O	147851	10873	158724	0.01146
Solirubrobacterales	588673	O	100605	16247	116852	0.00844
Miltoncostaeales	2843198	O	36089	5352	41441	0.00299
Acidimicrobiales	84993	O	105963	13468	119431	0.00863
Egicoccales	1755823	O	6691	1240	7931	0.00057
Euzebyales	908621	O	6682	687	7369	0.00053
Egibacterales	1747768	O	6571	475	7046	0.00051
Eggerthellales	1643822	O	9854	1873	11727	0.00085
Coriobacteriales	84999	O	8235	1814	10049	0.00073
Bacillales	1385	O	140539	140062	280601	0.02027
Lactobacillales	186826	O	4950	3579	8529	0.00062
Eubacteriales	186802	O	31598	6384	37982	0.00274
Thermoanaerobacterales	68295	O	3882	651	4533	0.00033
Halanaerobiales	53433	O	384	20	404	0.00003
Thermosediminibacterales	2770089	O	257	14	271	0.00002
Natranaerobiales	485256	O	127	5	132	0.00001
Koleobacterales	2786987	O	110	10	120	0.00001
Selenomonadales	909929	O	3381	191	3572	0.00026
Veillonellales	1843489	O	837	261	1098	0.00008
Acidaminococcales	1843488	O	427	87	514	0.00004
Limnochordales	1676649	O	3255	143	3398	0.00025
Tissierellales	1737405	O	514	488	1002	0.00007
Erysipelotrichales	526525	O	574	453	1027	0.00007
Deinococcales	118964	O	25553	1781	27334	0.00197
Thermales	68933	O	13051	868	13919	0.00101
Trueperales	2762275	O	2236	132	2368	0.00017
Sphaerobacterales	85001	O	9400	673	10073	0.00073
Thermomicrobiales	189776	O	1942	49	1991	0.00014
Chloroflexales	32064	O	6745	283	7028	0.00051
Tepidiformales	2682226	O	5444	256	5700	0.00041
Ardenticatenales	1382929	O	4916	110	5026	0.00036
Anaerolineales	292629	O	3017	75	3092	0.00022
Caldilineales	475963	O	2340	1227	3567	0.00026
Dehalococcoidales	1202465	O	411	17	428	0.00003
Phototrophicales	2364208	O	1055	13	1068	0.00008
Ktedonobacterales	388448	O	1043	1156	2199	0.00016
Synechococcales	1890424	O	16706	1119	17825	0.00129
Nostocales	1161	O	6844	548	7392	0.00053
Gloeobacterales	307595	O	4109	89	4198	0.00030
Pseudanabaenales	2881377	O	3771	244	4015	0.00029
Oscillatoriales	1150	O	2135	181	2316	0.00017
Chroococcales	1118	O	807	146	953	0.00007
Chroococcidiopsidales	1890505	O	571	93	664	0.00005
Pleurocapsales	52604	O	171	17	188	0.00001
Gloeomargaritales	1955042	O	94	3	97	0.00001
Thermostichales	2881383	O	63	37	100	0.00001
Fimbriimonadales	1663425	O	2079	12	2091	0.00015
Chthonomonadales	1077263	O	573	5	578	0.00004
Mycoplasmatales	2085	O	329	40	369	0.00003
Acholeplasmatales	186329	O	117	11	128	0.00001
Entomoplasmatales	186328	O	111	21	132	0.00001
Mycoplasmoidales	2790996	O	36	29	65	0.00000
Hyphomicrobiales	356	O	1370572	87381	1457953	0.10530
Sphingomonadales	204457	O	592785	55492	648277	0.04682
Rhodospirillales	204441	O	285719	240635	526354	0.03802
Rhodobacterales	204455	O	164085	11803	175888	0.01270
Caulobacterales	204458	O	103509	10221	113730	0.00821
Hyphomonadales	2800060	O	6486	225	6711	0.00048
Maricaulales	2800059	O	5253	4667	9920	0.00072
Parvularculales	255473	O	1681	110	1791	0.00013
Rickettsiales	766	O	913	17	930	0.00007
Emcibacterales	2066490	O	772	85	857	0.00006
Holosporales	1921002	O	219	6	225	0.00002
Magnetococcales	1191478	O	177	4	181	0.00001
Pelagibacterales	54526	O	105	2	107	0.00001
Kordiimonadales	362534	O	86	1	87	0.00001
