name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	6447236	285944	6733180	0.48631
Firmicutes	1239	P	195967	147224	343191	0.02479
Deinococcus-Thermus	1297	P	41371	2251	43622	0.00315
Chloroflexi	200795	P	39397	780	40177	0.00290
Cyanobacteria	1117	P	36694	1059	37753	0.00273
Armatimonadetes	67819	P	2657	17	2674	0.00019
Tenericutes	544448	P	661	34	695	0.00005
Proteobacteria	1224	P	5530015	394897	5924912	0.42793
Planctomycetes	203682	P	343579	4503	348082	0.02514
Verrucomicrobia	74201	P	36900	1106	38006	0.00275
Kiritimatiellaeota	134625	P	1211	1066	2277	0.00016
Chlamydiae	204428	P	460	7	467	0.00003
Candidatus Omnitrophica	67812	P	285	1	286	0.00002
Bacteroidetes	976	P	85651	1985	87636	0.00633
Chlorobi	1090	P	3615	135	3750	0.00027
Balneolaeota	1936987	P	247	24	271	0.00002
Ignavibacteriae	1134404	P	204	4	208	0.00002
Gemmatimonadetes	142182	P	65516	4084	69600	0.00503
Fibrobacteres	65842	P	153	3	156	0.00001
Candidatus Cloacimonetes	456828	P	69	1	70	0.00001
Acidobacteria	57723	P	94387	3282	97669	0.00705
Nitrospirae	40117	P	13623	203	13826	0.00100
Spirochaetes	203691	P	3403	173	3576	0.00026
Synergistetes	508458	P	3238	280	3518	0.00025
Candidatus Bipolaricaulota	67810	P	707	31	738	0.00005
Candidatus Saccharibacteria	95818	P	402	149	551	0.00004
Candidatus Absconditabacteria	221235	P	47	0	47	0.00000
Thermotogae	200918	P	1009	48	1057	0.00008
Aquificae	200783	P	794	9	803	0.00006
Thermodesulfobacteria	200940	P	542	10	552	0.00004
Calditrichaeota	1930617	P	319	3	322	0.00002
Deferribacteres	200930	P	280	8	288	0.00002
Chrysiogenetes	200938	P	263	122	385	0.00003
Fusobacteria	32066	P	245	35	280	0.00002
Elusimicrobia	74152	P	175	1	176	0.00001
Coprothermobacterota	2138240	P	129	27	156	0.00001
Caldiserica	67814	P	112	0	112	0.00001
Dictyoglomi	68297	P	100	0	100	0.00001
Atribacterota	67818	P	77	2	79	0.00001
Ascomycota	4890	P	36800	508	37308	0.00269
Basidiomycota	5204	P	2697	92	2789	0.00020
Microsporidia	6029	P	11	0	11	0.00000
Oomycota	4762	P	3581	475	4056	0.00029
