name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	334884	33467	368351	0.02975
Phyllobacteriaceae	69277	F	209790	34628	244418	0.01974
Rhizobiaceae	82115	F	192203	63801	256004	0.02068
Methylobacteriaceae	119045	F	141427	20297	161724	0.01306
Xanthobacteraceae	335928	F	64448	11075	75523	0.00610
Hyphomicrobiaceae	45401	F	47264	4375	51639	0.00417
Devosiaceae	2831106	F	43087	3651	46738	0.00377
Boseaceae	2831100	F	30221	4667	34888	0.00282
Aurantimonadaceae	255475	F	27969	5658	33627	0.00272
Methylocystaceae	31993	F	17375	1484	18859	0.00152
Stappiaceae	2821832	F	16072	19995	36067	0.00291
Phreatobacteraceae	2843305	F	14038	2426	16464	0.00133
Parvibaculaceae	2813035	F	11811	2711	14522	0.00117
Chelatococcaceae	2036754	F	9744	2247	11991	0.00097
Beijerinckiaceae	45404	F	8418	622	9040	0.00073
Blastochloridaceae	2831090	F	8336	1991	10327	0.00083
Brucellaceae	118882	F	6048	3797	9845	0.00080
Amorphaceae	2685818	F	5367	589	5956	0.00048
Kaistiaceae	2831111	F	5023	1249	6272	0.00051
Pleomorphomonadaceae	2843308	F	3310	595	3905	0.00032
Breoghaniaceae	2831104	F	3188	425	3613	0.00029
Lichenihabitantaceae	2723775	F	2936	141	3077	0.00025
Cohaesibacteraceae	655351	F	591	24	615	0.00005
Bartonellaceae	772	F	524	43	567	0.00005
Sphingomonadaceae	41297	F	676971	80980	757951	0.06121
Erythrobacteraceae	335929	F	77451	14033	91484	0.00739
Sphingosinicellaceae	2820280	F	25843	2240	28083	0.00227
Zymomonadaceae	2844881	F	143	129	272	0.00002
Azospirillaceae	2829815	F	100203	10473	110676	0.00894
Acetobacteraceae	433	F	81369	9776	91145	0.00736
Rhodospirillaceae	41295	F	56118	204545	260663	0.02105
Stellaceae	2844601	F	9876	691	10567	0.00085
Elioraeaceae	2690195	F	4895	248	5143	0.00042
Thalassospiraceae	2844866	F	2842	186	3028	0.00024
Terasakiellaceae	2813951	F	139	3	142	0.00001
Rhodobacteraceae	31989	F	90626	12510	103136	0.00833
Roseobacteraceae	2854170	F	59509	7189	66698	0.00539
Caulobacteraceae	76892	F	152452	14144	166596	0.01345
Hyphomonadaceae	69657	F	6409	229	6638	0.00054
Maricaulaceae	2800061	F	5241	545	5786	0.00047
Parvularculaceae	255474	F	1687	117	1804	0.00015
Anaplasmataceae	942	F	452	8	460	0.00004
Rickettsiaceae	775	F	372	18	390	0.00003
Candidatus Midichloriaceae	1328881	F	40	28	68	0.00001
Candidatus Deianiraeaceae	2603433	F	21	857	878	0.00007
Emcibacteraceae	2066491	F	754	81	835	0.00007
Holosporaceae	44746	F	143	3	146	0.00001
Caedimonadaceae	2100208	F	78	4	82	0.00001
Candidatus Paracaedibacteraceae	1777752	F	69	3	72	0.00001
Magnetococcaceae	1191479	F	176	4	180	0.00001
Pelagibacteraceae	1655514	F	91	51	142	0.00001
