name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	6085737	417021	6502758	0.52516
Actinobacteria	201174	P	4380104	203245	4583349	0.37015
Firmicutes	1239	P	172341	96189	268530	0.02169
Cyanobacteria	1117	P	35697	979	36676	0.00296
Deinococcus-Thermus	1297	P	35281	1510	36791	0.00297
Chloroflexi	200795	P	27605	518	28123	0.00227
Armatimonadetes	67819	P	2928	19	2947	0.00024
Tenericutes	544448	P	705	66	771	0.00006
Planctomycetes	203682	P	421453	5819	427272	0.03451
Verrucomicrobia	74201	P	37904	1205	39109	0.00316
Kiritimatiellaeota	134625	P	1159	1053	2212	0.00018
Chlamydiae	204428	P	395	7	402	0.00003
Candidatus Omnitrophica	67812	P	255	1	256	0.00002
Bacteroidetes	976	P	118541	2368	120909	0.00976
Chlorobi	1090	P	3588	134	3722	0.00030
Balneolaeota	1936987	P	279	27	306	0.00002
Ignavibacteriae	1134404	P	228	5	233	0.00002
Gemmatimonadetes	142182	P	122147	7368	129515	0.01046
Fibrobacteres	65842	P	158	3	161	0.00001
Candidatus Cloacimonetes	456828	P	102	2	104	0.00001
Acidobacteria	57723	P	128441	3990	132431	0.01070
Nitrospirae	40117	P	9769	147	9916	0.00080
Spirochaetes	203691	P	3269	206	3475	0.00028
Synergistetes	508458	P	2905	239	3144	0.00025
Candidatus Saccharibacteria	95818	P	896	56	952	0.00008
Candidatus Bipolaricaulota	67810	P	547	157	704	0.00006
Candidatus Absconditabacteria	221235	P	33	0	33	0.00000
Thermotogae	200918	P	854	79	933	0.00008
Aquificae	200783	P	615	9	624	0.00005
Thermodesulfobacteria	200940	P	417	8	425	0.00003
Calditrichaeota	1930617	P	373	3	376	0.00003
Deferribacteres	200930	P	329	10	339	0.00003
Chrysiogenetes	200938	P	266	122	388	0.00003
Fusobacteria	32066	P	256	52	308	0.00002
Elusimicrobia	74152	P	203	2	205	0.00002
Dictyoglomi	68297	P	122	0	122	0.00001
Caldiserica	67814	P	78	0	78	0.00001
Coprothermobacterota	2138240	P	77	16	93	0.00001
Atribacterota	67818	P	29	0	29	0.00000
Ascomycota	4890	P	36014	437	36451	0.00294
Basidiomycota	5204	P	2561	73	2634	0.00021
Microsporidia	6029	P	14	0	14	0.00000
Oomycota	4762	P	4073	404	4477	0.00036
