name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	1676514	68643	1745157	0.31427
Gammaproteobacteria	1236	C	723459	92052	815511	0.14686
Betaproteobacteria	28216	C	463200	53660	516860	0.09308
Deltaproteobacteria	28221	C	169513	6965	176478	0.03178
Epsilonproteobacteria	29547	C	960	23	983	0.00018
Acidithiobacillia	1807140	C	677	34	711	0.00013
Oligoflexia	1553900	C	477	2	479	0.00009
Hydrogenophilalia	2008785	C	160	14	174	0.00003
Zetaproteobacteria	580370	C	93	1	94	0.00002
Actinomycetia	1760	C	1660495	44880	1705375	0.30711
Acidimicrobiia	84992	C	27454	1979	29433	0.00530
Thermoleophilia	1497346	C	17566	1481	19047	0.00343
Rubrobacteria	84995	C	6547	426	6973	0.00126
Coriobacteriia	84998	C	3124	302	3426	0.00062
Nitriliruptoria	908620	C	2633	150	2783	0.00050
Bacilli	91061	C	191434	61095	252529	0.04548
Clostridia	186801	C	9902	894	10796	0.00194
Negativicutes	909932	C	969	52	1021	0.00018
Erysipelotrichia	526524	C	606	185	791	0.00014
Limnochordia	1676648	C	508	10	518	0.00009
Tissierellia	1737404	C	368	109	477	0.00009
Deinococci	188787	C	10745	6816	17561	0.00316
Gloeobacteria	307596	C	705	218	923	0.00017
Thermomicrobia	189775	C	2168	71	2239	0.00040
Tepidiformia	2682225	C	1184	30	1214	0.00022
Chloroflexia	32061	C	1008	31	1039	0.00019
Ardenticatenia	1382928	C	849	10	859	0.00015
Caldilineae	475962	C	532	33	565	0.00010
Anaerolineae	292625	C	286	4	290	0.00005
Dehalococcoidia	301297	C	256	4	260	0.00005
Candidatus Thermofonsia	2364196	C	190	171	361	0.00007
Ktedonobacteria	388447	C	141	4	145	0.00003
Fimbriimonadia	1663419	C	268	0	268	0.00005
Chthonomonadetes	1077257	C	81	0	81	0.00001
Mollicutes	31969	C	255	35	290	0.00005
Planctomycetia	203683	C	99518	981	100499	0.01810
Phycisphaerae	666505	C	4677	129	4806	0.00087
Candidatus Brocadiia	2517206	C	36	0	36	0.00001
Candidatus Uabimicrobiia	2897345	C	15	0	15	0.00000
Opitutae	414999	C	4278	122	4400	0.00079
Verrucomicrobiae	203494	C	2710	342	3052	0.00055
Spartobacteria	134549	C	47	4	51	0.00001
Methylacidiphilae	1955630	C	31	1	32	0.00001
Kiritimatiellae	1921781	C	203	219	422	0.00008
Tichowtungiia	2907184	C	72	1	73	0.00001
Chlamydiia	204429	C	147	49	196	0.00004
Cytophagia	768503	C	26741	636	27377	0.00493
Flavobacteriia	117743	C	14587	929	15516	0.00279
Chitinophagia	1853228	C	10525	109	10634	0.00192
Sphingobacteriia	117747	C	6010	7008	13018	0.00234
Bacteroidia	200643	C	3686	839	4525	0.00081
Saprospiria	1937959	C	139	31	170	0.00003
Chlorobia	191410	C	863	105	968	0.00017
Ignavibacteria	795747	C	43	0	43	0.00001
Gemmatimonadetes	219685	C	19621	647	20268	0.00365
Fibrobacteria	204430	C	35	14	49	0.00001
Vicinamibacteria	1813735	C	7783	269	8052	0.00145
Acidobacteriia	204432	C	4447	38	4485	0.00081
Blastocatellia	1562566	C	470	8	478	0.00009
Holophagae	533205	C	432	4	436	0.00008
Nitrospira	203693	C	1463	11	1474	0.00027
Thermodesulfovibrionia	2811502	C	26	0	26	0.00000
Spirochaetia	203692	C	721	11	732	0.00013
Synergistia	649775	C	594	21	615	0.00011
Candidatus Saccharimonia	2093818	C	137	399	536	0.00010
Candidatus Babeliae	2497643	C	11	0	11	0.00000
Fusobacteriia	203490	C	187	15	202	0.00004
Thermotogae	188708	C	173	3	176	0.00003
Aquificae	187857	C	104	0	104	0.00002
Thermodesulfobacteria	67799	C	103	0	103	0.00002
Deferribacteres	68337	C	89	1	90	0.00002
Chrysiogenetes	118001	C	76	15	91	0.00002
Calditrichia	1962850	C	69	0	69	0.00001
Elusimicrobia	641853	C	13	0	13	0.00000
Endomicrobia	447830	C	12	0	12	0.00000
Dictyoglomia	203486	C	22	0	22	0.00000
Coprothermobacteria	2138243	C	21	1	22	0.00000
Caldisericia	693071	C	12	0	12	0.00000
Sordariomycetes	147550	C	8488	207	8695	0.00157
Leotiomycetes	147548	C	78	0	78	0.00001
Eurotiomycetes	147545	C	1700	89	1789	0.00032
Dothideomycetes	147541	C	294	70	364	0.00007
Saccharomycetes	4891	C	498	28	526	0.00009
Schizosaccharomycetes	147554	C	36	2	38	0.00001
Ustilaginomycetes	5257	C	495	15	510	0.00009
Malasseziomycetes	1538075	C	43	10	53	0.00001
Agaricomycetes	155619	C	116	4	120	0.00002
Tremellomycetes	155616	C	28	1137	1165	0.00021
