name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobiaceae	82115	F	253847	74550	328397	0.05914
Phyllobacteriaceae	69277	F	194400	17569	211969	0.03817
Bradyrhizobiaceae	41294	F	100229	4865	105094	0.01893
Devosiaceae	2831106	F	90774	3792	94566	0.01703
Methylobacteriaceae	119045	F	67884	4787	72671	0.01309
Xanthobacteraceae	335928	F	27024	2555	29579	0.00533
Hyphomicrobiaceae	45401	F	18429	972	19401	0.00349
Boseaceae	2831100	F	18105	1532	19637	0.00354
Aurantimonadaceae	255475	F	17505	14856	32361	0.00583
Stappiaceae	2821832	F	8832	1308	10140	0.00183
Brucellaceae	118882	F	7523	1434	8957	0.00161
Methylocystaceae	31993	F	6737	303	7040	0.00127
Phreatobacteraceae	2843305	F	5844	545	6389	0.00115
Chelatococcaceae	2036754	F	4880	614	5494	0.00099
Parvibaculaceae	2813035	F	4779	586	5365	0.00097
Kaistiaceae	2831111	F	4021	531	4552	0.00082
Beijerinckiaceae	45404	F	3351	130	3481	0.00063
Blastochloridaceae	2831090	F	3320	419	3739	0.00067
Amorphaceae	2685818	F	2620	153	2773	0.00050
Pleomorphomonadaceae	2843308	F	1724	166	1890	0.00034
Breoghaniaceae	2831104	F	1681	122	1803	0.00032
Lichenihabitantaceae	2723775	F	1116	26	1142	0.00021
Cohaesibacteraceae	655351	F	294	6	300	0.00005
Bartonellaceae	772	F	278	8	286	0.00005
Sphingomonadaceae	41297	F	287475	25451	312926	0.05635
Erythrobacteraceae	335929	F	47840	5916	53756	0.00968
Sphingosinicellaceae	2820280	F	14211	942	15153	0.00273
Zymomonadaceae	2844881	F	112	124	236	0.00004
Caulobacteraceae	76892	F	156917	11437	168354	0.03032
Azospirillaceae	2829815	F	35087	2111	37198	0.00670
Acetobacteraceae	433	F	23263	1526	24789	0.00446
Rhodospirillaceae	41295	F	17372	42435	59807	0.01077
Stellaceae	2844601	F	4584	196	4780	0.00086
Elioraeaceae	2690195	F	1353	39	1392	0.00025
Thalassospiraceae	2844866	F	1045	37	1082	0.00019
Terasakiellaceae	2813951	F	54	0	54	0.00001
Rhodobacteraceae	31989	F	43986	4690	48676	0.00877
Roseobacteraceae	2854170	F	25418	7679	33097	0.00596
Hyphomonadaceae	69657	F	3263	67	3330	0.00060
Maricaulaceae	2800061	F	1907	130	2037	0.00037
Parvularculaceae	255474	F	579	24	603	0.00011
Anaplasmataceae	942	F	133	5	138	0.00002
Rickettsiaceae	775	F	114	7	121	0.00002
Candidatus Midichloriaceae	1328881	F	31	17	48	0.00001
Emcibacteraceae	2066491	F	264	12	276	0.00005
Holosporaceae	44746	F	50	0	50	0.00001
Candidatus Paracaedibacteraceae	1777752	F	32	3	35	0.00001
Caedimonadaceae	2100208	F	19	1	20	0.00000
Magnetococcaceae	1191479	F	57	0	57	0.00001
Pelagibacteraceae	1655514	F	37	16	53	0.00001
Kordiimonadaceae	1331809	F	33	0	33	0.00001
Xanthomonadaceae	32033	F	303481	24601	328082	0.05908
Rhodanobacteraceae	1775411	F	16202	1232	17434	0.00314
Pseudomonadaceae	135621	F	283351	64201	347552	0.06259
Marinobacteraceae	2887365	F	2595	91	2686	0.00048
Enterobacteriaceae	543	F	10606	19695	30301	0.00546
Yersiniaceae	1903411	F	3940	568	4508	0.00081
Erwiniaceae	1903409	F	2658	203	2861	0.00052
Pectobacteriaceae	1903410	F	1743	113	1856	0.00033
Morganellaceae	1903414	F	794	164	958	0.00017
Hafniaceae	1903412	F	533	47	580	0.00010
Bruguierivoracaceae	2812006	F	316	10	326	0.00006
Budviciaceae	1903416	F	77	4	81	0.00001
Halomonadaceae	28256	F	14423	743	15166	0.00273
Alcanivoracaceae	224372	F	3139	610	3749	0.00068
Oceanospirillaceae	135620	F	946	50	996	0.00018
Saccharospirillaceae	255527	F	262	7	269	0.00005
Hahellaceae	224379	F	260	5	265	0.00005
Litoricolaceae	449732	F	83	1	84	0.00002
Endozoicomonadaceae	2066474	F	35	1	36	0.00001
Oleiphilaceae	191033	F	20	1	21	0.00000
Zooshikellaceae	2898533	F	20	0	20	0.00000
Ectothiorhodospiraceae	72276	F	8427	496	8923	0.00161
Chromatiaceae	1046	F	5396	242	5638	0.00102
Wenzhouxiangellaceae	1676141	F	947	1056	2003	0.00036
Thioalkalispiraceae	1096778	F	577	142	719	0.00013
Woeseiaceae	1738654	F	484	5	489	0.00009
Thioalkalibacteraceae	2035710	F	482	80	562	0.00010
Halothiobacillaceae	255526	F	309	19	328	0.00006
Granulosicoccaceae	449719	F	215	3	218	0.00004
Cellvibrionaceae	1706371	F	4556	65	4621	0.00083
Microbulbiferaceae	1706373	F	1934	68	2002	0.00036
Halieaceae	1706372	F	732	49	781	0.00014
Spongiibacteraceae	1706375	F	351	20	371	0.00007
Aeromonadaceae	84642	F	4847	1961	6808	0.00123
Succinivibrionaceae	83763	F	15	0	15	0.00000
Methylococcaceae	403	F	4798	101	4899	0.00088
Sinobacteraceae	568386	F	1959	124	2083	0.00038
Steroidobacteraceae	2689614	F	1900	244	2144	0.00039
Acidiferrobacteraceae	1692041	F	3448	77	3525	0.00063
Shewanellaceae	267890	F	1410	112	1522	0.00027
Alteromonadaceae	72275	F	742	123	865	0.00016
Pseudoalteromonadaceae	267888	F	424	26	450	0.00008
Ferrimonadaceae	267892	F	171	9	180	0.00003
Colwelliaceae	267889	F	109	4	113	0.00002
Idiomarinaceae	267893	F	77	3	80	0.00001
Moritellaceae	267891	F	41	3	44	0.00001
Psychromonadaceae	267894	F	28	1	29	0.00001
Vibrionaceae	641	F	1614	116	1730	0.00031
Moraxellaceae	468	F	985	162	1147	0.00021
Piscirickettsiaceae	135616	F	568	39	607	0.00011
Thiotrichaceae	135617	F	292	3	295	0.00005
Francisellaceae	34064	F	90	933	1023	0.00018
Immundisolibacteraceae	1934946	F	832	70	902	0.00016
Legionellaceae	444	F	383	8	391	0.00007
Coxiellaceae	118968	F	177	1	178	0.00003
Salinisphaeraceae	742031	F	555	508	1063	0.00019
Pasteurellaceae	712	F	414	80	494	0.00009
Cardiobacteriaceae	868	F	275	16	291	0.00005
Kangiellaceae	1920240	F	58	1	59	0.00001
Orbaceae	1240483	F	33	3	36	0.00001
Comamonadaceae	80864	F	155626	39946	195572	0.03522
Burkholderiaceae	119060	F	85065	21130	106195	0.01912
Alcaligenaceae	506	F	60124	10052	70176	0.01264
Oxalobacteraceae	75682	F	59047	24911	83958	0.01512
Sutterellaceae	995019	F	457	20	477	0.00009
Nitrosomonadaceae	206379	F	10768	177	10945	0.00197
Usitatibacteraceae	2803844	F	5217	258	5475	0.00099
Sterolibacteriaceae	2008793	F	2752	459	3211	0.00058
Thiobacillaceae	2008790	F	2341	401	2742	0.00049
Gallionellaceae	90627	F	1537	124	1661	0.00030
